Family_ch,Alphabet,scientific_name
裳蛾科,P,Plusiodonta coelonota
裳蛾科,S,Sympis rufibasis
尺蛾科,D,Dindica kishidai
裳蛾科,E,Euproctis taiwana
斑蛾科,H,Histia flabellicornis ultima
天蠶蛾科,A,Actias sinensis subaurea
裳蛾科,A,Aglaomorpha histrio formosana
枯葉蛾科,P,Paralebeda femorata mirabilis
裳蛾科,L,Lemyra nigricosta
斑蛾科,G,Gynautocera rubriscutellata
尺蛾科,H,Hyposidra talaca talaca
裳蛾科,M,Macrobrochis gigas
裳蛾科,O,Olene mendosa
裳蛾科,A,Areas galactina formosana
裳蛾科,C,Caduca albopunctata
天蛾科,M,Marumba cristata bukaiana
尺蛾科,A,Amblychia angeronaria
天蛾科,P,Parum colligata
蠶蛾科,E,Ernolatia moorei
尺蛾科,E,Eumelea ludovicata
瘤蛾科,C,Camptoloma carum
裳蛾科,P,Perina nuda
斑蛾科,Z,Zama horni
草螟蛾科,N,Nymphicula yoshiyasui
枯葉蛾科,T,Trabala vishnou guttata
斑蛾科,C,Chalcosia thaivana thaivana
斑蛾科,A,Arbudas leno
裳蛾科,L,Lymantria xylina xylina
裳蛾科,F,Fodina contigua
尺蛾科,H,Hyposidra infixaria
尺蛾科,K,Krananda latimarginaria
尺蛾科,K,Krananda oliveomarginata
尺蛾科,C,Chiasmia eleonora
裳蛾科,P,Platyja acerces
尺蛾科,N,Nothomiza flavicosta
尺蛾科,X,Xandrames latiferaria curvistriga
鉤蛾科,D,Drapetodes mitaria
夜蛾科,C,Condica illecta
裳蛾科,E,Erebus ephesperis
燕蛾科,P,Pterotosoma castanea castanea
樺蛾科,A,Andraca theae
斑蛾科,E,Eterusia aedea formosana
尺蛾科,H,Heterolocha coccinea
裳蛾科,C,Chrysaeglia magnifica
舟蛾科,P,Phalera flavescens flavescens
舟蛾科,D,Disparia diluta variegata
裳蛾科,E,Erebus gemmans
裳蛾科,M,Manulea hokopo
尺蛾科,E,Ecliptopera benigna
尺蛾科,C,Chiasmia intermediaria
尺蛾科,T,Tanaorhinus formosana
尺蛾科,E,Epobeidia tigrata maxima
天蛾科,N,Notonagemia analis gressitti
裳蛾科,A,Asota egens confinis
鉤蛾科,O,Oreta extensa
