GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_242745,244500,2685500,Erebidae,Aberrasine shiou,成蟲,2011,444813,3826_9749
3826_198726,225500,2597500,Erebidae,Aberrasine shiou,成蟲,2012,444813,3826_7946
3826_175222,221500,2550500,Erebidae,Aberrasine shiou,成蟲,2014,444813,3826_7045
3826_264279,278500,2728500,Erebidae,Aberrasine shiou,成蟲,2013,444813,3826_10556
3826_264279,278500,2728500,Erebidae,Aberrasine shiou,成蟲,2015,444813,3826_10556
3826_264279,278500,2728500,Erebidae,Aberrasine shiou,成蟲,2014,444813,3826_10556
3826_175725,224500,2551500,Erebidae,Aberrasine shiou,成蟲,2015,444813,3826_7045
3826_207230,229500,2614500,Erebidae,Aberrasine shiou,成蟲,2015,444813,3826_8246
3826_254805,304500,2709500,Erebidae,Aberrasine shiou,成蟲,2015,444813,3826_10161
3826_209730,229500,2619500,Erebidae,Aberrasine shiou,成蟲,2016,444813,3826_8346
3826_192760,259500,2585500,Erebidae,Aberrasine shiou,成蟲,2011,444813,3826_7752
3826_192760,259500,2585500,Erebidae,Aberrasine shiou,成蟲,2012,444813,3826_7752
3826_177231,230500,2554500,Erebidae,Aberrasine shiou,成蟲,2013,444813,3826_7047
3826_175222,221500,2550500,Erebidae,Aberrasine shiou,成蟲,2016,444813,3826_7045
3826_175724,223500,2551500,Erebidae,Aberrasine shiou,成蟲,2016,444813,3826_7045
3826_264279,278500,2728500,Erebidae,Aberrasine shiou,成蟲,2016,444813,3826_10556
3826_263753,252500,2727500,Erebidae,Aberrasine shiou,成蟲,2016,444813,3826_10551
3826_273788,287500,2747500,Erebidae,Aberrasine shiou,成蟲,2013,444813,3826_10958
3826_231268,267500,2662500,Erebidae,Aberrasine shiou,成蟲,2016,444813,3826_9254
3826_259784,283500,2719500,Erebidae,Aberrasine shiou,成蟲,2016,444813,3826_10357
3826_207230,229500,2614500,Erebidae,Aberrasine shiou,成蟲,2016,444813,3826_8246
3826_229767,266500,2659500,Erebidae,Aberrasine shiou,成蟲,2017,444813,3826_9154
3826_207230,229500,2614500,Erebidae,Aberrasine shiou,成蟲,2017,444813,3826_8246
3826_200230,229500,2600500,Erebidae,Aberrasine shiou,成蟲,2017,444813,3826_8046
3826_256762,261500,2713500,Erebidae,Aberrasine shiou,成蟲,2017,444813,3826_10253
3826_255762,261500,2711500,Erebidae,Aberrasine shiou,成蟲,2017,444813,3826_10253
3826_175724,223500,2551500,Erebidae,Aberrasine shiou,成蟲,2015,444813,3826_7045
3826_262249,248500,2724500,Erebidae,Aberrasine shiou,成蟲,2017,444813,3826_10450
3826_233270,269500,2666500,Erebidae,Aberrasine shiou,成蟲,2011,444813,3826_9354
3826_232268,267500,2664500,Erebidae,Aberrasine shiou,成蟲,2011,444813,3826_9254
3826_254805,304500,2709500,Erebidae,Aberrasine shiou,成蟲,2018,444813,3826_10161
3826_227760,259500,2655500,Erebidae,Aberrasine shiou,成蟲,2018,444813,3826_9152
3826_229766,265500,2659500,Erebidae,Aberrasine shiou,成蟲,2018,444813,3826_9154
3826_255812,311500,2711500,Erebidae,Aberrasine shiou,成蟲,2010,444813,3826_10263
3826_241751,250500,2683500,Erebidae,Aberrasine shiou,成蟲,2018,444813,3826_9651
3826_229766,265500,2659500,Erebidae,Aberrasine shiou,成蟲,2019,444813,3826_9154
3826_238290,289500,2676500,Erebidae,Aberrasine shiou,成蟲,2019,444813,3826_9558
3826_209230,229500,2618500,Erebidae,Aberrasine shiou,成蟲,2019,444813,3826_8346
3826_250743,242500,2701500,Erebidae,Aberrasine shiou,成蟲,2019,444813,3826_10049
3826_175726,225500,2551500,Erebidae,Aberrasine shiou,成蟲,2013,444813,3826_7046
3826_224769,268500,2649500,Erebidae,Aberrasine shiou,成蟲,2019,444813,3826_8954
3826_224769,268500,2649500,Erebidae,Aberrasine shiou,成蟲,2014,444813,3826_8954
3826_175224,223500,2550500,Erebidae,Aberrasine shiou,成蟲,2020,444813,3826_7045
3826_265782,281500,2731500,Erebidae,Aberrasine shiou,成蟲,2020,444813,3826_10657
3826_139225,224500,2478500,Erebidae,Aberrasine shiou,成蟲,2020,444813,3826_5545
3826_238293,292500,2676500,Erebidae,Aberrasine shiou,成蟲,2020,444813,3826_9559
3826_265791,290500,2731500,Erebidae,Aberrasine shiou,成蟲,2020,444813,3826_10659
3826_237791,290500,2675500,Erebidae,Aberrasine shiou,成蟲,2020,444813,3826_9559
3826_170218,217500,2540500,Erebidae,Aberrasine shiou,成蟲,2015,444813,3826_6844
3826_269811,310500,2739500,Erebidae,Aberrasine shiou,成蟲,2020,444813,3826_10763
3826_224769,268500,2649500,Erebidae,Aberrasine shiou,成蟲,2020,444813,3826_8954
3826_207230,229500,2614500,Erebidae,Aberrasine shiou,成蟲,2020,444813,3826_8246
3826_207230,229500,2614500,Erebidae,Aberrasine shiou,成蟲,2021,444813,3826_8246
3826_241751,250500,2683500,Erebidae,Aberrasine shiou,成蟲,2021,444813,3826_9651
3826_240248,247500,2680500,Erebidae,Aberrasine shiou,成蟲,2021,444813,3826_9650
3826_264285,284500,2728500,Erebidae,Aberrasine shiou,成蟲,2019,444813,3826_10557
3826_187742,241500,2575500,Erebidae,Aberrasine shiou,成蟲,2021,444813,3826_7549
3826_231268,267500,2662500,Erebidae,Aberrasine shiou,成蟲,2021,444813,3826_9254
3826_175726,225500,2551500,Erebidae,Aberrasine shiou,成蟲,2021,444813,3826_7046
3826_200230,229500,2600500,Erebidae,Aberrasine shiou,成蟲,2022,444813,3826_8046
3826_255262,261500,2710500,Erebidae,Aberrasine shiou,成蟲,2022,444813,3826_10253
3826_224769,268500,2649500,Erebidae,Aberrasine shiou,成蟲,2022,444813,3826_8954
3826_153718,217500,2507500,Erebidae,Aberrasine shiou,成蟲,2022,444813,3826_6144
3826_241751,250500,2683500,Erebidae,Aberrasine shiou,成蟲,2022,444813,3826_9651
