GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_175205,204500,2550500,Erebidae,Achaea janata,成蟲,2012,345927,3826_7041
3826_233219,218500,2666500,Erebidae,Achaea janata,成蟲,2012,345927,3826_9344
3826_214229,228500,2628500,Erebidae,Achaea janata,蛹,2012,345927,3826_8546
3826_154697,196500,2509500,Erebidae,Achaea janata,成蟲,2013,345927,3826_6140
3826_224195,194500,2648500,Erebidae,Achaea janata,幼蟲,2013,345927,3826_8939
3826_173668,167500,2547500,Erebidae,Achaea janata,幼蟲,2011,345927,3826_6934
3826_158267,266500,2516500,Erebidae,Achaea janata,成蟲,2014,345927,3826_6354
3826_196695,194500,2593500,Erebidae,Achaea janata,幼蟲,2014,345927,3826_7839
3826_272743,242500,2745500,Erebidae,Achaea janata,幼蟲,2014,345927,3826_10949
3826_158267,266500,2516500,Erebidae,Achaea janata,成蟲,2015,345927,3826_6354
3826_294317,316500,2788500,Erebidae,Achaea janata,成蟲,2014,345927,3826_11764
3826_280304,303500,2760500,Erebidae,Achaea janata,成蟲,2015,345927,3826_11261
3826_282800,299500,2765500,Erebidae,Achaea janata,成蟲,2015,345927,3826_11360
3826_286306,305500,2772500,Erebidae,Achaea janata,成蟲,2015,345927,3826_11462
3826_280834,333500,2761500,Erebidae,Achaea janata,成蟲,2015,345927,3826_11267
3826_213192,191500,2626500,Erebidae,Achaea janata,幼蟲,2015,345927,3826_8539
3826_224695,194500,2649500,Erebidae,Achaea janata,幼蟲,2015,345927,3826_8939
3826_233207,206500,2666500,Erebidae,Achaea janata,幼蟲,2015,345927,3826_9342
3826_152684,183500,2505500,Erebidae,Achaea janata,成蟲,2015,345927,3826_6137
3826_286801,300500,2773500,Erebidae,Achaea janata,幼蟲,2015,345927,3826_11461
3826_196694,193500,2593500,Erebidae,Achaea janata,幼蟲,2016,345927,3826_7839
3826_164183,182500,2528500,Erebidae,Achaea janata,成蟲,2015,345927,3826_6537
3826_182176,175500,2564500,Erebidae,Achaea janata,成蟲,2013,345927,3826_7236
3826_225197,196500,2650500,Erebidae,Achaea janata,成蟲,2013,345927,3826_9040
3826_197193,192500,2594500,Erebidae,Achaea janata,幼蟲,2016,345927,3826_7839
3826_175724,223500,2551500,Erebidae,Achaea janata,成蟲,2016,345927,3826_7045
3826_178166,165500,2556500,Erebidae,Achaea janata,成蟲,2016,345927,3826_7134
3826_175173,172500,2550500,Erebidae,Achaea janata,成蟲,2016,345927,3826_7035
3826_153184,183500,2506500,Erebidae,Achaea janata,幼蟲,2016,345927,3826_6137
3826_231705,204500,2663500,Erebidae,Achaea janata,幼蟲,2016,345927,3826_9241
3826_173162,161500,2546500,Erebidae,Achaea janata,幼蟲,2016,345927,3826_6933
3826_193218,217500,2586500,Erebidae,Achaea janata,成蟲,2016,345927,3826_7744
3826_234218,217500,2668500,Erebidae,Achaea janata,幼蟲,2016,345927,3826_9344
3826_229312,311500,2658500,Erebidae,Achaea janata,幼蟲,2015,345927,3826_9163
3826_173162,161500,2546500,Erebidae,Achaea janata,幼蟲,2017,345927,3826_6933
3826_152175,174500,2504500,Erebidae,Achaea janata,成蟲,2017,345927,3826_6035
3826_195214,213500,2590500,Erebidae,Achaea janata,成蟲,2017,345927,3826_7843
3826_157198,197500,2514500,Erebidae,Achaea janata,成蟲,2017,345927,3826_6240
3826_226811,310500,2653500,Erebidae,Achaea janata,成蟲,2017,345927,3826_9063
3826_175172,171500,2550500,Erebidae,Achaea janata,成蟲,2017,345927,3826_7035
3826_170168,167500,2540500,Erebidae,Achaea janata,成蟲,2017,345927,3826_6834
3826_234218,217500,2668500,Erebidae,Achaea janata,幼蟲,2017,345927,3826_9344
3826_154218,217500,2508500,Erebidae,Achaea janata,成蟲,2018,345927,3826_6144
3826_234704,203500,2669500,Erebidae,Achaea janata,成蟲,2018,345927,3826_9341
3826_232194,193500,2664500,Erebidae,Achaea janata,成蟲,2018,345927,3826_9239
3826_291797,296500,2783500,Erebidae,Achaea janata,幼蟲,2018,345927,3826_11660
3826_168175,174500,2536500,Erebidae,Achaea janata,幼蟲,2018,345927,3826_6735
3826_153184,183500,2506500,Erebidae,Achaea janata,成蟲,2017,345927,3826_6137
3826_230726,225500,2661500,Erebidae,Achaea janata,幼蟲,2019,345927,3826_9246
3826_271249,248500,2742500,Erebidae,Achaea janata,幼蟲,2019,345927,3826_10850
3826_281810,309500,2763500,Erebidae,Achaea janata,成蟲,2019,345927,3826_11262
3826_174171,170500,2548500,Erebidae,Achaea janata,幼蟲,2019,345927,3826_6935
3826_272252,251500,2744500,Erebidae,Achaea janata,幼蟲,2019,345927,3826_10851
3826_291300,299500,2782500,Erebidae,Achaea janata,幼蟲,2019,345927,3826_11660
3826_132738,237500,2465500,Erebidae,Achaea janata,成蟲,2019,345927,3826_5348
3826_281800,299500,2763500,Erebidae,Achaea janata,幼蟲,2021,345927,3826_11260
3826_231268,267500,2662500,Erebidae,Achaea janata,成蟲,2020,345927,3826_9254
3826_160198,197500,2520500,Erebidae,Achaea janata,幼蟲,2019,345927,3826_6440
3826_160198,197500,2520500,Erebidae,Achaea janata,成蟲,2019,345927,3826_6440
3826_271249,248500,2742500,Erebidae,Achaea janata,幼蟲,2020,345927,3826_10850
3826_156680,179500,2513500,Erebidae,Achaea janata,成蟲,2021,345927,3826_6236
3826_286306,305500,2772500,Erebidae,Achaea janata,成蟲,2020,345927,3826_11462
3826_172170,169500,2544500,Erebidae,Achaea janata,成蟲,2020,345927,3826_6834
3826_273286,285500,2746500,Erebidae,Achaea janata,成蟲,2021,345927,3826_10958
3826_162692,191500,2525500,Erebidae,Achaea janata,幼蟲,2021,345927,3826_6539
3826_153181,180500,2506500,Erebidae,Achaea janata,成蟲,2021,345927,3826_6137
3826_252738,237500,2705500,Erebidae,Achaea janata,成蟲,2021,345927,3826_10148
3826_152210,209500,2504500,Erebidae,Achaea janata,成蟲,2021,345927,3826_6042
3826_164271,270500,2528500,Erebidae,Achaea janata,成蟲,2022,345927,3826_6555
3826_235720,219500,2671500,Erebidae,Achaea janata,幼蟲,2022,345927,3826_9444
