GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_275307,306500,2750500,Geometridae,Acolutha pulchella semifulva,成蟲,2011,344604,3826_11062
3826_273788,287500,2747500,Geometridae,Acolutha pulchella semifulva,成蟲,2012,344604,3826_10958
3826_275267,266500,2750500,Geometridae,Acolutha pulchella semifulva,成蟲,2013,344604,3826_11054
3826_225806,305500,2651500,Geometridae,Acolutha pulchella semifulva,成蟲,2014,344604,3826_9062
3826_264279,278500,2728500,Geometridae,Acolutha pulchella semifulva,成蟲,2014,344604,3826_10556
3826_232753,252500,2665500,Geometridae,Acolutha pulchella semifulva,成蟲,2014,344604,3826_9351
3826_232753,252500,2665500,Geometridae,Acolutha pulchella semifulva,成蟲,2015,344604,3826_9351
3826_273279,278500,2746500,Geometridae,Acolutha pulchella semifulva,成蟲,2013,344604,3826_10956
3826_228748,247500,2657500,Geometridae,Acolutha pulchella semifulva,幼蟲,2015,344604,3826_9150
3826_266766,265500,2733500,Geometridae,Acolutha pulchella semifulva,成蟲,2016,344604,3826_10654
3826_293303,302500,2786500,Geometridae,Acolutha pulchella semifulva,成蟲,2016,344604,3826_11761
3826_165724,223500,2531500,Geometridae,Acolutha pulchella semifulva,成蟲,2016,344604,3826_6645
3826_224749,248500,2649500,Geometridae,Acolutha pulchella semifulva,成蟲,2017,344604,3826_8950
3826_273796,295500,2747500,Geometridae,Acolutha pulchella semifulva,成蟲,2017,344604,3826_10960
3826_222739,238500,2645500,Geometridae,Acolutha pulchella semifulva,成蟲,2017,344604,3826_8948
3826_154218,217500,2508500,Geometridae,Acolutha pulchella semifulva,成蟲,2017,344604,3826_6144
3826_263792,291500,2727500,Geometridae,Acolutha pulchella semifulva,成蟲,2018,344604,3826_10559
3826_267278,277500,2734500,Geometridae,Acolutha pulchella semifulva,成蟲,2017,344604,3826_10656
3826_154218,217500,2508500,Geometridae,Acolutha pulchella semifulva,成蟲,2018,344604,3826_6144
3826_224749,248500,2649500,Geometridae,Acolutha pulchella semifulva,成蟲,2018,344604,3826_8950
3826_251728,227500,2703500,Geometridae,Acolutha pulchella semifulva,成蟲,2018,344604,3826_10046
3826_273796,295500,2747500,Geometridae,Acolutha pulchella semifulva,成蟲,2018,344604,3826_10960
3826_271250,249500,2742500,Geometridae,Acolutha pulchella semifulva,成蟲,2018,344604,3826_10850
3826_266755,254500,2733500,Geometridae,Acolutha pulchella semifulva,成蟲,2018,344604,3826_10651
3826_266265,264500,2732500,Geometridae,Acolutha pulchella semifulva,成蟲,2018,344604,3826_10653
3826_157226,225500,2514500,Geometridae,Acolutha pulchella semifulva,成蟲,2018,344604,3826_6246
3826_236809,308500,2673500,Geometridae,Acolutha pulchella semifulva,成蟲,2011,344604,3826_9462
3826_255743,242500,2711500,Geometridae,Acolutha pulchella semifulva,成蟲,2019,344604,3826_10249
3826_273786,285500,2747500,Geometridae,Acolutha pulchella semifulva,成蟲,2019,344604,3826_10958
3826_273786,285500,2747500,Geometridae,Acolutha pulchella semifulva,成蟲,2020,344604,3826_10958
3826_257745,244500,2715500,Geometridae,Acolutha pulchella semifulva,成蟲,2020,344604,3826_10349
3826_278301,300500,2756500,Geometridae,Acolutha pulchella semifulva,成蟲,2020,344604,3826_11161
3826_283785,284500,2767500,Geometridae,Acolutha pulchella semifulva,成蟲,2020,344604,3826_11357
3826_273788,287500,2747500,Geometridae,Acolutha pulchella semifulva,成蟲,2020,344604,3826_10958
3826_188700,199500,2577500,Geometridae,Acolutha pulchella semifulva,成蟲,2012,344604,3826_7540
3826_274806,305500,2749500,Geometridae,Acolutha pulchella semifulva,成蟲,2020,344604,3826_10962
3826_264790,289500,2729500,Geometridae,Acolutha pulchella semifulva,成蟲,2020,344604,3826_10558
3826_262263,262500,2724500,Geometridae,Acolutha pulchella semifulva,成蟲,2021,344604,3826_10453
3826_283313,312500,2766500,Geometridae,Acolutha pulchella semifulva,成蟲,2021,344604,3826_11363
3826_284809,308500,2769500,Geometridae,Acolutha pulchella semifulva,成蟲,2021,344604,3826_11362
3826_256753,252500,2713500,Geometridae,Acolutha pulchella semifulva,成蟲,2021,344604,3826_10251
3826_276796,295500,2753500,Geometridae,Acolutha pulchella semifulva,成蟲,2021,344604,3826_11060
3826_294303,302500,2788500,Geometridae,Acolutha pulchella semifulva,成蟲,2021,344604,3826_11761
3826_273788,287500,2747500,Geometridae,Acolutha pulchella semifulva,成蟲,2021,344604,3826_10958
3826_273807,306500,2747500,Geometridae,Acolutha pulchella semifulva,成蟲,2021,344604,3826_10962
3826_277327,326500,2754500,Geometridae,Acolutha pulchella semifulva,成蟲,2017,344604,3826_11066
3826_269273,272500,2738500,Geometridae,Acolutha pulchella semifulva,成蟲,2022,344604,3826_10755
3826_257745,244500,2715500,Geometridae,Acolutha pulchella semifulva,成蟲,2022,344604,3826_10349
3826_266265,264500,2732500,Geometridae,Acolutha pulchella semifulva,成蟲,2022,344604,3826_10653
3826_274782,281500,2749500,Geometridae,Acolutha pulchella semifulva,成蟲,2022,344604,3826_10957
3826_264279,278500,2728500,Geometridae,Acolutha pulchella semifulva,成蟲,2022,344604,3826_10556
