GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_279306,305500,2758500,Sphingidae,Acosmeryx formosana,成蟲,2012,347629,3826_11162
3826_273788,287500,2747500,Sphingidae,Acosmeryx formosana,成蟲,2011,347629,3826_10958
3826_281810,309500,2763500,Sphingidae,Acosmeryx formosana,成蟲,2013,347629,3826_11262
3826_269315,314500,2738500,Sphingidae,Acosmeryx formosana,成蟲,2013,347629,3826_10763
3826_237316,315500,2674500,Sphingidae,Acosmeryx formosana,成蟲,2013,347629,3826_9464
3826_281309,308500,2762500,Sphingidae,Acosmeryx formosana,成蟲,2013,347629,3826_11262
3826_263260,259500,2726500,Sphingidae,Acosmeryx formosana,成蟲,2014,347629,3826_10552
3826_270777,276500,2741500,Sphingidae,Acosmeryx formosana,成蟲,2014,347629,3826_10856
3826_269811,310500,2739500,Sphingidae,Acosmeryx formosana,成蟲,2013,347629,3826_10763
3826_253332,331500,2706500,Sphingidae,Acosmeryx formosana,成蟲,2014,347629,3826_10167
3826_200220,219500,2600500,Sphingidae,Acosmeryx formosana,成蟲,2014,347629,3826_8044
3826_263296,295500,2726500,Sphingidae,Acosmeryx formosana,成蟲,2014,347629,3826_10560
3826_273796,295500,2747500,Sphingidae,Acosmeryx formosana,成蟲,2014,347629,3826_10960
3826_281810,309500,2763500,Sphingidae,Acosmeryx formosana,成蟲,2015,347629,3826_11262
3826_279306,305500,2758500,Sphingidae,Acosmeryx formosana,成蟲,2013,347629,3826_11162
3826_269811,310500,2739500,Sphingidae,Acosmeryx formosana,成蟲,2016,347629,3826_10763
3826_225806,305500,2651500,Sphingidae,Acosmeryx formosana,成蟲,2016,347629,3826_9062
3826_274808,307500,2749500,Sphingidae,Acosmeryx formosana,成蟲,2016,347629,3826_10962
3826_263798,297500,2727500,Sphingidae,Acosmeryx formosana,成蟲,2016,347629,3826_10560
3826_259754,253500,2719500,Sphingidae,Acosmeryx formosana,成蟲,2016,347629,3826_10351
3826_263260,259500,2726500,Sphingidae,Acosmeryx formosana,成蟲,2016,347629,3826_10552
3826_241243,242500,2682500,Sphingidae,Acosmeryx formosana,成蟲,2016,347629,3826_9649
3826_240249,248500,2680500,Sphingidae,Acosmeryx formosana,成蟲,2016,347629,3826_9650
3826_277327,326500,2754500,Sphingidae,Acosmeryx formosana,成蟲,2016,347629,3826_11066
3826_225801,300500,2651500,Sphingidae,Acosmeryx formosana,成蟲,2017,347629,3826_9061
3826_273796,295500,2747500,Sphingidae,Acosmeryx formosana,成蟲,2017,347629,3826_10960
3826_259249,248500,2718500,Sphingidae,Acosmeryx formosana,成蟲,2021,347629,3826_10350
3826_266265,264500,2732500,Sphingidae,Acosmeryx formosana,成蟲,2017,347629,3826_10653
3826_281810,309500,2763500,Sphingidae,Acosmeryx formosana,成蟲,2017,347629,3826_11262
3826_263260,259500,2726500,Sphingidae,Acosmeryx formosana,成蟲,2017,347629,3826_10552
3826_271279,278500,2742500,Sphingidae,Acosmeryx formosana,成蟲,2017,347629,3826_10856
3826_175724,223500,2551500,Sphingidae,Acosmeryx formosana,成蟲,2015,347629,3826_7045
3826_281812,311500,2763500,Sphingidae,Acosmeryx formosana,成蟲,2018,347629,3826_11263
3826_197720,219500,2595500,Sphingidae,Acosmeryx formosana,成蟲,2018,347629,3826_7944
3826_264279,278500,2728500,Sphingidae,Acosmeryx formosana,成蟲,2018,347629,3826_10556
3826_175222,221500,2550500,Sphingidae,Acosmeryx formosana,成蟲,2018,347629,3826_7045
3826_259800,299500,2719500,Sphingidae,Acosmeryx formosana,成蟲,2018,347629,3826_10360
3826_258248,247500,2716500,Sphingidae,Acosmeryx formosana,成蟲,2018,347629,3826_10350
3826_223253,252500,2646500,Sphingidae,Acosmeryx formosana,成蟲,2018,347629,3826_8951
3826_209219,218500,2618500,Sphingidae,Acosmeryx formosana,成蟲,2018,347629,3826_8344
3826_269271,270500,2738500,Sphingidae,Acosmeryx formosana,成蟲,2018,347629,3826_10755
3826_130734,233500,2461500,Sphingidae,Acosmeryx formosana,成蟲,2017,347629,3826_5247
3826_255743,242500,2711500,Sphingidae,Acosmeryx formosana,成蟲,2018,347629,3826_10249
3826_237303,302500,2674500,Sphingidae,Acosmeryx formosana,成蟲,2019,347629,3826_9461
3826_266265,264500,2732500,Sphingidae,Acosmeryx formosana,成蟲,2019,347629,3826_10653
