GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_269811,310500,2739500,Noctuidae,Acronicta pruinosa,幼蟲,2012,345939,3826_10763
3826_280316,315500,2760500,Noctuidae,Acronicta pruinosa,成蟲,2012,345939,3826_11264
3826_273788,287500,2747500,Noctuidae,Acronicta pruinosa,成蟲,2013,345939,3826_10958
3826_275267,266500,2750500,Noctuidae,Acronicta pruinosa,幼蟲,2013,345939,3826_11054
3826_292805,304500,2785500,Noctuidae,Acronicta pruinosa,幼蟲,2013,345939,3826_11761
3826_292801,300500,2785500,Noctuidae,Acronicta pruinosa,幼蟲,2013,345939,3826_11761
3826_290292,291500,2780500,Noctuidae,Acronicta pruinosa,成蟲,2013,345939,3826_11659
3826_266255,254500,2732500,Noctuidae,Acronicta pruinosa,幼蟲,2014,345939,3826_10651
3826_281820,319500,2763500,Noctuidae,Acronicta pruinosa,成蟲,2013,345939,3826_11264
3826_252226,225500,2704500,Noctuidae,Acronicta pruinosa,幼蟲,2015,345939,3826_10046
3826_291806,305500,2783500,Noctuidae,Acronicta pruinosa,幼蟲,2013,345939,3826_11662
3826_175725,224500,2551500,Noctuidae,Acronicta pruinosa,成蟲,2015,345939,3826_7045
3826_290304,303500,2780500,Noctuidae,Acronicta pruinosa,成蟲,2015,345939,3826_11661
3826_293308,307500,2786500,Noctuidae,Acronicta pruinosa,成蟲,2015,345939,3826_11762
3826_272277,276500,2744500,Noctuidae,Acronicta pruinosa,成蟲,2012,345939,3826_10856
3826_277318,317500,2754500,Noctuidae,Acronicta pruinosa,幼蟲,2013,345939,3826_11064
3826_273788,287500,2747500,Noctuidae,Acronicta pruinosa,成蟲,2012,345939,3826_10958
3826_175725,224500,2551500,Noctuidae,Acronicta pruinosa,成蟲,2012,345939,3826_7045
3826_282784,283500,2765500,Noctuidae,Acronicta pruinosa,幼蟲,2016,345939,3826_11357
3826_277768,267500,2755500,Noctuidae,Acronicta pruinosa,幼蟲,2016,345939,3826_11154
3826_281810,309500,2763500,Noctuidae,Acronicta pruinosa,成蟲,2015,345939,3826_11262
3826_289337,336500,2778500,Noctuidae,Acronicta pruinosa,成蟲,2016,345939,3826_11568
3826_221310,309500,2642500,Noctuidae,Acronicta pruinosa,成蟲,2016,345939,3826_8862
3826_229248,247500,2658500,Noctuidae,Acronicta pruinosa,成蟲,2016,345939,3826_9150
3826_289308,307500,2778500,Noctuidae,Acronicta pruinosa,成蟲,2016,345939,3826_11562
3826_253242,241500,2706500,Noctuidae,Acronicta pruinosa,成蟲,2016,345939,3826_10149
3826_293308,307500,2786500,Noctuidae,Acronicta pruinosa,成蟲,2016,345939,3826_11762
3826_269811,310500,2739500,Noctuidae,Acronicta pruinosa,幼蟲,2016,345939,3826_10763
3826_280304,303500,2760500,Noctuidae,Acronicta pruinosa,幼蟲,2016,345939,3826_11261
3826_280805,304500,2761500,Noctuidae,Acronicta pruinosa,幼蟲,2016,345939,3826_11261
3826_220725,224500,2641500,Noctuidae,Acronicta pruinosa,幼蟲,2016,345939,3826_8845
3826_262240,239500,2724500,Noctuidae,Acronicta pruinosa,幼蟲,2017,345939,3826_10448
3826_281812,311500,2763500,Noctuidae,Acronicta pruinosa,成蟲,2016,345939,3826_11263
3826_226311,310500,2652500,Noctuidae,Acronicta pruinosa,幼蟲,2017,345939,3826_9063
3826_265790,289500,2731500,Noctuidae,Acronicta pruinosa,成蟲,2017,345939,3826_10658
3826_293308,307500,2786500,Noctuidae,Acronicta pruinosa,成蟲,2017,345939,3826_11762
3826_197218,217500,2594500,Noctuidae,Acronicta pruinosa,成蟲,2017,345939,3826_7844
3826_276756,255500,2753500,Noctuidae,Acronicta pruinosa,幼蟲,2017,345939,3826_11052
3826_284325,324500,2768500,Noctuidae,Acronicta pruinosa,成蟲,2018,345939,3826_11365
3826_293303,302500,2786500,Noctuidae,Acronicta pruinosa,幼蟲,2018,345939,3826_11761
3826_292803,302500,2785500,Noctuidae,Acronicta pruinosa,幼蟲,2018,345939,3826_11761
3826_293308,307500,2786500,Noctuidae,Acronicta pruinosa,成蟲,2018,345939,3826_11762
3826_200229,228500,2600500,Noctuidae,Acronicta pruinosa,成蟲,2018,345939,3826_8046
3826_254738,237500,2709500,Noctuidae,Acronicta pruinosa,成蟲,2018,345939,3826_10148
3826_286321,320500,2772500,Noctuidae,Acronicta pruinosa,成蟲,2019,345939,3826_11465
3826_238794,293500,2677500,Noctuidae,Acronicta pruinosa,成蟲,2019,345939,3826_9559
3826_200220,219500,2600500,Noctuidae,Acronicta pruinosa,幼蟲,2019,345939,3826_8044
3826_197218,217500,2594500,Noctuidae,Acronicta pruinosa,成蟲,2019,345939,3826_7844
3826_198717,216500,2597500,Noctuidae,Acronicta pruinosa,成蟲,2019,345939,3826_7944
3826_281810,309500,2763500,Noctuidae,Acronicta pruinosa,成蟲,2019,345939,3826_11262
3826_285812,311500,2771500,Noctuidae,Acronicta pruinosa,幼蟲,2020,345939,3826_11463
3826_273796,295500,2747500,Noctuidae,Acronicta pruinosa,幼蟲,2020,345939,3826_10960
3826_291805,304500,2783500,Noctuidae,Acronicta pruinosa,成蟲,2014,345939,3826_11661
3826_291808,307500,2783500,Noctuidae,Acronicta pruinosa,幼蟲,2020,345939,3826_11662
3826_252738,237500,2705500,Noctuidae,Acronicta pruinosa,成蟲,2021,345939,3826_10148
