GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_114731,230500,2429500,Saturniidae,Actias sinensis subaurea,成蟲,2011,434105,3826_4547
3826_218230,229500,2636500,Saturniidae,Actias sinensis subaurea,成蟲,2011,434105,3826_8746
3826_291297,296500,2782500,Saturniidae,Actias sinensis subaurea,成蟲,2010,434105,3826_11660
3826_218230,229500,2636500,Saturniidae,Actias sinensis subaurea,成蟲,2012,434105,3826_8746
3826_114731,230500,2429500,Saturniidae,Actias sinensis subaurea,幼蟲,2010,434105,3826_4547
3826_224244,243500,2648500,Saturniidae,Actias sinensis subaurea,成蟲,2011,434105,3826_8949
3826_187200,199500,2574500,Saturniidae,Actias sinensis subaurea,成蟲,2011,434105,3826_7440
3826_240225,224500,2680500,Saturniidae,Actias sinensis subaurea,成蟲,2011,434105,3826_9645
3826_289803,302500,2779500,Saturniidae,Actias sinensis subaurea,幼蟲,2011,434105,3826_11561
3826_291329,328500,2782500,Saturniidae,Actias sinensis subaurea,成蟲,2010,434105,3826_11666
3826_265781,280500,2731500,Saturniidae,Actias sinensis subaurea,成蟲,2010,434105,3826_10657
3826_290802,301500,2781500,Saturniidae,Actias sinensis subaurea,成蟲,2012,434105,3826_11661
3826_291302,301500,2782500,Saturniidae,Actias sinensis subaurea,幼蟲,2012,434105,3826_11661
3826_238709,208500,2677500,Saturniidae,Actias sinensis subaurea,成蟲,2011,434105,3826_9542
3826_291801,300500,2783500,Saturniidae,Actias sinensis subaurea,成蟲,2012,434105,3826_11661
3826_279306,305500,2758500,Saturniidae,Actias sinensis subaurea,成蟲,2010,434105,3826_11162
3826_228759,258500,2657500,Saturniidae,Actias sinensis subaurea,成蟲,2012,434105,3826_9152
3826_234267,266500,2668500,Saturniidae,Actias sinensis subaurea,成蟲,2010,434105,3826_9354
3826_234267,266500,2668500,Saturniidae,Actias sinensis subaurea,成蟲,2011,434105,3826_9354
3826_250224,223500,2700500,Saturniidae,Actias sinensis subaurea,成蟲,2012,434105,3826_10045
3826_280316,315500,2760500,Saturniidae,Actias sinensis subaurea,成蟲,2012,434105,3826_11264
3826_266257,256500,2732500,Saturniidae,Actias sinensis subaurea,幼蟲,2013,434105,3826_10652
3826_152210,209500,2504500,Saturniidae,Actias sinensis subaurea,成蟲,2012,434105,3826_6042
3826_267778,277500,2735500,Saturniidae,Actias sinensis subaurea,成蟲,2013,434105,3826_10756
3826_224769,268500,2649500,Saturniidae,Actias sinensis subaurea,成蟲,2013,434105,3826_8954
3826_218230,229500,2636500,Saturniidae,Actias sinensis subaurea,成蟲,2014,434105,3826_8746
3826_293303,302500,2786500,Saturniidae,Actias sinensis subaurea,成蟲,2013,434105,3826_11761
3826_283807,306500,2767500,Saturniidae,Actias sinensis subaurea,成蟲,2013,434105,3826_11362
3826_182205,204500,2564500,Saturniidae,Actias sinensis subaurea,成蟲,2014,434105,3826_7241
3826_220810,309500,2641500,Saturniidae,Actias sinensis subaurea,成蟲,2014,434105,3826_8862
3826_217730,229500,2635500,Saturniidae,Actias sinensis subaurea,成蟲,2014,434105,3826_8746
3826_292305,304500,2784500,Saturniidae,Actias sinensis subaurea,成蟲,2014,434105,3826_11661
3826_293303,302500,2786500,Saturniidae,Actias sinensis subaurea,成蟲,2014,434105,3826_11761
3826_285304,303500,2770500,Saturniidae,Actias sinensis subaurea,成蟲,2014,434105,3826_11461
3826_197206,205500,2594500,Saturniidae,Actias sinensis subaurea,成蟲,2013,434105,3826_7842
3826_236712,211500,2673500,Saturniidae,Actias sinensis subaurea,成蟲,2014,434105,3826_9443
3826_275305,304500,2750500,Saturniidae,Actias sinensis subaurea,成蟲,2014,434105,3826_11061
3826_236738,237500,2673500,Saturniidae,Actias sinensis subaurea,成蟲,2014,434105,3826_9448
3826_236738,237500,2673500,Saturniidae,Actias sinensis subaurea,幼蟲,2014,434105,3826_9448
3826_269811,310500,2739500,Saturniidae,Actias sinensis subaurea,成蟲,2013,434105,3826_10763
3826_231705,204500,2663500,Saturniidae,Actias sinensis subaurea,成蟲,2014,434105,3826_9241
3826_282809,308500,2765500,Saturniidae,Actias sinensis subaurea,成蟲,2014,434105,3826_11362
3826_291806,305500,2783500,Saturniidae,Actias sinensis subaurea,成蟲,2014,434105,3826_11662
3826_187200,199500,2574500,Saturniidae,Actias sinensis subaurea,幼蟲,2012,434105,3826_7440
3826_158223,222500,2516500,Saturniidae,Actias sinensis subaurea,成蟲,2014,434105,3826_6345
3826_266769,268500,2733500,Saturniidae,Actias sinensis subaurea,成蟲,2014,434105,3826_10654
3826_184283,282500,2568500,Saturniidae,Actias sinensis subaurea,成蟲,2014,434105,3826_7357
3826_281309,308500,2762500,Saturniidae,Actias sinensis subaurea,成蟲,2014,434105,3826_11262
3826_224769,268500,2649500,Saturniidae,Actias sinensis subaurea,成蟲,2014,434105,3826_8954
3826_174221,220500,2548500,Saturniidae,Actias sinensis subaurea,成蟲,2015,434105,3826_6945
3826_220810,309500,2641500,Saturniidae,Actias sinensis subaurea,成蟲,2015,434105,3826_8862
3826_221310,309500,2642500,Saturniidae,Actias sinensis subaurea,成蟲,2015,434105,3826_8862
3826_291801,300500,2783500,Saturniidae,Actias sinensis subaurea,幼蟲,2014,434105,3826_11661
3826_266771,270500,2733500,Saturniidae,Actias sinensis subaurea,成蟲,2014,434105,3826_10655
3826_215255,254500,2630500,Saturniidae,Actias sinensis subaurea,成蟲,2014,434105,3826_8651
3826_271249,248500,2742500,Saturniidae,Actias sinensis subaurea,成蟲,2015,434105,3826_10850
3826_198198,197500,2596500,Saturniidae,Actias sinensis subaurea,成蟲,2015,434105,3826_7940
3826_291329,328500,2782500,Saturniidae,Actias sinensis subaurea,幼蟲,2011,434105,3826_11666
3826_212729,228500,2625500,Saturniidae,Actias sinensis subaurea,成蟲,2015,434105,3826_8546
3826_263784,283500,2727500,Saturniidae,Actias sinensis subaurea,成蟲,2015,434105,3826_10557
3826_265289,288500,2730500,Saturniidae,Actias sinensis subaurea,成蟲,2015,434105,3826_10658
3826_229765,264500,2659500,Saturniidae,Actias sinensis subaurea,成蟲,2015,434105,3826_9153
3826_264279,278500,2728500,Saturniidae,Actias sinensis subaurea,成蟲,2014,434105,3826_10556
3826_287274,273500,2774500,Saturniidae,Actias sinensis subaurea,成蟲,2015,434105,3826_11455
3826_217225,224500,2634500,Saturniidae,Actias sinensis subaurea,成蟲,2015,434105,3826_8645
3826_282784,283500,2765500,Saturniidae,Actias sinensis subaurea,成蟲,2015,434105,3826_11357
3826_186232,231500,2572500,Saturniidae,Actias sinensis subaurea,成蟲,2011,434105,3826_7447
3826_235707,206500,2671500,Saturniidae,Actias sinensis subaurea,成蟲,2012,434105,3826_9442
3826_238225,224500,2676500,Saturniidae,Actias sinensis subaurea,成蟲,2012,434105,3826_9545
3826_233219,218500,2666500,Saturniidae,Actias sinensis subaurea,卵,2012,434105,3826_9344
3826_227764,263500,2655500,Saturniidae,Actias sinensis subaurea,成蟲,2012,434105,3826_9153
3826_218230,229500,2636500,Saturniidae,Actias sinensis subaurea,成蟲,2015,434105,3826_8746
3826_265275,274500,2730500,Saturniidae,Actias sinensis subaurea,成蟲,2015,434105,3826_10655
