GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_275267,266500,2750500,Erebidae,Adrapsa ablualis,成蟲,2012,345943,3826_11054
3826_218230,229500,2636500,Erebidae,Adrapsa ablualis,成蟲,2012,345943,3826_8746
3826_273788,287500,2747500,Erebidae,Adrapsa ablualis,成蟲,2013,345943,3826_10958
3826_275267,266500,2750500,Erebidae,Adrapsa ablualis,成蟲,2013,345943,3826_11054
3826_272276,275500,2744500,Erebidae,Adrapsa ablualis,成蟲,2013,345943,3826_10856
3826_281309,308500,2762500,Erebidae,Adrapsa ablualis,成蟲,2013,345943,3826_11262
3826_287311,310500,2774500,Erebidae,Adrapsa ablualis,成蟲,2013,345943,3826_11463
3826_220810,309500,2641500,Erebidae,Adrapsa ablualis,成蟲,2014,345943,3826_8862
3826_272780,279500,2745500,Erebidae,Adrapsa ablualis,成蟲,2014,345943,3826_10956
3826_270777,276500,2741500,Erebidae,Adrapsa ablualis,成蟲,2014,345943,3826_10856
3826_270273,272500,2740500,Erebidae,Adrapsa ablualis,成蟲,2014,345943,3826_10855
3826_271279,278500,2742500,Erebidae,Adrapsa ablualis,成蟲,2014,345943,3826_10856
3826_298802,301500,2797500,Erebidae,Adrapsa ablualis,成蟲,2014,345943,3826_11961
3826_280304,303500,2760500,Erebidae,Adrapsa ablualis,成蟲,2015,345943,3826_11261
3826_221310,309500,2642500,Erebidae,Adrapsa ablualis,成蟲,2015,345943,3826_8862
3826_298802,301500,2797500,Erebidae,Adrapsa ablualis,成蟲,2015,345943,3826_11961
3826_272776,275500,2745500,Erebidae,Adrapsa ablualis,成蟲,2015,345943,3826_10956
3826_234267,266500,2668500,Erebidae,Adrapsa ablualis,成蟲,2010,345943,3826_9354
3826_234267,266500,2668500,Erebidae,Adrapsa ablualis,成蟲,2011,345943,3826_9354
3826_273788,287500,2747500,Erebidae,Adrapsa ablualis,成蟲,2012,345943,3826_10958
3826_284810,309500,2769500,Erebidae,Adrapsa ablualis,成蟲,2016,345943,3826_11362
3826_186781,280500,2573500,Erebidae,Adrapsa ablualis,成蟲,2016,345943,3826_7457
3826_293303,302500,2786500,Erebidae,Adrapsa ablualis,成蟲,2016,345943,3826_11761
3826_287843,342500,2775500,Erebidae,Adrapsa ablualis,成蟲,2016,345943,3826_11569
3826_282307,306500,2764500,Erebidae,Adrapsa ablualis,成蟲,2016,345943,3826_11262
3826_274334,333500,2748500,Erebidae,Adrapsa ablualis,成蟲,2016,345943,3826_10967
3826_155691,190500,2511500,Erebidae,Adrapsa ablualis,成蟲,2016,345943,3826_6239
3826_127238,237500,2454500,Erebidae,Adrapsa ablualis,成蟲,2016,345943,3826_5048
3826_287843,342500,2775500,Erebidae,Adrapsa ablualis,成蟲,2017,345943,3826_11569
3826_282307,306500,2764500,Erebidae,Adrapsa ablualis,成蟲,2017,345943,3826_11262
3826_252226,225500,2704500,Erebidae,Adrapsa ablualis,成蟲,2017,345943,3826_10046
3826_262249,248500,2724500,Erebidae,Adrapsa ablualis,成蟲,2017,345943,3826_10450
3826_284827,326500,2769500,Erebidae,Adrapsa ablualis,成蟲,2018,345943,3826_11366
3826_254738,237500,2709500,Erebidae,Adrapsa ablualis,成蟲,2018,345943,3826_10148
3826_282307,306500,2764500,Erebidae,Adrapsa ablualis,成蟲,2018,345943,3826_11262
3826_228252,251500,2656500,Erebidae,Adrapsa ablualis,成蟲,2018,345943,3826_9151
3826_286321,320500,2772500,Erebidae,Adrapsa ablualis,成蟲,2018,345943,3826_11465
3826_285830,329500,2771500,Erebidae,Adrapsa ablualis,成蟲,2018,345943,3826_11466
3826_253828,327500,2707500,Erebidae,Adrapsa ablualis,成蟲,2019,345943,3826_10166
3826_255743,242500,2711500,Erebidae,Adrapsa ablualis,成蟲,2018,345943,3826_10249
3826_269273,272500,2738500,Erebidae,Adrapsa ablualis,成蟲,2018,345943,3826_10755
3826_287294,293500,2774500,Erebidae,Adrapsa ablualis,成蟲,2019,345943,3826_11459
3826_251728,227500,2703500,Erebidae,Adrapsa ablualis,成蟲,2019,345943,3826_10046
3826_286823,322500,2773500,Erebidae,Adrapsa ablualis,成蟲,2019,345943,3826_11465
3826_289841,340500,2779500,Erebidae,Adrapsa ablualis,成蟲,2019,345943,3826_11569
3826_269811,310500,2739500,Erebidae,Adrapsa ablualis,成蟲,2019,345943,3826_10763
3826_257745,244500,2715500,Erebidae,Adrapsa ablualis,成蟲,2019,345943,3826_10349
3826_290310,309500,2780500,Erebidae,Adrapsa ablualis,成蟲,2013,345943,3826_11662
3826_281810,309500,2763500,Erebidae,Adrapsa ablualis,成蟲,2020,345943,3826_11262
3826_282307,306500,2764500,Erebidae,Adrapsa ablualis,成蟲,2020,345943,3826_11262
3826_275780,279500,2751500,Erebidae,Adrapsa ablualis,成蟲,2020,345943,3826_11056
3826_281313,312500,2762500,Erebidae,Adrapsa ablualis,成蟲,2021,345943,3826_11263
3826_283785,284500,2767500,Erebidae,Adrapsa ablualis,成蟲,2021,345943,3826_11357
3826_284809,308500,2769500,Erebidae,Adrapsa ablualis,成蟲,2021,345943,3826_11362
