GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_281810,309500,2763500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2012,344057,3826_11262
3826_204726,225500,2609500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2012,344057,3826_8146
3826_290309,308500,2780500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2012,344057,3826_11662
3826_244745,244500,2689500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2012,344057,3826_9749
3826_210713,212500,2621500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2013,344057,3826_8443
3826_264779,278500,2729500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2013,344057,3826_10556
3826_188716,215500,2577500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2013,344057,3826_7544
3826_280325,324500,2760500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2012,344057,3826_11265
3826_273788,287500,2747500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2012,344057,3826_10958
3826_266265,264500,2732500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2012,344057,3826_10653
3826_282806,305500,2765500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2013,344057,3826_11362
3826_259739,238500,2719500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2013,344057,3826_10348
3826_154199,198500,2508500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2013,344057,3826_6140
3826_282307,306500,2764500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2013,344057,3826_11262
3826_269811,310500,2739500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2014,344057,3826_10763
3826_170218,217500,2540500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2014,344057,3826_6844
3826_285818,317500,2771500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2014,344057,3826_11464
3826_219741,240500,2639500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2014,344057,3826_8749
3826_195211,210500,2590500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2014,344057,3826_7843
3826_170185,184500,2540500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2014,344057,3826_6837
3826_154714,213500,2509500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2014,344057,3826_6143
3826_221310,309500,2642500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2015,344057,3826_8862
3826_223302,301500,2646500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2014,344057,3826_8961
3826_271279,278500,2742500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2014,344057,3826_10856
3826_271271,270500,2742500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2015,344057,3826_10855
3826_287813,312500,2775500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2012,344057,3826_11563
3826_280316,315500,2760500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2015,344057,3826_11264
3826_205713,212500,2611500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2015,344057,3826_8243
3826_269762,261500,2739500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2015,344057,3826_10753
3826_269315,314500,2738500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2015,344057,3826_10763
3826_286801,300500,2773500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2015,344057,3826_11461
3826_266265,264500,2732500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2015,344057,3826_10653
3826_198220,219500,2596500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2015,344057,3826_7944
3826_274305,304500,2748500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2015,344057,3826_10961
3826_281344,343500,2762500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2015,344057,3826_11269
3826_289793,292500,2779500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2015,344057,3826_11559
3826_152675,174500,2505500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2015,344057,3826_6135
3826_282313,312500,2764500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2012,344057,3826_11263
3826_276317,316500,2752500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2012,344057,3826_11064
3826_275306,305500,2750500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2012,344057,3826_11062
3826_281810,309500,2763500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2015,344057,3826_11262
3826_285313,312500,2770500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2016,344057,3826_11463
3826_261827,326500,2723500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2015,344057,3826_10466
3826_285830,329500,2771500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2016,344057,3826_11466
3826_221802,301500,2643500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2016,344057,3826_8861
3826_252226,225500,2704500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2015,344057,3826_10046
3826_218727,226500,2637500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2016,344057,3826_8746
3826_165724,223500,2531500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2016,344057,3826_6645
3826_267279,278500,2734500,Crambidae,Aethaloessa calidalis tiphalis,成蟲,2016,344057,3826_10656
