GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_279306,305500,2758500,Geometridae,Agaraeus discolor,成蟲,2012,344611,3826_11162
3826_254805,304500,2709500,Geometridae,Agaraeus discolor,成蟲,2012,344611,3826_10161
3826_276808,307500,2753500,Geometridae,Agaraeus discolor,成蟲,2012,344611,3826_11062
3826_219243,242500,2638500,Geometridae,Agaraeus discolor,成蟲,2012,344611,3826_8749
3826_175725,224500,2551500,Geometridae,Agaraeus discolor,成蟲,2013,344611,3826_7045
3826_272776,275500,2745500,Geometridae,Agaraeus discolor,成蟲,2012,344611,3826_10956
3826_139724,223500,2479500,Geometridae,Agaraeus discolor,成蟲,2014,344611,3826_5545
3826_281810,309500,2763500,Geometridae,Agaraeus discolor,成蟲,2014,344611,3826_11262
3826_240730,229500,2681500,Geometridae,Agaraeus discolor,成蟲,2014,344611,3826_9646
3826_259784,283500,2719500,Geometridae,Agaraeus discolor,成蟲,2014,344611,3826_10357
3826_264279,278500,2728500,Geometridae,Agaraeus discolor,成蟲,2014,344611,3826_10556
3826_273788,287500,2747500,Geometridae,Agaraeus discolor,成蟲,2012,344611,3826_10958
3826_158223,222500,2516500,Geometridae,Agaraeus discolor,成蟲,2016,344611,3826_6345
3826_213711,210500,2627500,Geometridae,Agaraeus discolor,成蟲,2016,344611,3826_8543
3826_273788,287500,2747500,Geometridae,Agaraeus discolor,成蟲,2013,344611,3826_10958
3826_166722,221500,2533500,Geometridae,Agaraeus discolor,成蟲,2016,344611,3826_6645
3826_238794,293500,2677500,Geometridae,Agaraeus discolor,成蟲,2013,344611,3826_9559
3826_275306,305500,2750500,Geometridae,Agaraeus discolor,成蟲,2016,344611,3826_11062
3826_277327,326500,2754500,Geometridae,Agaraeus discolor,成蟲,2016,344611,3826_11066
3826_222739,238500,2645500,Geometridae,Agaraeus discolor,成蟲,2017,344611,3826_8948
3826_237228,227500,2674500,Geometridae,Agaraeus discolor,成蟲,2017,344611,3826_9446
3826_281810,309500,2763500,Geometridae,Agaraeus discolor,成蟲,2017,344611,3826_11262
3826_232753,252500,2665500,Geometridae,Agaraeus discolor,成蟲,2017,344611,3826_9351
3826_228252,251500,2656500,Geometridae,Agaraeus discolor,幼蟲,2018,344611,3826_9151
3826_154218,217500,2508500,Geometridae,Agaraeus discolor,成蟲,2019,344611,3826_6144
3826_236809,308500,2673500,Geometridae,Agaraeus discolor,成蟲,2011,344611,3826_9462
3826_266265,264500,2732500,Geometridae,Agaraeus discolor,成蟲,2019,344611,3826_10653
3826_281820,319500,2763500,Geometridae,Agaraeus discolor,成蟲,2014,344611,3826_11264
3826_187199,198500,2574500,Geometridae,Agaraeus discolor,成蟲,2010,344611,3826_7440
3826_273786,285500,2747500,Geometridae,Agaraeus discolor,成蟲,2019,344611,3826_10958
3826_225263,262500,2650500,Geometridae,Agaraeus discolor,成蟲,2019,344611,3826_9053
3826_272276,275500,2744500,Geometridae,Agaraeus discolor,成蟲,2019,344611,3826_10856
3826_265773,272500,2731500,Geometridae,Agaraeus discolor,成蟲,2019,344611,3826_10655
3826_198717,216500,2597500,Geometridae,Agaraeus discolor,成蟲,2019,344611,3826_7944
3826_225219,218500,2650500,Geometridae,Agaraeus discolor,成蟲,2018,344611,3826_9044
3826_280815,314500,2761500,Geometridae,Agaraeus discolor,幼蟲,2013,344611,3826_11263
3826_154218,217500,2508500,Geometridae,Agaraeus discolor,成蟲,2020,344611,3826_6144
3826_272276,275500,2744500,Geometridae,Agaraeus discolor,成蟲,2020,344611,3826_10856
3826_238794,293500,2677500,Geometridae,Agaraeus discolor,成蟲,2020,344611,3826_9559
3826_280805,304500,2761500,Geometridae,Agaraeus discolor,成蟲,2020,344611,3826_11261
3826_170218,217500,2540500,Geometridae,Agaraeus discolor,成蟲,2014,344611,3826_6844
3826_281810,309500,2763500,Geometridae,Agaraeus discolor,成蟲,2020,344611,3826_11262
3826_243237,236500,2686500,Geometridae,Agaraeus discolor,成蟲,2020,344611,3826_9748
3826_241751,250500,2683500,Geometridae,Agaraeus discolor,成蟲,2020,344611,3826_9651
3826_279301,300500,2758500,Geometridae,Agaraeus discolor,幼蟲,2020,344611,3826_11161
3826_279301,300500,2758500,Geometridae,Agaraeus discolor,幼蟲,2021,344611,3826_11161
3826_276808,307500,2753500,Geometridae,Agaraeus discolor,成蟲,2021,344611,3826_11062
3826_279301,300500,2758500,Geometridae,Agaraeus discolor,成蟲,2021,344611,3826_11161
3826_280304,303500,2760500,Geometridae,Agaraeus discolor,成蟲,2021,344611,3826_11261
3826_281310,309500,2762500,Geometridae,Agaraeus discolor,成蟲,2021,344611,3826_11262
3826_281810,309500,2763500,Geometridae,Agaraeus discolor,成蟲,2021,344611,3826_11262
3826_272276,275500,2744500,Geometridae,Agaraeus discolor,成蟲,2021,344611,3826_10856
3826_273788,287500,2747500,Geometridae,Agaraeus discolor,成蟲,2020,344611,3826_10958
3826_278801,300500,2757500,Geometridae,Agaraeus discolor,成蟲,2021,344611,3826_11161
3826_238794,293500,2677500,Geometridae,Agaraeus discolor,成蟲,2021,344611,3826_9559
3826_236809,308500,2673500,Geometridae,Agaraeus discolor,成蟲,2012,344611,3826_9462
3826_159757,256500,2519500,Geometridae,Agaraeus discolor,成蟲,2022,344611,3826_6352
3826_154750,249500,2509500,Geometridae,Agaraeus discolor,成蟲,2022,344611,3826_6150
3826_269273,272500,2738500,Geometridae,Agaraeus discolor,成蟲,2022,344611,3826_10755
