GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_274810,309500,2749500,Geometridae,Agathia laetata,成蟲,2012,344616,3826_10962
3826_279306,305500,2758500,Geometridae,Agathia laetata,成蟲,2012,344616,3826_11162
3826_278806,305500,2757500,Geometridae,Agathia laetata,成蟲,2012,344616,3826_11162
3826_292305,304500,2784500,Geometridae,Agathia laetata,成蟲,2012,344616,3826_11661
3826_272277,276500,2744500,Geometridae,Agathia laetata,成蟲,2012,344616,3826_10856
3826_273788,287500,2747500,Geometridae,Agathia laetata,成蟲,2012,344616,3826_10958
3826_276808,307500,2753500,Geometridae,Agathia laetata,成蟲,2012,344616,3826_11062
3826_273304,303500,2746500,Geometridae,Agathia laetata,成蟲,2012,344616,3826_10961
3826_237248,247500,2674500,Geometridae,Agathia laetata,幼蟲,2012,344616,3826_9450
3826_280304,303500,2760500,Geometridae,Agathia laetata,成蟲,2012,344616,3826_11261
3826_272276,275500,2744500,Geometridae,Agathia laetata,成蟲,2012,344616,3826_10856
3826_262327,326500,2724500,Geometridae,Agathia laetata,成蟲,2012,344616,3826_10466
3826_281309,308500,2762500,Geometridae,Agathia laetata,成蟲,2013,344616,3826_11262
3826_272277,276500,2744500,Geometridae,Agathia laetata,成蟲,2013,344616,3826_10856
3826_273280,279500,2746500,Geometridae,Agathia laetata,成蟲,2013,344616,3826_10956
3826_281810,309500,2763500,Geometridae,Agathia laetata,成蟲,2013,344616,3826_11262
3826_281301,300500,2762500,Geometridae,Agathia laetata,成蟲,2013,344616,3826_11261
3826_226305,304500,2652500,Geometridae,Agathia laetata,成蟲,2013,344616,3826_9061
3826_279306,305500,2758500,Geometridae,Agathia laetata,成蟲,2013,344616,3826_11162
3826_291329,328500,2782500,Geometridae,Agathia laetata,成蟲,2013,344616,3826_11666
3826_282313,312500,2764500,Geometridae,Agathia laetata,成蟲,2013,344616,3826_11263
3826_280787,286500,2761500,Geometridae,Agathia laetata,成蟲,2013,344616,3826_11258
3826_273304,303500,2746500,Geometridae,Agathia laetata,成蟲,2013,344616,3826_10961
3826_269811,310500,2739500,Geometridae,Agathia laetata,成蟲,2013,344616,3826_10763
3826_261333,332500,2722500,Geometridae,Agathia laetata,成蟲,2013,344616,3826_10467
3826_266771,270500,2733500,Geometridae,Agathia laetata,成蟲,2013,344616,3826_10655
3826_282820,319500,2765500,Geometridae,Agathia laetata,成蟲,2013,344616,3826_11364
3826_273826,325500,2747500,Geometridae,Agathia laetata,成蟲,2013,344616,3826_10966
3826_272776,275500,2745500,Geometridae,Agathia laetata,成蟲,2012,344616,3826_10956
3826_154218,217500,2508500,Geometridae,Agathia laetata,成蟲,2013,344616,3826_6144
3826_280316,315500,2760500,Geometridae,Agathia laetata,成蟲,2013,344616,3826_11264
3826_272276,275500,2744500,Geometridae,Agathia laetata,成蟲,2013,344616,3826_10856
3826_150219,218500,2500500,Geometridae,Agathia laetata,成蟲,2013,344616,3826_6044
3826_224244,243500,2648500,Geometridae,Agathia laetata,成蟲,2013,344616,3826_8949
3826_281820,319500,2763500,Geometridae,Agathia laetata,成蟲,2013,344616,3826_11264
3826_209219,218500,2618500,Geometridae,Agathia laetata,成蟲,2013,344616,3826_8344
3826_273804,303500,2747500,Geometridae,Agathia laetata,成蟲,2013,344616,3826_10961
3826_288825,324500,2777500,Geometridae,Agathia laetata,成蟲,2013,344616,3826_11565
