GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_187200,199500,2574500,Crambidae,Agrioglypta itysalis,成蟲,2011,428110,3826_7440
3826_187200,199500,2574500,Crambidae,Agrioglypta itysalis,成蟲,2012,428110,3826_7440
3826_204726,225500,2609500,Crambidae,Agrioglypta itysalis,成蟲,2012,428110,3826_8146
3826_288310,309500,2776500,Crambidae,Agrioglypta itysalis,成蟲,2012,428110,3826_11562
3826_284310,309500,2768500,Crambidae,Agrioglypta itysalis,成蟲,2012,428110,3826_11362
3826_281810,309500,2763500,Crambidae,Agrioglypta itysalis,成蟲,2013,428110,3826_11262
3826_210713,212500,2621500,Crambidae,Agrioglypta itysalis,成蟲,2013,428110,3826_8443
3826_188716,215500,2577500,Crambidae,Agrioglypta itysalis,成蟲,2013,428110,3826_7544
3826_269312,311500,2738500,Crambidae,Agrioglypta itysalis,成蟲,2013,428110,3826_10763
3826_275307,306500,2750500,Crambidae,Agrioglypta itysalis,成蟲,2012,428110,3826_11062
3826_273788,287500,2747500,Crambidae,Agrioglypta itysalis,成蟲,2013,428110,3826_10958
3826_273788,287500,2747500,Crambidae,Agrioglypta itysalis,成蟲,2012,428110,3826_10958
3826_284309,308500,2768500,Crambidae,Agrioglypta itysalis,成蟲,2012,428110,3826_11362
3826_273826,325500,2747500,Crambidae,Agrioglypta itysalis,成蟲,2013,428110,3826_10966
3826_259800,299500,2719500,Crambidae,Agrioglypta itysalis,成蟲,2013,428110,3826_10360
3826_272276,275500,2744500,Crambidae,Agrioglypta itysalis,成蟲,2013,428110,3826_10856
3826_283807,306500,2767500,Crambidae,Agrioglypta itysalis,成蟲,2013,428110,3826_11362
3826_281306,305500,2762500,Crambidae,Agrioglypta itysalis,成蟲,2013,428110,3826_11262
3826_289336,335500,2778500,Crambidae,Agrioglypta itysalis,成蟲,2013,428110,3826_11568
3826_220810,309500,2641500,Crambidae,Agrioglypta itysalis,成蟲,2014,428110,3826_8862
3826_282307,306500,2764500,Crambidae,Agrioglypta itysalis,成蟲,2014,428110,3826_11262
3826_281820,319500,2763500,Crambidae,Agrioglypta itysalis,成蟲,2013,428110,3826_11264
3826_212229,228500,2624500,Crambidae,Agrioglypta itysalis,成蟲,2013,428110,3826_8446
3826_161256,255500,2522500,Crambidae,Agrioglypta itysalis,成蟲,2014,428110,3826_6452
3826_283807,306500,2767500,Crambidae,Agrioglypta itysalis,成蟲,2014,428110,3826_11362
3826_237309,308500,2674500,Crambidae,Agrioglypta itysalis,成蟲,2014,428110,3826_9462
3826_286317,316500,2772500,Crambidae,Agrioglypta itysalis,成蟲,2014,428110,3826_11464
3826_227745,244500,2655500,Crambidae,Agrioglypta itysalis,成蟲,2014,428110,3826_9149
3826_282307,306500,2764500,Crambidae,Agrioglypta itysalis,成蟲,2015,428110,3826_11262
3826_281810,309500,2763500,Crambidae,Agrioglypta itysalis,成蟲,2014,428110,3826_11262
3826_281301,300500,2762500,Crambidae,Agrioglypta itysalis,成蟲,2014,428110,3826_11261
3826_294816,315500,2789500,Crambidae,Agrioglypta itysalis,成蟲,2014,428110,3826_11764
3826_223302,301500,2646500,Crambidae,Agrioglypta itysalis,成蟲,2014,428110,3826_8961
3826_295316,315500,2790500,Crambidae,Agrioglypta itysalis,成蟲,2013,428110,3826_11864
3826_173699,198500,2547500,Crambidae,Agrioglypta itysalis,成蟲,2014,428110,3826_6940
3826_288310,309500,2776500,Crambidae,Agrioglypta itysalis,成蟲,2014,428110,3826_11562
3826_293308,307500,2786500,Crambidae,Agrioglypta itysalis,成蟲,2015,428110,3826_11762
3826_298802,301500,2797500,Crambidae,Agrioglypta itysalis,成蟲,2015,428110,3826_11961
3826_287813,312500,2775500,Crambidae,Agrioglypta itysalis,成蟲,2014,428110,3826_11563
3826_293303,302500,2786500,Crambidae,Agrioglypta itysalis,成蟲,2015,428110,3826_11761
3826_280304,303500,2760500,Crambidae,Agrioglypta itysalis,成蟲,2015,428110,3826_11261
3826_187200,199500,2574500,Crambidae,Agrioglypta itysalis,成蟲,2015,428110,3826_7440
3826_279306,305500,2758500,Crambidae,Agrioglypta itysalis,成蟲,2012,428110,3826_11162
3826_253327,326500,2706500,Crambidae,Agrioglypta itysalis,成蟲,2015,428110,3826_10166
3826_281844,343500,2763500,Crambidae,Agrioglypta itysalis,成蟲,2015,428110,3826_11269
3826_279306,305500,2758500,Crambidae,Agrioglypta itysalis,成蟲,2014,428110,3826_11162
3826_294320,319500,2788500,Crambidae,Agrioglypta itysalis,成蟲,2015,428110,3826_11764
3826_291802,301500,2783500,Crambidae,Agrioglypta itysalis,成蟲,2015,428110,3826_11661
3826_283807,306500,2767500,Crambidae,Agrioglypta itysalis,成蟲,2015,428110,3826_11362
3826_218230,229500,2636500,Crambidae,Agrioglypta itysalis,成蟲,2011,428110,3826_8746
3826_263798,297500,2727500,Crambidae,Agrioglypta itysalis,成蟲,2015,428110,3826_10560
3826_293310,309500,2786500,Crambidae,Agrioglypta itysalis,成蟲,2015,428110,3826_11762
3826_259800,299500,2719500,Crambidae,Agrioglypta itysalis,成蟲,2015,428110,3826_10360
3826_286333,332500,2772500,Crambidae,Agrioglypta itysalis,成蟲,2015,428110,3826_11467
3826_261831,330500,2723500,Crambidae,Agrioglypta itysalis,成蟲,2015,428110,3826_10467
