GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_283807,306500,2767500,Geometridae,Amblychia angeronaria,成蟲,2011,344637,3826_11362
3826_128729,228500,2457500,Geometridae,Amblychia angeronaria,成蟲,2011,344637,3826_5146
3826_219243,242500,2638500,Geometridae,Amblychia angeronaria,成蟲,2012,344637,3826_8749
3826_224244,243500,2648500,Geometridae,Amblychia angeronaria,成蟲,2012,344637,3826_8949
3826_221805,304500,2643500,Geometridae,Amblychia angeronaria,成蟲,2012,344637,3826_8861
3826_273304,303500,2746500,Geometridae,Amblychia angeronaria,成蟲,2012,344637,3826_10961
3826_273796,295500,2747500,Geometridae,Amblychia angeronaria,成蟲,2012,344637,3826_10960
3826_226225,224500,2652500,Geometridae,Amblychia angeronaria,成蟲,2012,344637,3826_9045
3826_263798,297500,2727500,Geometridae,Amblychia angeronaria,成蟲,2012,344637,3826_10560
3826_272786,285500,2745500,Geometridae,Amblychia angeronaria,成蟲,2012,344637,3826_10958
3826_204726,225500,2609500,Geometridae,Amblychia angeronaria,成蟲,2012,344637,3826_8146
3826_273788,287500,2747500,Geometridae,Amblychia angeronaria,成蟲,2012,344637,3826_10958
3826_263294,293500,2726500,Geometridae,Amblychia angeronaria,成蟲,2012,344637,3826_10559
3826_276808,307500,2753500,Geometridae,Amblychia angeronaria,成蟲,2012,344637,3826_11062
3826_236738,237500,2673500,Geometridae,Amblychia angeronaria,成蟲,2012,344637,3826_9448
3826_273792,291500,2747500,Geometridae,Amblychia angeronaria,成蟲,2012,344637,3826_10959
3826_152714,213500,2505500,Geometridae,Amblychia angeronaria,成蟲,2018,344637,3826_6143
3826_272277,276500,2744500,Geometridae,Amblychia angeronaria,成蟲,2012,344637,3826_10856
3826_219244,243500,2638500,Geometridae,Amblychia angeronaria,成蟲,2012,344637,3826_8749
3826_278825,324500,2757500,Geometridae,Amblychia angeronaria,幼蟲,2012,344637,3826_11165
3826_272277,276500,2744500,Geometridae,Amblychia angeronaria,成蟲,2013,344637,3826_10856
3826_210713,212500,2621500,Geometridae,Amblychia angeronaria,成蟲,2013,344637,3826_8443
3826_188716,215500,2577500,Geometridae,Amblychia angeronaria,成蟲,2013,344637,3826_7544
3826_217730,229500,2635500,Geometridae,Amblychia angeronaria,成蟲,2013,344637,3826_8746
3826_226305,304500,2652500,Geometridae,Amblychia angeronaria,成蟲,2013,344637,3826_9061
3826_150219,218500,2500500,Geometridae,Amblychia angeronaria,成蟲,2013,344637,3826_6044
3826_267778,277500,2735500,Geometridae,Amblychia angeronaria,成蟲,2013,344637,3826_10756
3826_269280,279500,2738500,Geometridae,Amblychia angeronaria,成蟲,2013,344637,3826_10756
3826_152210,209500,2504500,Geometridae,Amblychia angeronaria,幼蟲,2013,344637,3826_6042
3826_152210,209500,2504500,Geometridae,Amblychia angeronaria,成蟲,2013,344637,3826_6042
3826_154218,217500,2508500,Geometridae,Amblychia angeronaria,成蟲,2013,344637,3826_6144
3826_253332,331500,2706500,Geometridae,Amblychia angeronaria,成蟲,2013,344637,3826_10167
3826_269811,310500,2739500,Geometridae,Amblychia angeronaria,成蟲,2013,344637,3826_10763
3826_294316,315500,2788500,Geometridae,Amblychia angeronaria,成蟲,2013,344637,3826_11764
3826_209230,229500,2618500,Geometridae,Amblychia angeronaria,成蟲,2013,344637,3826_8346
3826_263260,259500,2726500,Geometridae,Amblychia angeronaria,成蟲,2014,344637,3826_10552
3826_271279,278500,2742500,Geometridae,Amblychia angeronaria,成蟲,2014,344637,3826_10856
3826_263252,251500,2726500,Geometridae,Amblychia angeronaria,成蟲,2016,344637,3826_10551
3826_227258,257500,2654500,Geometridae,Amblychia angeronaria,成蟲,2014,344637,3826_9052
3826_273304,303500,2746500,Geometridae,Amblychia angeronaria,成蟲,2014,344637,3826_10961
3826_213225,224500,2626500,Geometridae,Amblychia angeronaria,成蟲,2014,344637,3826_8545
3826_269811,310500,2739500,Geometridae,Amblychia angeronaria,成蟲,2012,344637,3826_10763
3826_206209,208500,2612500,Geometridae,Amblychia angeronaria,成蟲,2014,344637,3826_8242
3826_290829,328500,2781500,Geometridae,Amblychia angeronaria,成蟲,2014,344637,3826_11666
3826_225251,250500,2650500,Geometridae,Amblychia angeronaria,成蟲,2014,344637,3826_9051
3826_281301,300500,2762500,Geometridae,Amblychia angeronaria,成蟲,2014,344637,3826_11261
3826_197218,217500,2594500,Geometridae,Amblychia angeronaria,成蟲,2014,344637,3826_7844
3826_282300,299500,2764500,Geometridae,Amblychia angeronaria,成蟲,2014,344637,3826_11260
3826_283807,306500,2767500,Geometridae,Amblychia angeronaria,成蟲,2014,344637,3826_11362
3826_273826,325500,2747500,Geometridae,Amblychia angeronaria,成蟲,2014,344637,3826_10966
3826_265289,288500,2730500,Geometridae,Amblychia angeronaria,成蟲,2014,344637,3826_10658
3826_273804,303500,2747500,Geometridae,Amblychia angeronaria,成蟲,2014,344637,3826_10961
3826_228264,263500,2656500,Geometridae,Amblychia angeronaria,成蟲,2014,344637,3826_9153
3826_270801,300500,2741500,Geometridae,Amblychia angeronaria,成蟲,2014,344637,3826_10861
3826_252226,225500,2704500,Geometridae,Amblychia angeronaria,成蟲,2012,344637,3826_10046
