GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_273788,287500,2747500,Crambidae,Analthes taihokualis,成蟲,2012,344066,3826_10958
3826_273788,287500,2747500,Crambidae,Analthes taihokualis,成蟲,2013,344066,3826_10958
3826_269811,310500,2739500,Crambidae,Analthes taihokualis,成蟲,2013,344066,3826_10763
3826_275267,266500,2750500,Crambidae,Analthes taihokualis,成蟲,2014,344066,3826_11054
3826_272776,275500,2745500,Crambidae,Analthes taihokualis,成蟲,2014,344066,3826_10956
3826_269315,314500,2738500,Crambidae,Analthes taihokualis,成蟲,2014,344066,3826_10763
3826_280787,286500,2761500,Crambidae,Analthes taihokualis,成蟲,2013,344066,3826_11258
3826_173699,198500,2547500,Crambidae,Analthes taihokualis,成蟲,2014,344066,3826_6940
3826_270801,300500,2741500,Crambidae,Analthes taihokualis,成蟲,2015,344066,3826_10861
3826_218230,229500,2636500,Crambidae,Analthes taihokualis,成蟲,2012,344066,3826_8746
3826_281810,309500,2763500,Crambidae,Analthes taihokualis,成蟲,2016,344066,3826_11262
3826_287843,342500,2775500,Crambidae,Analthes taihokualis,成蟲,2016,344066,3826_11569
3826_269811,310500,2739500,Crambidae,Analthes taihokualis,成蟲,2016,344066,3826_10763
3826_289809,308500,2779500,Crambidae,Analthes taihokualis,成蟲,2016,344066,3826_11562
3826_224749,248500,2649500,Crambidae,Analthes taihokualis,成蟲,2017,344066,3826_8950
3826_285313,312500,2770500,Crambidae,Analthes taihokualis,成蟲,2017,344066,3826_11463
3826_190782,281500,2581500,Crambidae,Analthes taihokualis,成蟲,2016,344066,3826_7657
3826_276802,301500,2753500,Crambidae,Analthes taihokualis,成蟲,2017,344066,3826_11061
3826_237746,245500,2675500,Crambidae,Analthes taihokualis,幼蟲,2017,344066,3826_9550
3826_154218,217500,2508500,Crambidae,Analthes taihokualis,成蟲,2018,344066,3826_6144
3826_266265,264500,2732500,Crambidae,Analthes taihokualis,成蟲,2018,344066,3826_10653
3826_266755,254500,2733500,Crambidae,Analthes taihokualis,成蟲,2018,344066,3826_10651
3826_280320,319500,2760500,Crambidae,Analthes taihokualis,成蟲,2018,344066,3826_11264
3826_222739,238500,2645500,Crambidae,Analthes taihokualis,成蟲,2018,344066,3826_8948
3826_257253,252500,2714500,Crambidae,Analthes taihokualis,成蟲,2018,344066,3826_10251
3826_252833,332500,2705500,Crambidae,Analthes taihokualis,成蟲,2018,344066,3826_10167
3826_276802,301500,2753500,Crambidae,Analthes taihokualis,成蟲,2016,344066,3826_11061
3826_255743,242500,2711500,Crambidae,Analthes taihokualis,成蟲,2018,344066,3826_10249
3826_154218,217500,2508500,Crambidae,Analthes taihokualis,成蟲,2014,344066,3826_6144
3826_277327,326500,2754500,Crambidae,Analthes taihokualis,成蟲,2016,344066,3826_11066
3826_265773,272500,2731500,Crambidae,Analthes taihokualis,成蟲,2019,344066,3826_10655
3826_216751,250500,2633500,Crambidae,Analthes taihokualis,成蟲,2013,344066,3826_8651
3826_280319,318500,2760500,Crambidae,Analthes taihokualis,成蟲,2019,344066,3826_11264
3826_276802,301500,2753500,Crambidae,Analthes taihokualis,成蟲,2019,344066,3826_11061
3826_237228,227500,2674500,Crambidae,Analthes taihokualis,成蟲,2013,344066,3826_9446
3826_274305,304500,2748500,Crambidae,Analthes taihokualis,成蟲,2020,344066,3826_10961
3826_276802,301500,2753500,Crambidae,Analthes taihokualis,成蟲,2015,344066,3826_11061
3826_288835,334500,2777500,Crambidae,Analthes taihokualis,成蟲,2021,344066,3826_11567
3826_269811,310500,2739500,Crambidae,Analthes taihokualis,成蟲,2021,344066,3826_10763
3826_284809,308500,2769500,Crambidae,Analthes taihokualis,成蟲,2020,344066,3826_11362
3826_269273,272500,2738500,Crambidae,Analthes taihokualis,成蟲,2022,344066,3826_10755
3826_266271,270500,2732500,Crambidae,Analthes taihokualis,成蟲,2022,344066,3826_10655
