GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_281312,311500,2762500,Endromidae,Andraca theae,成蟲,2011,343973,3826_11263
3826_293302,301500,2786500,Endromidae,Andraca theae,成蟲,2011,343973,3826_11761
3826_281310,309500,2762500,Endromidae,Andraca theae,幼蟲,2011,343973,3826_11262
3826_291329,328500,2782500,Endromidae,Andraca theae,幼蟲,2011,343973,3826_11666
3826_224244,243500,2648500,Endromidae,Andraca theae,成蟲,2012,343973,3826_8949
3826_219243,242500,2638500,Endromidae,Andraca theae,成蟲,2012,343973,3826_8749
3826_290310,309500,2780500,Endromidae,Andraca theae,幼蟲,2012,343973,3826_11662
3826_291805,304500,2783500,Endromidae,Andraca theae,幼蟲,2012,343973,3826_11661
3826_287813,312500,2775500,Endromidae,Andraca theae,成蟲,2012,343973,3826_11563
3826_286791,290500,2773500,Endromidae,Andraca theae,幼蟲,2012,343973,3826_11459
3826_273792,291500,2747500,Endromidae,Andraca theae,成蟲,2012,343973,3826_10959
3826_281820,319500,2763500,Endromidae,Andraca theae,幼蟲,2012,343973,3826_11264
3826_220244,243500,2640500,Endromidae,Andraca theae,幼蟲,2012,343973,3826_8849
3826_275774,273500,2751500,Endromidae,Andraca theae,成蟲,2012,343973,3826_11055
3826_293310,309500,2786500,Endromidae,Andraca theae,幼蟲,2012,343973,3826_11762
3826_281294,293500,2762500,Endromidae,Andraca theae,幼蟲,2012,343973,3826_11259
3826_290826,325500,2781500,Endromidae,Andraca theae,成蟲,2013,343973,3826_11666
3826_189703,202500,2579500,Endromidae,Andraca theae,幼蟲,2012,343973,3826_7541
3826_292307,306500,2784500,Endromidae,Andraca theae,成蟲,2013,343973,3826_11662
3826_209230,229500,2618500,Endromidae,Andraca theae,幼蟲,2013,343973,3826_8346
3826_290310,309500,2780500,Endromidae,Andraca theae,成蟲,2013,343973,3826_11662
3826_293303,302500,2786500,Endromidae,Andraca theae,成蟲,2012,343973,3826_11761
3826_280809,308500,2761500,Endromidae,Andraca theae,幼蟲,2013,343973,3826_11262
3826_287290,289500,2774500,Endromidae,Andraca theae,幼蟲,2014,343973,3826_11458
3826_289826,325500,2779500,Endromidae,Andraca theae,幼蟲,2013,343973,3826_11566
3826_290805,304500,2781500,Endromidae,Andraca theae,幼蟲,2013,343973,3826_11661
3826_290310,309500,2780500,Endromidae,Andraca theae,幼蟲,2013,343973,3826_11662
3826_238752,251500,2677500,Endromidae,Andraca theae,成蟲,2013,343973,3826_9551
3826_214744,243500,2629500,Endromidae,Andraca theae,卵,2013,343973,3826_8549
3826_276297,296500,2752500,Endromidae,Andraca theae,幼蟲,2013,343973,3826_11060
3826_281800,299500,2763500,Endromidae,Andraca theae,幼蟲,2014,343973,3826_11260
3826_288808,307500,2777500,Endromidae,Andraca theae,幼蟲,2014,343973,3826_11562
3826_280787,286500,2761500,Endromidae,Andraca theae,成蟲,2013,343973,3826_11258
3826_199206,205500,2598500,Endromidae,Andraca theae,成蟲,2013,343973,3826_7942
3826_287813,312500,2775500,Endromidae,Andraca theae,成蟲,2014,343973,3826_11563
3826_289825,324500,2779500,Endromidae,Andraca theae,幼蟲,2014,343973,3826_11565
3826_281309,308500,2762500,Endromidae,Andraca theae,幼蟲,2013,343973,3826_11262
3826_281810,309500,2763500,Endromidae,Andraca theae,幼蟲,2013,343973,3826_11262
3826_273325,324500,2746500,Endromidae,Andraca theae,幼蟲,2014,343973,3826_10965
3826_292307,306500,2784500,Endromidae,Andraca theae,幼蟲,2014,343973,3826_11662
3826_165269,268500,2530500,Endromidae,Andraca theae,幼蟲,2014,343973,3826_6654
3826_196208,207500,2592500,Endromidae,Andraca theae,幼蟲,2014,343973,3826_7842
3826_189202,201500,2578500,Endromidae,Andraca theae,幼蟲,2014,343973,3826_7541
3826_224769,268500,2649500,Endromidae,Andraca theae,幼蟲,2014,343973,3826_8954
3826_276808,307500,2753500,Endromidae,Andraca theae,成蟲,2013,343973,3826_11062
3826_281312,311500,2762500,Endromidae,Andraca theae,成蟲,2014,343973,3826_11263
3826_294310,309500,2788500,Endromidae,Andraca theae,幼蟲,2014,343973,3826_11762
3826_281810,309500,2763500,Endromidae,Andraca theae,幼蟲,2015,343973,3826_11262
3826_263260,259500,2726500,Endromidae,Andraca theae,成蟲,2015,343973,3826_10552
3826_263260,259500,2726500,Endromidae,Andraca theae,幼蟲,2015,343973,3826_10552
3826_276793,292500,2753500,Endromidae,Andraca theae,成蟲,2015,343973,3826_11059
3826_270802,301500,2741500,Endromidae,Andraca theae,成蟲,2014,343973,3826_10861
3826_281820,319500,2763500,Endromidae,Andraca theae,成蟲,2014,343973,3826_11264
3826_273304,303500,2746500,Endromidae,Andraca theae,幼蟲,2014,343973,3826_10961
3826_285313,312500,2770500,Endromidae,Andraca theae,幼蟲,2014,343973,3826_11463
3826_295802,301500,2791500,Endromidae,Andraca theae,成蟲,2015,343973,3826_11861
3826_288310,309500,2776500,Endromidae,Andraca theae,成蟲,2014,343973,3826_11562
3826_282313,312500,2764500,Endromidae,Andraca theae,成蟲,2014,343973,3826_11263
3826_281309,308500,2762500,Endromidae,Andraca theae,成蟲,2015,343973,3826_11262
3826_291808,307500,2783500,Endromidae,Andraca theae,成蟲,2015,343973,3826_11662
3826_262327,326500,2724500,Endromidae,Andraca theae,成蟲,2015,343973,3826_10466
3826_259801,300500,2719500,Endromidae,Andraca theae,幼蟲,2015,343973,3826_10361
