GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_232268,267500,2664500,Saturniidae,Antheraea pernyi,成蟲,2011,347574,3826_9254
3826_273788,287500,2747500,Saturniidae,Antheraea pernyi,成蟲,2013,347574,3826_10958
3826_206243,242500,2612500,Saturniidae,Antheraea pernyi,成蟲,2013,347574,3826_8249
3826_255762,261500,2711500,Saturniidae,Antheraea pernyi,成蟲,2014,347574,3826_10253
3826_264279,278500,2728500,Saturniidae,Antheraea pernyi,成蟲,2014,347574,3826_10556
3826_225251,250500,2650500,Saturniidae,Antheraea pernyi,成蟲,2014,347574,3826_9051
3826_207230,229500,2614500,Saturniidae,Antheraea pernyi,成蟲,2014,347574,3826_8246
3826_247282,281500,2694500,Saturniidae,Antheraea pernyi,成蟲,2014,347574,3826_9857
3826_175725,224500,2551500,Saturniidae,Antheraea pernyi,成蟲,2014,347574,3826_7045
3826_273792,291500,2747500,Saturniidae,Antheraea pernyi,成蟲,2015,347574,3826_10959
3826_255762,261500,2711500,Saturniidae,Antheraea pernyi,成蟲,2013,347574,3826_10253
3826_174221,220500,2548500,Saturniidae,Antheraea pernyi,成蟲,2015,347574,3826_6945
3826_229765,264500,2659500,Saturniidae,Antheraea pernyi,成蟲,2015,347574,3826_9153
3826_207230,229500,2614500,Saturniidae,Antheraea pernyi,成蟲,2015,347574,3826_8246
3826_249744,243500,2699500,Saturniidae,Antheraea pernyi,幼蟲,2014,347574,3826_9949
3826_175222,221500,2550500,Saturniidae,Antheraea pernyi,成蟲,2015,347574,3826_7045
3826_200230,229500,2600500,Saturniidae,Antheraea pernyi,成蟲,2015,347574,3826_8046
3826_151747,246500,2503500,Saturniidae,Antheraea pernyi,幼蟲,2015,347574,3826_6050
3826_221744,243500,2643500,Saturniidae,Antheraea pernyi,幼蟲,2015,347574,3826_8849
3826_249782,281500,2699500,Saturniidae,Antheraea pernyi,成蟲,2011,347574,3826_9957
3826_165724,223500,2531500,Saturniidae,Antheraea pernyi,成蟲,2016,347574,3826_6645
3826_224749,248500,2649500,Saturniidae,Antheraea pernyi,成蟲,2016,347574,3826_8950
3826_265310,309500,2730500,Saturniidae,Antheraea pernyi,成蟲,2016,347574,3826_10662
3826_154218,217500,2508500,Saturniidae,Antheraea pernyi,成蟲,2013,347574,3826_6144
3826_200230,229500,2600500,Saturniidae,Antheraea pernyi,成蟲,2016,347574,3826_8046
3826_259282,281500,2718500,Saturniidae,Antheraea pernyi,成蟲,2016,347574,3826_10357
3826_273792,291500,2747500,Saturniidae,Antheraea pernyi,幼蟲,2016,347574,3826_10959
3826_241248,247500,2682500,Saturniidae,Antheraea pernyi,成蟲,2016,347574,3826_9650
3826_255762,261500,2711500,Saturniidae,Antheraea pernyi,成蟲,2016,347574,3826_10253
3826_225749,248500,2651500,Saturniidae,Antheraea pernyi,幼蟲,2016,347574,3826_9050
3826_207230,229500,2614500,Saturniidae,Antheraea pernyi,成蟲,2017,347574,3826_8246
3826_224749,248500,2649500,Saturniidae,Antheraea pernyi,成蟲,2017,347574,3826_8950
3826_273792,291500,2747500,Saturniidae,Antheraea pernyi,成蟲,2017,347574,3826_10959
3826_240247,246500,2680500,Saturniidae,Antheraea pernyi,成蟲,2017,347574,3826_9650
3826_237801,300500,2675500,Saturniidae,Antheraea pernyi,成蟲,2016,347574,3826_9561
3826_200230,229500,2600500,Saturniidae,Antheraea pernyi,成蟲,2017,347574,3826_8046
3826_200231,230500,2600500,Saturniidae,Antheraea pernyi,成蟲,2017,347574,3826_8047
3826_175725,224500,2551500,Saturniidae,Antheraea pernyi,成蟲,2017,347574,3826_7045
3826_264279,278500,2728500,Saturniidae,Antheraea pernyi,成蟲,2017,347574,3826_10556
3826_224749,248500,2649500,Saturniidae,Antheraea pernyi,成蟲,2018,347574,3826_8950
3826_207230,229500,2614500,Saturniidae,Antheraea pernyi,成蟲,2018,347574,3826_8246
3826_200231,230500,2600500,Saturniidae,Antheraea pernyi,成蟲,2018,347574,3826_8047
3826_255262,261500,2710500,Saturniidae,Antheraea pernyi,成蟲,2018,347574,3826_10253
3826_264279,278500,2728500,Saturniidae,Antheraea pernyi,成蟲,2018,347574,3826_10556
3826_241751,250500,2683500,Saturniidae,Antheraea pernyi,成蟲,2018,347574,3826_9651
3826_241248,247500,2682500,Saturniidae,Antheraea pernyi,成蟲,2018,347574,3826_9650
3826_247282,281500,2694500,Saturniidae,Antheraea pernyi,成蟲,2018,347574,3826_9857
3826_265290,289500,2730500,Saturniidae,Antheraea pernyi,成蟲,2019,347574,3826_10658
3826_225249,248500,2650500,Saturniidae,Antheraea pernyi,幼蟲,2019,347574,3826_9050
