GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_264791,290500,2729500,Euteliidae,Aplotelia diplographa,幼蟲,2012,444081,3826_10559
3826_154218,217500,2508500,Euteliidae,Aplotelia diplographa,成蟲,2012,444081,3826_6144
3826_273788,287500,2747500,Euteliidae,Aplotelia diplographa,成蟲,2013,444081,3826_10958
3826_265265,264500,2730500,Euteliidae,Aplotelia diplographa,成蟲,2012,444081,3826_10653
3826_237248,247500,2674500,Euteliidae,Aplotelia diplographa,成蟲,2015,444081,3826_9450
3826_170217,216500,2540500,Euteliidae,Aplotelia diplographa,成蟲,2015,444081,3826_6844
3826_279306,305500,2758500,Euteliidae,Aplotelia diplographa,成蟲,2013,444081,3826_11162
3826_175726,225500,2551500,Euteliidae,Aplotelia diplographa,成蟲,2012,444081,3826_7046
3826_229248,247500,2658500,Euteliidae,Aplotelia diplographa,成蟲,2016,444081,3826_9150
3826_272276,275500,2744500,Euteliidae,Aplotelia diplographa,幼蟲,2016,444081,3826_10856
3826_273792,291500,2747500,Euteliidae,Aplotelia diplographa,幼蟲,2016,444081,3826_10959
3826_239251,250500,2678500,Euteliidae,Aplotelia diplographa,幼蟲,2017,444081,3826_9551
3826_232753,252500,2665500,Euteliidae,Aplotelia diplographa,成蟲,2018,444081,3826_9351
3826_252226,225500,2704500,Euteliidae,Aplotelia diplographa,幼蟲,2018,444081,3826_10046
3826_259800,299500,2719500,Euteliidae,Aplotelia diplographa,成蟲,2018,444081,3826_10360
3826_269271,270500,2738500,Euteliidae,Aplotelia diplographa,成蟲,2018,444081,3826_10755
3826_236314,313500,2672500,Euteliidae,Aplotelia diplographa,幼蟲,2019,444081,3826_9463
3826_252833,332500,2705500,Euteliidae,Aplotelia diplographa,成蟲,2018,444081,3826_10167
3826_237750,249500,2675500,Euteliidae,Aplotelia diplographa,幼蟲,2019,444081,3826_9550
3826_266264,263500,2732500,Euteliidae,Aplotelia diplographa,成蟲,2019,444081,3826_10653
3826_159220,219500,2518500,Euteliidae,Aplotelia diplographa,成蟲,2015,444081,3826_6344
3826_225263,262500,2650500,Euteliidae,Aplotelia diplographa,成蟲,2019,444081,3826_9053
3826_254738,237500,2709500,Euteliidae,Aplotelia diplographa,成蟲,2019,444081,3826_10148
3826_228764,263500,2657500,Euteliidae,Aplotelia diplographa,成蟲,2020,444081,3826_9153
3826_238251,250500,2676500,Euteliidae,Aplotelia diplographa,成蟲,2020,444081,3826_9551
3826_224769,268500,2649500,Euteliidae,Aplotelia diplographa,成蟲,2020,444081,3826_8954
3826_175224,223500,2550500,Euteliidae,Aplotelia diplographa,成蟲,2020,444081,3826_7045
3826_291815,314500,2783500,Euteliidae,Aplotelia diplographa,幼蟲,2020,444081,3826_11663
3826_268276,275500,2736500,Euteliidae,Aplotelia diplographa,幼蟲,2020,444081,3826_10756
3826_280809,308500,2761500,Euteliidae,Aplotelia diplographa,幼蟲,2020,444081,3826_11262
3826_259800,299500,2719500,Euteliidae,Aplotelia diplographa,成蟲,2015,444081,3826_10360
3826_269280,279500,2738500,Euteliidae,Aplotelia diplographa,幼蟲,2020,444081,3826_10756
3826_216751,250500,2633500,Euteliidae,Aplotelia diplographa,成蟲,2015,444081,3826_8651
3826_272276,275500,2744500,Euteliidae,Aplotelia diplographa,成蟲,2020,444081,3826_10856
3826_225806,305500,2651500,Euteliidae,Aplotelia diplographa,成蟲,2021,444081,3826_9062
3826_224769,268500,2649500,Euteliidae,Aplotelia diplographa,幼蟲,2021,444081,3826_8954
3826_262761,260500,2725500,Euteliidae,Aplotelia diplographa,成蟲,2020,444081,3826_10553
3826_265290,289500,2730500,Euteliidae,Aplotelia diplographa,成蟲,2021,444081,3826_10658
3826_269273,272500,2738500,Euteliidae,Aplotelia diplographa,成蟲,2021,444081,3826_10755
3826_237752,251500,2675500,Euteliidae,Aplotelia diplographa,成蟲,2021,444081,3826_9551
3826_228759,258500,2657500,Euteliidae,Aplotelia diplographa,幼蟲,2021,444081,3826_9152
3826_224769,268500,2649500,Euteliidae,Aplotelia diplographa,成蟲,2022,444081,3826_8954
3826_268311,310500,2736500,Euteliidae,Aplotelia diplographa,幼蟲,2022,444081,3826_10763
