GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_291302,301500,2782500,Noctuidae,Apsarasa radians,幼蟲,2012,346024,3826_11661
3826_290301,300500,2780500,Noctuidae,Apsarasa radians,幼蟲,2012,346024,3826_11661
3826_273788,287500,2747500,Noctuidae,Apsarasa radians,成蟲,2012,346024,3826_10958
3826_281309,308500,2762500,Noctuidae,Apsarasa radians,成蟲,2013,346024,3826_11262
3826_269811,310500,2739500,Noctuidae,Apsarasa radians,成蟲,2013,346024,3826_10763
3826_150219,218500,2500500,Noctuidae,Apsarasa radians,成蟲,2013,346024,3826_6044
3826_150218,217500,2500500,Noctuidae,Apsarasa radians,成蟲,2013,346024,3826_6044
3826_198719,218500,2597500,Noctuidae,Apsarasa radians,成蟲,2013,346024,3826_7944
3826_220810,309500,2641500,Noctuidae,Apsarasa radians,成蟲,2014,346024,3826_8862
3826_154218,217500,2508500,Noctuidae,Apsarasa radians,成蟲,2014,346024,3826_6144
3826_236810,309500,2673500,Noctuidae,Apsarasa radians,成蟲,2014,346024,3826_9462
3826_195715,214500,2591500,Noctuidae,Apsarasa radians,成蟲,2014,346024,3826_7843
3826_221310,309500,2642500,Noctuidae,Apsarasa radians,成蟲,2015,346024,3826_8862
3826_270777,276500,2741500,Noctuidae,Apsarasa radians,成蟲,2014,346024,3826_10856
3826_241243,242500,2682500,Noctuidae,Apsarasa radians,成蟲,2014,346024,3826_9649
3826_291302,301500,2782500,Noctuidae,Apsarasa radians,幼蟲,2013,346024,3826_11661
3826_273788,287500,2747500,Noctuidae,Apsarasa radians,成蟲,2015,346024,3826_10958
3826_281844,343500,2763500,Noctuidae,Apsarasa radians,成蟲,2015,346024,3826_11269
3826_257742,241500,2715500,Noctuidae,Apsarasa radians,幼蟲,2015,346024,3826_10349
3826_227764,263500,2655500,Noctuidae,Apsarasa radians,成蟲,2012,346024,3826_9153
3826_275761,260500,2751500,Noctuidae,Apsarasa radians,成蟲,2015,346024,3826_11053
3826_237228,227500,2674500,Noctuidae,Apsarasa radians,成蟲,2014,346024,3826_9446
3826_128729,228500,2457500,Noctuidae,Apsarasa radians,幼蟲,2010,346024,3826_5146
3826_175724,223500,2551500,Noctuidae,Apsarasa radians,成蟲,2016,346024,3826_7045
3826_291300,299500,2782500,Noctuidae,Apsarasa radians,成蟲,2013,346024,3826_11660
3826_114731,230500,2429500,Noctuidae,Apsarasa radians,成蟲,2016,346024,3826_4547
3826_237228,227500,2674500,Noctuidae,Apsarasa radians,成蟲,2016,346024,3826_9446
3826_274761,260500,2749500,Noctuidae,Apsarasa radians,成蟲,2016,346024,3826_10953
3826_231268,267500,2662500,Noctuidae,Apsarasa radians,成蟲,2016,346024,3826_9254
3826_241240,239500,2682500,Noctuidae,Apsarasa radians,成蟲,2016,346024,3826_9648
3826_265791,290500,2731500,Noctuidae,Apsarasa radians,成蟲,2016,346024,3826_10659
3826_267279,278500,2734500,Noctuidae,Apsarasa radians,成蟲,2016,346024,3826_10656
3826_190782,281500,2581500,Noctuidae,Apsarasa radians,成蟲,2016,346024,3826_7657
3826_175725,224500,2551500,Noctuidae,Apsarasa radians,成蟲,2014,346024,3826_7045
3826_264279,278500,2728500,Noctuidae,Apsarasa radians,成蟲,2017,346024,3826_10556
3826_248231,230500,2696500,Noctuidae,Apsarasa radians,成蟲,2016,346024,3826_9947
3826_198739,238500,2597500,Noctuidae,Apsarasa radians,成蟲,2017,346024,3826_7948
3826_257753,252500,2715500,Noctuidae,Apsarasa radians,成蟲,2017,346024,3826_10351
3826_265790,289500,2731500,Noctuidae,Apsarasa radians,成蟲,2017,346024,3826_10658
3826_237303,302500,2674500,Noctuidae,Apsarasa radians,幼蟲,2017,346024,3826_9461
3826_255812,311500,2711500,Noctuidae,Apsarasa radians,成蟲,2010,346024,3826_10263
3826_290309,308500,2780500,Noctuidae,Apsarasa radians,成蟲,2018,346024,3826_11662
3826_175725,224500,2551500,Noctuidae,Apsarasa radians,成蟲,2018,346024,3826_7045
3826_154218,217500,2508500,Noctuidae,Apsarasa radians,成蟲,2018,346024,3826_6144
3826_233271,270500,2666500,Noctuidae,Apsarasa radians,卵,2018,346024,3826_9355
3826_279305,304500,2758500,Noctuidae,Apsarasa radians,成蟲,2018,346024,3826_11161
3826_255743,242500,2711500,Noctuidae,Apsarasa radians,成蟲,2018,346024,3826_10249
3826_286321,320500,2772500,Noctuidae,Apsarasa radians,成蟲,2018,346024,3826_11465
3826_254738,237500,2709500,Noctuidae,Apsarasa radians,成蟲,2018,346024,3826_10148
3826_182206,205500,2564500,Noctuidae,Apsarasa radians,成蟲,2014,346024,3826_7242
3826_188700,199500,2577500,Noctuidae,Apsarasa radians,成蟲,2019,346024,3826_7540
3826_175724,223500,2551500,Noctuidae,Apsarasa radians,成蟲,2019,346024,3826_7045
3826_204211,210500,2608500,Noctuidae,Apsarasa radians,成蟲,2019,346024,3826_8143
3826_159220,219500,2518500,Noctuidae,Apsarasa radians,成蟲,2019,346024,3826_6344
3826_154218,217500,2508500,Noctuidae,Apsarasa radians,成蟲,2019,346024,3826_6144
3826_181755,254500,2563500,Noctuidae,Apsarasa radians,成蟲,2019,346024,3826_7251
3826_280812,311500,2761500,Noctuidae,Apsarasa radians,成蟲,2019,346024,3826_11263
3826_139225,224500,2478500,Noctuidae,Apsarasa radians,成蟲,2019,346024,3826_5545
3826_187199,198500,2574500,Noctuidae,Apsarasa radians,成蟲,2010,346024,3826_7440
3826_194707,206500,2589500,Noctuidae,Apsarasa radians,幼蟲,2019,346024,3826_7742
3826_237303,302500,2674500,Noctuidae,Apsarasa radians,成蟲,2019,346024,3826_9461
3826_281810,309500,2763500,Noctuidae,Apsarasa radians,成蟲,2019,346024,3826_11262
3826_114731,230500,2429500,Noctuidae,Apsarasa radians,成蟲,2019,346024,3826_4547
3826_175724,223500,2551500,Noctuidae,Apsarasa radians,成蟲,2020,346024,3826_7045
3826_281810,309500,2763500,Noctuidae,Apsarasa radians,成蟲,2020,346024,3826_11262
3826_263792,291500,2727500,Noctuidae,Apsarasa radians,幼蟲,2020,346024,3826_10559
3826_229767,266500,2659500,Noctuidae,Apsarasa radians,成蟲,2020,346024,3826_9154
3826_269762,261500,2739500,Noctuidae,Apsarasa radians,成蟲,2020,346024,3826_10753
3826_264790,289500,2729500,Noctuidae,Apsarasa radians,成蟲,2020,346024,3826_10558
3826_273788,287500,2747500,Noctuidae,Apsarasa radians,成蟲,2020,346024,3826_10958
3826_162214,213500,2524500,Noctuidae,Apsarasa radians,幼蟲,2010,346024,3826_6443
3826_238251,250500,2676500,Noctuidae,Apsarasa radians,幼蟲,2012,346024,3826_9551
3826_276796,295500,2753500,Noctuidae,Apsarasa radians,成蟲,2021,346024,3826_11060
3826_262761,260500,2725500,Noctuidae,Apsarasa radians,成蟲,2020,346024,3826_10553
3826_273788,287500,2747500,Noctuidae,Apsarasa radians,成蟲,2021,346024,3826_10958
3826_237801,300500,2675500,Noctuidae,Apsarasa radians,幼蟲,2015,346024,3826_9561
3826_225221,220500,2650500,Noctuidae,Apsarasa radians,幼蟲,2021,346024,3826_9045
3826_227756,255500,2655500,Noctuidae,Apsarasa radians,幼蟲,2021,346024,3826_9152
3826_274809,308500,2749500,Noctuidae,Apsarasa radians,成蟲,2022,346024,3826_10962
3826_273760,259500,2747500,Noctuidae,Apsarasa radians,成蟲,2022,346024,3826_10952
3826_225806,305500,2651500,Noctuidae,Apsarasa radians,成蟲,2022,346024,3826_9062
3826_153718,217500,2507500,Noctuidae,Apsarasa radians,成蟲,2022,346024,3826_6144
3826_269273,272500,2738500,Noctuidae,Apsarasa radians,成蟲,2022,346024,3826_10755
3826_273792,291500,2747500,Noctuidae,Apsarasa radians,成蟲,2022,346024,3826_10959
3826_159219,218500,2518500,Noctuidae,Apsarasa radians,成蟲,2022,346024,3826_6344
3826_246737,236500,2693500,Noctuidae,Apsarasa radians,成蟲,2022,346024,3826_9848
