GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_279306,305500,2758500,Erebidae,Arasada pyraliformis,成蟲,2012,429844,3826_11162
3826_265265,264500,2730500,Erebidae,Arasada pyraliformis,成蟲,2013,429844,3826_10653
3826_228759,258500,2657500,Erebidae,Arasada pyraliformis,成蟲,2013,429844,3826_9152
3826_272776,275500,2745500,Erebidae,Arasada pyraliformis,成蟲,2014,429844,3826_10956
3826_281810,309500,2763500,Erebidae,Arasada pyraliformis,成蟲,2014,429844,3826_11262
3826_271780,279500,2743500,Erebidae,Arasada pyraliformis,成蟲,2014,429844,3826_10856
3826_282809,308500,2765500,Erebidae,Arasada pyraliformis,幼蟲,2014,429844,3826_11362
3826_287813,312500,2775500,Erebidae,Arasada pyraliformis,成蟲,2014,429844,3826_11563
3826_285313,312500,2770500,Erebidae,Arasada pyraliformis,成蟲,2015,429844,3826_11463
3826_281810,309500,2763500,Erebidae,Arasada pyraliformis,成蟲,2016,429844,3826_11262
3826_290310,309500,2780500,Erebidae,Arasada pyraliformis,成蟲,2016,429844,3826_11662
3826_287810,309500,2775500,Erebidae,Arasada pyraliformis,成蟲,2016,429844,3826_11562
3826_214224,223500,2628500,Erebidae,Arasada pyraliformis,成蟲,2016,429844,3826_8545
3826_190782,281500,2581500,Erebidae,Arasada pyraliformis,成蟲,2017,429844,3826_7657
3826_291822,321500,2783500,Erebidae,Arasada pyraliformis,幼蟲,2017,429844,3826_11665
3826_262249,248500,2724500,Erebidae,Arasada pyraliformis,成蟲,2017,429844,3826_10450
3826_190782,281500,2581500,Erebidae,Arasada pyraliformis,成蟲,2016,429844,3826_7657
3826_287843,342500,2775500,Erebidae,Arasada pyraliformis,成蟲,2017,429844,3826_11569
3826_190782,281500,2581500,Erebidae,Arasada pyraliformis,成蟲,2018,429844,3826_7657
3826_262249,248500,2724500,Erebidae,Arasada pyraliformis,成蟲,2018,429844,3826_10450
3826_280321,320500,2760500,Erebidae,Arasada pyraliformis,成蟲,2018,429844,3826_11265
3826_152175,174500,2504500,Erebidae,Arasada pyraliformis,成蟲,2018,429844,3826_6035
3826_154218,217500,2508500,Erebidae,Arasada pyraliformis,成蟲,2018,429844,3826_6144
3826_283807,306500,2767500,Erebidae,Arasada pyraliformis,成蟲,2018,429844,3826_11362
3826_285312,311500,2770500,Erebidae,Arasada pyraliformis,成蟲,2018,429844,3826_11463
3826_275780,279500,2751500,Erebidae,Arasada pyraliformis,成蟲,2018,429844,3826_11056
3826_273760,259500,2747500,Erebidae,Arasada pyraliformis,成蟲,2019,429844,3826_10952
3826_243743,242500,2687500,Erebidae,Arasada pyraliformis,成蟲,2019,429844,3826_9749
3826_194707,206500,2589500,Erebidae,Arasada pyraliformis,成蟲,2019,429844,3826_7742
3826_255743,242500,2711500,Erebidae,Arasada pyraliformis,成蟲,2018,429844,3826_10249
3826_279305,304500,2758500,Erebidae,Arasada pyraliformis,成蟲,2019,429844,3826_11161
3826_283807,306500,2767500,Erebidae,Arasada pyraliformis,幼蟲,2019,429844,3826_11362
3826_286823,322500,2773500,Erebidae,Arasada pyraliformis,成蟲,2019,429844,3826_11465
3826_272276,275500,2744500,Erebidae,Arasada pyraliformis,成蟲,2019,429844,3826_10856
3826_251728,227500,2703500,Erebidae,Arasada pyraliformis,成蟲,2019,429844,3826_10046
3826_187199,198500,2574500,Erebidae,Arasada pyraliformis,成蟲,2019,429844,3826_7440
3826_278306,305500,2756500,Erebidae,Arasada pyraliformis,成蟲,2019,429844,3826_11162
3826_274806,305500,2749500,Erebidae,Arasada pyraliformis,成蟲,2019,429844,3826_10962
3826_282307,306500,2764500,Erebidae,Arasada pyraliformis,成蟲,2015,429844,3826_11262
3826_264321,320500,2728500,Erebidae,Arasada pyraliformis,成蟲,2020,429844,3826_10565
3826_278309,308500,2756500,Erebidae,Arasada pyraliformis,成蟲,2020,429844,3826_11162
3826_272276,275500,2744500,Erebidae,Arasada pyraliformis,成蟲,2020,429844,3826_10856
3826_273786,285500,2747500,Erebidae,Arasada pyraliformis,成蟲,2020,429844,3826_10958
3826_274806,305500,2749500,Erebidae,Arasada pyraliformis,成蟲,2020,429844,3826_10962
3826_254738,237500,2709500,Erebidae,Arasada pyraliformis,成蟲,2019,429844,3826_10148
3826_170218,217500,2540500,Erebidae,Arasada pyraliformis,成蟲,2014,429844,3826_6844
3826_273788,287500,2747500,Erebidae,Arasada pyraliformis,成蟲,2020,429844,3826_10958
3826_273760,259500,2747500,Erebidae,Arasada pyraliformis,成蟲,2020,429844,3826_10952
3826_259249,248500,2718500,Erebidae,Arasada pyraliformis,成蟲,2020,429844,3826_10350
3826_237230,229500,2674500,Erebidae,Arasada pyraliformis,成蟲,2020,429844,3826_9446
3826_187200,199500,2574500,Erebidae,Arasada pyraliformis,成蟲,2020,429844,3826_7440
3826_266265,264500,2732500,Erebidae,Arasada pyraliformis,成蟲,2020,429844,3826_10653
3826_282307,306500,2764500,Erebidae,Arasada pyraliformis,成蟲,2021,429844,3826_11262
3826_285313,312500,2770500,Erebidae,Arasada pyraliformis,成蟲,2021,429844,3826_11463
3826_272276,275500,2744500,Erebidae,Arasada pyraliformis,成蟲,2021,429844,3826_10856
3826_213711,210500,2627500,Erebidae,Arasada pyraliformis,成蟲,2022,429844,3826_8543
3826_269273,272500,2738500,Erebidae,Arasada pyraliformis,成蟲,2022,429844,3826_10755
