GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_281823,322500,2763500,Erebidae,Arctornis jonasii,成蟲,2011,443561,3826_11265
3826_273788,287500,2747500,Erebidae,Arctornis jonasii,成蟲,2012,443561,3826_10958
3826_272776,275500,2745500,Erebidae,Arctornis jonasii,成蟲,2012,443561,3826_10956
3826_188716,215500,2577500,Erebidae,Arctornis jonasii,成蟲,2013,443561,3826_7544
3826_275267,266500,2750500,Erebidae,Arctornis jonasii,成蟲,2013,443561,3826_11054
3826_271279,278500,2742500,Erebidae,Arctornis jonasii,成蟲,2014,443561,3826_10856
3826_279305,304500,2758500,Erebidae,Arctornis jonasii,成蟲,2014,443561,3826_11161
3826_288836,335500,2777500,Erebidae,Arctornis jonasii,成蟲,2014,443561,3826_11568
3826_258242,241500,2716500,Erebidae,Arctornis jonasii,成蟲,2015,443561,3826_10349
3826_281309,308500,2762500,Erebidae,Arctornis jonasii,成蟲,2014,443561,3826_11262
3826_263798,297500,2727500,Erebidae,Arctornis jonasii,成蟲,2014,443561,3826_10560
3826_287813,312500,2775500,Erebidae,Arctornis jonasii,成蟲,2014,443561,3826_11563
3826_275786,285500,2751500,Erebidae,Arctornis jonasii,成蟲,2015,443561,3826_11058
3826_269273,272500,2738500,Erebidae,Arctornis jonasii,成蟲,2022,443561,3826_10755
3826_281309,308500,2762500,Erebidae,Arctornis jonasii,成蟲,2015,443561,3826_11262
3826_284317,316500,2768500,Erebidae,Arctornis jonasii,成蟲,2011,443561,3826_11364
3826_281309,308500,2762500,Erebidae,Arctornis jonasii,成蟲,2016,443561,3826_11262
3826_290310,309500,2780500,Erebidae,Arctornis jonasii,成蟲,2016,443561,3826_11662
3826_281812,311500,2763500,Erebidae,Arctornis jonasii,成蟲,2016,443561,3826_11263
3826_281813,312500,2763500,Erebidae,Arctornis jonasii,成蟲,2016,443561,3826_11263
3826_275262,261500,2750500,Erebidae,Arctornis jonasii,成蟲,2017,443561,3826_11053
3826_233728,227500,2667500,Erebidae,Arctornis jonasii,成蟲,2017,443561,3826_9346
3826_281309,308500,2762500,Erebidae,Arctornis jonasii,成蟲,2017,443561,3826_11262
3826_248733,232500,2697500,Erebidae,Arctornis jonasii,成蟲,2017,443561,3826_9947
3826_274296,295500,2748500,Erebidae,Arctornis jonasii,成蟲,2017,443561,3826_10960
3826_267278,277500,2734500,Erebidae,Arctornis jonasii,成蟲,2017,443561,3826_10656
3826_274305,304500,2748500,Erebidae,Arctornis jonasii,成蟲,2018,443561,3826_10961
3826_290310,309500,2780500,Erebidae,Arctornis jonasii,成蟲,2018,443561,3826_11662
3826_281334,333500,2762500,Erebidae,Arctornis jonasii,成蟲,2018,443561,3826_11267
3826_282321,320500,2764500,Erebidae,Arctornis jonasii,成蟲,2018,443561,3826_11265
3826_273798,297500,2747500,Erebidae,Arctornis jonasii,成蟲,2018,443561,3826_10960
3826_279305,304500,2758500,Erebidae,Arctornis jonasii,成蟲,2018,443561,3826_11161
3826_255743,242500,2711500,Erebidae,Arctornis jonasii,成蟲,2018,443561,3826_10249
3826_273796,295500,2747500,Erebidae,Arctornis jonasii,成蟲,2019,443561,3826_10960
3826_237230,229500,2674500,Erebidae,Arctornis jonasii,成蟲,2019,443561,3826_9446
3826_282809,308500,2765500,Erebidae,Arctornis jonasii,成蟲,2019,443561,3826_11362
3826_247731,230500,2695500,Erebidae,Arctornis jonasii,成蟲,2019,443561,3826_9947
3826_273788,287500,2747500,Erebidae,Arctornis jonasii,成蟲,2013,443561,3826_10958
3826_274798,297500,2749500,Erebidae,Arctornis jonasii,成蟲,2019,443561,3826_10960
3826_237228,227500,2674500,Erebidae,Arctornis jonasii,成蟲,2019,443561,3826_9446
3826_230228,227500,2660500,Erebidae,Arctornis jonasii,成蟲,2019,443561,3826_9246
3826_257745,244500,2715500,Erebidae,Arctornis jonasii,成蟲,2019,443561,3826_10349
3826_272276,275500,2744500,Erebidae,Arctornis jonasii,成蟲,2020,443561,3826_10856
3826_273786,285500,2747500,Erebidae,Arctornis jonasii,成蟲,2020,443561,3826_10958
3826_277327,326500,2754500,Erebidae,Arctornis jonasii,成蟲,2020,443561,3826_11066
3826_281810,309500,2763500,Erebidae,Arctornis jonasii,成蟲,2020,443561,3826_11262
3826_281810,309500,2763500,Erebidae,Arctornis jonasii,成蟲,2021,443561,3826_11262
3826_273760,259500,2747500,Erebidae,Arctornis jonasii,成蟲,2021,443561,3826_10952
3826_247731,230500,2695500,Erebidae,Arctornis jonasii,成蟲,2021,443561,3826_9947
3826_259249,248500,2718500,Erebidae,Arctornis jonasii,成蟲,2021,443561,3826_10350
3826_217792,291500,2635500,Erebidae,Arctornis jonasii,成蟲,2021,443561,3826_8759
3826_277327,326500,2754500,Erebidae,Arctornis jonasii,成蟲,2017,443561,3826_11066
3826_281810,309500,2763500,Erebidae,Arctornis jonasii,成蟲,2022,443561,3826_11262
3826_254237,236500,2708500,Erebidae,Arctornis jonasii,成蟲,2022,443561,3826_10148
3826_274798,297500,2749500,Erebidae,Arctornis jonasii,成蟲,2022,443561,3826_10960
