GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_232753,252500,2665500,Erebidae,Arctornis l-nigrum okurai,成蟲,2012,345806,3826_9351
3826_273788,287500,2747500,Erebidae,Arctornis l-nigrum okurai,成蟲,2012,345806,3826_10958
3826_266771,270500,2733500,Erebidae,Arctornis l-nigrum okurai,成蟲,2013,345806,3826_10655
3826_270777,276500,2741500,Erebidae,Arctornis l-nigrum okurai,成蟲,2014,345806,3826_10856
3826_265789,288500,2731500,Erebidae,Arctornis l-nigrum okurai,成蟲,2010,345806,3826_10658
3826_128729,228500,2457500,Erebidae,Arctornis l-nigrum okurai,成蟲,2014,345806,3826_5146
3826_265289,288500,2730500,Erebidae,Arctornis l-nigrum okurai,成蟲,2014,345806,3826_10658
3826_264283,282500,2728500,Erebidae,Arctornis l-nigrum okurai,成蟲,2015,345806,3826_10557
3826_264279,278500,2728500,Erebidae,Arctornis l-nigrum okurai,成蟲,2015,345806,3826_10556
3826_215255,254500,2630500,Erebidae,Arctornis l-nigrum okurai,成蟲,2014,345806,3826_8651
3826_279803,302500,2759500,Erebidae,Arctornis l-nigrum okurai,成蟲,2015,345806,3826_11161
3826_154218,217500,2508500,Erebidae,Arctornis l-nigrum okurai,成蟲,2011,345806,3826_6144
3826_255762,261500,2711500,Erebidae,Arctornis l-nigrum okurai,成蟲,2012,345806,3826_10253
3826_228263,262500,2656500,Erebidae,Arctornis l-nigrum okurai,成蟲,2012,345806,3826_9153
3826_239300,299500,2678500,Erebidae,Arctornis l-nigrum okurai,成蟲,2016,345806,3826_9560
3826_174221,220500,2548500,Erebidae,Arctornis l-nigrum okurai,成蟲,2014,345806,3826_6945
3826_175222,221500,2550500,Erebidae,Arctornis l-nigrum okurai,成蟲,2014,345806,3826_7045
3826_267789,288500,2735500,Erebidae,Arctornis l-nigrum okurai,成蟲,2017,345806,3826_10758
3826_175764,263500,2551500,Erebidae,Arctornis l-nigrum okurai,成蟲,2017,345806,3826_7053
3826_223302,301500,2646500,Erebidae,Arctornis l-nigrum okurai,成蟲,2015,345806,3826_8961
3826_281309,308500,2762500,Erebidae,Arctornis l-nigrum okurai,成蟲,2018,345806,3826_11262
3826_194722,221500,2589500,Erebidae,Arctornis l-nigrum okurai,成蟲,2018,345806,3826_7745
3826_178224,223500,2556500,Erebidae,Arctornis l-nigrum okurai,成蟲,2018,345806,3826_7145
3826_239300,299500,2678500,Erebidae,Arctornis l-nigrum okurai,成蟲,2018,345806,3826_9560
3826_255743,242500,2711500,Erebidae,Arctornis l-nigrum okurai,成蟲,2018,345806,3826_10249
3826_180287,286500,2560500,Erebidae,Arctornis l-nigrum okurai,成蟲,2013,345806,3826_7258
3826_285312,311500,2770500,Erebidae,Arctornis l-nigrum okurai,成蟲,2019,345806,3826_11463
3826_265773,272500,2731500,Erebidae,Arctornis l-nigrum okurai,成蟲,2019,345806,3826_10655
3826_128729,228500,2457500,Erebidae,Arctornis l-nigrum okurai,成蟲,2019,345806,3826_5146
3826_285313,312500,2770500,Erebidae,Arctornis l-nigrum okurai,成蟲,2020,345806,3826_11463
3826_130234,233500,2460500,Erebidae,Arctornis l-nigrum okurai,成蟲,2020,345806,3826_5247
3826_281810,309500,2763500,Erebidae,Arctornis l-nigrum okurai,成蟲,2020,345806,3826_11262
3826_259249,248500,2718500,Erebidae,Arctornis l-nigrum okurai,成蟲,2020,345806,3826_10350
3826_257745,244500,2715500,Erebidae,Arctornis l-nigrum okurai,成蟲,2019,345806,3826_10349
3826_232254,253500,2664500,Erebidae,Arctornis l-nigrum okurai,成蟲,2020,345806,3826_9251
3826_269273,272500,2738500,Erebidae,Arctornis l-nigrum okurai,成蟲,2021,345806,3826_10755
3826_238290,289500,2676500,Erebidae,Arctornis l-nigrum okurai,成蟲,2018,345806,3826_9558
3826_265290,289500,2730500,Erebidae,Arctornis l-nigrum okurai,成蟲,2021,345806,3826_10658
3826_238800,299500,2677500,Erebidae,Arctornis l-nigrum okurai,成蟲,2021,345806,3826_9560
3826_265275,274500,2730500,Erebidae,Arctornis l-nigrum okurai,成蟲,2021,345806,3826_10655
3826_259249,248500,2718500,Erebidae,Arctornis l-nigrum okurai,成蟲,2021,345806,3826_10350
3826_263260,259500,2726500,Erebidae,Arctornis l-nigrum okurai,成蟲,2021,345806,3826_10552
3826_269273,272500,2738500,Erebidae,Arctornis l-nigrum okurai,成蟲,2022,345806,3826_10755
3826_264279,278500,2728500,Erebidae,Arctornis l-nigrum okurai,成蟲,2022,345806,3826_10556
3826_273792,291500,2747500,Erebidae,Arctornis l-nigrum okurai,成蟲,2022,345806,3826_10959
3826_182252,251500,2564500,Erebidae,Arctornis l-nigrum okurai,成蟲,2022,345806,3826_7251
3826_265768,267500,2731500,Erebidae,Arctornis l-nigrum okurai,成蟲,2022,345806,3826_10654
3826_265275,274500,2730500,Erebidae,Arctornis l-nigrum okurai,成蟲,2022,345806,3826_10655
