GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_213728,227500,2627500,Erebidae,Areas galactina formosana,成蟲,2011,343795,3826_8546
3826_293303,302500,2786500,Erebidae,Areas galactina formosana,幼蟲,2011,343795,3826_11761
3826_210213,212500,2620500,Erebidae,Areas galactina formosana,幼蟲,2011,343795,3826_8443
3826_219741,240500,2639500,Erebidae,Areas galactina formosana,成蟲,2012,343795,3826_8749
3826_219243,242500,2638500,Erebidae,Areas galactina formosana,成蟲,2012,343795,3826_8749
3826_224244,243500,2648500,Erebidae,Areas galactina formosana,幼蟲,2012,343795,3826_8949
3826_219744,243500,2639500,Erebidae,Areas galactina formosana,幼蟲,2012,343795,3826_8749
3826_214739,238500,2629500,Erebidae,Areas galactina formosana,成蟲,2012,343795,3826_8548
3826_219243,242500,2638500,Erebidae,Areas galactina formosana,幼蟲,2012,343795,3826_8749
3826_221802,301500,2643500,Erebidae,Areas galactina formosana,幼蟲,2012,343795,3826_8861
3826_226305,304500,2652500,Erebidae,Areas galactina formosana,成蟲,2013,343795,3826_9061
3826_226305,304500,2652500,Erebidae,Areas galactina formosana,幼蟲,2013,343795,3826_9061
3826_272774,273500,2745500,Erebidae,Areas galactina formosana,幼蟲,2013,343795,3826_10955
3826_290297,296500,2780500,Erebidae,Areas galactina formosana,成蟲,2013,343795,3826_11660
3826_264811,310500,2729500,Erebidae,Areas galactina formosana,成蟲,2013,343795,3826_10563
3826_283344,343500,2766500,Erebidae,Areas galactina formosana,成蟲,2013,343795,3826_11369
3826_228263,262500,2656500,Erebidae,Areas galactina formosana,成蟲,2013,343795,3826_9153
3826_223304,303500,2646500,Erebidae,Areas galactina formosana,幼蟲,2013,343795,3826_8961
3826_228264,263500,2656500,Erebidae,Areas galactina formosana,成蟲,2013,343795,3826_9153
3826_150218,217500,2500500,Erebidae,Areas galactina formosana,成蟲,2013,343795,3826_6044
3826_242233,232500,2684500,Erebidae,Areas galactina formosana,成蟲,2014,343795,3826_9647
3826_187200,199500,2574500,Erebidae,Areas galactina formosana,成蟲,2014,343795,3826_7440
3826_225806,305500,2651500,Erebidae,Areas galactina formosana,成蟲,2014,343795,3826_9062
3826_243237,236500,2686500,Erebidae,Areas galactina formosana,成蟲,2014,343795,3826_9748
3826_220810,309500,2641500,Erebidae,Areas galactina formosana,成蟲,2014,343795,3826_8862
3826_187200,199500,2574500,Erebidae,Areas galactina formosana,成蟲,2010,343795,3826_7440
3826_140225,224500,2480500,Erebidae,Areas galactina formosana,成蟲,2013,343795,3826_5645
3826_154218,217500,2508500,Erebidae,Areas galactina formosana,幼蟲,2013,343795,3826_6144
3826_140225,224500,2480500,Erebidae,Areas galactina formosana,成蟲,2012,343795,3826_5645
3826_212727,226500,2625500,Erebidae,Areas galactina formosana,幼蟲,2014,343795,3826_8546
3826_203725,224500,2607500,Erebidae,Areas galactina formosana,幼蟲,2014,343795,3826_8145
3826_204739,238500,2609500,Erebidae,Areas galactina formosana,成蟲,2014,343795,3826_8148
3826_222302,301500,2644500,Erebidae,Areas galactina formosana,幼蟲,2014,343795,3826_8861
3826_259839,338500,2719500,Erebidae,Areas galactina formosana,成蟲,2014,343795,3826_10368
3826_212729,228500,2625500,Erebidae,Areas galactina formosana,成蟲,2014,343795,3826_8546
