GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_273788,287500,2747500,Ashinagidae,Ashinaga longimana,成蟲,2013,347226,3826_10958
3826_263798,297500,2727500,Ashinagidae,Ashinaga longimana,成蟲,2013,347226,3826_10560
3826_241248,247500,2682500,Ashinagidae,Ashinaga longimana,成蟲,2014,347226,3826_9650
3826_154218,217500,2508500,Ashinagidae,Ashinaga longimana,成蟲,2014,347226,3826_6144
3826_238290,289500,2676500,Ashinagidae,Ashinaga longimana,成蟲,2014,347226,3826_9558
3826_170217,216500,2540500,Ashinagidae,Ashinaga longimana,成蟲,2015,347226,3826_6844
3826_237248,247500,2674500,Ashinagidae,Ashinaga longimana,成蟲,2015,347226,3826_9450
3826_265765,264500,2731500,Ashinagidae,Ashinaga longimana,成蟲,2014,347226,3826_10653
3826_280815,314500,2761500,Ashinagidae,Ashinaga longimana,成蟲,2014,347226,3826_11263
3826_214744,243500,2629500,Ashinagidae,Ashinaga longimana,成蟲,2015,347226,3826_8549
3826_281844,343500,2763500,Ashinagidae,Ashinaga longimana,成蟲,2015,347226,3826_11269
3826_271770,269500,2743500,Ashinagidae,Ashinaga longimana,成蟲,2015,347226,3826_10854
3826_139724,223500,2479500,Ashinagidae,Ashinaga longimana,成蟲,2015,347226,3826_5545
3826_269278,277500,2738500,Ashinagidae,Ashinaga longimana,成蟲,2013,347226,3826_10756
3826_289803,302500,2779500,Ashinagidae,Ashinaga longimana,成蟲,2016,347226,3826_11561
3826_263798,297500,2727500,Ashinagidae,Ashinaga longimana,成蟲,2016,347226,3826_10560
3826_227312,311500,2654500,Ashinagidae,Ashinaga longimana,成蟲,2016,347226,3826_9063
3826_175724,223500,2551500,Ashinagidae,Ashinaga longimana,成蟲,2016,347226,3826_7045
3826_222755,254500,2645500,Ashinagidae,Ashinaga longimana,成蟲,2017,347226,3826_8951
3826_237309,308500,2674500,Ashinagidae,Ashinaga longimana,成蟲,2017,347226,3826_9462
3826_280805,304500,2761500,Ashinagidae,Ashinaga longimana,成蟲,2017,347226,3826_11261
3826_281810,309500,2763500,Ashinagidae,Ashinaga longimana,成蟲,2017,347226,3826_11262
3826_254805,304500,2709500,Ashinagidae,Ashinaga longimana,成蟲,2017,347226,3826_10161
3826_158223,222500,2516500,Ashinagidae,Ashinaga longimana,成蟲,2018,347226,3826_6345
3826_200230,229500,2600500,Ashinagidae,Ashinaga longimana,成蟲,2018,347226,3826_8046
3826_154218,217500,2508500,Ashinagidae,Ashinaga longimana,成蟲,2018,347226,3826_6144
3826_269271,270500,2738500,Ashinagidae,Ashinaga longimana,成蟲,2018,347226,3826_10755
3826_273781,280500,2747500,Ashinagidae,Ashinaga longimana,成蟲,2018,347226,3826_10957
3826_239300,299500,2678500,Ashinagidae,Ashinaga longimana,成蟲,2018,347226,3826_9560
3826_287810,309500,2775500,Ashinagidae,Ashinaga longimana,成蟲,2018,347226,3826_11562
3826_276793,292500,2753500,Ashinagidae,Ashinaga longimana,成蟲,2018,347226,3826_11059
3826_236809,308500,2673500,Ashinagidae,Ashinaga longimana,成蟲,2011,347226,3826_9462
3826_175724,223500,2551500,Ashinagidae,Ashinaga longimana,成蟲,2019,347226,3826_7045
3826_293308,307500,2786500,Ashinagidae,Ashinaga longimana,成蟲,2019,347226,3826_11762
3826_281810,309500,2763500,Ashinagidae,Ashinaga longimana,成蟲,2020,347226,3826_11262
3826_227759,258500,2655500,Ashinagidae,Ashinaga longimana,成蟲,2020,347226,3826_9152
3826_277327,326500,2754500,Ashinagidae,Ashinaga longimana,成蟲,2020,347226,3826_11066
3826_266293,292500,2732500,Ashinagidae,Ashinaga longimana,成蟲,2020,347226,3826_10659
3826_273788,287500,2747500,Ashinagidae,Ashinaga longimana,成蟲,2020,347226,3826_10958
3826_263314,313500,2726500,Ashinagidae,Ashinaga longimana,成蟲,2021,347226,3826_10563
3826_223302,301500,2646500,Ashinagidae,Ashinaga longimana,成蟲,2021,347226,3826_8961
3826_281810,309500,2763500,Ashinagidae,Ashinaga longimana,成蟲,2021,347226,3826_11262
3826_281313,312500,2762500,Ashinagidae,Ashinaga longimana,成蟲,2021,347226,3826_11263
3826_259249,248500,2718500,Ashinagidae,Ashinaga longimana,成蟲,2021,347226,3826_10350
3826_139724,223500,2479500,Ashinagidae,Ashinaga longimana,成蟲,2021,347226,3826_5545
3826_285313,312500,2770500,Ashinagidae,Ashinaga longimana,成蟲,2021,347226,3826_11463
3826_276808,307500,2753500,Ashinagidae,Ashinaga longimana,成蟲,2021,347226,3826_11062
3826_290302,301500,2780500,Ashinagidae,Ashinaga longimana,成蟲,2016,347226,3826_11661
3826_279795,294500,2759500,Ashinagidae,Ashinaga longimana,成蟲,2021,347226,3826_11159
3826_139225,224500,2478500,Ashinagidae,Ashinaga longimana,成蟲,2020,347226,3826_5545
3826_291305,304500,2782500,Ashinagidae,Ashinaga longimana,成蟲,2021,347226,3826_11661
3826_147746,245500,2495500,Ashinagidae,Ashinaga longimana,成蟲,2022,347226,3826_5950
3826_278306,305500,2756500,Ashinagidae,Ashinaga longimana,成蟲,2021,347226,3826_11162
3826_269273,272500,2738500,Ashinagidae,Ashinaga longimana,成蟲,2022,347226,3826_10755
3826_285313,312500,2770500,Ashinagidae,Ashinaga longimana,成蟲,2022,347226,3826_11463
3826_276808,307500,2753500,Ashinagidae,Ashinaga longimana,成蟲,2022,347226,3826_11062
3826_150719,218500,2501500,Ashinagidae,Ashinaga longimana,成蟲,2022,347226,3826_6044
3826_180757,256500,2561500,Ashinagidae,Ashinaga longimana,成蟲,2022,347226,3826_7252
3826_153718,217500,2507500,Ashinagidae,Ashinaga longimana,成蟲,2022,347226,3826_6144
3826_291305,304500,2782500,Ashinagidae,Ashinaga longimana,成蟲,2022,347226,3826_11661
3826_281810,309500,2763500,Ashinagidae,Ashinaga longimana,成蟲,2022,347226,3826_11262
