GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_273304,303500,2746500,Erebidae,Asota plana lacteata,成蟲,2011,346034,3826_10961
3826_187200,199500,2574500,Erebidae,Asota plana lacteata,幼蟲,2010,346034,3826_7440
3826_279306,305500,2758500,Erebidae,Asota plana lacteata,成蟲,2012,346034,3826_11162
3826_284308,307500,2768500,Erebidae,Asota plana lacteata,成蟲,2012,346034,3826_11362
3826_273304,303500,2746500,Erebidae,Asota plana lacteata,幼蟲,2010,346034,3826_10961
3826_291329,328500,2782500,Erebidae,Asota plana lacteata,幼蟲,2010,346034,3826_11666
3826_290310,309500,2780500,Erebidae,Asota plana lacteata,幼蟲,2012,346034,3826_11662
3826_273792,291500,2747500,Erebidae,Asota plana lacteata,成蟲,2010,346034,3826_10959
3826_273788,287500,2747500,Erebidae,Asota plana lacteata,成蟲,2012,346034,3826_10958
3826_225251,250500,2650500,Erebidae,Asota plana lacteata,幼蟲,2012,346034,3826_9051
3826_282806,305500,2765500,Erebidae,Asota plana lacteata,成蟲,2011,346034,3826_11362
3826_175202,201500,2550500,Erebidae,Asota plana lacteata,成蟲,2012,346034,3826_7041
3826_236813,312500,2673500,Erebidae,Asota plana lacteata,幼蟲,2012,346034,3826_9463
3826_212229,228500,2624500,Erebidae,Asota plana lacteata,成蟲,2012,346034,3826_8446
3826_285315,314500,2770500,Erebidae,Asota plana lacteata,成蟲,2012,346034,3826_11463
3826_280304,303500,2760500,Erebidae,Asota plana lacteata,幼蟲,2012,346034,3826_11261
3826_293805,304500,2787500,Erebidae,Asota plana lacteata,成蟲,2012,346034,3826_11761
3826_293805,304500,2787500,Erebidae,Asota plana lacteata,幼蟲,2012,346034,3826_11761
3826_291801,300500,2783500,Erebidae,Asota plana lacteata,成蟲,2012,346034,3826_11661
3826_272277,276500,2744500,Erebidae,Asota plana lacteata,成蟲,2012,346034,3826_10856
3826_230738,237500,2661500,Erebidae,Asota plana lacteata,成蟲,2012,346034,3826_9248
3826_297809,308500,2795500,Erebidae,Asota plana lacteata,成蟲,2012,346034,3826_11962
3826_282308,307500,2764500,Erebidae,Asota plana lacteata,成蟲,2012,346034,3826_11262
3826_187200,199500,2574500,Erebidae,Asota plana lacteata,幼蟲,2011,346034,3826_7440
3826_280306,305500,2760500,Erebidae,Asota plana lacteata,幼蟲,2012,346034,3826_11262
3826_291815,314500,2783500,Erebidae,Asota plana lacteata,成蟲,2012,346034,3826_11663
3826_288310,309500,2776500,Erebidae,Asota plana lacteata,幼蟲,2012,346034,3826_11562
3826_297809,308500,2795500,Erebidae,Asota plana lacteata,卵,2012,346034,3826_11962
3826_281312,311500,2762500,Erebidae,Asota plana lacteata,幼蟲,2012,346034,3826_11263
3826_274280,279500,2748500,Erebidae,Asota plana lacteata,幼蟲,2012,346034,3826_10956
3826_294320,319500,2788500,Erebidae,Asota plana lacteata,幼蟲,2012,346034,3826_11764
3826_287811,310500,2775500,Erebidae,Asota plana lacteata,幼蟲,2012,346034,3826_11563
3826_262327,326500,2724500,Erebidae,Asota plana lacteata,幼蟲,2012,346034,3826_10466
