GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_278805,304500,2757500,Saturniidae,Attacus atlas atlas,成蟲,2011,434244,3826_11161
3826_275266,265500,2750500,Saturniidae,Attacus atlas atlas,成蟲,2010,434244,3826_11054
3826_276266,265500,2752500,Saturniidae,Attacus atlas atlas,成蟲,2011,434244,3826_11054
3826_187200,199500,2574500,Saturniidae,Attacus atlas atlas,蛹,2011,434244,3826_7440
3826_175202,201500,2550500,Saturniidae,Attacus atlas atlas,蛹,2012,434244,3826_7041
3826_286789,288500,2773500,Saturniidae,Attacus atlas atlas,幼蟲,2012,434244,3826_11458
3826_282309,308500,2764500,Saturniidae,Attacus atlas atlas,幼蟲,2011,434244,3826_11262
3826_286789,288500,2773500,Saturniidae,Attacus atlas atlas,蛹,2012,434244,3826_11458
3826_219243,242500,2638500,Saturniidae,Attacus atlas atlas,成蟲,2012,434244,3826_8749
3826_214229,228500,2628500,Saturniidae,Attacus atlas atlas,卵,2012,434244,3826_8546
3826_279806,305500,2759500,Saturniidae,Attacus atlas atlas,幼蟲,2012,434244,3826_11162
3826_187198,197500,2574500,Saturniidae,Attacus atlas atlas,幼蟲,2011,434244,3826_7440
3826_284310,309500,2768500,Saturniidae,Attacus atlas atlas,成蟲,2011,434244,3826_11362
3826_280806,305500,2761500,Saturniidae,Attacus atlas atlas,幼蟲,2010,434244,3826_11262
3826_273792,291500,2747500,Saturniidae,Attacus atlas atlas,幼蟲,2010,434244,3826_10959
3826_273792,291500,2747500,Saturniidae,Attacus atlas atlas,幼蟲,2011,434244,3826_10959
3826_271268,267500,2742500,Saturniidae,Attacus atlas atlas,成蟲,2010,434244,3826_10854
3826_225732,231500,2651500,Saturniidae,Attacus atlas atlas,成蟲,2012,434244,3826_9047
3826_297809,308500,2795500,Saturniidae,Attacus atlas atlas,幼蟲,2010,434244,3826_11962
3826_249230,229500,2698500,Saturniidae,Attacus atlas atlas,成蟲,2012,434244,3826_9946
3826_297809,308500,2795500,Saturniidae,Attacus atlas atlas,幼蟲,2012,434244,3826_11962
3826_152210,209500,2504500,Saturniidae,Attacus atlas atlas,幼蟲,2012,434244,3826_6042
3826_218733,232500,2637500,Saturniidae,Attacus atlas atlas,成蟲,2013,434244,3826_8747
3826_231206,205500,2662500,Saturniidae,Attacus atlas atlas,成蟲,2013,434244,3826_9242
3826_243237,236500,2686500,Saturniidae,Attacus atlas atlas,幼蟲,2012,434244,3826_9748
3826_279806,305500,2759500,Saturniidae,Attacus atlas atlas,成蟲,2013,434244,3826_11162
3826_218230,229500,2636500,Saturniidae,Attacus atlas atlas,蛹,2013,434244,3826_8746
3826_188716,215500,2577500,Saturniidae,Attacus atlas atlas,成蟲,2013,434244,3826_7544
3826_152210,209500,2504500,Saturniidae,Attacus atlas atlas,幼蟲,2013,434244,3826_6042
3826_273788,287500,2747500,Saturniidae,Attacus atlas atlas,成蟲,2012,434244,3826_10958
3826_148712,211500,2497500,Saturniidae,Attacus atlas atlas,幼蟲,2012,434244,3826_5943
3826_243724,223500,2687500,Saturniidae,Attacus atlas atlas,成蟲,2010,434244,3826_9745
3826_272276,275500,2744500,Saturniidae,Attacus atlas atlas,成蟲,2013,434244,3826_10856
3826_250743,242500,2701500,Saturniidae,Attacus atlas atlas,成蟲,2013,434244,3826_10049
3826_187200,199500,2574500,Saturniidae,Attacus atlas atlas,成蟲,2013,434244,3826_7440
3826_218230,229500,2636500,Saturniidae,Attacus atlas atlas,成蟲,2013,434244,3826_8746
3826_282300,299500,2764500,Saturniidae,Attacus atlas atlas,成蟲,2013,434244,3826_11260
3826_264257,256500,2728500,Saturniidae,Attacus atlas atlas,幼蟲,2013,434244,3826_10552
3826_224244,243500,2648500,Saturniidae,Attacus atlas atlas,成蟲,2013,434244,3826_8949
3826_281310,309500,2762500,Saturniidae,Attacus atlas atlas,成蟲,2013,434244,3826_11262
3826_182205,204500,2564500,Saturniidae,Attacus atlas atlas,成蟲,2014,434244,3826_7241
3826_275267,266500,2750500,Saturniidae,Attacus atlas atlas,成蟲,2014,434244,3826_11054
3826_201710,209500,2603500,Saturniidae,Attacus atlas atlas,成蟲,2014,434244,3826_8042
3826_272776,275500,2745500,Saturniidae,Attacus atlas atlas,成蟲,2014,434244,3826_10956
3826_263260,259500,2726500,Saturniidae,Attacus atlas atlas,成蟲,2014,434244,3826_10552
3826_256234,233500,2712500,Saturniidae,Attacus atlas atlas,成蟲,2014,434244,3826_10247
3826_272775,274500,2745500,Saturniidae,Attacus atlas atlas,成蟲,2014,434244,3826_10955
3826_251242,241500,2702500,Saturniidae,Attacus atlas atlas,成蟲,2014,434244,3826_10049
3826_217217,216500,2634500,Saturniidae,Attacus atlas atlas,成蟲,2014,434244,3826_8644
3826_227258,257500,2654500,Saturniidae,Attacus atlas atlas,成蟲,2014,434244,3826_9052
3826_221802,301500,2643500,Saturniidae,Attacus atlas atlas,幼蟲,2014,434244,3826_8861
3826_280304,303500,2760500,Saturniidae,Attacus atlas atlas,幼蟲,2014,434244,3826_11261
3826_218230,229500,2636500,Saturniidae,Attacus atlas atlas,幼蟲,2014,434244,3826_8746
3826_242228,227500,2684500,Saturniidae,Attacus atlas atlas,成蟲,2014,434244,3826_9646
3826_269762,261500,2739500,Saturniidae,Attacus atlas atlas,幼蟲,2013,434244,3826_10753
3826_193218,217500,2586500,Saturniidae,Attacus atlas atlas,成蟲,2014,434244,3826_7744
3826_225745,244500,2651500,Saturniidae,Attacus atlas atlas,成蟲,2013,434244,3826_9049
3826_274280,279500,2748500,Saturniidae,Attacus atlas atlas,幼蟲,2014,434244,3826_10956
3826_213225,224500,2626500,Saturniidae,Attacus atlas atlas,幼蟲,2014,434244,3826_8545
3826_222213,212500,2644500,Saturniidae,Attacus atlas atlas,成蟲,2014,434244,3826_8843
3826_236233,232500,2672500,Saturniidae,Attacus atlas atlas,成蟲,2014,434244,3826_9447
3826_249737,236500,2699500,Saturniidae,Attacus atlas atlas,成蟲,2014,434244,3826_9948
3826_230708,207500,2661500,Saturniidae,Attacus atlas atlas,成蟲,2014,434244,3826_9242
3826_250743,242500,2701500,Saturniidae,Attacus atlas atlas,成蟲,2014,434244,3826_10049
