GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_204726,225500,2609500,Erebidae,Autoba tristalis,成蟲,2012,346049,3826_8146
3826_273304,303500,2746500,Erebidae,Autoba tristalis,成蟲,2013,346049,3826_10961
3826_259301,300500,2718500,Erebidae,Autoba tristalis,成蟲,2014,346049,3826_10361
3826_264279,278500,2728500,Erebidae,Autoba tristalis,成蟲,2015,346049,3826_10556
3826_273788,287500,2747500,Erebidae,Autoba tristalis,成蟲,2012,346049,3826_10958
3826_267279,278500,2734500,Erebidae,Autoba tristalis,成蟲,2016,346049,3826_10656
3826_261242,241500,2722500,Erebidae,Autoba tristalis,成蟲,2016,346049,3826_10449
3826_225801,300500,2651500,Erebidae,Autoba tristalis,成蟲,2017,346049,3826_9061
3826_224749,248500,2649500,Erebidae,Autoba tristalis,成蟲,2017,346049,3826_8950
3826_259800,299500,2719500,Erebidae,Autoba tristalis,成蟲,2017,346049,3826_10360
3826_270273,272500,2740500,Erebidae,Autoba tristalis,成蟲,2017,346049,3826_10855
3826_279305,304500,2758500,Erebidae,Autoba tristalis,成蟲,2017,346049,3826_11161
3826_154218,217500,2508500,Erebidae,Autoba tristalis,成蟲,2018,346049,3826_6144
3826_293308,307500,2786500,Erebidae,Autoba tristalis,成蟲,2018,346049,3826_11762
3826_284830,329500,2769500,Erebidae,Autoba tristalis,成蟲,2018,346049,3826_11366
3826_282808,307500,2765500,Erebidae,Autoba tristalis,成蟲,2018,346049,3826_11362
3826_228252,251500,2656500,Erebidae,Autoba tristalis,成蟲,2018,346049,3826_9151
3826_237230,229500,2674500,Erebidae,Autoba tristalis,成蟲,2018,346049,3826_9446
3826_273796,295500,2747500,Erebidae,Autoba tristalis,成蟲,2018,346049,3826_10960
3826_266264,263500,2732500,Erebidae,Autoba tristalis,成蟲,2018,346049,3826_10653
3826_269765,264500,2739500,Erebidae,Autoba tristalis,成蟲,2019,346049,3826_10753
3826_266777,276500,2733500,Erebidae,Autoba tristalis,成蟲,2019,346049,3826_10656
3826_161256,255500,2522500,Erebidae,Autoba tristalis,成蟲,2019,346049,3826_6452
3826_251728,227500,2703500,Erebidae,Autoba tristalis,成蟲,2019,346049,3826_10046
3826_154218,217500,2508500,Erebidae,Autoba tristalis,成蟲,2017,346049,3826_6144
3826_198717,216500,2597500,Erebidae,Autoba tristalis,成蟲,2019,346049,3826_7944
3826_273304,303500,2746500,Erebidae,Autoba tristalis,成蟲,2019,346049,3826_10961
3826_274806,305500,2749500,Erebidae,Autoba tristalis,成蟲,2019,346049,3826_10962
3826_253248,247500,2706500,Erebidae,Autoba tristalis,成蟲,2019,346049,3826_10150
3826_291805,304500,2783500,Erebidae,Autoba tristalis,成蟲,2013,346049,3826_11661
3826_276802,301500,2753500,Erebidae,Autoba tristalis,成蟲,2019,346049,3826_11061
3826_212229,228500,2624500,Erebidae,Autoba tristalis,成蟲,2015,346049,3826_8446
3826_277327,326500,2754500,Erebidae,Autoba tristalis,成蟲,2020,346049,3826_11066
3826_283807,306500,2767500,Erebidae,Autoba tristalis,成蟲,2020,346049,3826_11362
3826_273760,259500,2747500,Erebidae,Autoba tristalis,成蟲,2020,346049,3826_10952
3826_273786,285500,2747500,Erebidae,Autoba tristalis,成蟲,2020,346049,3826_10958
3826_259800,299500,2719500,Erebidae,Autoba tristalis,成蟲,2014,346049,3826_10360
3826_259800,299500,2719500,Erebidae,Autoba tristalis,成蟲,2015,346049,3826_10360
3826_273788,287500,2747500,Erebidae,Autoba tristalis,成蟲,2020,346049,3826_10958
3826_261765,264500,2723500,Erebidae,Autoba tristalis,成蟲,2020,346049,3826_10453
3826_275306,305500,2750500,Erebidae,Autoba tristalis,成蟲,2021,346049,3826_11062
3826_274806,305500,2749500,Erebidae,Autoba tristalis,成蟲,2021,346049,3826_10962
3826_266265,264500,2732500,Erebidae,Autoba tristalis,成蟲,2020,346049,3826_10653
3826_281839,338500,2763500,Erebidae,Autoba tristalis,成蟲,2021,346049,3826_11268
3826_272276,275500,2744500,Erebidae,Autoba tristalis,成蟲,2021,346049,3826_10856
3826_281324,323500,2762500,Erebidae,Autoba tristalis,成蟲,2021,346049,3826_11265
3826_282307,306500,2764500,Erebidae,Autoba tristalis,成蟲,2021,346049,3826_11262
3826_276802,301500,2753500,Erebidae,Autoba tristalis,成蟲,2016,346049,3826_11061
3826_205224,223500,2610500,Erebidae,Autoba tristalis,成蟲,2022,346049,3826_8245
3826_281810,309500,2763500,Erebidae,Autoba tristalis,成蟲,2022,346049,3826_11262
3826_274782,281500,2749500,Erebidae,Autoba tristalis,成蟲,2022,346049,3826_10957
