GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_273788,287500,2747500,Geometridae,Axinoptera anticostalis,成蟲,2012,344687,3826_10958
3826_252226,225500,2704500,Geometridae,Axinoptera anticostalis,成蟲,2014,344687,3826_10046
3826_282292,291500,2764500,Geometridae,Axinoptera anticostalis,成蟲,2015,344687,3826_11259
3826_281844,343500,2763500,Geometridae,Axinoptera anticostalis,成蟲,2015,344687,3826_11269
3826_293308,307500,2786500,Geometridae,Axinoptera anticostalis,成蟲,2016,344687,3826_11762
3826_281310,309500,2762500,Geometridae,Axinoptera anticostalis,成蟲,2016,344687,3826_11262
3826_284812,311500,2769500,Geometridae,Axinoptera anticostalis,成蟲,2016,344687,3826_11363
3826_293303,302500,2786500,Geometridae,Axinoptera anticostalis,成蟲,2016,344687,3826_11761
3826_281810,309500,2763500,Geometridae,Axinoptera anticostalis,成蟲,2017,344687,3826_11262
3826_261280,279500,2722500,Geometridae,Axinoptera anticostalis,成蟲,2017,344687,3826_10456
3826_290310,309500,2780500,Geometridae,Axinoptera anticostalis,成蟲,2017,344687,3826_11662
3826_281812,311500,2763500,Geometridae,Axinoptera anticostalis,成蟲,2017,344687,3826_11263
3826_293308,307500,2786500,Geometridae,Axinoptera anticostalis,成蟲,2017,344687,3826_11762
3826_252226,225500,2704500,Geometridae,Axinoptera anticostalis,成蟲,2017,344687,3826_10046
3826_289337,336500,2778500,Geometridae,Axinoptera anticostalis,成蟲,2014,344687,3826_11568
3826_281274,273500,2762500,Geometridae,Axinoptera anticostalis,成蟲,2017,344687,3826_11255
3826_293303,302500,2786500,Geometridae,Axinoptera anticostalis,成蟲,2018,344687,3826_11761
3826_282809,308500,2765500,Geometridae,Axinoptera anticostalis,成蟲,2018,344687,3826_11362
3826_281810,309500,2763500,Geometridae,Axinoptera anticostalis,成蟲,2018,344687,3826_11262
3826_284309,308500,2768500,Geometridae,Axinoptera anticostalis,成蟲,2018,344687,3826_11362
3826_282307,306500,2764500,Geometridae,Axinoptera anticostalis,成蟲,2018,344687,3826_11262
3826_282784,283500,2765500,Geometridae,Axinoptera anticostalis,成蟲,2018,344687,3826_11357
3826_284809,308500,2769500,Geometridae,Axinoptera anticostalis,成蟲,2018,344687,3826_11362
3826_269271,270500,2738500,Geometridae,Axinoptera anticostalis,成蟲,2018,344687,3826_10755
3826_154218,217500,2508500,Geometridae,Axinoptera anticostalis,成蟲,2018,344687,3826_6144
3826_287327,326500,2774500,Geometridae,Axinoptera anticostalis,成蟲,2018,344687,3826_11466
3826_251728,227500,2703500,Geometridae,Axinoptera anticostalis,成蟲,2019,344687,3826_10046
3826_228252,251500,2656500,Geometridae,Axinoptera anticostalis,幼蟲,2019,344687,3826_9151
3826_269757,256500,2739500,Geometridae,Axinoptera anticostalis,成蟲,2019,344687,3826_10752
3826_154218,217500,2508500,Geometridae,Axinoptera anticostalis,成蟲,2019,344687,3826_6144
3826_281820,319500,2763500,Geometridae,Axinoptera anticostalis,成蟲,2014,344687,3826_11264
3826_278301,300500,2756500,Geometridae,Axinoptera anticostalis,成蟲,2020,344687,3826_11161
3826_274305,304500,2748500,Geometridae,Axinoptera anticostalis,成蟲,2020,344687,3826_10961
3826_277327,326500,2754500,Geometridae,Axinoptera anticostalis,成蟲,2020,344687,3826_11066
3826_290311,310500,2780500,Geometridae,Axinoptera anticostalis,成蟲,2014,344687,3826_11663
3826_273760,259500,2747500,Geometridae,Axinoptera anticostalis,成蟲,2020,344687,3826_10952
3826_295315,314500,2790500,Geometridae,Axinoptera anticostalis,成蟲,2020,344687,3826_11863
3826_274281,280500,2748500,Geometridae,Axinoptera anticostalis,成蟲,2021,344687,3826_10957
3826_297809,308500,2795500,Geometridae,Axinoptera anticostalis,成蟲,2021,344687,3826_11962
3826_272276,275500,2744500,Geometridae,Axinoptera anticostalis,成蟲,2021,344687,3826_10856
3826_282307,306500,2764500,Geometridae,Axinoptera anticostalis,成蟲,2021,344687,3826_11262
3826_291805,304500,2783500,Geometridae,Axinoptera anticostalis,成蟲,2016,344687,3826_11661
3826_265791,290500,2731500,Geometridae,Axinoptera anticostalis,成蟲,2021,344687,3826_10659
3826_238252,251500,2676500,Geometridae,Axinoptera anticostalis,成蟲,2020,344687,3826_9551
3826_210713,212500,2621500,Geometridae,Axinoptera anticostalis,成蟲,2022,344687,3826_8443
3826_291305,304500,2782500,Geometridae,Axinoptera anticostalis,成蟲,2022,344687,3826_11661
3826_287810,309500,2775500,Geometridae,Axinoptera anticostalis,成蟲,2022,344687,3826_11562
