GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_238752,251500,2677500,Noctuidae,Axylia putris triseriata,成蟲,2011,346056,3826_9551
3826_241275,274500,2682500,Noctuidae,Axylia putris triseriata,成蟲,2012,346056,3826_9655
3826_175725,224500,2551500,Noctuidae,Axylia putris triseriata,成蟲,2013,346056,3826_7045
3826_235278,277500,2670500,Noctuidae,Axylia putris triseriata,成蟲,2013,346056,3826_9456
3826_264279,278500,2728500,Noctuidae,Axylia putris triseriata,成蟲,2013,346056,3826_10556
3826_212229,228500,2624500,Noctuidae,Axylia putris triseriata,成蟲,2014,346056,3826_8446
3826_237248,247500,2674500,Noctuidae,Axylia putris triseriata,成蟲,2015,346056,3826_9450
3826_264779,278500,2729500,Noctuidae,Axylia putris triseriata,成蟲,2014,346056,3826_10556
3826_281810,309500,2763500,Noctuidae,Axylia putris triseriata,成蟲,2014,346056,3826_11262
3826_200230,229500,2600500,Noctuidae,Axylia putris triseriata,成蟲,2014,346056,3826_8046
3826_280787,286500,2761500,Noctuidae,Axylia putris triseriata,成蟲,2015,346056,3826_11258
3826_174221,220500,2548500,Noctuidae,Axylia putris triseriata,成蟲,2015,346056,3826_6945
3826_205239,238500,2610500,Noctuidae,Axylia putris triseriata,成蟲,2014,346056,3826_8248
3826_280316,315500,2760500,Noctuidae,Axylia putris triseriata,成蟲,2015,346056,3826_11264
3826_195215,214500,2590500,Noctuidae,Axylia putris triseriata,成蟲,2015,346056,3826_7843
3826_281810,309500,2763500,Noctuidae,Axylia putris triseriata,成蟲,2015,346056,3826_11262
3826_237791,290500,2675500,Noctuidae,Axylia putris triseriata,成蟲,2015,346056,3826_9559
3826_237309,308500,2674500,Noctuidae,Axylia putris triseriata,成蟲,2012,346056,3826_9462
3826_234267,266500,2668500,Noctuidae,Axylia putris triseriata,成蟲,2010,346056,3826_9354
3826_199225,224500,2598500,Noctuidae,Axylia putris triseriata,成蟲,2012,346056,3826_7945
3826_273788,287500,2747500,Noctuidae,Axylia putris triseriata,成蟲,2012,346056,3826_10958
3826_254805,304500,2709500,Noctuidae,Axylia putris triseriata,成蟲,2015,346056,3826_10161
3826_272277,276500,2744500,Noctuidae,Axylia putris triseriata,成蟲,2013,346056,3826_10856
3826_285313,312500,2770500,Noctuidae,Axylia putris triseriata,成蟲,2016,346056,3826_11463
3826_195715,214500,2591500,Noctuidae,Axylia putris triseriata,成蟲,2013,346056,3826_7843
3826_285313,312500,2770500,Noctuidae,Axylia putris triseriata,成蟲,2013,346056,3826_11463
3826_290805,304500,2781500,Noctuidae,Axylia putris triseriata,成蟲,2013,346056,3826_11661
3826_200220,219500,2600500,Noctuidae,Axylia putris triseriata,成蟲,2016,346056,3826_8044
3826_192289,288500,2584500,Noctuidae,Axylia putris triseriata,成蟲,2015,346056,3826_7658
3826_225806,305500,2651500,Noctuidae,Axylia putris triseriata,成蟲,2016,346056,3826_9062
3826_276297,296500,2752500,Noctuidae,Axylia putris triseriata,成蟲,2016,346056,3826_11060
3826_175724,223500,2551500,Noctuidae,Axylia putris triseriata,成蟲,2016,346056,3826_7045
3826_229248,247500,2658500,Noctuidae,Axylia putris triseriata,成蟲,2016,346056,3826_9150
3826_271271,270500,2742500,Noctuidae,Axylia putris triseriata,幼蟲,2016,346056,3826_10855
3826_264279,278500,2728500,Noctuidae,Axylia putris triseriata,成蟲,2016,346056,3826_10556
3826_200230,229500,2600500,Noctuidae,Axylia putris triseriata,成蟲,2016,346056,3826_8046
3826_253242,241500,2706500,Noctuidae,Axylia putris triseriata,成蟲,2016,346056,3826_10149
3826_293303,302500,2786500,Noctuidae,Axylia putris triseriata,成蟲,2016,346056,3826_11761
3826_281301,300500,2762500,Noctuidae,Axylia putris triseriata,成蟲,2013,346056,3826_11261
3826_266294,293500,2732500,Noctuidae,Axylia putris triseriata,成蟲,2016,346056,3826_10659
3826_291801,300500,2783500,Noctuidae,Axylia putris triseriata,成蟲,2013,346056,3826_11661
3826_255762,261500,2711500,Noctuidae,Axylia putris triseriata,成蟲,2013,346056,3826_10253
3826_265790,289500,2731500,Noctuidae,Axylia putris triseriata,成蟲,2016,346056,3826_10658
3826_267279,278500,2734500,Noctuidae,Axylia putris triseriata,成蟲,2016,346056,3826_10656
3826_259784,283500,2719500,Noctuidae,Axylia putris triseriata,成蟲,2016,346056,3826_10357
3826_263279,278500,2726500,Noctuidae,Axylia putris triseriata,成蟲,2016,346056,3826_10556
3826_224749,248500,2649500,Noctuidae,Axylia putris triseriata,成蟲,2016,346056,3826_8950
3826_264254,253500,2728500,Noctuidae,Axylia putris triseriata,成蟲,2016,346056,3826_10551
3826_224749,248500,2649500,Noctuidae,Axylia putris triseriata,成蟲,2017,346056,3826_8950
3826_290310,309500,2780500,Noctuidae,Axylia putris triseriata,成蟲,2017,346056,3826_11662
3826_293308,307500,2786500,Noctuidae,Axylia putris triseriata,成蟲,2017,346056,3826_11762
3826_266265,264500,2732500,Noctuidae,Axylia putris triseriata,成蟲,2017,346056,3826_10653
3826_199225,224500,2598500,Noctuidae,Axylia putris triseriata,成蟲,2017,346056,3826_7945
3826_263753,252500,2727500,Noctuidae,Axylia putris triseriata,幼蟲,2017,346056,3826_10551
3826_261280,279500,2722500,Noctuidae,Axylia putris triseriata,成蟲,2017,346056,3826_10456
3826_227759,258500,2655500,Noctuidae,Axylia putris triseriata,成蟲,2017,346056,3826_9152
3826_281812,311500,2763500,Noctuidae,Axylia putris triseriata,成蟲,2017,346056,3826_11263
3826_265790,289500,2731500,Noctuidae,Axylia putris triseriata,成蟲,2017,346056,3826_10658
3826_264279,278500,2728500,Noctuidae,Axylia putris triseriata,成蟲,2017,346056,3826_10556
3826_238231,230500,2676500,Noctuidae,Axylia putris triseriata,成蟲,2017,346056,3826_9547
3826_224749,248500,2649500,Noctuidae,Axylia putris triseriata,成蟲,2018,346056,3826_8950
3826_175724,223500,2551500,Noctuidae,Axylia putris triseriata,成蟲,2015,346056,3826_7045
3826_293308,307500,2786500,Noctuidae,Axylia putris triseriata,成蟲,2018,346056,3826_11762
3826_262249,248500,2724500,Noctuidae,Axylia putris triseriata,成蟲,2018,346056,3826_10450
3826_286306,305500,2772500,Noctuidae,Axylia putris triseriata,成蟲,2018,346056,3826_11462
3826_281810,309500,2763500,Noctuidae,Axylia putris triseriata,成蟲,2018,346056,3826_11262
3826_263798,297500,2727500,Noctuidae,Axylia putris triseriata,成蟲,2018,346056,3826_10560
3826_219234,233500,2638500,Noctuidae,Axylia putris triseriata,成蟲,2018,346056,3826_8747
3826_255262,261500,2710500,Noctuidae,Axylia putris triseriata,成蟲,2018,346056,3826_10253
3826_236780,279500,2673500,Noctuidae,Axylia putris triseriata,成蟲,2018,346056,3826_9456
3826_224769,268500,2649500,Noctuidae,Axylia putris triseriata,成蟲,2018,346056,3826_8954
3826_283797,296500,2767500,Noctuidae,Axylia putris triseriata,成蟲,2018,346056,3826_11360
3826_254738,237500,2709500,Noctuidae,Axylia putris triseriata,成蟲,2018,346056,3826_10148
3826_228263,262500,2656500,Noctuidae,Axylia putris triseriata,成蟲,2017,346056,3826_9153
3826_229266,265500,2658500,Noctuidae,Axylia putris triseriata,成蟲,2016,346056,3826_9154
