GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_204726,225500,2609500,Erebidae,Bastilla amygdalis,成蟲,2012,346225,3826_8146
3826_292305,304500,2784500,Erebidae,Bastilla amygdalis,成蟲,2013,346225,3826_11661
3826_175222,221500,2550500,Erebidae,Bastilla amygdalis,成蟲,2015,346225,3826_7045
3826_227757,256500,2655500,Erebidae,Bastilla amygdalis,成蟲,2015,346225,3826_9152
3826_282307,306500,2764500,Erebidae,Bastilla amygdalis,成蟲,2015,346225,3826_11262
3826_222739,238500,2645500,Erebidae,Bastilla amygdalis,幼蟲,2012,346225,3826_8948
3826_227258,257500,2654500,Erebidae,Bastilla amygdalis,幼蟲,2015,346225,3826_9052
3826_281810,309500,2763500,Erebidae,Bastilla amygdalis,成蟲,2016,346225,3826_11262
3826_265790,289500,2731500,Erebidae,Bastilla amygdalis,成蟲,2016,346225,3826_10658
3826_198733,232500,2597500,Erebidae,Bastilla amygdalis,成蟲,2016,346225,3826_7947
3826_290310,309500,2780500,Erebidae,Bastilla amygdalis,成蟲,2016,346225,3826_11662
3826_281810,309500,2763500,Erebidae,Bastilla amygdalis,成蟲,2017,346225,3826_11262
3826_275806,305500,2751500,Erebidae,Bastilla amygdalis,成蟲,2016,346225,3826_11062
3826_190782,281500,2581500,Erebidae,Bastilla amygdalis,成蟲,2016,346225,3826_7657
3826_266265,264500,2732500,Erebidae,Bastilla amygdalis,成蟲,2017,346225,3826_10653
3826_195214,213500,2590500,Erebidae,Bastilla amygdalis,成蟲,2017,346225,3826_7843
3826_198739,238500,2597500,Erebidae,Bastilla amygdalis,成蟲,2017,346225,3826_7948
3826_281309,308500,2762500,Erebidae,Bastilla amygdalis,成蟲,2017,346225,3826_11262
3826_290310,309500,2780500,Erebidae,Bastilla amygdalis,成蟲,2017,346225,3826_11662
3826_264811,310500,2729500,Erebidae,Bastilla amygdalis,成蟲,2010,346225,3826_10563
3826_281309,308500,2762500,Erebidae,Bastilla amygdalis,成蟲,2018,346225,3826_11262
3826_265765,264500,2731500,Erebidae,Bastilla amygdalis,成蟲,2017,346225,3826_10653
3826_280321,320500,2760500,Erebidae,Bastilla amygdalis,成蟲,2018,346225,3826_11265
3826_154218,217500,2508500,Erebidae,Bastilla amygdalis,成蟲,2018,346225,3826_6144
3826_158223,222500,2516500,Erebidae,Bastilla amygdalis,成蟲,2015,346225,3826_6345
3826_255743,242500,2711500,Erebidae,Bastilla amygdalis,成蟲,2018,346225,3826_10249
3826_263753,252500,2727500,Erebidae,Bastilla amygdalis,成蟲,2019,346225,3826_10551
3826_254738,237500,2709500,Erebidae,Bastilla amygdalis,成蟲,2019,346225,3826_10148
3826_154218,217500,2508500,Erebidae,Bastilla amygdalis,成蟲,2019,346225,3826_6144
3826_225806,305500,2651500,Erebidae,Bastilla amygdalis,成蟲,2019,346225,3826_9062
3826_273786,285500,2747500,Erebidae,Bastilla amygdalis,成蟲,2019,346225,3826_10958
3826_274280,279500,2748500,Erebidae,Bastilla amygdalis,成蟲,2019,346225,3826_10956
3826_274808,307500,2749500,Erebidae,Bastilla amygdalis,成蟲,2019,346225,3826_10962
3826_218230,229500,2636500,Erebidae,Bastilla amygdalis,幼蟲,2019,346225,3826_8746
3826_281810,309500,2763500,Erebidae,Bastilla amygdalis,成蟲,2019,346225,3826_11262
3826_202216,215500,2604500,Erebidae,Bastilla amygdalis,成蟲,2020,346225,3826_8044
3826_273760,259500,2747500,Erebidae,Bastilla amygdalis,成蟲,2020,346225,3826_10952
3826_273786,285500,2747500,Erebidae,Bastilla amygdalis,成蟲,2020,346225,3826_10958
3826_281810,309500,2763500,Erebidae,Bastilla amygdalis,成蟲,2021,346225,3826_11262
3826_282806,305500,2765500,Erebidae,Bastilla amygdalis,成蟲,2021,346225,3826_11362
3826_291805,304500,2783500,Erebidae,Bastilla amygdalis,成蟲,2021,346225,3826_11661
3826_281810,309500,2763500,Erebidae,Bastilla amygdalis,成蟲,2022,346225,3826_11262
3826_219741,240500,2639500,Erebidae,Bastilla amygdalis,成蟲,2022,346225,3826_8749
