GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_154714,213500,2509500,Erebidae,Bastilla joviana joviana,成蟲,2012,346232,3826_6143
3826_281298,297500,2762500,Erebidae,Bastilla joviana joviana,幼蟲,2012,346232,3826_11260
3826_286791,290500,2773500,Erebidae,Bastilla joviana joviana,成蟲,2012,346232,3826_11459
3826_158228,227500,2516500,Erebidae,Bastilla joviana joviana,成蟲,2012,346232,3826_6346
3826_116226,225500,2432500,Erebidae,Bastilla joviana joviana,成蟲,2013,346232,3826_4646
3826_275267,266500,2750500,Erebidae,Bastilla joviana joviana,幼蟲,2013,346232,3826_11054
3826_275267,266500,2750500,Erebidae,Bastilla joviana joviana,成蟲,2013,346232,3826_11054
3826_139724,223500,2479500,Erebidae,Bastilla joviana joviana,成蟲,2014,346232,3826_5545
3826_234715,214500,2669500,Erebidae,Bastilla joviana joviana,成蟲,2014,346232,3826_9343
3826_280787,286500,2761500,Erebidae,Bastilla joviana joviana,成蟲,2014,346232,3826_11258
3826_283807,306500,2767500,Erebidae,Bastilla joviana joviana,成蟲,2015,346232,3826_11362
3826_152684,183500,2505500,Erebidae,Bastilla joviana joviana,幼蟲,2010,346232,3826_6137
3826_282292,291500,2764500,Erebidae,Bastilla joviana joviana,成蟲,2015,346232,3826_11259
3826_279801,300500,2759500,Erebidae,Bastilla joviana joviana,成蟲,2015,346232,3826_11161
3826_221310,309500,2642500,Erebidae,Bastilla joviana joviana,成蟲,2015,346232,3826_8862
3826_281301,300500,2762500,Erebidae,Bastilla joviana joviana,成蟲,2014,346232,3826_11261
3826_285793,292500,2771500,Erebidae,Bastilla joviana joviana,成蟲,2015,346232,3826_11459
3826_152210,209500,2504500,Erebidae,Bastilla joviana joviana,成蟲,2013,346232,3826_6042
3826_297809,308500,2795500,Erebidae,Bastilla joviana joviana,幼蟲,2013,346232,3826_11962
3826_291801,300500,2783500,Erebidae,Bastilla joviana joviana,成蟲,2012,346232,3826_11661
3826_213711,210500,2627500,Erebidae,Bastilla joviana joviana,成蟲,2016,346232,3826_8543
3826_140224,223500,2480500,Erebidae,Bastilla joviana joviana,成蟲,2012,346232,3826_5645
3826_273260,259500,2746500,Erebidae,Bastilla joviana joviana,幼蟲,2016,346232,3826_10952
3826_284810,309500,2769500,Erebidae,Bastilla joviana joviana,成蟲,2016,346232,3826_11362
3826_230228,227500,2660500,Erebidae,Bastilla joviana joviana,成蟲,2016,346232,3826_9246
3826_287310,309500,2774500,Erebidae,Bastilla joviana joviana,成蟲,2010,346232,3826_11462
3826_193218,217500,2586500,Erebidae,Bastilla joviana joviana,成蟲,2017,346232,3826_7744
3826_232753,252500,2665500,Erebidae,Bastilla joviana joviana,成蟲,2017,346232,3826_9351
3826_281810,309500,2763500,Erebidae,Bastilla joviana joviana,成蟲,2017,346232,3826_11262
3826_287294,293500,2774500,Erebidae,Bastilla joviana joviana,成蟲,2018,346232,3826_11459
3826_154218,217500,2508500,Erebidae,Bastilla joviana joviana,成蟲,2018,346232,3826_6144
3826_271273,272500,2742500,Erebidae,Bastilla joviana joviana,幼蟲,2018,346232,3826_10855
3826_163688,187500,2527500,Erebidae,Bastilla joviana joviana,成蟲,2018,346232,3826_6538
3826_171164,163500,2542500,Erebidae,Bastilla joviana joviana,成蟲,2018,346232,3826_6833
3826_266755,254500,2733500,Erebidae,Bastilla joviana joviana,成蟲,2019,346232,3826_10651
3826_281810,309500,2763500,Erebidae,Bastilla joviana joviana,成蟲,2019,346232,3826_11262
3826_270749,248500,2741500,Erebidae,Bastilla joviana joviana,成蟲,2019,346232,3826_10850
3826_165724,223500,2531500,Erebidae,Bastilla joviana joviana,成蟲,2012,346232,3826_6645
3826_168208,207500,2536500,Erebidae,Bastilla joviana joviana,成蟲,2019,346232,3826_6742
3826_295316,315500,2790500,Erebidae,Bastilla joviana joviana,幼蟲,2019,346232,3826_11864
3826_280805,304500,2761500,Erebidae,Bastilla joviana joviana,幼蟲,2019,346232,3826_11261
3826_269757,256500,2739500,Erebidae,Bastilla joviana joviana,成蟲,2019,346232,3826_10752
3826_280319,318500,2760500,Erebidae,Bastilla joviana joviana,成蟲,2019,346232,3826_11264
3826_257745,244500,2715500,Erebidae,Bastilla joviana joviana,成蟲,2019,346232,3826_10349
3826_154218,217500,2508500,Erebidae,Bastilla joviana joviana,成蟲,2019,346232,3826_6144
3826_274825,324500,2749500,Erebidae,Bastilla joviana joviana,幼蟲,2019,346232,3826_10965
3826_159220,219500,2518500,Erebidae,Bastilla joviana joviana,成蟲,2014,346232,3826_6344
3826_166218,217500,2532500,Erebidae,Bastilla joviana joviana,幼蟲,2019,346232,3826_6644
3826_173186,185500,2546500,Erebidae,Bastilla joviana joviana,幼蟲,2019,346232,3826_6938
3826_272276,275500,2744500,Erebidae,Bastilla joviana joviana,成蟲,2019,346232,3826_10856
