GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_273788,287500,2747500,Erebidae,Batracharta divisa,成蟲,2012,346058,3826_10958
3826_267778,277500,2735500,Erebidae,Batracharta divisa,成蟲,2013,346058,3826_10756
3826_273788,287500,2747500,Erebidae,Batracharta divisa,成蟲,2013,346058,3826_10958
3826_264779,278500,2729500,Erebidae,Batracharta divisa,成蟲,2013,346058,3826_10556
3826_187200,199500,2574500,Erebidae,Batracharta divisa,成蟲,2014,346058,3826_7440
3826_255762,261500,2711500,Erebidae,Batracharta divisa,成蟲,2014,346058,3826_10253
3826_214739,238500,2629500,Erebidae,Batracharta divisa,成蟲,2010,346058,3826_8548
3826_264279,278500,2728500,Erebidae,Batracharta divisa,成蟲,2014,346058,3826_10556
3826_187200,199500,2574500,Erebidae,Batracharta divisa,成蟲,2015,346058,3826_7440
3826_188240,239500,2576500,Erebidae,Batracharta divisa,成蟲,2015,346058,3826_7548
3826_237248,247500,2674500,Erebidae,Batracharta divisa,成蟲,2015,346058,3826_9450
3826_253242,241500,2706500,Erebidae,Batracharta divisa,成蟲,2014,346058,3826_10149
3826_212787,286500,2625500,Erebidae,Batracharta divisa,成蟲,2012,346058,3826_8558
3826_276297,296500,2752500,Erebidae,Batracharta divisa,成蟲,2016,346058,3826_11060
3826_267279,278500,2734500,Erebidae,Batracharta divisa,成蟲,2016,346058,3826_10656
3826_264279,278500,2728500,Erebidae,Batracharta divisa,成蟲,2016,346058,3826_10556
3826_255762,261500,2711500,Erebidae,Batracharta divisa,成蟲,2016,346058,3826_10253
3826_263798,297500,2727500,Erebidae,Batracharta divisa,成蟲,2016,346058,3826_10560
3826_263279,278500,2726500,Erebidae,Batracharta divisa,成蟲,2016,346058,3826_10556
3826_199225,224500,2598500,Erebidae,Batracharta divisa,成蟲,2017,346058,3826_7945
3826_220810,309500,2641500,Erebidae,Batracharta divisa,成蟲,2016,346058,3826_8862
3826_200229,228500,2600500,Erebidae,Batracharta divisa,成蟲,2017,346058,3826_8046
3826_253331,330500,2706500,Erebidae,Batracharta divisa,成蟲,2017,346058,3826_10167
3826_256762,261500,2713500,Erebidae,Batracharta divisa,成蟲,2017,346058,3826_10253
3826_266293,292500,2732500,Erebidae,Batracharta divisa,成蟲,2017,346058,3826_10659
3826_195214,213500,2590500,Erebidae,Batracharta divisa,成蟲,2017,346058,3826_7843
3826_237228,227500,2674500,Erebidae,Batracharta divisa,成蟲,2018,346058,3826_9446
3826_255812,311500,2711500,Erebidae,Batracharta divisa,成蟲,2018,346058,3826_10263
3826_277327,326500,2754500,Erebidae,Batracharta divisa,成蟲,2018,346058,3826_11066
3826_276802,301500,2753500,Erebidae,Batracharta divisa,成蟲,2016,346058,3826_11061
3826_255743,242500,2711500,Erebidae,Batracharta divisa,成蟲,2018,346058,3826_10249
3826_165724,223500,2531500,Erebidae,Batracharta divisa,成蟲,2012,346058,3826_6645
3826_259800,299500,2719500,Erebidae,Batracharta divisa,成蟲,2019,346058,3826_10360
3826_255762,261500,2711500,Erebidae,Batracharta divisa,成蟲,2019,346058,3826_10253
3826_140236,235500,2480500,Erebidae,Batracharta divisa,成蟲,2019,346058,3826_5648
3826_257745,244500,2715500,Erebidae,Batracharta divisa,成蟲,2019,346058,3826_10349
3826_293304,303500,2786500,Erebidae,Batracharta divisa,成蟲,2013,346058,3826_11761
3826_265790,289500,2731500,Erebidae,Batracharta divisa,成蟲,2020,346058,3826_10658
3826_266293,292500,2732500,Erebidae,Batracharta divisa,成蟲,2020,346058,3826_10659
3826_273788,287500,2747500,Erebidae,Batracharta divisa,成蟲,2020,346058,3826_10958
3826_255262,261500,2710500,Erebidae,Batracharta divisa,成蟲,2020,346058,3826_10253
3826_269273,272500,2738500,Erebidae,Batracharta divisa,成蟲,2021,346058,3826_10755
3826_130734,233500,2461500,Erebidae,Batracharta divisa,成蟲,2015,346058,3826_5247
3826_273788,287500,2747500,Erebidae,Batracharta divisa,成蟲,2021,346058,3826_10958
3826_248781,280500,2697500,Erebidae,Batracharta divisa,成蟲,2021,346058,3826_9957
3826_264779,278500,2729500,Erebidae,Batracharta divisa,成蟲,2021,346058,3826_10556
3826_200731,230500,2601500,Erebidae,Batracharta divisa,成蟲,2021,346058,3826_8047
3826_147746,245500,2495500,Erebidae,Batracharta divisa,成蟲,2021,346058,3826_5950
3826_230272,271500,2660500,Erebidae,Batracharta divisa,成蟲,2021,346058,3826_9255
3826_262761,260500,2725500,Erebidae,Batracharta divisa,成蟲,2020,346058,3826_10553
3826_257745,244500,2715500,Erebidae,Batracharta divisa,成蟲,2022,346058,3826_10349
3826_273788,287500,2747500,Erebidae,Batracharta divisa,成蟲,2022,346058,3826_10958
3826_263294,293500,2726500,Erebidae,Batracharta divisa,成蟲,2022,346058,3826_10559
