GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_274316,315500,2748500,Limacodidae,Belippa horrida,成蟲,2011,345633,3826_10964
3826_219243,242500,2638500,Limacodidae,Belippa horrida,成蟲,2012,345633,3826_8749
3826_192714,213500,2585500,Limacodidae,Belippa horrida,成蟲,2012,345633,3826_7743
3826_157716,215500,2515500,Limacodidae,Belippa horrida,幼蟲,2010,345633,3826_6344
3826_166266,265500,2532500,Limacodidae,Belippa horrida,成蟲,2012,345633,3826_6654
3826_212229,228500,2624500,Limacodidae,Belippa horrida,成蟲,2012,345633,3826_8446
3826_273788,287500,2747500,Limacodidae,Belippa horrida,成蟲,2012,345633,3826_10958
3826_144746,245500,2489500,Limacodidae,Belippa horrida,幼蟲,2010,345633,3826_5750
3826_289310,309500,2778500,Limacodidae,Belippa horrida,幼蟲,2011,345633,3826_11562
3826_249744,243500,2699500,Limacodidae,Belippa horrida,幼蟲,2012,345633,3826_9949
3826_154714,213500,2509500,Limacodidae,Belippa horrida,幼蟲,2013,345633,3826_6143
3826_278806,305500,2757500,Limacodidae,Belippa horrida,成蟲,2013,345633,3826_11162
3826_175725,224500,2551500,Limacodidae,Belippa horrida,成蟲,2013,345633,3826_7045
3826_269811,310500,2739500,Limacodidae,Belippa horrida,成蟲,2013,345633,3826_10763
3826_281310,309500,2762500,Limacodidae,Belippa horrida,幼蟲,2013,345633,3826_11262
3826_187200,199500,2574500,Limacodidae,Belippa horrida,成蟲,2014,345633,3826_7440
3826_287813,312500,2775500,Limacodidae,Belippa horrida,成蟲,2014,345633,3826_11563
3826_280809,308500,2761500,Limacodidae,Belippa horrida,成蟲,2014,345633,3826_11262
3826_269811,310500,2739500,Limacodidae,Belippa horrida,成蟲,2014,345633,3826_10763
3826_281309,308500,2762500,Limacodidae,Belippa horrida,成蟲,2014,345633,3826_11262
3826_187200,199500,2574500,Limacodidae,Belippa horrida,成蟲,2015,345633,3826_7440
3826_220810,309500,2641500,Limacodidae,Belippa horrida,成蟲,2015,345633,3826_8862
3826_237248,247500,2674500,Limacodidae,Belippa horrida,成蟲,2015,345633,3826_9450
3826_274307,306500,2748500,Limacodidae,Belippa horrida,成蟲,2014,345633,3826_10962
3826_228809,308500,2657500,Limacodidae,Belippa horrida,幼蟲,2015,345633,3826_9162
3826_279306,305500,2758500,Limacodidae,Belippa horrida,成蟲,2013,345633,3826_11162
3826_227757,256500,2655500,Limacodidae,Belippa horrida,成蟲,2015,345633,3826_9152
3826_281309,308500,2762500,Limacodidae,Belippa horrida,幼蟲,2012,345633,3826_11262
3826_226806,305500,2653500,Limacodidae,Belippa horrida,成蟲,2016,345633,3826_9062
3826_280809,308500,2761500,Limacodidae,Belippa horrida,幼蟲,2012,345633,3826_11262
3826_273279,278500,2746500,Limacodidae,Belippa horrida,成蟲,2013,345633,3826_10956
3826_161256,255500,2522500,Limacodidae,Belippa horrida,幼蟲,2016,345633,3826_6452
3826_192289,288500,2584500,Limacodidae,Belippa horrida,成蟲,2015,345633,3826_7658
3826_259800,299500,2719500,Limacodidae,Belippa horrida,成蟲,2012,345633,3826_10360
3826_175724,223500,2551500,Limacodidae,Belippa horrida,成蟲,2016,345633,3826_7045
3826_195213,212500,2590500,Limacodidae,Belippa horrida,成蟲,2016,345633,3826_7843
3826_285310,309500,2770500,Limacodidae,Belippa horrida,成蟲,2016,345633,3826_11462
3826_290310,309500,2780500,Limacodidae,Belippa horrida,成蟲,2016,345633,3826_11662
3826_263246,245500,2726500,Limacodidae,Belippa horrida,成蟲,2016,345633,3826_10550
3826_203210,209500,2606500,Limacodidae,Belippa horrida,成蟲,2016,345633,3826_8142
3826_198719,218500,2597500,Limacodidae,Belippa horrida,成蟲,2013,345633,3826_7944
3826_175223,222500,2550500,Limacodidae,Belippa horrida,成蟲,2016,345633,3826_7045
3826_226306,305500,2652500,Limacodidae,Belippa horrida,成蟲,2017,345633,3826_9062
3826_267787,286500,2735500,Limacodidae,Belippa horrida,成蟲,2017,345633,3826_10758
3826_228252,251500,2656500,Limacodidae,Belippa horrida,成蟲,2017,345633,3826_9151
3826_260767,266500,2721500,Limacodidae,Belippa horrida,成蟲,2017,345633,3826_10454
3826_232753,252500,2665500,Limacodidae,Belippa horrida,成蟲,2014,345633,3826_9351
3826_274307,306500,2748500,Limacodidae,Belippa horrida,成蟲,2013,345633,3826_10962
3826_281810,309500,2763500,Limacodidae,Belippa horrida,成蟲,2014,345633,3826_11262
3826_187200,199500,2574500,Limacodidae,Belippa horrida,幼蟲,2010,345633,3826_7440
3826_237248,247500,2674500,Limacodidae,Belippa horrida,成蟲,2018,345633,3826_9450
3826_285830,329500,2771500,Limacodidae,Belippa horrida,成蟲,2018,345633,3826_11466
3826_269271,270500,2738500,Limacodidae,Belippa horrida,成蟲,2018,345633,3826_10755
3826_255743,242500,2711500,Limacodidae,Belippa horrida,成蟲,2018,345633,3826_10249
3826_182206,205500,2564500,Limacodidae,Belippa horrida,成蟲,2014,345633,3826_7242
3826_291822,321500,2783500,Limacodidae,Belippa horrida,幼蟲,2019,345633,3826_11665
3826_227760,259500,2655500,Limacodidae,Belippa horrida,成蟲,2019,345633,3826_9152
3826_154218,217500,2508500,Limacodidae,Belippa horrida,成蟲,2013,345633,3826_6144
3826_257242,241500,2714500,Limacodidae,Belippa horrida,成蟲,2019,345633,3826_10249
3826_225739,238500,2651500,Limacodidae,Belippa horrida,成蟲,2019,345633,3826_9048
3826_274782,281500,2749500,Limacodidae,Belippa horrida,幼蟲,2019,345633,3826_10957
