GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_275267,266500,2750500,Erebidae,Bertula hadenalis,成蟲,2012,346065a,3826_11054
3826_187200,199500,2574500,Erebidae,Bertula hadenalis,成蟲,2012,346065a,3826_7440
3826_276808,307500,2753500,Erebidae,Bertula hadenalis,成蟲,2012,346065a,3826_11062
3826_280316,315500,2760500,Erebidae,Bertula hadenalis,成蟲,2013,346065a,3826_11264
3826_259800,299500,2719500,Erebidae,Bertula hadenalis,成蟲,2013,346065a,3826_10360
3826_282307,306500,2764500,Erebidae,Bertula hadenalis,成蟲,2013,346065a,3826_11262
3826_282307,306500,2764500,Erebidae,Bertula hadenalis,成蟲,2014,346065a,3826_11262
3826_282307,306500,2764500,Erebidae,Bertula hadenalis,成蟲,2015,346065a,3826_11262
3826_259800,299500,2719500,Erebidae,Bertula hadenalis,成蟲,2015,346065a,3826_10360
3826_218230,229500,2636500,Erebidae,Bertula hadenalis,成蟲,2013,346065a,3826_8746
3826_195215,214500,2590500,Erebidae,Bertula hadenalis,成蟲,2015,346065a,3826_7843
3826_187200,199500,2574500,Erebidae,Bertula hadenalis,成蟲,2015,346065a,3826_7440
3826_281844,343500,2763500,Erebidae,Bertula hadenalis,成蟲,2015,346065a,3826_11269
3826_290310,309500,2780500,Erebidae,Bertula hadenalis,成蟲,2016,346065a,3826_11662
3826_264279,278500,2728500,Erebidae,Bertula hadenalis,成蟲,2016,346065a,3826_10556
3826_282307,306500,2764500,Erebidae,Bertula hadenalis,成蟲,2016,346065a,3826_11262
3826_288310,309500,2776500,Erebidae,Bertula hadenalis,成蟲,2013,346065a,3826_11562
3826_269315,314500,2738500,Erebidae,Bertula hadenalis,成蟲,2012,346065a,3826_10763
3826_284812,311500,2769500,Erebidae,Bertula hadenalis,成蟲,2016,346065a,3826_11363
3826_284311,310500,2768500,Erebidae,Bertula hadenalis,成蟲,2016,346065a,3826_11363
3826_284810,309500,2769500,Erebidae,Bertula hadenalis,成蟲,2016,346065a,3826_11362
3826_225806,305500,2651500,Erebidae,Bertula hadenalis,成蟲,2016,346065a,3826_9062
