GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_291801,300500,2783500,Lasiocampidae,Bharetta owadai,成蟲,2012,345527,3826_11661
3826_291801,300500,2783500,Lasiocampidae,Bharetta owadai,成蟲,2013,345527,3826_11661
3826_177231,230500,2554500,Lasiocampidae,Bharetta owadai,成蟲,2013,345527,3826_7047
3826_287813,312500,2775500,Lasiocampidae,Bharetta owadai,成蟲,2013,345527,3826_11563
3826_170217,216500,2540500,Lasiocampidae,Bharetta owadai,成蟲,2013,345527,3826_6844
3826_212229,228500,2624500,Lasiocampidae,Bharetta owadai,成蟲,2014,345527,3826_8446
3826_198220,219500,2596500,Lasiocampidae,Bharetta owadai,成蟲,2015,345527,3826_7944
3826_273788,287500,2747500,Lasiocampidae,Bharetta owadai,成蟲,2012,345527,3826_10958
3826_269811,310500,2739500,Lasiocampidae,Bharetta owadai,成蟲,2015,345527,3826_10763
3826_285313,312500,2770500,Lasiocampidae,Bharetta owadai,成蟲,2016,345527,3826_11463
3826_290805,304500,2781500,Lasiocampidae,Bharetta owadai,成蟲,2013,345527,3826_11661
3826_275786,285500,2751500,Lasiocampidae,Bharetta owadai,成蟲,2016,345527,3826_11058
3826_272774,273500,2745500,Lasiocampidae,Bharetta owadai,成蟲,2016,345527,3826_10955
3826_175725,224500,2551500,Lasiocampidae,Bharetta owadai,成蟲,2013,345527,3826_7045
3826_277327,326500,2754500,Lasiocampidae,Bharetta owadai,成蟲,2016,345527,3826_11066
3826_266265,264500,2732500,Lasiocampidae,Bharetta owadai,成蟲,2016,345527,3826_10653
3826_259800,299500,2719500,Lasiocampidae,Bharetta owadai,成蟲,2017,345527,3826_10360
3826_238815,314500,2677500,Lasiocampidae,Bharetta owadai,成蟲,2017,345527,3826_9563
3826_239300,299500,2678500,Lasiocampidae,Bharetta owadai,成蟲,2017,345527,3826_9560
3826_284810,309500,2769500,Lasiocampidae,Bharetta owadai,成蟲,2017,345527,3826_11362
3826_293303,302500,2786500,Lasiocampidae,Bharetta owadai,成蟲,2018,345527,3826_11761
3826_229706,205500,2659500,Lasiocampidae,Bharetta owadai,成蟲,2018,345527,3826_9142
3826_272277,276500,2744500,Lasiocampidae,Bharetta owadai,成蟲,2018,345527,3826_10856
3826_281810,309500,2763500,Lasiocampidae,Bharetta owadai,成蟲,2018,345527,3826_11262
3826_255743,242500,2711500,Lasiocampidae,Bharetta owadai,成蟲,2018,345527,3826_10249
3826_280304,303500,2760500,Lasiocampidae,Bharetta owadai,幼蟲,2019,345527,3826_11261
3826_154218,217500,2508500,Lasiocampidae,Bharetta owadai,成蟲,2019,345527,3826_6144
3826_281334,333500,2762500,Lasiocampidae,Bharetta owadai,成蟲,2018,345527,3826_11267
3826_197218,217500,2594500,Lasiocampidae,Bharetta owadai,成蟲,2019,345527,3826_7844
3826_254738,237500,2709500,Lasiocampidae,Bharetta owadai,成蟲,2019,345527,3826_10148
3826_219244,243500,2638500,Lasiocampidae,Bharetta owadai,成蟲,2019,345527,3826_8749
3826_281810,309500,2763500,Lasiocampidae,Bharetta owadai,成蟲,2019,345527,3826_11262
3826_170218,217500,2540500,Lasiocampidae,Bharetta owadai,成蟲,2013,345527,3826_6844
3826_269273,272500,2738500,Lasiocampidae,Bharetta owadai,成蟲,2020,345527,3826_10755
3826_175724,223500,2551500,Lasiocampidae,Bharetta owadai,成蟲,2020,345527,3826_7045
3826_281810,309500,2763500,Lasiocampidae,Bharetta owadai,成蟲,2020,345527,3826_11262
3826_283806,305500,2767500,Lasiocampidae,Bharetta owadai,成蟲,2020,345527,3826_11362
3826_175224,223500,2550500,Lasiocampidae,Bharetta owadai,成蟲,2020,345527,3826_7045
3826_257745,244500,2715500,Lasiocampidae,Bharetta owadai,成蟲,2020,345527,3826_10349
3826_280302,301500,2760500,Lasiocampidae,Bharetta owadai,成蟲,2020,345527,3826_11261
3826_263324,323500,2726500,Lasiocampidae,Bharetta owadai,成蟲,2020,345527,3826_10565
3826_262824,323500,2725500,Lasiocampidae,Bharetta owadai,成蟲,2020,345527,3826_10565
3826_273788,287500,2747500,Lasiocampidae,Bharetta owadai,成蟲,2020,345527,3826_10958
3826_279292,291500,2758500,Lasiocampidae,Bharetta owadai,成蟲,2020,345527,3826_11159
3826_285821,320500,2771500,Lasiocampidae,Bharetta owadai,成蟲,2020,345527,3826_11465
3826_269811,310500,2739500,Lasiocampidae,Bharetta owadai,成蟲,2021,345527,3826_10763
3826_238251,250500,2676500,Lasiocampidae,Bharetta owadai,成蟲,2020,345527,3826_9551
3826_281810,309500,2763500,Lasiocampidae,Bharetta owadai,成蟲,2021,345527,3826_11262
3826_276808,307500,2753500,Lasiocampidae,Bharetta owadai,成蟲,2021,345527,3826_11062
3826_291305,304500,2782500,Lasiocampidae,Bharetta owadai,成蟲,2021,345527,3826_11661
3826_230272,271500,2660500,Lasiocampidae,Bharetta owadai,成蟲,2021,345527,3826_9255
3826_269273,272500,2738500,Lasiocampidae,Bharetta owadai,成蟲,2021,345527,3826_10755
3826_235232,231500,2670500,Lasiocampidae,Bharetta owadai,成蟲,2021,345527,3826_9447
3826_281810,309500,2763500,Lasiocampidae,Bharetta owadai,成蟲,2022,345527,3826_11262
3826_235232,231500,2670500,Lasiocampidae,Bharetta owadai,成蟲,2022,345527,3826_9447
3826_269273,272500,2738500,Lasiocampidae,Bharetta owadai,成蟲,2022,345527,3826_10755
3826_175725,224500,2551500,Lasiocampidae,Bharetta owadai,成蟲,2022,345527,3826_7045
3826_147746,245500,2495500,Lasiocampidae,Bharetta owadai,成蟲,2022,345527,3826_5950
