GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_283807,306500,2767500,Limacodidae,Birthamula rufa,幼蟲,2012,430673,3826_11362
3826_280807,306500,2761500,Limacodidae,Birthamula rufa,幼蟲,2012,430673,3826_11262
3826_223304,303500,2646500,Limacodidae,Birthamula rufa,幼蟲,2012,430673,3826_8961
3826_274305,304500,2748500,Limacodidae,Birthamula rufa,幼蟲,2012,430673,3826_10961
3826_272781,280500,2745500,Limacodidae,Birthamula rufa,幼蟲,2012,430673,3826_10957
3826_272780,279500,2745500,Limacodidae,Birthamula rufa,幼蟲,2012,430673,3826_10956
3826_204726,225500,2609500,Limacodidae,Birthamula rufa,幼蟲,2012,430673,3826_8146
3826_291805,304500,2783500,Limacodidae,Birthamula rufa,幼蟲,2012,430673,3826_11661
3826_204739,238500,2609500,Limacodidae,Birthamula rufa,成蟲,2012,430673,3826_8148
3826_274810,309500,2749500,Limacodidae,Birthamula rufa,幼蟲,2012,430673,3826_10962
3826_219242,241500,2638500,Limacodidae,Birthamula rufa,幼蟲,2012,430673,3826_8749
3826_249744,243500,2699500,Limacodidae,Birthamula rufa,幼蟲,2012,430673,3826_9949
3826_222739,238500,2645500,Limacodidae,Birthamula rufa,幼蟲,2012,430673,3826_8948
3826_271288,287500,2742500,Limacodidae,Birthamula rufa,幼蟲,2011,430673,3826_10858
3826_275292,291500,2750500,Limacodidae,Birthamula rufa,幼蟲,2012,430673,3826_11059
3826_284325,324500,2768500,Limacodidae,Birthamula rufa,幼蟲,2012,430673,3826_11365
3826_281313,312500,2762500,Limacodidae,Birthamula rufa,幼蟲,2012,430673,3826_11263
3826_285830,329500,2771500,Limacodidae,Birthamula rufa,幼蟲,2013,430673,3826_11466
3826_280819,318500,2761500,Limacodidae,Birthamula rufa,幼蟲,2013,430673,3826_11264
3826_220742,241500,2641500,Limacodidae,Birthamula rufa,幼蟲,2013,430673,3826_8849
3826_281309,308500,2762500,Limacodidae,Birthamula rufa,成蟲,2013,430673,3826_11262
3826_292305,304500,2784500,Limacodidae,Birthamula rufa,幼蟲,2013,430673,3826_11661
3826_271769,268500,2743500,Limacodidae,Birthamula rufa,幼蟲,2013,430673,3826_10854
3826_272276,275500,2744500,Limacodidae,Birthamula rufa,幼蟲,2013,430673,3826_10856
3826_281813,312500,2763500,Limacodidae,Birthamula rufa,幼蟲,2013,430673,3826_11263
3826_249744,243500,2699500,Limacodidae,Birthamula rufa,成蟲,2012,430673,3826_9949
3826_273788,287500,2747500,Limacodidae,Birthamula rufa,成蟲,2012,430673,3826_10958
3826_270276,275500,2740500,Limacodidae,Birthamula rufa,幼蟲,2013,430673,3826_10856
3826_151226,225500,2502500,Limacodidae,Birthamula rufa,幼蟲,2012,430673,3826_6046
3826_261256,255500,2722500,Limacodidae,Birthamula rufa,幼蟲,2013,430673,3826_10452
3826_281810,309500,2763500,Limacodidae,Birthamula rufa,成蟲,2013,430673,3826_11262
3826_278825,324500,2757500,Limacodidae,Birthamula rufa,幼蟲,2013,430673,3826_11165
3826_272774,273500,2745500,Limacodidae,Birthamula rufa,幼蟲,2013,430673,3826_10955
3826_285313,312500,2770500,Limacodidae,Birthamula rufa,幼蟲,2014,430673,3826_11463
3826_290304,303500,2780500,Limacodidae,Birthamula rufa,幼蟲,2013,430673,3826_11661
3826_232753,252500,2665500,Limacodidae,Birthamula rufa,幼蟲,2013,430673,3826_9351
