GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_161256,255500,2522500,Erebidae,Blasticorhinus bifasciata,成蟲,2012,346073,3826_6452
3826_264279,278500,2728500,Erebidae,Blasticorhinus bifasciata,成蟲,2012,346073,3826_10556
3826_265782,281500,2731500,Erebidae,Blasticorhinus bifasciata,成蟲,2012,346073,3826_10657
3826_270276,275500,2740500,Erebidae,Blasticorhinus bifasciata,成蟲,2013,346073,3826_10856
3826_247282,281500,2694500,Erebidae,Blasticorhinus bifasciata,成蟲,2013,346073,3826_9857
3826_274795,294500,2749500,Erebidae,Blasticorhinus bifasciata,成蟲,2013,346073,3826_10959
3826_227759,258500,2655500,Erebidae,Blasticorhinus bifasciata,成蟲,2014,346073,3826_9152
3826_273304,303500,2746500,Erebidae,Blasticorhinus bifasciata,成蟲,2015,346073,3826_10961
3826_187742,241500,2575500,Erebidae,Blasticorhinus bifasciata,成蟲,2015,346073,3826_7549
3826_221310,309500,2642500,Erebidae,Blasticorhinus bifasciata,成蟲,2015,346073,3826_8862
3826_220810,309500,2641500,Erebidae,Blasticorhinus bifasciata,成蟲,2015,346073,3826_8862
3826_264279,278500,2728500,Erebidae,Blasticorhinus bifasciata,成蟲,2015,346073,3826_10556
3826_255762,261500,2711500,Erebidae,Blasticorhinus bifasciata,成蟲,2014,346073,3826_10253
3826_239821,320500,2679500,Erebidae,Blasticorhinus bifasciata,成蟲,2014,346073,3826_9565
3826_211306,305500,2622500,Erebidae,Blasticorhinus bifasciata,成蟲,2015,346073,3826_8462
3826_207229,228500,2614500,Erebidae,Blasticorhinus bifasciata,成蟲,2015,346073,3826_8246
3826_269811,310500,2739500,Erebidae,Blasticorhinus bifasciata,成蟲,2016,346073,3826_10763
3826_242252,251500,2684500,Erebidae,Blasticorhinus bifasciata,成蟲,2015,346073,3826_9651
3826_200229,228500,2600500,Erebidae,Blasticorhinus bifasciata,成蟲,2016,346073,3826_8046
3826_276297,296500,2752500,Erebidae,Blasticorhinus bifasciata,成蟲,2016,346073,3826_11060
3826_255762,261500,2711500,Erebidae,Blasticorhinus bifasciata,成蟲,2016,346073,3826_10253
3826_259282,281500,2718500,Erebidae,Blasticorhinus bifasciata,成蟲,2016,346073,3826_10357
3826_237301,300500,2674500,Erebidae,Blasticorhinus bifasciata,成蟲,2013,346073,3826_9461
3826_293303,302500,2786500,Erebidae,Blasticorhinus bifasciata,成蟲,2016,346073,3826_11761
3826_255762,261500,2711500,Erebidae,Blasticorhinus bifasciata,成蟲,2013,346073,3826_10253
3826_198733,232500,2597500,Erebidae,Blasticorhinus bifasciata,成蟲,2016,346073,3826_7947
3826_232268,267500,2664500,Erebidae,Blasticorhinus bifasciata,成蟲,2016,346073,3826_9254
3826_224769,268500,2649500,Erebidae,Blasticorhinus bifasciata,成蟲,2016,346073,3826_8954
3826_254805,304500,2709500,Erebidae,Blasticorhinus bifasciata,成蟲,2016,346073,3826_10161
3826_175725,224500,2551500,Erebidae,Blasticorhinus bifasciata,成蟲,2014,346073,3826_7045
3826_239300,299500,2678500,Erebidae,Blasticorhinus bifasciata,成蟲,2017,346073,3826_9560
3826_198220,219500,2596500,Erebidae,Blasticorhinus bifasciata,成蟲,2017,346073,3826_7944
3826_209230,229500,2618500,Erebidae,Blasticorhinus bifasciata,成蟲,2017,346073,3826_8346
3826_237303,302500,2674500,Erebidae,Blasticorhinus bifasciata,成蟲,2016,346073,3826_9461
3826_292803,302500,2785500,Erebidae,Blasticorhinus bifasciata,成蟲,2017,346073,3826_11761
3826_175725,224500,2551500,Erebidae,Blasticorhinus bifasciata,成蟲,2017,346073,3826_7045
3826_258771,270500,2717500,Erebidae,Blasticorhinus bifasciata,成蟲,2017,346073,3826_10355
3826_264279,278500,2728500,Erebidae,Blasticorhinus bifasciata,成蟲,2017,346073,3826_10556
3826_256760,259500,2713500,Erebidae,Blasticorhinus bifasciata,成蟲,2017,346073,3826_10252
3826_238290,289500,2676500,Erebidae,Blasticorhinus bifasciata,成蟲,2017,346073,3826_9558
3826_271279,278500,2742500,Erebidae,Blasticorhinus bifasciata,成蟲,2017,346073,3826_10856
