GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_152714,213500,2505500,Erebidae,Blasticorhinus rivulosa,成蟲,2011,346076,3826_6143
3826_218230,229500,2636500,Erebidae,Blasticorhinus rivulosa,成蟲,2012,346076,3826_8746
3826_278806,305500,2757500,Erebidae,Blasticorhinus rivulosa,成蟲,2013,346076,3826_11162
3826_204739,238500,2609500,Erebidae,Blasticorhinus rivulosa,成蟲,2013,346076,3826_8148
3826_289798,297500,2779500,Erebidae,Blasticorhinus rivulosa,成蟲,2014,346076,3826_11560
3826_238709,208500,2677500,Erebidae,Blasticorhinus rivulosa,成蟲,2014,346076,3826_9542
3826_279305,304500,2758500,Erebidae,Blasticorhinus rivulosa,成蟲,2014,346076,3826_11161
3826_203705,204500,2607500,Erebidae,Blasticorhinus rivulosa,成蟲,2011,346076,3826_8141
3826_228249,248500,2656500,Erebidae,Blasticorhinus rivulosa,成蟲,2015,346076,3826_9150
3826_221310,309500,2642500,Erebidae,Blasticorhinus rivulosa,成蟲,2015,346076,3826_8862
3826_237248,247500,2674500,Erebidae,Blasticorhinus rivulosa,成蟲,2015,346076,3826_9450
3826_152210,209500,2504500,Erebidae,Blasticorhinus rivulosa,成蟲,2014,346076,3826_6042
3826_175725,224500,2551500,Erebidae,Blasticorhinus rivulosa,成蟲,2014,346076,3826_7045
3826_211732,231500,2623500,Erebidae,Blasticorhinus rivulosa,成蟲,2015,346076,3826_8447
3826_282307,306500,2764500,Erebidae,Blasticorhinus rivulosa,成蟲,2015,346076,3826_11262
3826_279305,304500,2758500,Erebidae,Blasticorhinus rivulosa,成蟲,2016,346076,3826_11161
3826_282307,306500,2764500,Erebidae,Blasticorhinus rivulosa,成蟲,2016,346076,3826_11262
3826_252226,225500,2704500,Erebidae,Blasticorhinus rivulosa,成蟲,2016,346076,3826_10046
3826_225801,300500,2651500,Erebidae,Blasticorhinus rivulosa,成蟲,2017,346076,3826_9061
3826_290305,304500,2780500,Erebidae,Blasticorhinus rivulosa,成蟲,2017,346076,3826_11661
3826_220810,309500,2641500,Erebidae,Blasticorhinus rivulosa,成蟲,2016,346076,3826_8862
3826_231749,248500,2663500,Erebidae,Blasticorhinus rivulosa,成蟲,2017,346076,3826_9250
3826_232241,240500,2664500,Erebidae,Blasticorhinus rivulosa,成蟲,2017,346076,3826_9249
3826_275780,279500,2751500,Erebidae,Blasticorhinus rivulosa,成蟲,2017,346076,3826_11056
3826_289798,297500,2779500,Erebidae,Blasticorhinus rivulosa,成蟲,2018,346076,3826_11560
3826_282307,306500,2764500,Erebidae,Blasticorhinus rivulosa,成蟲,2018,346076,3826_11262
3826_241231,230500,2682500,Erebidae,Blasticorhinus rivulosa,成蟲,2018,346076,3826_9647
3826_291297,296500,2782500,Erebidae,Blasticorhinus rivulosa,成蟲,2018,346076,3826_11660
3826_281810,309500,2763500,Erebidae,Blasticorhinus rivulosa,成蟲,2019,346076,3826_11262
3826_237245,244500,2674500,Erebidae,Blasticorhinus rivulosa,成蟲,2018,346076,3826_9449
