GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_187200,199500,2574500,Erebidae,Blavia scoteola,成蟲,2012,427213,3826_7440
3826_204726,225500,2609500,Erebidae,Blavia scoteola,成蟲,2012,427213,3826_8146
3826_198726,225500,2597500,Erebidae,Blavia scoteola,成蟲,2012,427213,3826_7946
3826_212229,228500,2624500,Erebidae,Blavia scoteola,成蟲,2012,427213,3826_8446
3826_273788,287500,2747500,Erebidae,Blavia scoteola,成蟲,2012,427213,3826_10958
3826_273826,325500,2747500,Erebidae,Blavia scoteola,成蟲,2013,427213,3826_10966
3826_269811,310500,2739500,Erebidae,Blavia scoteola,成蟲,2013,427213,3826_10763
3826_195213,212500,2590500,Erebidae,Blavia scoteola,成蟲,2016,427213,3826_7843
3826_229248,247500,2658500,Erebidae,Blavia scoteola,成蟲,2016,427213,3826_9150
3826_277327,326500,2754500,Erebidae,Blavia scoteola,成蟲,2016,427213,3826_11066
3826_287843,342500,2775500,Erebidae,Blavia scoteola,成蟲,2017,427213,3826_11569
3826_256239,238500,2712500,Erebidae,Blavia scoteola,成蟲,2017,427213,3826_10248
3826_266265,264500,2732500,Erebidae,Blavia scoteola,成蟲,2017,427213,3826_10653
3826_286321,320500,2772500,Erebidae,Blavia scoteola,成蟲,2017,427213,3826_11465
3826_232753,252500,2665500,Erebidae,Blavia scoteola,成蟲,2018,427213,3826_9351
3826_269271,270500,2738500,Erebidae,Blavia scoteola,成蟲,2018,427213,3826_10755
3826_266269,268500,2732500,Erebidae,Blavia scoteola,成蟲,2019,427213,3826_10654
3826_154218,217500,2508500,Erebidae,Blavia scoteola,成蟲,2013,427213,3826_6144
3826_255743,242500,2711500,Erebidae,Blavia scoteola,成蟲,2018,427213,3826_10249
3826_219299,298500,2638500,Erebidae,Blavia scoteola,成蟲,2015,427213,3826_8760
3826_273788,287500,2747500,Erebidae,Blavia scoteola,成蟲,2019,427213,3826_10958
3826_187199,198500,2574500,Erebidae,Blavia scoteola,成蟲,2010,427213,3826_7440
3826_187199,198500,2574500,Erebidae,Blavia scoteola,成蟲,2011,427213,3826_7440
3826_276802,301500,2753500,Erebidae,Blavia scoteola,成蟲,2019,427213,3826_11061
3826_280302,301500,2760500,Erebidae,Blavia scoteola,成蟲,2020,427213,3826_11261
3826_281810,309500,2763500,Erebidae,Blavia scoteola,成蟲,2020,427213,3826_11262
3826_170218,217500,2540500,Erebidae,Blavia scoteola,成蟲,2014,427213,3826_6844
3826_170218,217500,2540500,Erebidae,Blavia scoteola,成蟲,2015,427213,3826_6844
3826_208299,298500,2616500,Erebidae,Blavia scoteola,成蟲,2020,427213,3826_8360
3826_274280,279500,2748500,Erebidae,Blavia scoteola,成蟲,2021,427213,3826_10956
3826_275305,304500,2750500,Erebidae,Blavia scoteola,成蟲,2021,427213,3826_11061
3826_262761,260500,2725500,Erebidae,Blavia scoteola,成蟲,2020,427213,3826_10553
3826_273796,295500,2747500,Erebidae,Blavia scoteola,成蟲,2020,427213,3826_10960
3826_273788,287500,2747500,Erebidae,Blavia scoteola,成蟲,2021,427213,3826_10958
3826_147746,245500,2495500,Erebidae,Blavia scoteola,成蟲,2021,427213,3826_5950
3826_284830,329500,2769500,Erebidae,Blavia scoteola,成蟲,2018,427213,3826_11366
3826_266271,270500,2732500,Erebidae,Blavia scoteola,成蟲,2022,427213,3826_10655
3826_259249,248500,2718500,Erebidae,Blavia scoteola,成蟲,2022,427213,3826_10350
3826_288808,307500,2777500,Erebidae,Blavia scoteola,成蟲,2022,427213,3826_11562
3826_147746,245500,2495500,Erebidae,Blavia scoteola,成蟲,2022,427213,3826_5950
3826_275780,279500,2751500,Erebidae,Blavia scoteola,成蟲,2022,427213,3826_11056
3826_269273,272500,2738500,Erebidae,Blavia scoteola,成蟲,2022,427213,3826_10755
3826_273792,291500,2747500,Erebidae,Blavia scoteola,成蟲,2022,427213,3826_10959
3826_274307,306500,2748500,Erebidae,Blavia scoteola,成蟲,2022,427213,3826_10962
3826_254237,236500,2708500,Erebidae,Blavia scoteola,成蟲,2022,427213,3826_10148
3826_265791,290500,2731500,Erebidae,Blavia scoteola,成蟲,2022,427213,3826_10659
