GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_280304,303500,2760500,Crambidae,Bocchoris inspersalis,成蟲,2012,344073,3826_11261
3826_291302,301500,2782500,Crambidae,Bocchoris inspersalis,成蟲,2012,344073,3826_11661
3826_293303,302500,2786500,Crambidae,Bocchoris inspersalis,成蟲,2013,344073,3826_11761
3826_252738,237500,2705500,Crambidae,Bocchoris inspersalis,成蟲,2012,344073,3826_10148
3826_294821,320500,2789500,Crambidae,Bocchoris inspersalis,成蟲,2013,344073,3826_11765
3826_259754,253500,2719500,Crambidae,Bocchoris inspersalis,成蟲,2013,344073,3826_10351
3826_281841,340500,2763500,Crambidae,Bocchoris inspersalis,成蟲,2013,344073,3826_11269
3826_220810,309500,2641500,Crambidae,Bocchoris inspersalis,成蟲,2014,344073,3826_8862
3826_236733,232500,2673500,Crambidae,Bocchoris inspersalis,成蟲,2014,344073,3826_9447
3826_295816,315500,2791500,Crambidae,Bocchoris inspersalis,成蟲,2013,344073,3826_11864
3826_272273,272500,2744500,Crambidae,Bocchoris inspersalis,成蟲,2013,344073,3826_10855
3826_295316,315500,2790500,Crambidae,Bocchoris inspersalis,成蟲,2014,344073,3826_11864
3826_270278,277500,2740500,Crambidae,Bocchoris inspersalis,成蟲,2014,344073,3826_10856
3826_294320,319500,2788500,Crambidae,Bocchoris inspersalis,成蟲,2014,344073,3826_11764
3826_277807,306500,2755500,Crambidae,Bocchoris inspersalis,成蟲,2014,344073,3826_11162
3826_299805,304500,2799500,Crambidae,Bocchoris inspersalis,成蟲,2014,344073,3826_11961
3826_221310,309500,2642500,Crambidae,Bocchoris inspersalis,成蟲,2015,344073,3826_8862
3826_291828,327500,2783500,Crambidae,Bocchoris inspersalis,成蟲,2014,344073,3826_11666
3826_295316,315500,2790500,Crambidae,Bocchoris inspersalis,成蟲,2013,344073,3826_11864
3826_155753,252500,2511500,Crambidae,Bocchoris inspersalis,成蟲,2010,344073,3826_6251
3826_293820,319500,2787500,Crambidae,Bocchoris inspersalis,成蟲,2015,344073,3826_11764
3826_291822,321500,2783500,Crambidae,Bocchoris inspersalis,成蟲,2015,344073,3826_11665
3826_222739,238500,2645500,Crambidae,Bocchoris inspersalis,成蟲,2015,344073,3826_8948
3826_295316,315500,2790500,Crambidae,Bocchoris inspersalis,成蟲,2015,344073,3826_11864
3826_273788,287500,2747500,Crambidae,Bocchoris inspersalis,成蟲,2012,344073,3826_10958
3826_225749,248500,2651500,Crambidae,Bocchoris inspersalis,成蟲,2016,344073,3826_9050
3826_289843,342500,2779500,Crambidae,Bocchoris inspersalis,成蟲,2015,344073,3826_11569
3826_276297,296500,2752500,Crambidae,Bocchoris inspersalis,成蟲,2012,344073,3826_11060
3826_289843,342500,2779500,Crambidae,Bocchoris inspersalis,成蟲,2016,344073,3826_11569
3826_221805,304500,2643500,Crambidae,Bocchoris inspersalis,成蟲,2016,344073,3826_8861
3826_225250,249500,2650500,Crambidae,Bocchoris inspersalis,成蟲,2016,344073,3826_9050
3826_224749,248500,2649500,Crambidae,Bocchoris inspersalis,成蟲,2016,344073,3826_8950
3826_290829,328500,2781500,Crambidae,Bocchoris inspersalis,成蟲,2016,344073,3826_11666
3826_273826,325500,2747500,Crambidae,Bocchoris inspersalis,成蟲,2016,344073,3826_10966
3826_291304,303500,2782500,Crambidae,Bocchoris inspersalis,成蟲,2014,344073,3826_11661
3826_282784,283500,2765500,Crambidae,Bocchoris inspersalis,成蟲,2017,344073,3826_11357
3826_128729,228500,2457500,Crambidae,Bocchoris inspersalis,成蟲,2017,344073,3826_5146
3826_224749,248500,2649500,Crambidae,Bocchoris inspersalis,成蟲,2017,344073,3826_8950
3826_252226,225500,2704500,Crambidae,Bocchoris inspersalis,成蟲,2017,344073,3826_10046
3826_228809,308500,2657500,Crambidae,Bocchoris inspersalis,成蟲,2014,344073,3826_9162
3826_269762,261500,2739500,Crambidae,Bocchoris inspersalis,成蟲,2017,344073,3826_10753
3826_264254,253500,2728500,Crambidae,Bocchoris inspersalis,成蟲,2017,344073,3826_10551
3826_276297,296500,2752500,Crambidae,Bocchoris inspersalis,成蟲,2017,344073,3826_11060
3826_275780,279500,2751500,Crambidae,Bocchoris inspersalis,成蟲,2017,344073,3826_11056
3826_275808,307500,2751500,Crambidae,Bocchoris inspersalis,成蟲,2017,344073,3826_11062
3826_279309,308500,2758500,Crambidae,Bocchoris inspersalis,成蟲,2017,344073,3826_11162
3826_274305,304500,2748500,Crambidae,Bocchoris inspersalis,成蟲,2017,344073,3826_10961
3826_274825,324500,2749500,Crambidae,Bocchoris inspersalis,成蟲,2018,344073,3826_10965
3826_132738,237500,2465500,Crambidae,Bocchoris inspersalis,成蟲,2018,344073,3826_5348
3826_298802,301500,2797500,Crambidae,Bocchoris inspersalis,成蟲,2018,344073,3826_11961
3826_275782,281500,2751500,Crambidae,Bocchoris inspersalis,成蟲,2018,344073,3826_11057
3826_272276,275500,2744500,Crambidae,Bocchoris inspersalis,成蟲,2018,344073,3826_10856
3826_224749,248500,2649500,Crambidae,Bocchoris inspersalis,成蟲,2018,344073,3826_8950
3826_273792,291500,2747500,Crambidae,Bocchoris inspersalis,成蟲,2018,344073,3826_10959
3826_116724,223500,2433500,Crambidae,Bocchoris inspersalis,成蟲,2018,344073,3826_4645
3826_284827,326500,2769500,Crambidae,Bocchoris inspersalis,成蟲,2018,344073,3826_11366
3826_273304,303500,2746500,Crambidae,Bocchoris inspersalis,成蟲,2018,344073,3826_10961
3826_280320,319500,2760500,Crambidae,Bocchoris inspersalis,成蟲,2018,344073,3826_11264
3826_280325,324500,2760500,Crambidae,Bocchoris inspersalis,成蟲,2018,344073,3826_11265
3826_265765,264500,2731500,Crambidae,Bocchoris inspersalis,成蟲,2018,344073,3826_10653
3826_266265,264500,2732500,Crambidae,Bocchoris inspersalis,成蟲,2018,344073,3826_10653
3826_232254,253500,2664500,Crambidae,Bocchoris inspersalis,成蟲,2018,344073,3826_9251
3826_290309,308500,2780500,Crambidae,Bocchoris inspersalis,成蟲,2018,344073,3826_11662
3826_222739,238500,2645500,Crambidae,Bocchoris inspersalis,成蟲,2018,344073,3826_8948
