GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_166722,221500,2533500,Erebidae,Bocula diffisa,成蟲,2011,433633,3826_6645
3826_204726,225500,2609500,Erebidae,Bocula diffisa,成蟲,2012,433633,3826_8146
3826_212229,228500,2624500,Erebidae,Bocula diffisa,成蟲,2012,433633,3826_8446
3826_203705,204500,2607500,Erebidae,Bocula diffisa,成蟲,2012,433633,3826_8141
3826_188716,215500,2577500,Erebidae,Bocula diffisa,成蟲,2013,433633,3826_7544
3826_273788,287500,2747500,Erebidae,Bocula diffisa,成蟲,2012,433633,3826_10958
3826_266265,264500,2732500,Erebidae,Bocula diffisa,成蟲,2012,433633,3826_10653
3826_275267,266500,2750500,Erebidae,Bocula diffisa,成蟲,2013,433633,3826_11054
3826_150219,218500,2500500,Erebidae,Bocula diffisa,成蟲,2013,433633,3826_6044
3826_220810,309500,2641500,Erebidae,Bocula diffisa,成蟲,2014,433633,3826_8862
3826_139724,223500,2479500,Erebidae,Bocula diffisa,成蟲,2014,433633,3826_5545
3826_227258,257500,2654500,Erebidae,Bocula diffisa,成蟲,2014,433633,3826_9052
3826_175725,224500,2551500,Erebidae,Bocula diffisa,成蟲,2014,433633,3826_7045
3826_286333,332500,2772500,Erebidae,Bocula diffisa,成蟲,2014,433633,3826_11467
3826_187200,199500,2574500,Erebidae,Bocula diffisa,成蟲,2015,433633,3826_7440
3826_237248,247500,2674500,Erebidae,Bocula diffisa,成蟲,2015,433633,3826_9450
3826_264279,278500,2728500,Erebidae,Bocula diffisa,成蟲,2014,433633,3826_10556
3826_215752,251500,2631500,Erebidae,Bocula diffisa,成蟲,2014,433633,3826_8651
3826_205239,238500,2610500,Erebidae,Bocula diffisa,成蟲,2014,433633,3826_8248
3826_287813,312500,2775500,Erebidae,Bocula diffisa,成蟲,2014,433633,3826_11563
3826_195215,214500,2590500,Erebidae,Bocula diffisa,成蟲,2015,433633,3826_7843
3826_264283,282500,2728500,Erebidae,Bocula diffisa,成蟲,2015,433633,3826_10557
3826_211732,231500,2623500,Erebidae,Bocula diffisa,成蟲,2015,433633,3826_8447
3826_195211,210500,2590500,Erebidae,Bocula diffisa,成蟲,2015,433633,3826_7843
3826_195715,214500,2591500,Erebidae,Bocula diffisa,成蟲,2013,433633,3826_7843
3826_225806,305500,2651500,Erebidae,Bocula diffisa,成蟲,2016,433633,3826_9062
3826_252226,225500,2704500,Erebidae,Bocula diffisa,成蟲,2013,433633,3826_10046
3826_187783,282500,2575500,Erebidae,Bocula diffisa,成蟲,2016,433633,3826_7557
3826_281810,309500,2763500,Erebidae,Bocula diffisa,成蟲,2016,433633,3826_11262
3826_175222,221500,2550500,Erebidae,Bocula diffisa,成蟲,2016,433633,3826_7045
3826_232744,243500,2665500,Erebidae,Bocula diffisa,成蟲,2016,433633,3826_9349
3826_222235,234500,2644500,Erebidae,Bocula diffisa,成蟲,2013,433633,3826_8847
3826_263753,252500,2727500,Erebidae,Bocula diffisa,成蟲,2016,433633,3826_10551
3826_214739,238500,2629500,Erebidae,Bocula diffisa,成蟲,2016,433633,3826_8548
3826_224749,248500,2649500,Erebidae,Bocula diffisa,成蟲,2016,433633,3826_8950
3826_224749,248500,2649500,Erebidae,Bocula diffisa,成蟲,2017,433633,3826_8950
3826_282307,306500,2764500,Erebidae,Bocula diffisa,成蟲,2017,433633,3826_11262
3826_190782,281500,2581500,Erebidae,Bocula diffisa,成蟲,2016,433633,3826_7657
3826_190782,281500,2581500,Erebidae,Bocula diffisa,成蟲,2017,433633,3826_7657
3826_220810,309500,2641500,Erebidae,Bocula diffisa,成蟲,2016,433633,3826_8862
3826_185749,248500,2571500,Erebidae,Bocula diffisa,成蟲,2017,433633,3826_7450
3826_229265,264500,2658500,Erebidae,Bocula diffisa,成蟲,2017,433633,3826_9153
3826_197723,222500,2595500,Erebidae,Bocula diffisa,成蟲,2017,433633,3826_7945
3826_209219,218500,2618500,Erebidae,Bocula diffisa,成蟲,2013,433633,3826_8344
3826_229266,265500,2658500,Erebidae,Bocula diffisa,成蟲,2017,433633,3826_9154
3826_274829,328500,2749500,Erebidae,Bocula diffisa,成蟲,2017,433633,3826_10966
3826_154218,217500,2508500,Erebidae,Bocula diffisa,成蟲,2017,433633,3826_6144
3826_225263,262500,2650500,Erebidae,Bocula diffisa,成蟲,2017,433633,3826_9053
3826_207230,229500,2614500,Erebidae,Bocula diffisa,成蟲,2017,433633,3826_8246
3826_154218,217500,2508500,Erebidae,Bocula diffisa,成蟲,2018,433633,3826_6144
3826_264279,278500,2728500,Erebidae,Bocula diffisa,成蟲,2018,433633,3826_10556
3826_263252,251500,2726500,Erebidae,Bocula diffisa,成蟲,2018,433633,3826_10551
3826_232753,252500,2665500,Erebidae,Bocula diffisa,成蟲,2018,433633,3826_9351
3826_251728,227500,2703500,Erebidae,Bocula diffisa,成蟲,2018,433633,3826_10046
3826_223253,252500,2646500,Erebidae,Bocula diffisa,成蟲,2018,433633,3826_8951
3826_187200,199500,2574500,Erebidae,Bocula diffisa,成蟲,2018,433633,3826_7440
3826_284315,314500,2768500,Erebidae,Bocula diffisa,成蟲,2018,433633,3826_11363
3826_222739,238500,2645500,Erebidae,Bocula diffisa,成蟲,2018,433633,3826_8948
3826_269271,270500,2738500,Erebidae,Bocula diffisa,成蟲,2018,433633,3826_10755
3826_264253,252500,2728500,Erebidae,Bocula diffisa,成蟲,2018,433633,3826_10551
3826_187199,198500,2574500,Erebidae,Bocula diffisa,成蟲,2018,433633,3826_7440
3826_130734,233500,2461500,Erebidae,Bocula diffisa,成蟲,2017,433633,3826_5247
3826_256737,236500,2713500,Erebidae,Bocula diffisa,成蟲,2018,433633,3826_10248
3826_257242,241500,2714500,Erebidae,Bocula diffisa,成蟲,2018,433633,3826_10249
3826_223304,303500,2646500,Erebidae,Bocula diffisa,成蟲,2019,433633,3826_8961
3826_251728,227500,2703500,Erebidae,Bocula diffisa,成蟲,2019,433633,3826_10046
3826_255743,242500,2711500,Erebidae,Bocula diffisa,成蟲,2018,433633,3826_10249
3826_154218,217500,2508500,Erebidae,Bocula diffisa,成蟲,2019,433633,3826_6144
3826_282808,307500,2765500,Erebidae,Bocula diffisa,成蟲,2019,433633,3826_11362
3826_253748,247500,2707500,Erebidae,Bocula diffisa,成蟲,2019,433633,3826_10150
3826_269273,272500,2738500,Erebidae,Bocula diffisa,成蟲,2018,433633,3826_10755
3826_281303,302500,2762500,Erebidae,Bocula diffisa,成蟲,2019,433633,3826_11261
3826_168208,207500,2536500,Erebidae,Bocula diffisa,成蟲,2019,433633,3826_6742
3826_284309,308500,2768500,Erebidae,Bocula diffisa,成蟲,2019,433633,3826_11362
3826_226306,305500,2652500,Erebidae,Bocula diffisa,成蟲,2019,433633,3826_9062
3826_255743,242500,2711500,Erebidae,Bocula diffisa,成蟲,2019,433633,3826_10249
