GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_237303,302500,2674500,Bombycidae,Bombyx mandarina formosana,成蟲,2011,343975,3826_9461
3826_242745,244500,2685500,Bombycidae,Bombyx mandarina formosana,成蟲,2011,343975,3826_9749
3826_167728,227500,2535500,Bombycidae,Bombyx mandarina formosana,幼蟲,2011,343975,3826_6746
3826_296802,301500,2793500,Bombycidae,Bombyx mandarina formosana,幼蟲,2012,343975,3826_11861
3826_297809,308500,2795500,Bombycidae,Bombyx mandarina formosana,幼蟲,2012,343975,3826_11962
3826_297809,308500,2795500,Bombycidae,Bombyx mandarina formosana,蛹,2012,343975,3826_11962
3826_187200,199500,2574500,Bombycidae,Bombyx mandarina formosana,成蟲,2012,343975,3826_7440
3826_253236,235500,2706500,Bombycidae,Bombyx mandarina formosana,成蟲,2012,343975,3826_10148
3826_278801,300500,2757500,Bombycidae,Bombyx mandarina formosana,成蟲,2011,343975,3826_11161
3826_229767,266500,2659500,Bombycidae,Bombyx mandarina formosana,成蟲,2012,343975,3826_9154
3826_198220,219500,2596500,Bombycidae,Bombyx mandarina formosana,幼蟲,2012,343975,3826_7944
3826_265792,291500,2731500,Bombycidae,Bombyx mandarina formosana,成蟲,2012,343975,3826_10659
3826_273788,287500,2747500,Bombycidae,Bombyx mandarina formosana,成蟲,2012,343975,3826_10958
3826_271320,319500,2742500,Bombycidae,Bombyx mandarina formosana,成蟲,2013,343975,3826_10864
3826_284311,310500,2768500,Bombycidae,Bombyx mandarina formosana,幼蟲,2012,343975,3826_11363
3826_188716,215500,2577500,Bombycidae,Bombyx mandarina formosana,成蟲,2013,343975,3826_7544
3826_272776,275500,2745500,Bombycidae,Bombyx mandarina formosana,成蟲,2012,343975,3826_10956
3826_275267,266500,2750500,Bombycidae,Bombyx mandarina formosana,幼蟲,2013,343975,3826_11054
3826_273775,274500,2747500,Bombycidae,Bombyx mandarina formosana,成蟲,2012,343975,3826_10955
3826_247247,246500,2694500,Bombycidae,Bombyx mandarina formosana,成蟲,2013,343975,3826_9850
3826_280316,315500,2760500,Bombycidae,Bombyx mandarina formosana,成蟲,2013,343975,3826_11264
3826_161256,255500,2522500,Bombycidae,Bombyx mandarina formosana,成蟲,2013,343975,3826_6452
3826_283807,306500,2767500,Bombycidae,Bombyx mandarina formosana,成蟲,2013,343975,3826_11362
3826_294301,300500,2788500,Bombycidae,Bombyx mandarina formosana,成蟲,2013,343975,3826_11761
3826_281309,308500,2762500,Bombycidae,Bombyx mandarina formosana,成蟲,2013,343975,3826_11262
3826_288831,330500,2777500,Bombycidae,Bombyx mandarina formosana,幼蟲,2013,343975,3826_11567
3826_274305,304500,2748500,Bombycidae,Bombyx mandarina formosana,幼蟲,2013,343975,3826_10961
3826_274305,304500,2748500,Bombycidae,Bombyx mandarina formosana,成蟲,2013,343975,3826_10961
