GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_238752,251500,2677500,Crambidae,Bradina diagonalis,成蟲,2011,344079,3826_9551
3826_219741,240500,2639500,Crambidae,Bradina diagonalis,成蟲,2012,344079,3826_8749
3826_234267,266500,2668500,Crambidae,Bradina diagonalis,成蟲,2010,344079,3826_9354
3826_237801,300500,2675500,Crambidae,Bradina diagonalis,成蟲,2012,344079,3826_9561
3826_273304,303500,2746500,Crambidae,Bradina diagonalis,成蟲,2012,344079,3826_10961
3826_219244,243500,2638500,Crambidae,Bradina diagonalis,成蟲,2012,344079,3826_8749
3826_204726,225500,2609500,Crambidae,Bradina diagonalis,成蟲,2012,344079,3826_8146
3826_198726,225500,2597500,Crambidae,Bradina diagonalis,成蟲,2012,344079,3826_7946
3826_204739,238500,2609500,Crambidae,Bradina diagonalis,成蟲,2012,344079,3826_8148
3826_265289,288500,2730500,Crambidae,Bradina diagonalis,成蟲,2012,344079,3826_10658
3826_257742,241500,2715500,Crambidae,Bradina diagonalis,成蟲,2013,344079,3826_10349
3826_231750,249500,2663500,Crambidae,Bradina diagonalis,成蟲,2013,344079,3826_9250
3826_269280,279500,2738500,Crambidae,Bradina diagonalis,成蟲,2013,344079,3826_10756
3826_267778,277500,2735500,Crambidae,Bradina diagonalis,成蟲,2013,344079,3826_10756
3826_273788,287500,2747500,Crambidae,Bradina diagonalis,成蟲,2012,344079,3826_10958
3826_273304,303500,2746500,Crambidae,Bradina diagonalis,成蟲,2013,344079,3826_10961
3826_237309,308500,2674500,Crambidae,Bradina diagonalis,成蟲,2014,344079,3826_9462
3826_165772,271500,2531500,Crambidae,Bradina diagonalis,成蟲,2014,344079,3826_6655
3826_269315,314500,2738500,Crambidae,Bradina diagonalis,成蟲,2014,344079,3826_10763
3826_227258,257500,2654500,Crambidae,Bradina diagonalis,成蟲,2014,344079,3826_9052
3826_203725,224500,2607500,Crambidae,Bradina diagonalis,成蟲,2014,344079,3826_8145
3826_238751,250500,2677500,Crambidae,Bradina diagonalis,成蟲,2014,344079,3826_9551
3826_250743,242500,2701500,Crambidae,Bradina diagonalis,成蟲,2014,344079,3826_10049
3826_225762,261500,2651500,Crambidae,Bradina diagonalis,成蟲,2014,344079,3826_9053
3826_222805,304500,2645500,Crambidae,Bradina diagonalis,成蟲,2014,344079,3826_8961
3826_265289,288500,2730500,Crambidae,Bradina diagonalis,成蟲,2011,344079,3826_10658
3826_155253,252500,2510500,Crambidae,Bradina diagonalis,成蟲,2014,344079,3826_6251
3826_151747,246500,2503500,Crambidae,Bradina diagonalis,成蟲,2015,344079,3826_6050
3826_221310,309500,2642500,Crambidae,Bradina diagonalis,成蟲,2015,344079,3826_8862
3826_161762,261500,2523500,Crambidae,Bradina diagonalis,成蟲,2015,344079,3826_6453
3826_264279,278500,2728500,Crambidae,Bradina diagonalis,成蟲,2014,344079,3826_10556
3826_239253,252500,2678500,Crambidae,Bradina diagonalis,成蟲,2014,344079,3826_9551
3826_264279,278500,2728500,Crambidae,Bradina diagonalis,成蟲,2015,344079,3826_10556
3826_215255,254500,2630500,Crambidae,Bradina diagonalis,成蟲,2014,344079,3826_8651
3826_167263,262500,2534500,Crambidae,Bradina diagonalis,成蟲,2014,344079,3826_6653
3826_261333,332500,2722500,Crambidae,Bradina diagonalis,成蟲,2014,344079,3826_10467
3826_232753,252500,2665500,Crambidae,Bradina diagonalis,成蟲,2014,344079,3826_9351
3826_270276,275500,2740500,Crambidae,Bradina diagonalis,成蟲,2013,344079,3826_10856
3826_259301,300500,2718500,Crambidae,Bradina diagonalis,成蟲,2014,344079,3826_10361
3826_204719,218500,2609500,Crambidae,Bradina diagonalis,成蟲,2015,344079,3826_8144
3826_209230,229500,2618500,Crambidae,Bradina diagonalis,成蟲,2015,344079,3826_8346
3826_279306,305500,2758500,Crambidae,Bradina diagonalis,成蟲,2013,344079,3826_11162
3826_232753,252500,2665500,Crambidae,Bradina diagonalis,成蟲,2015,344079,3826_9351
3826_224244,243500,2648500,Crambidae,Bradina diagonalis,成蟲,2012,344079,3826_8949
3826_232254,253500,2664500,Crambidae,Bradina diagonalis,成蟲,2015,344079,3826_9251
3826_266771,270500,2733500,Crambidae,Bradina diagonalis,成蟲,2012,344079,3826_10655
3826_259261,260500,2718500,Crambidae,Bradina diagonalis,成蟲,2015,344079,3826_10353
3826_234314,313500,2668500,Crambidae,Bradina diagonalis,成蟲,2015,344079,3826_9363
3826_261779,278500,2723500,Crambidae,Bradina diagonalis,成蟲,2012,344079,3826_10456
3826_228250,249500,2656500,Crambidae,Bradina diagonalis,成蟲,2016,344079,3826_9150
3826_232753,252500,2665500,Crambidae,Bradina diagonalis,成蟲,2016,344079,3826_9351
3826_151747,246500,2503500,Crambidae,Bradina diagonalis,成蟲,2016,344079,3826_6050
3826_227250,249500,2654500,Crambidae,Bradina diagonalis,成蟲,2016,344079,3826_9050
3826_237248,247500,2674500,Crambidae,Bradina diagonalis,成蟲,2016,344079,3826_9450
3826_263798,297500,2727500,Crambidae,Bradina diagonalis,成蟲,2016,344079,3826_10560
3826_267778,277500,2735500,Crambidae,Bradina diagonalis,成蟲,2014,344079,3826_10756
3826_263297,296500,2726500,Crambidae,Bradina diagonalis,成蟲,2016,344079,3826_10560
3826_259800,299500,2719500,Crambidae,Bradina diagonalis,成蟲,2016,344079,3826_10360
3826_237301,300500,2674500,Crambidae,Bradina diagonalis,成蟲,2013,344079,3826_9461
3826_243237,236500,2686500,Crambidae,Bradina diagonalis,成蟲,2016,344079,3826_9748
3826_265289,288500,2730500,Crambidae,Bradina diagonalis,成蟲,2016,344079,3826_10658
3826_267777,276500,2735500,Crambidae,Bradina diagonalis,成蟲,2016,344079,3826_10756
3826_259754,253500,2719500,Crambidae,Bradina diagonalis,成蟲,2016,344079,3826_10351
3826_224769,268500,2649500,Crambidae,Bradina diagonalis,成蟲,2016,344079,3826_8954
3826_237800,299500,2675500,Crambidae,Bradina diagonalis,成蟲,2016,344079,3826_9560
3826_266771,270500,2733500,Crambidae,Bradina diagonalis,成蟲,2016,344079,3826_10655
3826_263260,259500,2726500,Crambidae,Bradina diagonalis,成蟲,2016,344079,3826_10552
3826_187783,282500,2575500,Crambidae,Bradina diagonalis,成蟲,2016,344079,3826_7557
3826_180258,257500,2560500,Crambidae,Bradina diagonalis,成蟲,2014,344079,3826_7252
3826_238252,251500,2676500,Crambidae,Bradina diagonalis,成蟲,2016,344079,3826_9551
3826_190782,281500,2581500,Crambidae,Bradina diagonalis,成蟲,2016,344079,3826_7657
3826_224749,248500,2649500,Crambidae,Bradina diagonalis,成蟲,2017,344079,3826_8950
3826_225801,300500,2651500,Crambidae,Bradina diagonalis,成蟲,2017,344079,3826_9061
3826_265290,289500,2730500,Crambidae,Bradina diagonalis,成蟲,2017,344079,3826_10658
3826_222755,254500,2645500,Crambidae,Bradina diagonalis,成蟲,2017,344079,3826_8951
3826_259254,253500,2718500,Crambidae,Bradina diagonalis,成蟲,2017,344079,3826_10351
3826_238290,289500,2676500,Crambidae,Bradina diagonalis,成蟲,2016,344079,3826_9558
3826_263753,252500,2727500,Crambidae,Bradina diagonalis,成蟲,2017,344079,3826_10551
3826_237303,302500,2674500,Crambidae,Bradina diagonalis,成蟲,2016,344079,3826_9461
3826_220810,309500,2641500,Crambidae,Bradina diagonalis,成蟲,2016,344079,3826_8862
3826_231749,248500,2663500,Crambidae,Bradina diagonalis,成蟲,2017,344079,3826_9250
3826_237239,238500,2674500,Crambidae,Bradina diagonalis,成蟲,2017,344079,3826_9448
3826_268276,275500,2736500,Crambidae,Bradina diagonalis,成蟲,2017,344079,3826_10756
3826_215751,250500,2631500,Crambidae,Bradina diagonalis,成蟲,2017,344079,3826_8651
3826_260767,266500,2721500,Crambidae,Bradina diagonalis,成蟲,2017,344079,3826_10454
3826_267278,277500,2734500,Crambidae,Bradina diagonalis,成蟲,2017,344079,3826_10656
3826_238251,250500,2676500,Crambidae,Bradina diagonalis,成蟲,2014,344079,3826_9551
3826_232753,252500,2665500,Crambidae,Bradina diagonalis,成蟲,2017,344079,3826_9351
3826_252238,237500,2704500,Crambidae,Bradina diagonalis,成蟲,2017,344079,3826_10048
3826_262249,248500,2724500,Crambidae,Bradina diagonalis,成蟲,2017,344079,3826_10450
3826_264811,310500,2729500,Crambidae,Bradina diagonalis,成蟲,2015,344079,3826_10563
3826_237801,300500,2675500,Crambidae,Bradina diagonalis,成蟲,2017,344079,3826_9561
3826_237303,302500,2674500,Crambidae,Bradina diagonalis,成蟲,2017,344079,3826_9461
