GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_293303,302500,2786500,Erebidae,Cabardites limbata,成蟲,2011,444733,3826_11761
3826_204726,225500,2609500,Erebidae,Cabardites limbata,成蟲,2012,444733,3826_8146
3826_198726,225500,2597500,Erebidae,Cabardites limbata,成蟲,2012,444733,3826_7946
3826_187200,199500,2574500,Erebidae,Cabardites limbata,成蟲,2012,444733,3826_7440
3826_231750,249500,2663500,Erebidae,Cabardites limbata,成蟲,2013,444733,3826_9250
3826_269811,310500,2739500,Erebidae,Cabardites limbata,成蟲,2012,444733,3826_10763
3826_209230,229500,2618500,Erebidae,Cabardites limbata,成蟲,2013,444733,3826_8346
3826_232753,252500,2665500,Erebidae,Cabardites limbata,成蟲,2014,444733,3826_9351
3826_204739,238500,2609500,Erebidae,Cabardites limbata,成蟲,2013,444733,3826_8148
3826_170217,216500,2540500,Erebidae,Cabardites limbata,成蟲,2014,444733,3826_6844
3826_293308,307500,2786500,Erebidae,Cabardites limbata,成蟲,2015,444733,3826_11762
3826_252226,225500,2704500,Erebidae,Cabardites limbata,成蟲,2015,444733,3826_10046
3826_204739,238500,2609500,Erebidae,Cabardites limbata,成蟲,2012,444733,3826_8148
3826_273788,287500,2747500,Erebidae,Cabardites limbata,成蟲,2012,444733,3826_10958
3826_178788,287500,2557500,Erebidae,Cabardites limbata,成蟲,2012,444733,3826_7158
3826_211732,231500,2623500,Erebidae,Cabardites limbata,成蟲,2015,444733,3826_8447
3826_234314,313500,2668500,Erebidae,Cabardites limbata,成蟲,2016,444733,3826_9363
3826_263297,296500,2726500,Erebidae,Cabardites limbata,成蟲,2016,444733,3826_10560
3826_237800,299500,2675500,Erebidae,Cabardites limbata,成蟲,2016,444733,3826_9560
3826_277327,326500,2754500,Erebidae,Cabardites limbata,成蟲,2016,444733,3826_11066
3826_197241,240500,2594500,Erebidae,Cabardites limbata,成蟲,2016,444733,3826_7849
3826_175725,224500,2551500,Erebidae,Cabardites limbata,成蟲,2014,444733,3826_7045
3826_224749,248500,2649500,Erebidae,Cabardites limbata,成蟲,2017,444733,3826_8950
3826_237228,227500,2674500,Erebidae,Cabardites limbata,成蟲,2016,444733,3826_9446
3826_274305,304500,2748500,Erebidae,Cabardites limbata,成蟲,2017,444733,3826_10961
3826_190782,281500,2581500,Erebidae,Cabardites limbata,成蟲,2016,444733,3826_7657
3826_197723,222500,2595500,Erebidae,Cabardites limbata,成蟲,2017,444733,3826_7945
3826_280320,319500,2760500,Erebidae,Cabardites limbata,成蟲,2017,444733,3826_11264
3826_252226,225500,2704500,Erebidae,Cabardites limbata,成蟲,2017,444733,3826_10046
3826_224749,248500,2649500,Erebidae,Cabardites limbata,成蟲,2018,444733,3826_8950
3826_194722,221500,2589500,Erebidae,Cabardites limbata,成蟲,2018,444733,3826_7745
3826_291806,305500,2783500,Erebidae,Cabardites limbata,成蟲,2018,444733,3826_11662
3826_269811,310500,2739500,Erebidae,Cabardites limbata,成蟲,2018,444733,3826_10763
3826_260294,293500,2720500,Erebidae,Cabardites limbata,成蟲,2018,444733,3826_10459
3826_257253,252500,2714500,Erebidae,Cabardites limbata,成蟲,2018,444733,3826_10251
3826_198717,216500,2597500,Erebidae,Cabardites limbata,成蟲,2014,444733,3826_7944
3826_263798,297500,2727500,Erebidae,Cabardites limbata,成蟲,2018,444733,3826_10560
3826_182707,206500,2565500,Erebidae,Cabardites limbata,成蟲,2018,444733,3826_7342
3826_198722,221500,2597500,Erebidae,Cabardites limbata,成蟲,2012,444733,3826_7945
3826_255743,242500,2711500,Erebidae,Cabardites limbata,成蟲,2018,444733,3826_10249
3826_237230,229500,2674500,Erebidae,Cabardites limbata,成蟲,2019,444733,3826_9446
3826_255804,303500,2711500,Erebidae,Cabardites limbata,成蟲,2019,444733,3826_10261
3826_238732,231500,2677500,Erebidae,Cabardites limbata,成蟲,2019,444733,3826_9547
3826_200219,218500,2600500,Erebidae,Cabardites limbata,成蟲,2019,444733,3826_8044
3826_273796,295500,2747500,Erebidae,Cabardites limbata,成蟲,2019,444733,3826_10960
3826_198717,216500,2597500,Erebidae,Cabardites limbata,成蟲,2019,444733,3826_7944
3826_274806,305500,2749500,Erebidae,Cabardites limbata,成蟲,2019,444733,3826_10962
3826_290309,308500,2780500,Erebidae,Cabardites limbata,成蟲,2020,444733,3826_11662
3826_273786,285500,2747500,Erebidae,Cabardites limbata,成蟲,2020,444733,3826_10958
3826_266293,292500,2732500,Erebidae,Cabardites limbata,成蟲,2020,444733,3826_10659
3826_274808,307500,2749500,Erebidae,Cabardites limbata,成蟲,2020,444733,3826_10962
3826_170218,217500,2540500,Erebidae,Cabardites limbata,成蟲,2014,444733,3826_6844
3826_257745,244500,2715500,Erebidae,Cabardites limbata,成蟲,2020,444733,3826_10349
3826_225806,305500,2651500,Erebidae,Cabardites limbata,成蟲,2020,444733,3826_9062
3826_273788,287500,2747500,Erebidae,Cabardites limbata,成蟲,2020,444733,3826_10958
3826_204788,287500,2609500,Erebidae,Cabardites limbata,成蟲,2021,444733,3826_8158
3826_275305,304500,2750500,Erebidae,Cabardites limbata,成蟲,2021,444733,3826_11061
3826_158223,222500,2516500,Erebidae,Cabardites limbata,成蟲,2016,444733,3826_6345
3826_147746,245500,2495500,Erebidae,Cabardites limbata,成蟲,2021,444733,3826_5950
3826_270301,300500,2740500,Erebidae,Cabardites limbata,成蟲,2021,444733,3826_10861
3826_273796,295500,2747500,Erebidae,Cabardites limbata,成蟲,2021,444733,3826_10960
3826_263825,324500,2727500,Erebidae,Cabardites limbata,成蟲,2021,444733,3826_10565
3826_239300,299500,2678500,Erebidae,Cabardites limbata,成蟲,2021,444733,3826_9560
3826_253736,235500,2707500,Erebidae,Cabardites limbata,成蟲,2021,444733,3826_10148
3826_273807,306500,2747500,Erebidae,Cabardites limbata,成蟲,2021,444733,3826_10962
3826_293303,302500,2786500,Erebidae,Cabardites limbata,成蟲,2022,444733,3826_11761
3826_273792,291500,2747500,Erebidae,Cabardites limbata,成蟲,2022,444733,3826_10959
