GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_280806,305500,2761500,Geometridae,Calletaera obliquata,成蟲,2011,432030,3826_11262
3826_273304,303500,2746500,Geometridae,Calletaera obliquata,成蟲,2011,432030,3826_10961
3826_291805,304500,2783500,Geometridae,Calletaera obliquata,成蟲,2012,432030,3826_11661
3826_279306,305500,2758500,Geometridae,Calletaera obliquata,成蟲,2012,432030,3826_11162
3826_292305,304500,2784500,Geometridae,Calletaera obliquata,成蟲,2012,432030,3826_11661
3826_293303,302500,2786500,Geometridae,Calletaera obliquata,成蟲,2012,432030,3826_11761
3826_274810,309500,2749500,Geometridae,Calletaera obliquata,成蟲,2012,432030,3826_10962
3826_281312,311500,2762500,Geometridae,Calletaera obliquata,成蟲,2012,432030,3826_11263
3826_272781,280500,2745500,Geometridae,Calletaera obliquata,成蟲,2012,432030,3826_10957
3826_272780,279500,2745500,Geometridae,Calletaera obliquata,成蟲,2012,432030,3826_10956
3826_219244,243500,2638500,Geometridae,Calletaera obliquata,成蟲,2012,432030,3826_8749
3826_273788,287500,2747500,Geometridae,Calletaera obliquata,成蟲,2012,432030,3826_10958
3826_269811,310500,2739500,Geometridae,Calletaera obliquata,成蟲,2012,432030,3826_10763
3826_280316,315500,2760500,Geometridae,Calletaera obliquata,成蟲,2013,432030,3826_11264
3826_291805,304500,2783500,Geometridae,Calletaera obliquata,成蟲,2013,432030,3826_11661
3826_270276,275500,2740500,Geometridae,Calletaera obliquata,成蟲,2013,432030,3826_10856
3826_267778,277500,2735500,Geometridae,Calletaera obliquata,成蟲,2013,432030,3826_10756
3826_274805,304500,2749500,Geometridae,Calletaera obliquata,成蟲,2013,432030,3826_10961
3826_269315,314500,2738500,Geometridae,Calletaera obliquata,成蟲,2013,432030,3826_10763
3826_269312,311500,2738500,Geometridae,Calletaera obliquata,成蟲,2013,432030,3826_10763
3826_273304,303500,2746500,Geometridae,Calletaera obliquata,成蟲,2013,432030,3826_10961
3826_269811,310500,2739500,Geometridae,Calletaera obliquata,成蟲,2013,432030,3826_10763
3826_269809,308500,2739500,Geometridae,Calletaera obliquata,成蟲,2013,432030,3826_10762
3826_287813,312500,2775500,Geometridae,Calletaera obliquata,成蟲,2011,432030,3826_11563
3826_290315,314500,2780500,Geometridae,Calletaera obliquata,成蟲,2011,432030,3826_11663
3826_287813,312500,2775500,Geometridae,Calletaera obliquata,成蟲,2012,432030,3826_11563
3826_282820,319500,2765500,Geometridae,Calletaera obliquata,成蟲,2013,432030,3826_11364
3826_273826,325500,2747500,Geometridae,Calletaera obliquata,成蟲,2013,432030,3826_10966
3826_281312,311500,2762500,Geometridae,Calletaera obliquata,成蟲,2010,432030,3826_11263
3826_279326,325500,2758500,Geometridae,Calletaera obliquata,成蟲,2013,432030,3826_11166
3826_289826,325500,2779500,Geometridae,Calletaera obliquata,成蟲,2013,432030,3826_11566
3826_272774,273500,2745500,Geometridae,Calletaera obliquata,成蟲,2013,432030,3826_10955
3826_274307,306500,2748500,Geometridae,Calletaera obliquata,成蟲,2013,432030,3826_10962
3826_277800,299500,2755500,Geometridae,Calletaera obliquata,成蟲,2013,432030,3826_11160
3826_284818,317500,2769500,Geometridae,Calletaera obliquata,成蟲,2013,432030,3826_11364
3826_273304,303500,2746500,Geometridae,Calletaera obliquata,成蟲,2014,432030,3826_10961
3826_273280,279500,2746500,Geometridae,Calletaera obliquata,成蟲,2014,432030,3826_10956
3826_273279,278500,2746500,Geometridae,Calletaera obliquata,成蟲,2014,432030,3826_10956
3826_269315,314500,2738500,Geometridae,Calletaera obliquata,成蟲,2014,432030,3826_10763
3826_269276,275500,2738500,Geometridae,Calletaera obliquata,成蟲,2014,432030,3826_10756
3826_263798,297500,2727500,Geometridae,Calletaera obliquata,成蟲,2014,432030,3826_10560
3826_273798,297500,2747500,Geometridae,Calletaera obliquata,成蟲,2014,432030,3826_10960
3826_287813,312500,2775500,Geometridae,Calletaera obliquata,成蟲,2014,432030,3826_11563
3826_222739,238500,2645500,Geometridae,Calletaera obliquata,成蟲,2014,432030,3826_8948
3826_227258,257500,2654500,Geometridae,Calletaera obliquata,成蟲,2014,432030,3826_9052
3826_281301,300500,2762500,Geometridae,Calletaera obliquata,成蟲,2014,432030,3826_11261
3826_288310,309500,2776500,Geometridae,Calletaera obliquata,成蟲,2014,432030,3826_11562
3826_289823,322500,2779500,Geometridae,Calletaera obliquata,成蟲,2014,432030,3826_11565
3826_264808,307500,2729500,Geometridae,Calletaera obliquata,成蟲,2014,432030,3826_10562
3826_281820,319500,2763500,Geometridae,Calletaera obliquata,成蟲,2013,432030,3826_11264
3826_281334,333500,2762500,Geometridae,Calletaera obliquata,成蟲,2014,432030,3826_11267
3826_284317,316500,2768500,Geometridae,Calletaera obliquata,成蟲,2014,432030,3826_11364
3826_288836,335500,2777500,Geometridae,Calletaera obliquata,成蟲,2014,432030,3826_11568
3826_288325,324500,2776500,Geometridae,Calletaera obliquata,成蟲,2014,432030,3826_11565
3826_280809,308500,2761500,Geometridae,Calletaera obliquata,成蟲,2014,432030,3826_11262
3826_274305,304500,2748500,Geometridae,Calletaera obliquata,成蟲,2014,432030,3826_10961
3826_265265,264500,2730500,Geometridae,Calletaera obliquata,成蟲,2014,432030,3826_10653
3826_276808,307500,2753500,Geometridae,Calletaera obliquata,成蟲,2015,432030,3826_11062
3826_281810,309500,2763500,Geometridae,Calletaera obliquata,成蟲,2015,432030,3826_11262
3826_259800,299500,2719500,Geometridae,Calletaera obliquata,成蟲,2015,432030,3826_10360
