GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_161256,255500,2522500,Geometridae,Calletaera postvittata,成蟲,2011,344710,3826_6452
3826_263798,297500,2727500,Geometridae,Calletaera postvittata,成蟲,2011,344710,3826_10560
3826_291300,299500,2782500,Geometridae,Calletaera postvittata,幼蟲,2012,344710,3826_11660
3826_219243,242500,2638500,Geometridae,Calletaera postvittata,成蟲,2012,344710,3826_8749
3826_284309,308500,2768500,Geometridae,Calletaera postvittata,成蟲,2012,344710,3826_11362
3826_287813,312500,2775500,Geometridae,Calletaera postvittata,成蟲,2012,344710,3826_11563
3826_273304,303500,2746500,Geometridae,Calletaera postvittata,成蟲,2012,344710,3826_10961
3826_219244,243500,2638500,Geometridae,Calletaera postvittata,成蟲,2012,344710,3826_8749
3826_280316,315500,2760500,Geometridae,Calletaera postvittata,成蟲,2013,344710,3826_11264
3826_270276,275500,2740500,Geometridae,Calletaera postvittata,成蟲,2013,344710,3826_10856
3826_280815,314500,2761500,Geometridae,Calletaera postvittata,成蟲,2013,344710,3826_11263
3826_226305,304500,2652500,Geometridae,Calletaera postvittata,成蟲,2013,344710,3826_9061
3826_273304,303500,2746500,Geometridae,Calletaera postvittata,成蟲,2013,344710,3826_10961
3826_267778,277500,2735500,Geometridae,Calletaera postvittata,成蟲,2013,344710,3826_10756
3826_275267,266500,2750500,Geometridae,Calletaera postvittata,成蟲,2013,344710,3826_11054
3826_281334,333500,2762500,Geometridae,Calletaera postvittata,成蟲,2013,344710,3826_11267
3826_280304,303500,2760500,Geometridae,Calletaera postvittata,成蟲,2013,344710,3826_11261
3826_278825,324500,2757500,Geometridae,Calletaera postvittata,成蟲,2013,344710,3826_11165
3826_277800,299500,2755500,Geometridae,Calletaera postvittata,成蟲,2013,344710,3826_11160
3826_287813,312500,2775500,Geometridae,Calletaera postvittata,成蟲,2014,344710,3826_11563
3826_293303,302500,2786500,Geometridae,Calletaera postvittata,成蟲,2014,344710,3826_11761
3826_281810,309500,2763500,Geometridae,Calletaera postvittata,成蟲,2014,344710,3826_11262
3826_285818,317500,2771500,Geometridae,Calletaera postvittata,成蟲,2014,344710,3826_11464
3826_152714,213500,2505500,Geometridae,Calletaera postvittata,成蟲,2014,344710,3826_6143
3826_280339,338500,2760500,Geometridae,Calletaera postvittata,成蟲,2014,344710,3826_11268
3826_281312,311500,2762500,Geometridae,Calletaera postvittata,成蟲,2013,344710,3826_11263
3826_281309,308500,2762500,Geometridae,Calletaera postvittata,成蟲,2014,344710,3826_11262
3826_292307,306500,2784500,Geometridae,Calletaera postvittata,成蟲,2014,344710,3826_11662
3826_292806,305500,2785500,Geometridae,Calletaera postvittata,成蟲,2014,344710,3826_11762
3826_293303,302500,2786500,Geometridae,Calletaera postvittata,成蟲,2015,344710,3826_11761
3826_225806,305500,2651500,Geometridae,Calletaera postvittata,成蟲,2015,344710,3826_9062
3826_280787,286500,2761500,Geometridae,Calletaera postvittata,成蟲,2013,344710,3826_11258
3826_287813,312500,2775500,Geometridae,Calletaera postvittata,幼蟲,2016,344710,3826_11563
3826_280316,315500,2760500,Geometridae,Calletaera postvittata,成蟲,2015,344710,3826_11264
3826_121236,235500,2442500,Geometridae,Calletaera postvittata,成蟲,2015,344710,3826_4848
3826_285793,292500,2771500,Geometridae,Calletaera postvittata,成蟲,2015,344710,3826_11459
3826_224244,243500,2648500,Geometridae,Calletaera postvittata,成蟲,2012,344710,3826_8949
3826_273788,287500,2747500,Geometridae,Calletaera postvittata,成蟲,2011,344710,3826_10958
3826_277807,306500,2755500,Geometridae,Calletaera postvittata,成蟲,2012,344710,3826_11162
3826_225250,249500,2650500,Geometridae,Calletaera postvittata,成蟲,2016,344710,3826_9050
3826_284810,309500,2769500,Geometridae,Calletaera postvittata,成蟲,2016,344710,3826_11362
3826_287843,342500,2775500,Geometridae,Calletaera postvittata,成蟲,2016,344710,3826_11569
3826_285313,312500,2770500,Geometridae,Calletaera postvittata,成蟲,2016,344710,3826_11463
3826_290310,309500,2780500,Geometridae,Calletaera postvittata,成蟲,2016,344710,3826_11662
3826_290315,314500,2780500,Geometridae,Calletaera postvittata,成蟲,2016,344710,3826_11663
3826_281313,312500,2762500,Geometridae,Calletaera postvittata,成蟲,2016,344710,3826_11263
3826_272774,273500,2745500,Geometridae,Calletaera postvittata,成蟲,2016,344710,3826_10955
3826_263798,297500,2727500,Geometridae,Calletaera postvittata,成蟲,2016,344710,3826_10560
3826_280805,304500,2761500,Geometridae,Calletaera postvittata,成蟲,2016,344710,3826_11261
3826_198712,211500,2597500,Geometridae,Calletaera postvittata,幼蟲,2016,344710,3826_7943
3826_288310,309500,2776500,Geometridae,Calletaera postvittata,成蟲,2016,344710,3826_11562
3826_281810,309500,2763500,Geometridae,Calletaera postvittata,成蟲,2016,344710,3826_11262
3826_286780,279500,2773500,Geometridae,Calletaera postvittata,成蟲,2016,344710,3826_11456
3826_288810,309500,2777500,Geometridae,Calletaera postvittata,成蟲,2016,344710,3826_11562
3826_232753,252500,2665500,Geometridae,Calletaera postvittata,成蟲,2014,344710,3826_9351
3826_286333,332500,2772500,Geometridae,Calletaera postvittata,成蟲,2016,344710,3826_11467
3826_281812,311500,2763500,Geometridae,Calletaera postvittata,成蟲,2017,344710,3826_11263
3826_288311,310500,2776500,Geometridae,Calletaera postvittata,成蟲,2017,344710,3826_11563
3826_284810,309500,2769500,Geometridae,Calletaera postvittata,成蟲,2017,344710,3826_11362
3826_290309,308500,2780500,Geometridae,Calletaera postvittata,成蟲,2013,344710,3826_11662
3826_287843,342500,2775500,Geometridae,Calletaera postvittata,成蟲,2017,344710,3826_11569
3826_285818,317500,2771500,Geometridae,Calletaera postvittata,成蟲,2017,344710,3826_11464
3826_263324,323500,2726500,Geometridae,Calletaera postvittata,成蟲,2017,344710,3826_10565
3826_190782,281500,2581500,Geometridae,Calletaera postvittata,成蟲,2016,344710,3826_7657
3826_287813,312500,2775500,Geometridae,Calletaera postvittata,成蟲,2017,344710,3826_11563
3826_281812,311500,2763500,Geometridae,Calletaera postvittata,成蟲,2016,344710,3826_11263
3826_274810,309500,2749500,Geometridae,Calletaera postvittata,成蟲,2017,344710,3826_10962
3826_282307,306500,2764500,Geometridae,Calletaera postvittata,成蟲,2017,344710,3826_11262
3826_293807,306500,2787500,Geometridae,Calletaera postvittata,成蟲,2014,344710,3826_11762
3826_290315,314500,2780500,Geometridae,Calletaera postvittata,成蟲,2017,344710,3826_11663
3826_285313,312500,2770500,Geometridae,Calletaera postvittata,成蟲,2017,344710,3826_11463
3826_281810,309500,2763500,Geometridae,Calletaera postvittata,成蟲,2017,344710,3826_11262
3826_282784,283500,2765500,Geometridae,Calletaera postvittata,成蟲,2017,344710,3826_11357
3826_290310,309500,2780500,Geometridae,Calletaera postvittata,成蟲,2017,344710,3826_11662
3826_288314,313500,2776500,Geometridae,Calletaera postvittata,成蟲,2016,344710,3826_11563
3826_280304,303500,2760500,Geometridae,Calletaera postvittata,成蟲,2017,344710,3826_11261
3826_161256,255500,2522500,Geometridae,Calletaera postvittata,成蟲,2015,344710,3826_6452
3826_281332,331500,2762500,Geometridae,Calletaera postvittata,成蟲,2017,344710,3826_11267
3826_277327,326500,2754500,Geometridae,Calletaera postvittata,成蟲,2017,344710,3826_11066
3826_248733,232500,2697500,Geometridae,Calletaera postvittata,成蟲,2017,344710,3826_9947
3826_236314,313500,2672500,Geometridae,Calletaera postvittata,成蟲,2017,344710,3826_9463
3826_282823,322500,2765500,Geometridae,Calletaera postvittata,成蟲,2017,344710,3826_11365
3826_128729,228500,2457500,Geometridae,Calletaera postvittata,成蟲,2018,344710,3826_5146
3826_286321,320500,2772500,Geometridae,Calletaera postvittata,成蟲,2018,344710,3826_11465
3826_262249,248500,2724500,Geometridae,Calletaera postvittata,成蟲,2018,344710,3826_10450
3826_276270,269500,2752500,Geometridae,Calletaera postvittata,成蟲,2017,344710,3826_11054
3826_269278,277500,2738500,Geometridae,Calletaera postvittata,成蟲,2017,344710,3826_10756
3826_287813,312500,2775500,Geometridae,Calletaera postvittata,成蟲,2018,344710,3826_11563
3826_277834,333500,2755500,Geometridae,Calletaera postvittata,成蟲,2018,344710,3826_11167
3826_280321,320500,2760500,Geometridae,Calletaera postvittata,成蟲,2018,344710,3826_11265
3826_282307,306500,2764500,Geometridae,Calletaera postvittata,成蟲,2018,344710,3826_11262
3826_219234,233500,2638500,Geometridae,Calletaera postvittata,成蟲,2018,344710,3826_8747
3826_281812,311500,2763500,Geometridae,Calletaera postvittata,成蟲,2018,344710,3826_11263
3826_281810,309500,2763500,Geometridae,Calletaera postvittata,成蟲,2018,344710,3826_11262
3826_280805,304500,2761500,Geometridae,Calletaera postvittata,成蟲,2018,344710,3826_11261
3826_285337,336500,2770500,Geometridae,Calletaera postvittata,成蟲,2018,344710,3826_11468
3826_190782,281500,2581500,Geometridae,Calletaera postvittata,成蟲,2018,344710,3826_7657
3826_274305,304500,2748500,Geometridae,Calletaera postvittata,成蟲,2018,344710,3826_10961
3826_282806,305500,2765500,Geometridae,Calletaera postvittata,成蟲,2018,344710,3826_11362
3826_284830,329500,2769500,Geometridae,Calletaera postvittata,成蟲,2018,344710,3826_11366
3826_287810,309500,2775500,Geometridae,Calletaera postvittata,成蟲,2018,344710,3826_11562
3826_237230,229500,2674500,Geometridae,Calletaera postvittata,成蟲,2018,344710,3826_9446
3826_277800,299500,2755500,Geometridae,Calletaera postvittata,成蟲,2018,344710,3826_11160
3826_154218,217500,2508500,Geometridae,Calletaera postvittata,成蟲,2018,344710,3826_6144
3826_289336,335500,2778500,Geometridae,Calletaera postvittata,成蟲,2018,344710,3826_11568
3826_291805,304500,2783500,Geometridae,Calletaera postvittata,成蟲,2014,344710,3826_11661
3826_277327,326500,2754500,Geometridae,Calletaera postvittata,成蟲,2018,344710,3826_11066
3826_290315,314500,2780500,Geometridae,Calletaera postvittata,幼蟲,2018,344710,3826_11663
3826_289815,314500,2779500,Geometridae,Calletaera postvittata,幼蟲,2018,344710,3826_11563
3826_284815,314500,2769500,Geometridae,Calletaera postvittata,成蟲,2019,344710,3826_11363
3826_276802,301500,2753500,Geometridae,Calletaera postvittata,成蟲,2016,344710,3826_11061
3826_268274,273500,2736500,Geometridae,Calletaera postvittata,成蟲,2019,344710,3826_10755
3826_266265,264500,2732500,Geometridae,Calletaera postvittata,成蟲,2019,344710,3826_10653
3826_281823,322500,2763500,Geometridae,Calletaera postvittata,成蟲,2019,344710,3826_11265
3826_154218,217500,2508500,Geometridae,Calletaera postvittata,成蟲,2019,344710,3826_6144
3826_280321,320500,2760500,Geometridae,Calletaera postvittata,成蟲,2019,344710,3826_11265
3826_293308,307500,2786500,Geometridae,Calletaera postvittata,成蟲,2019,344710,3826_11762
3826_289337,336500,2778500,Geometridae,Calletaera postvittata,成蟲,2019,344710,3826_11568
3826_228809,308500,2657500,Geometridae,Calletaera postvittata,成蟲,2019,344710,3826_9162
3826_281810,309500,2763500,Geometridae,Calletaera postvittata,成蟲,2019,344710,3826_11262
3826_277297,296500,2754500,Geometridae,Calletaera postvittata,成蟲,2019,344710,3826_11060
3826_291805,304500,2783500,Geometridae,Calletaera postvittata,成蟲,2012,344710,3826_11661
3826_255743,242500,2711500,Geometridae,Calletaera postvittata,成蟲,2018,344710,3826_10249
3826_225806,305500,2651500,Geometridae,Calletaera postvittata,成蟲,2019,344710,3826_9062
3826_139225,224500,2478500,Geometridae,Calletaera postvittata,成蟲,2019,344710,3826_5545
3826_283832,331500,2767500,Geometridae,Calletaera postvittata,成蟲,2019,344710,3826_11367
3826_282317,316500,2764500,Geometridae,Calletaera postvittata,成蟲,2019,344710,3826_11264
3826_287834,333500,2775500,Geometridae,Calletaera postvittata,成蟲,2019,344710,3826_11567
3826_247731,230500,2695500,Geometridae,Calletaera postvittata,成蟲,2019,344710,3826_9947
3826_269273,272500,2738500,Geometridae,Calletaera postvittata,成蟲,2019,344710,3826_10755
3826_292804,303500,2785500,Geometridae,Calletaera postvittata,成蟲,2019,344710,3826_11761
3826_194707,206500,2589500,Geometridae,Calletaera postvittata,成蟲,2019,344710,3826_7742
3826_154218,217500,2508500,Geometridae,Calletaera postvittata,成蟲,2013,344710,3826_6144
3826_269812,311500,2739500,Geometridae,Calletaera postvittata,成蟲,2019,344710,3826_10763
3826_274829,328500,2749500,Geometridae,Calletaera postvittata,成蟲,2019,344710,3826_10966
3826_290315,314500,2780500,Geometridae,Calletaera postvittata,幼蟲,2019,344710,3826_11663
3826_290315,314500,2780500,Geometridae,Calletaera postvittata,成蟲,2019,344710,3826_11663
3826_286823,322500,2773500,Geometridae,Calletaera postvittata,成蟲,2019,344710,3826_11465
3826_255743,242500,2711500,Geometridae,Calletaera postvittata,成蟲,2019,344710,3826_10249
3826_284810,309500,2769500,Geometridae,Calletaera postvittata,成蟲,2019,344710,3826_11362
3826_286321,320500,2772500,Geometridae,Calletaera postvittata,成蟲,2019,344710,3826_11465
3826_274825,324500,2749500,Geometridae,Calletaera postvittata,成蟲,2019,344710,3826_10965
3826_287813,312500,2775500,Geometridae,Calletaera postvittata,幼蟲,2019,344710,3826_11563
3826_272273,272500,2744500,Geometridae,Calletaera postvittata,幼蟲,2019,344710,3826_10855
3826_290309,308500,2780500,Geometridae,Calletaera postvittata,成蟲,2019,344710,3826_11662
