GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_263798,297500,2727500,Drepanidae,Callidrepana patrana,成蟲,2011,344426,3826_10560
3826_219741,240500,2639500,Drepanidae,Callidrepana patrana,成蟲,2012,344426,3826_8749
3826_278806,305500,2757500,Drepanidae,Callidrepana patrana,成蟲,2012,344426,3826_11162
3826_198726,225500,2597500,Drepanidae,Callidrepana patrana,成蟲,2012,344426,3826_7946
3826_241275,274500,2682500,Drepanidae,Callidrepana patrana,成蟲,2012,344426,3826_9655
3826_269278,277500,2738500,Drepanidae,Callidrepana patrana,成蟲,2016,344426,3826_10756
3826_273304,303500,2746500,Drepanidae,Callidrepana patrana,成蟲,2012,344426,3826_10961
3826_273788,287500,2747500,Drepanidae,Callidrepana patrana,成蟲,2012,344426,3826_10958
3826_174766,265500,2549500,Drepanidae,Callidrepana patrana,幼蟲,2012,344426,3826_6954
3826_237248,247500,2674500,Drepanidae,Callidrepana patrana,幼蟲,2012,344426,3826_9450
3826_158223,222500,2516500,Drepanidae,Callidrepana patrana,成蟲,2012,344426,3826_6345
3826_255762,261500,2711500,Drepanidae,Callidrepana patrana,成蟲,2012,344426,3826_10253
3826_166722,221500,2533500,Drepanidae,Callidrepana patrana,成蟲,2012,344426,3826_6645
3826_267778,277500,2735500,Drepanidae,Callidrepana patrana,成蟲,2013,344426,3826_10756
3826_148712,211500,2497500,Drepanidae,Callidrepana patrana,幼蟲,2012,344426,3826_5943
3826_270801,300500,2741500,Drepanidae,Callidrepana patrana,成蟲,2012,344426,3826_10861
3826_175725,224500,2551500,Drepanidae,Callidrepana patrana,成蟲,2013,344426,3826_7045
3826_140224,223500,2480500,Drepanidae,Callidrepana patrana,成蟲,2011,344426,3826_5645
3826_220810,309500,2641500,Drepanidae,Callidrepana patrana,成蟲,2014,344426,3826_8862
3826_200231,230500,2600500,Drepanidae,Callidrepana patrana,成蟲,2014,344426,3826_8047
3826_268276,275500,2736500,Drepanidae,Callidrepana patrana,成蟲,2014,344426,3826_10756
3826_200731,230500,2601500,Drepanidae,Callidrepana patrana,成蟲,2014,344426,3826_8047
3826_263260,259500,2726500,Drepanidae,Callidrepana patrana,成蟲,2014,344426,3826_10552
3826_228263,262500,2656500,Drepanidae,Callidrepana patrana,成蟲,2014,344426,3826_9153
3826_241248,247500,2682500,Drepanidae,Callidrepana patrana,成蟲,2012,344426,3826_9650
3826_273792,291500,2747500,Drepanidae,Callidrepana patrana,成蟲,2014,344426,3826_10959
3826_273798,297500,2747500,Drepanidae,Callidrepana patrana,成蟲,2014,344426,3826_10960
