GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_278787,286500,2757500,Callidulidae,Callidula attenuata,成蟲,2011,343991,3826_11158
3826_165726,225500,2531500,Callidulidae,Callidula attenuata,成蟲,2011,343991,3826_6646
3826_282307,306500,2764500,Callidulidae,Callidula attenuata,成蟲,2012,343991,3826_11262
3826_277806,305500,2755500,Callidulidae,Callidula attenuata,成蟲,2012,343991,3826_11162
3826_179286,285500,2558500,Callidulidae,Callidula attenuata,成蟲,2012,343991,3826_7158
3826_289309,308500,2778500,Callidulidae,Callidula attenuata,成蟲,2012,343991,3826_11562
3826_297809,308500,2795500,Callidulidae,Callidula attenuata,成蟲,2012,343991,3826_11962
3826_291805,304500,2783500,Callidulidae,Callidula attenuata,成蟲,2012,343991,3826_11661
3826_288838,337500,2777500,Callidulidae,Callidula attenuata,成蟲,2012,343991,3826_11568
3826_287813,312500,2775500,Callidulidae,Callidula attenuata,成蟲,2012,343991,3826_11563
3826_291808,307500,2783500,Callidulidae,Callidula attenuata,成蟲,2012,343991,3826_11662
3826_280304,303500,2760500,Callidulidae,Callidula attenuata,成蟲,2012,343991,3826_11261
3826_272781,280500,2745500,Callidulidae,Callidula attenuata,成蟲,2012,343991,3826_10957
3826_275307,306500,2750500,Callidulidae,Callidula attenuata,成蟲,2012,343991,3826_11062
3826_284809,308500,2769500,Callidulidae,Callidula attenuata,成蟲,2011,343991,3826_11362
3826_281844,343500,2763500,Callidulidae,Callidula attenuata,成蟲,2012,343991,3826_11269
3826_279306,305500,2758500,Callidulidae,Callidula attenuata,成蟲,2012,343991,3826_11162
3826_285313,312500,2770500,Callidulidae,Callidula attenuata,成蟲,2012,343991,3826_11463
3826_289337,336500,2778500,Callidulidae,Callidula attenuata,成蟲,2012,343991,3826_11568
3826_283783,282500,2767500,Callidulidae,Callidula attenuata,成蟲,2012,343991,3826_11357
3826_284315,314500,2768500,Callidulidae,Callidula attenuata,成蟲,2013,343991,3826_11363
3826_291805,304500,2783500,Callidulidae,Callidula attenuata,成蟲,2013,343991,3826_11661
3826_273325,324500,2746500,Callidulidae,Callidula attenuata,成蟲,2013,343991,3826_10965
3826_290302,301500,2780500,Callidulidae,Callidula attenuata,成蟲,2012,343991,3826_11661
3826_282809,308500,2765500,Callidulidae,Callidula attenuata,成蟲,2012,343991,3826_11362
3826_272774,273500,2745500,Callidulidae,Callidula attenuata,成蟲,2013,343991,3826_10955
3826_274307,306500,2748500,Callidulidae,Callidula attenuata,成蟲,2013,343991,3826_10962
3826_283807,306500,2767500,Callidulidae,Callidula attenuata,成蟲,2013,343991,3826_11362
3826_287312,311500,2774500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_11463
3826_287787,286500,2775500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_11558
3826_282307,306500,2764500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_11262
3826_276805,304500,2753500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_11061
3826_172215,214500,2544500,Callidulidae,Callidula attenuata,成蟲,2013,343991,3826_6843
3826_279806,305500,2759500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_11162
3826_292305,304500,2784500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_11661
3826_293303,302500,2786500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_11761
3826_281810,309500,2763500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_11262
3826_291300,299500,2782500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_11660
3826_287813,312500,2775500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_11563
3826_291304,303500,2782500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_11661
3826_291805,304500,2783500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_11661
3826_283807,306500,2767500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_11362
3826_272275,274500,2744500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_10855
3826_282309,308500,2764500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_11262
3826_152714,213500,2505500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_6143
3826_290309,308500,2780500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_11662
3826_203725,224500,2607500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_8145
3826_281306,305500,2762500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_11262
3826_293807,306500,2787500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_11762
3826_273826,325500,2747500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_10966
3826_279301,300500,2758500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_11161
3826_280304,303500,2760500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_11261
3826_282809,308500,2765500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_11362
3826_285818,317500,2771500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_11464
3826_288808,307500,2777500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_11562
3826_297809,308500,2795500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_11962
3826_281301,300500,2762500,Callidulidae,Callidula attenuata,成蟲,2013,343991,3826_11261
3826_280316,315500,2760500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_11264
3826_230228,227500,2660500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_9246
3826_280805,304500,2761500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_11261
3826_281312,311500,2762500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_11263
3826_280297,296500,2760500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_11260
3826_287811,310500,2775500,Callidulidae,Callidula attenuata,成蟲,2018,343991,3826_11563
3826_288308,307500,2776500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_11562
3826_228809,308500,2657500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_9162
3826_259760,259500,2719500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_10352
3826_260760,259500,2721500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_10452
3826_283807,306500,2767500,Callidulidae,Callidula attenuata,成蟲,2015,343991,3826_11362
3826_282307,306500,2764500,Callidulidae,Callidula attenuata,成蟲,2015,343991,3826_11262
3826_282288,287500,2764500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_11258
3826_284308,307500,2768500,Callidulidae,Callidula attenuata,成蟲,2015,343991,3826_11362
3826_195214,213500,2590500,Callidulidae,Callidula attenuata,成蟲,2015,343991,3826_7843
3826_290304,303500,2780500,Callidulidae,Callidula attenuata,成蟲,2014,343991,3826_11661
