GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_263294,293500,2726500,Erebidae,Calliteara angulata,成蟲,2011,345809,3826_10559
3826_259784,283500,2719500,Erebidae,Calliteara angulata,成蟲,2011,345809,3826_10357
3826_219741,240500,2639500,Erebidae,Calliteara angulata,幼蟲,2012,345809,3826_8749
3826_197218,217500,2594500,Erebidae,Calliteara angulata,成蟲,2012,345809,3826_7844
3826_273788,287500,2747500,Erebidae,Calliteara angulata,成蟲,2012,345809,3826_10958
3826_158223,222500,2516500,Erebidae,Calliteara angulata,成蟲,2012,345809,3826_6345
3826_189703,202500,2579500,Erebidae,Calliteara angulata,幼蟲,2012,345809,3826_7541
3826_166722,221500,2533500,Erebidae,Calliteara angulata,成蟲,2012,345809,3826_6645
3826_239740,239500,2679500,Erebidae,Calliteara angulata,成蟲,2013,345809,3826_9548
3826_197218,217500,2594500,Erebidae,Calliteara angulata,成蟲,2013,345809,3826_7844
3826_273304,303500,2746500,Erebidae,Calliteara angulata,成蟲,2013,345809,3826_10961
3826_259800,299500,2719500,Erebidae,Calliteara angulata,成蟲,2013,345809,3826_10360
3826_272276,275500,2744500,Erebidae,Calliteara angulata,成蟲,2013,345809,3826_10856
3826_280304,303500,2760500,Erebidae,Calliteara angulata,幼蟲,2013,345809,3826_11261
3826_264779,278500,2729500,Erebidae,Calliteara angulata,成蟲,2013,345809,3826_10556
3826_264279,278500,2728500,Erebidae,Calliteara angulata,成蟲,2014,345809,3826_10556
3826_220810,309500,2641500,Erebidae,Calliteara angulata,成蟲,2014,345809,3826_8862
3826_175222,221500,2550500,Erebidae,Calliteara angulata,成蟲,2014,345809,3826_7045
3826_139724,223500,2479500,Erebidae,Calliteara angulata,成蟲,2014,345809,3826_5545
3826_227307,306500,2654500,Erebidae,Calliteara angulata,成蟲,2014,345809,3826_9062
3826_263798,297500,2727500,Erebidae,Calliteara angulata,成蟲,2014,345809,3826_10560
3826_280805,304500,2761500,Erebidae,Calliteara angulata,成蟲,2014,345809,3826_11261
3826_238231,230500,2676500,Erebidae,Calliteara angulata,成蟲,2014,345809,3826_9547
3826_273304,303500,2746500,Erebidae,Calliteara angulata,成蟲,2014,345809,3826_10961
3826_174221,220500,2548500,Erebidae,Calliteara angulata,成蟲,2015,345809,3826_6945
3826_264279,278500,2728500,Erebidae,Calliteara angulata,成蟲,2015,345809,3826_10556
3826_264283,282500,2728500,Erebidae,Calliteara angulata,成蟲,2015,345809,3826_10557
3826_199720,219500,2599500,Erebidae,Calliteara angulata,成蟲,2015,345809,3826_7944
3826_232753,252500,2665500,Erebidae,Calliteara angulata,成蟲,2014,345809,3826_9351
3826_271279,278500,2742500,Erebidae,Calliteara angulata,成蟲,2014,345809,3826_10856
3826_228264,263500,2656500,Erebidae,Calliteara angulata,成蟲,2014,345809,3826_9153
3826_282789,288500,2765500,Erebidae,Calliteara angulata,成蟲,2012,345809,3826_11358
3826_195215,214500,2590500,Erebidae,Calliteara angulata,成蟲,2015,345809,3826_7843
3826_276808,307500,2753500,Erebidae,Calliteara angulata,成蟲,2014,345809,3826_11062
3826_281309,308500,2762500,Erebidae,Calliteara angulata,成蟲,2015,345809,3826_11262
3826_157226,225500,2514500,Erebidae,Calliteara angulata,成蟲,2015,345809,3826_6246
3826_232753,252500,2665500,Erebidae,Calliteara angulata,幼蟲,2015,345809,3826_9351
3826_243237,236500,2686500,Erebidae,Calliteara angulata,成蟲,2022,345809,3826_9748
3826_263794,293500,2727500,Erebidae,Calliteara angulata,成蟲,2012,345809,3826_10559
3826_237789,288500,2675500,Erebidae,Calliteara angulata,成蟲,2012,345809,3826_9558
3826_272277,276500,2744500,Erebidae,Calliteara angulata,成蟲,2013,345809,3826_10856
3826_228263,262500,2656500,Erebidae,Calliteara angulata,成蟲,2012,345809,3826_9153
3826_175726,225500,2551500,Erebidae,Calliteara angulata,成蟲,2012,345809,3826_7046
3826_175222,221500,2550500,Erebidae,Calliteara angulata,成蟲,2016,345809,3826_7045
3826_275786,285500,2751500,Erebidae,Calliteara angulata,成蟲,2016,345809,3826_11058
3826_281810,309500,2763500,Erebidae,Calliteara angulata,成蟲,2016,345809,3826_11262
3826_263798,297500,2727500,Erebidae,Calliteara angulata,成蟲,2016,345809,3826_10560
3826_154218,217500,2508500,Erebidae,Calliteara angulata,成蟲,2013,345809,3826_6144
3826_265790,289500,2731500,Erebidae,Calliteara angulata,成蟲,2016,345809,3826_10658
3826_267279,278500,2734500,Erebidae,Calliteara angulata,成蟲,2016,345809,3826_10656
3826_274307,306500,2748500,Erebidae,Calliteara angulata,成蟲,2016,345809,3826_10962
3826_224749,248500,2649500,Erebidae,Calliteara angulata,成蟲,2016,345809,3826_8950
3826_165724,223500,2531500,Erebidae,Calliteara angulata,幼蟲,2016,345809,3826_6645
3826_131232,231500,2462500,Erebidae,Calliteara angulata,成蟲,2014,345809,3826_5247
3826_277327,326500,2754500,Erebidae,Calliteara angulata,成蟲,2016,345809,3826_11066
3826_274307,306500,2748500,Erebidae,Calliteara angulata,成蟲,2017,345809,3826_10962
3826_151747,246500,2503500,Erebidae,Calliteara angulata,成蟲,2017,345809,3826_6050
3826_190782,281500,2581500,Erebidae,Calliteara angulata,成蟲,2016,345809,3826_7657
3826_224749,248500,2649500,Erebidae,Calliteara angulata,成蟲,2017,345809,3826_8950
3826_281812,311500,2763500,Erebidae,Calliteara angulata,成蟲,2017,345809,3826_11263
3826_197218,217500,2594500,Erebidae,Calliteara angulata,成蟲,2017,345809,3826_7844
3826_182753,252500,2565500,Erebidae,Calliteara angulata,成蟲,2017,345809,3826_7351
3826_281810,309500,2763500,Erebidae,Calliteara angulata,成蟲,2017,345809,3826_11262
3826_275806,305500,2751500,Erebidae,Calliteara angulata,成蟲,2017,345809,3826_11062
3826_266265,264500,2732500,Erebidae,Calliteara angulata,成蟲,2017,345809,3826_10653
3826_238290,289500,2676500,Erebidae,Calliteara angulata,成蟲,2017,345809,3826_9558
3826_274307,306500,2748500,Erebidae,Calliteara angulata,成蟲,2013,345809,3826_10962
3826_273796,295500,2747500,Erebidae,Calliteara angulata,成蟲,2017,345809,3826_10960
3826_281810,309500,2763500,Erebidae,Calliteara angulata,成蟲,2014,345809,3826_11262
3826_224749,248500,2649500,Erebidae,Calliteara angulata,成蟲,2018,345809,3826_8950
3826_270278,277500,2740500,Erebidae,Calliteara angulata,成蟲,2018,345809,3826_10856
3826_280319,318500,2760500,Erebidae,Calliteara angulata,成蟲,2018,345809,3826_11264
3826_232753,252500,2665500,Erebidae,Calliteara angulata,成蟲,2018,345809,3826_9351
3826_230228,227500,2660500,Erebidae,Calliteara angulata,成蟲,2018,345809,3826_9246
3826_196718,217500,2593500,Erebidae,Calliteara angulata,成蟲,2018,345809,3826_7844
3826_293308,307500,2786500,Erebidae,Calliteara angulata,成蟲,2018,345809,3826_11762
3826_274307,306500,2748500,Erebidae,Calliteara angulata,成蟲,2018,345809,3826_10962
3826_238293,292500,2676500,Erebidae,Calliteara angulata,成蟲,2018,345809,3826_9559
3826_238800,299500,2677500,Erebidae,Calliteara angulata,成蟲,2018,345809,3826_9560
3826_198220,219500,2596500,Erebidae,Calliteara angulata,成蟲,2018,345809,3826_7944
3826_154218,217500,2508500,Erebidae,Calliteara angulata,成蟲,2018,345809,3826_6144
3826_256748,247500,2713500,Erebidae,Calliteara angulata,成蟲,2018,345809,3826_10250
3826_239300,299500,2678500,Erebidae,Calliteara angulata,成蟲,2018,345809,3826_9560
3826_277327,326500,2754500,Erebidae,Calliteara angulata,成蟲,2018,345809,3826_11066
3826_130734,233500,2461500,Erebidae,Calliteara angulata,成蟲,2017,345809,3826_5247
3826_276793,292500,2753500,Erebidae,Calliteara angulata,成蟲,2018,345809,3826_11059
3826_197218,217500,2594500,Erebidae,Calliteara angulata,成蟲,2018,345809,3826_7844
3826_257242,241500,2714500,Erebidae,Calliteara angulata,成蟲,2018,345809,3826_10249
3826_187199,198500,2574500,Erebidae,Calliteara angulata,成蟲,2019,345809,3826_7440
3826_237807,306500,2675500,Erebidae,Calliteara angulata,成蟲,2011,345809,3826_9562
3826_239800,299500,2679500,Erebidae,Calliteara angulata,成蟲,2011,345809,3826_9560
3826_255743,242500,2711500,Erebidae,Calliteara angulata,成蟲,2018,345809,3826_10249
3826_165724,223500,2531500,Erebidae,Calliteara angulata,成蟲,2012,345809,3826_6645
3826_238800,299500,2677500,Erebidae,Calliteara angulata,成蟲,2019,345809,3826_9560
3826_252833,332500,2705500,Erebidae,Calliteara angulata,成蟲,2018,345809,3826_10167
3826_269811,310500,2739500,Erebidae,Calliteara angulata,幼蟲,2019,345809,3826_10763
3826_282309,308500,2764500,Erebidae,Calliteara angulata,成蟲,2019,345809,3826_11262
3826_278306,305500,2756500,Erebidae,Calliteara angulata,成蟲,2019,345809,3826_11162
3826_255743,242500,2711500,Erebidae,Calliteara angulata,成蟲,2019,345809,3826_10249
3826_273788,287500,2747500,Erebidae,Calliteara angulata,成蟲,2019,345809,3826_10958
3826_264279,278500,2728500,Erebidae,Calliteara angulata,成蟲,2019,345809,3826_10556
3826_257242,241500,2714500,Erebidae,Calliteara angulata,成蟲,2019,345809,3826_10249
3826_225806,305500,2651500,Erebidae,Calliteara angulata,成蟲,2019,345809,3826_9062
3826_257745,244500,2715500,Erebidae,Calliteara angulata,成蟲,2019,345809,3826_10349
3826_265289,288500,2730500,Erebidae,Calliteara angulata,成蟲,2019,345809,3826_10658
3826_267266,265500,2734500,Erebidae,Calliteara angulata,成蟲,2019,345809,3826_10654
3826_225250,249500,2650500,Erebidae,Calliteara angulata,成蟲,2019,345809,3826_9050
3826_273786,285500,2747500,Erebidae,Calliteara angulata,成蟲,2019,345809,3826_10958
3826_274805,304500,2749500,Erebidae,Calliteara angulata,成蟲,2019,345809,3826_10961
3826_197218,217500,2594500,Erebidae,Calliteara angulata,成蟲,2019,345809,3826_7844
3826_281810,309500,2763500,Erebidae,Calliteara angulata,成蟲,2019,345809,3826_11262
3826_166223,222500,2532500,Erebidae,Calliteara angulata,幼蟲,2019,345809,3826_6645
3826_273796,295500,2747500,Erebidae,Calliteara angulata,幼蟲,2019,345809,3826_10960
3826_130234,233500,2460500,Erebidae,Calliteara angulata,成蟲,2019,345809,3826_5247
3826_274280,279500,2748500,Erebidae,Calliteara angulata,成蟲,2019,345809,3826_10956
3826_280321,320500,2760500,Erebidae,Calliteara angulata,成蟲,2019,345809,3826_11265
3826_264778,277500,2729500,Erebidae,Calliteara angulata,成蟲,2020,345809,3826_10556
3826_257745,244500,2715500,Erebidae,Calliteara angulata,成蟲,2020,345809,3826_10349
3826_281810,309500,2763500,Erebidae,Calliteara angulata,成蟲,2020,345809,3826_11262
3826_130234,233500,2460500,Erebidae,Calliteara angulata,成蟲,2020,345809,3826_5247
3826_281301,300500,2762500,Erebidae,Calliteara angulata,成蟲,2020,345809,3826_11261
3826_170218,217500,2540500,Erebidae,Calliteara angulata,成蟲,2013,345809,3826_6844
3826_262824,323500,2725500,Erebidae,Calliteara angulata,成蟲,2020,345809,3826_10565
3826_263324,323500,2726500,Erebidae,Calliteara angulata,成蟲,2020,345809,3826_10565
3826_273788,287500,2747500,Erebidae,Calliteara angulata,成蟲,2020,345809,3826_10958
3826_269273,272500,2738500,Erebidae,Calliteara angulata,成蟲,2020,345809,3826_10755
3826_272276,275500,2744500,Erebidae,Calliteara angulata,成蟲,2020,345809,3826_10856
3826_198220,219500,2596500,Erebidae,Calliteara angulata,成蟲,2020,345809,3826_7944
3826_225806,305500,2651500,Erebidae,Calliteara angulata,成蟲,2021,345809,3826_9062
3826_198717,216500,2597500,Erebidae,Calliteara angulata,成蟲,2020,345809,3826_7944
3826_175725,224500,2551500,Erebidae,Calliteara angulata,幼蟲,2014,345809,3826_7045
3826_204788,287500,2609500,Erebidae,Calliteara angulata,成蟲,2021,345809,3826_8158
3826_273788,287500,2747500,Erebidae,Calliteara angulata,成蟲,2021,345809,3826_10958
3826_147746,245500,2495500,Erebidae,Calliteara angulata,成蟲,2021,345809,3826_5950
3826_274280,279500,2748500,Erebidae,Calliteara angulata,成蟲,2021,345809,3826_10956
3826_269273,272500,2738500,Erebidae,Calliteara angulata,成蟲,2021,345809,3826_10755
3826_175223,222500,2550500,Erebidae,Calliteara angulata,成蟲,2021,345809,3826_7045
3826_281810,309500,2763500,Erebidae,Calliteara angulata,成蟲,2021,345809,3826_11262
3826_264779,278500,2729500,Erebidae,Calliteara angulata,成蟲,2021,345809,3826_10556
3826_257745,244500,2715500,Erebidae,Calliteara angulata,成蟲,2021,345809,3826_10349
3826_175725,224500,2551500,Erebidae,Calliteara angulata,成蟲,2021,345809,3826_7045
3826_259249,248500,2718500,Erebidae,Calliteara angulata,成蟲,2022,345809,3826_10350
3826_273821,320500,2747500,Erebidae,Calliteara angulata,成蟲,2022,345809,3826_10965
3826_257253,252500,2714500,Erebidae,Calliteara angulata,成蟲,2022,345809,3826_10251
3826_279305,304500,2758500,Erebidae,Calliteara angulata,成蟲,2022,345809,3826_11161
3826_147746,245500,2495500,Erebidae,Calliteara angulata,成蟲,2022,345809,3826_5950
3826_281810,309500,2763500,Erebidae,Calliteara angulata,成蟲,2022,345809,3826_11262
3826_269273,272500,2738500,Erebidae,Calliteara angulata,成蟲,2022,345809,3826_10755
3826_269811,310500,2739500,Erebidae,Calliteara angulata,成蟲,2022,345809,3826_10763
3826_264279,278500,2728500,Erebidae,Calliteara angulata,成蟲,2022,345809,3826_10556
3826_266293,292500,2732500,Erebidae,Calliteara angulata,成蟲,2022,345809,3826_10659
3826_238800,299500,2677500,Erebidae,Calliteara angulata,成蟲,2022,345809,3826_9560
3826_246737,236500,2693500,Erebidae,Calliteara angulata,成蟲,2022,345809,3826_9848
