GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_242745,244500,2685500,Erebidae,Calliteara postfusca,成蟲,2011,345817,3826_9749
3826_273304,303500,2746500,Erebidae,Calliteara postfusca,成蟲,2011,345817,3826_10961
3826_263798,297500,2727500,Erebidae,Calliteara postfusca,成蟲,2011,345817,3826_10560
3826_273304,303500,2746500,Erebidae,Calliteara postfusca,成蟲,2012,345817,3826_10961
3826_279306,305500,2758500,Erebidae,Calliteara postfusca,成蟲,2012,345817,3826_11162
3826_276808,307500,2753500,Erebidae,Calliteara postfusca,成蟲,2012,345817,3826_11062
3826_241275,274500,2682500,Erebidae,Calliteara postfusca,成蟲,2012,345817,3826_9655
3826_273788,287500,2747500,Erebidae,Calliteara postfusca,成蟲,2012,345817,3826_10958
3826_175725,224500,2551500,Erebidae,Calliteara postfusca,成蟲,2013,345817,3826_7045
3826_267778,277500,2735500,Erebidae,Calliteara postfusca,成蟲,2013,345817,3826_10756
3826_273788,287500,2747500,Erebidae,Calliteara postfusca,成蟲,2013,345817,3826_10958
3826_255762,261500,2711500,Erebidae,Calliteara postfusca,成蟲,2012,345817,3826_10253
3826_247247,246500,2694500,Erebidae,Calliteara postfusca,成蟲,2013,345817,3826_9850
3826_269811,310500,2739500,Erebidae,Calliteara postfusca,成蟲,2013,345817,3826_10763
3826_224769,268500,2649500,Erebidae,Calliteara postfusca,成蟲,2013,345817,3826_8954
3826_244827,326500,2689500,Erebidae,Calliteara postfusca,成蟲,2014,345817,3826_9766
3826_174221,220500,2548500,Erebidae,Calliteara postfusca,成蟲,2014,345817,3826_6945
3826_264279,278500,2728500,Erebidae,Calliteara postfusca,成蟲,2014,345817,3826_10556
3826_219741,240500,2639500,Erebidae,Calliteara postfusca,成蟲,2014,345817,3826_8749
3826_255812,311500,2711500,Erebidae,Calliteara postfusca,成蟲,2014,345817,3826_10263
3826_207230,229500,2614500,Erebidae,Calliteara postfusca,成蟲,2014,345817,3826_8246
3826_175725,224500,2551500,Erebidae,Calliteara postfusca,成蟲,2014,345817,3826_7045
3826_263798,297500,2727500,Erebidae,Calliteara postfusca,成蟲,2014,345817,3826_10560
3826_264279,278500,2728500,Erebidae,Calliteara postfusca,成蟲,2015,345817,3826_10556
3826_224769,268500,2649500,Erebidae,Calliteara postfusca,成蟲,2015,345817,3826_8954
3826_264283,282500,2728500,Erebidae,Calliteara postfusca,成蟲,2015,345817,3826_10557
3826_239253,252500,2678500,Erebidae,Calliteara postfusca,成蟲,2014,345817,3826_9551
3826_232753,252500,2665500,Erebidae,Calliteara postfusca,成蟲,2014,345817,3826_9351
3826_171719,218500,2543500,Erebidae,Calliteara postfusca,成蟲,2014,345817,3826_6844
3826_275806,305500,2751500,Erebidae,Calliteara postfusca,成蟲,2014,345817,3826_11062
3826_185749,248500,2571500,Erebidae,Calliteara postfusca,成蟲,2014,345817,3826_7450
3826_259282,281500,2718500,Erebidae,Calliteara postfusca,成蟲,2014,345817,3826_10357
3826_174221,220500,2548500,Erebidae,Calliteara postfusca,成蟲,2015,345817,3826_6945
3826_195215,214500,2590500,Erebidae,Calliteara postfusca,成蟲,2015,345817,3826_7843
3826_264779,278500,2729500,Erebidae,Calliteara postfusca,成蟲,2015,345817,3826_10556
3826_255762,261500,2711500,Erebidae,Calliteara postfusca,成蟲,2015,345817,3826_10253
3826_232753,252500,2665500,Erebidae,Calliteara postfusca,成蟲,2015,345817,3826_9351
3826_227764,263500,2655500,Erebidae,Calliteara postfusca,成蟲,2012,345817,3826_9153
3826_263794,293500,2727500,Erebidae,Calliteara postfusca,成蟲,2012,345817,3826_10559
3826_198719,218500,2597500,Erebidae,Calliteara postfusca,成蟲,2015,345817,3826_7944
3826_232753,252500,2665500,Erebidae,Calliteara postfusca,成蟲,2016,345817,3826_9351
3826_175726,225500,2551500,Erebidae,Calliteara postfusca,成蟲,2012,345817,3826_7046
3826_241751,250500,2683500,Erebidae,Calliteara postfusca,成蟲,2015,345817,3826_9651
3826_177231,230500,2554500,Erebidae,Calliteara postfusca,成蟲,2013,345817,3826_7047
3826_269811,310500,2739500,Erebidae,Calliteara postfusca,成蟲,2016,345817,3826_10763
3826_229248,247500,2658500,Erebidae,Calliteara postfusca,成蟲,2016,345817,3826_9150
3826_253332,331500,2706500,Erebidae,Calliteara postfusca,成蟲,2013,345817,3826_10167
3826_207230,229500,2614500,Erebidae,Calliteara postfusca,成蟲,2016,345817,3826_8246
3826_229266,265500,2658500,Erebidae,Calliteara postfusca,成蟲,2016,345817,3826_9154
3826_241248,247500,2682500,Erebidae,Calliteara postfusca,成蟲,2016,345817,3826_9650
3826_234275,274500,2668500,Erebidae,Calliteara postfusca,成蟲,2013,345817,3826_9355
3826_234267,266500,2668500,Erebidae,Calliteara postfusca,成蟲,2013,345817,3826_9354
3826_267279,278500,2734500,Erebidae,Calliteara postfusca,成蟲,2016,345817,3826_10656
3826_265290,289500,2730500,Erebidae,Calliteara postfusca,成蟲,2016,345817,3826_10658
3826_264279,278500,2728500,Erebidae,Calliteara postfusca,成蟲,2016,345817,3826_10556
3826_259784,283500,2719500,Erebidae,Calliteara postfusca,成蟲,2016,345817,3826_10357
3826_254805,304500,2709500,Erebidae,Calliteara postfusca,成蟲,2016,345817,3826_10161
3826_256762,261500,2713500,Erebidae,Calliteara postfusca,成蟲,2016,345817,3826_10253
3826_265791,290500,2731500,Erebidae,Calliteara postfusca,成蟲,2016,345817,3826_10659
3826_266265,264500,2732500,Erebidae,Calliteara postfusca,成蟲,2016,345817,3826_10653
3826_197241,240500,2594500,Erebidae,Calliteara postfusca,成蟲,2016,345817,3826_7849
3826_207229,228500,2614500,Erebidae,Calliteara postfusca,成蟲,2017,345817,3826_8246
3826_209227,226500,2618500,Erebidae,Calliteara postfusca,成蟲,2017,345817,3826_8346
3826_237303,302500,2674500,Erebidae,Calliteara postfusca,成蟲,2017,345817,3826_9461
3826_199233,232500,2598500,Erebidae,Calliteara postfusca,成蟲,2017,345817,3826_7947
3826_238794,293500,2677500,Erebidae,Calliteara postfusca,成蟲,2017,345817,3826_9559
3826_207230,229500,2614500,Erebidae,Calliteara postfusca,成蟲,2017,345817,3826_8246
3826_264279,278500,2728500,Erebidae,Calliteara postfusca,成蟲,2017,345817,3826_10556
3826_224769,268500,2649500,Erebidae,Calliteara postfusca,成蟲,2017,345817,3826_8954
3826_265289,288500,2730500,Erebidae,Calliteara postfusca,成蟲,2017,345817,3826_10658
3826_263260,259500,2726500,Erebidae,Calliteara postfusca,成蟲,2017,345817,3826_10552
3826_238290,289500,2676500,Erebidae,Calliteara postfusca,成蟲,2017,345817,3826_9558
3826_271279,278500,2742500,Erebidae,Calliteara postfusca,卵,2017,345817,3826_10856
3826_267278,277500,2734500,Erebidae,Calliteara postfusca,成蟲,2017,345817,3826_10656
3826_256762,261500,2713500,Erebidae,Calliteara postfusca,成蟲,2017,345817,3826_10253
3826_264779,278500,2729500,Erebidae,Calliteara postfusca,成蟲,2017,345817,3826_10556
3826_231268,267500,2662500,Erebidae,Calliteara postfusca,成蟲,2017,345817,3826_9254
3826_240249,248500,2680500,Erebidae,Calliteara postfusca,成蟲,2017,345817,3826_9650
3826_266293,292500,2732500,Erebidae,Calliteara postfusca,成蟲,2017,345817,3826_10659
3826_197218,217500,2594500,Erebidae,Calliteara postfusca,成蟲,2017,345817,3826_7844
3826_224749,248500,2649500,Erebidae,Calliteara postfusca,成蟲,2017,345817,3826_8950
3826_200230,229500,2600500,Erebidae,Calliteara postfusca,成蟲,2017,345817,3826_8046
3826_255812,311500,2711500,Erebidae,Calliteara postfusca,成蟲,2010,345817,3826_10263
3826_175724,223500,2551500,Erebidae,Calliteara postfusca,成蟲,2015,345817,3826_7045
3826_207230,229500,2614500,Erebidae,Calliteara postfusca,成蟲,2018,345817,3826_8246
3826_233270,269500,2666500,Erebidae,Calliteara postfusca,成蟲,2011,345817,3826_9354
3826_228263,262500,2656500,Erebidae,Calliteara postfusca,成蟲,2018,345817,3826_9153
3826_264279,278500,2728500,Erebidae,Calliteara postfusca,成蟲,2018,345817,3826_10556
3826_198220,219500,2596500,Erebidae,Calliteara postfusca,成蟲,2018,345817,3826_7944
3826_265781,280500,2731500,Erebidae,Calliteara postfusca,成蟲,2018,345817,3826_10657
3826_237746,245500,2675500,Erebidae,Calliteara postfusca,成蟲,2018,345817,3826_9550
3826_240249,248500,2680500,Erebidae,Calliteara postfusca,成蟲,2018,345817,3826_9650
3826_264778,277500,2729500,Erebidae,Calliteara postfusca,成蟲,2018,345817,3826_10556
3826_166722,221500,2533500,Erebidae,Calliteara postfusca,成蟲,2018,345817,3826_6645
3826_240741,240500,2681500,Erebidae,Calliteara postfusca,成蟲,2019,345817,3826_9649
3826_198220,219500,2596500,Erebidae,Calliteara postfusca,成蟲,2019,345817,3826_7944
3826_216751,250500,2633500,Erebidae,Calliteara postfusca,成蟲,2013,345817,3826_8651
3826_154218,217500,2508500,Erebidae,Calliteara postfusca,成蟲,2013,345817,3826_6144
3826_263260,259500,2726500,Erebidae,Calliteara postfusca,成蟲,2019,345817,3826_10552
3826_257262,261500,2714500,Erebidae,Calliteara postfusca,成蟲,2019,345817,3826_10253
3826_263296,295500,2726500,Erebidae,Calliteara postfusca,成蟲,2019,345817,3826_10560
3826_263798,297500,2727500,Erebidae,Calliteara postfusca,成蟲,2019,345817,3826_10560
3826_238293,292500,2676500,Erebidae,Calliteara postfusca,成蟲,2019,345817,3826_9559
3826_227760,259500,2655500,Erebidae,Calliteara postfusca,成蟲,2019,345817,3826_9152
3826_264778,277500,2729500,Erebidae,Calliteara postfusca,成蟲,2019,345817,3826_10556
3826_255743,242500,2711500,Erebidae,Calliteara postfusca,成蟲,2018,345817,3826_10249
3826_259784,283500,2719500,Erebidae,Calliteara postfusca,成蟲,2010,345817,3826_10357
3826_264779,278500,2729500,Erebidae,Calliteara postfusca,成蟲,2019,345817,3826_10556
3826_209230,229500,2618500,Erebidae,Calliteara postfusca,成蟲,2019,345817,3826_8346
3826_266265,264500,2732500,Erebidae,Calliteara postfusca,成蟲,2019,345817,3826_10653
3826_253246,245500,2706500,Erebidae,Calliteara postfusca,成蟲,2019,345817,3826_10150
3826_255812,311500,2711500,Erebidae,Calliteara postfusca,成蟲,2012,345817,3826_10263
3826_265290,289500,2730500,Erebidae,Calliteara postfusca,成蟲,2019,345817,3826_10658
3826_238797,296500,2677500,Erebidae,Calliteara postfusca,成蟲,2019,345817,3826_9560
3826_238290,289500,2676500,Erebidae,Calliteara postfusca,成蟲,2019,345817,3826_9558
3826_228263,262500,2656500,Erebidae,Calliteara postfusca,成蟲,2019,345817,3826_9153
3826_241244,243500,2682500,Erebidae,Calliteara postfusca,成蟲,2019,345817,3826_9649
3826_239300,299500,2678500,Erebidae,Calliteara postfusca,成蟲,2019,345817,3826_9560
3826_281310,309500,2762500,Erebidae,Calliteara postfusca,成蟲,2019,345817,3826_11262
3826_263293,292500,2726500,Erebidae,Calliteara postfusca,成蟲,2019,345817,3826_10559
