GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_161256,255500,2522500,Noctuidae,Callopistria maillardi maillardi,幼蟲,2011,346098,3826_6452
3826_279804,303500,2759500,Noctuidae,Callopistria maillardi maillardi,幼蟲,2012,346098,3826_11161
3826_226813,312500,2653500,Noctuidae,Callopistria maillardi maillardi,幼蟲,2012,346098,3826_9063
3826_203243,242500,2606500,Noctuidae,Callopistria maillardi maillardi,成蟲,2011,346098,3826_8149
3826_283305,304500,2766500,Noctuidae,Callopistria maillardi maillardi,幼蟲,2012,346098,3826_11361
3826_204726,225500,2609500,Noctuidae,Callopistria maillardi maillardi,成蟲,2012,346098,3826_8146
3826_271249,248500,2742500,Noctuidae,Callopistria maillardi maillardi,幼蟲,2011,346098,3826_10850
3826_284309,308500,2768500,Noctuidae,Callopistria maillardi maillardi,幼蟲,2012,346098,3826_11362
3826_271769,268500,2743500,Noctuidae,Callopistria maillardi maillardi,成蟲,2013,346098,3826_10854
3826_264779,278500,2729500,Noctuidae,Callopistria maillardi maillardi,成蟲,2013,346098,3826_10556
3826_291801,300500,2783500,Noctuidae,Callopistria maillardi maillardi,幼蟲,2013,346098,3826_11661
3826_281309,308500,2762500,Noctuidae,Callopistria maillardi maillardi,成蟲,2013,346098,3826_11262
3826_285781,280500,2771500,Noctuidae,Callopistria maillardi maillardi,成蟲,2013,346098,3826_11457
3826_228263,262500,2656500,Noctuidae,Callopistria maillardi maillardi,成蟲,2013,346098,3826_9153
3826_198719,218500,2597500,Noctuidae,Callopistria maillardi maillardi,成蟲,2013,346098,3826_7944
3826_187200,199500,2574500,Noctuidae,Callopistria maillardi maillardi,成蟲,2014,346098,3826_7440
3826_282307,306500,2764500,Noctuidae,Callopistria maillardi maillardi,幼蟲,2014,346098,3826_11262
3826_227307,306500,2654500,Noctuidae,Callopistria maillardi maillardi,成蟲,2014,346098,3826_9062
3826_291801,300500,2783500,Noctuidae,Callopistria maillardi maillardi,成蟲,2014,346098,3826_11661
3826_287813,312500,2775500,Noctuidae,Callopistria maillardi maillardi,幼蟲,2014,346098,3826_11563
3826_282809,308500,2765500,Noctuidae,Callopistria maillardi maillardi,幼蟲,2014,346098,3826_11362
3826_281810,309500,2763500,Noctuidae,Callopistria maillardi maillardi,成蟲,2015,346098,3826_11262
3826_282292,291500,2764500,Noctuidae,Callopistria maillardi maillardi,成蟲,2015,346098,3826_11259
3826_291802,301500,2783500,Noctuidae,Callopistria maillardi maillardi,成蟲,2015,346098,3826_11661
3826_187200,199500,2574500,Noctuidae,Callopistria maillardi maillardi,幼蟲,2018,346098,3826_7440
3826_284792,291500,2769500,Noctuidae,Callopistria maillardi maillardi,成蟲,2015,346098,3826_11359
