GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_275267,266500,2750500,Noctuidae,Callopistria nobilior,成蟲,2013,346100,3826_11054
3826_269811,310500,2739500,Noctuidae,Callopistria nobilior,成蟲,2013,346100,3826_10763
3826_237248,247500,2674500,Noctuidae,Callopistria nobilior,幼蟲,2014,346100,3826_9450
3826_274305,304500,2748500,Noctuidae,Callopistria nobilior,幼蟲,2014,346100,3826_10961
3826_237248,247500,2674500,Noctuidae,Callopistria nobilior,成蟲,2015,346100,3826_9450
3826_264279,278500,2728500,Noctuidae,Callopistria nobilior,成蟲,2014,346100,3826_10556
3826_293308,307500,2786500,Noctuidae,Callopistria nobilior,成蟲,2015,346100,3826_11762
3826_237303,302500,2674500,Noctuidae,Callopistria nobilior,成蟲,2012,346100,3826_9461
3826_290805,304500,2781500,Noctuidae,Callopistria nobilior,成蟲,2013,346100,3826_11661
3826_290310,309500,2780500,Noctuidae,Callopistria nobilior,成蟲,2016,346100,3826_11662
3826_269811,310500,2739500,Noctuidae,Callopistria nobilior,成蟲,2016,346100,3826_10763
3826_276297,296500,2752500,Noctuidae,Callopistria nobilior,成蟲,2016,346100,3826_11060
3826_293303,302500,2786500,Noctuidae,Callopistria nobilior,成蟲,2016,346100,3826_11761
3826_197241,240500,2594500,Noctuidae,Callopistria nobilior,成蟲,2016,346100,3826_7849
3826_273760,259500,2747500,Noctuidae,Callopistria nobilior,成蟲,2016,346100,3826_10952
3826_238290,289500,2676500,Noctuidae,Callopistria nobilior,成蟲,2016,346100,3826_9558
3826_190275,274500,2580500,Noctuidae,Callopistria nobilior,成蟲,2017,346100,3826_7655
3826_139725,224500,2479500,Noctuidae,Callopistria nobilior,幼蟲,2017,346100,3826_5545
3826_267278,277500,2734500,Noctuidae,Callopistria nobilior,成蟲,2017,346100,3826_10656
3826_268327,326500,2736500,Noctuidae,Callopistria nobilior,成蟲,2018,346100,3826_10766
3826_287294,293500,2774500,Noctuidae,Callopistria nobilior,成蟲,2018,346100,3826_11459
3826_269271,270500,2738500,Noctuidae,Callopistria nobilior,成蟲,2018,346100,3826_10755
3826_293303,302500,2786500,Noctuidae,Callopistria nobilior,成蟲,2018,346100,3826_11761
3826_290799,298500,2781500,Noctuidae,Callopistria nobilior,成蟲,2018,346100,3826_11660
3826_269274,273500,2738500,Noctuidae,Callopistria nobilior,成蟲,2018,346100,3826_10755
3826_290310,309500,2780500,Noctuidae,Callopistria nobilior,成蟲,2018,346100,3826_11662
3826_266265,264500,2732500,Noctuidae,Callopistria nobilior,成蟲,2019,346100,3826_10653
3826_154218,217500,2508500,Noctuidae,Callopistria nobilior,成蟲,2013,346100,3826_6144
3826_254738,237500,2709500,Noctuidae,Callopistria nobilior,成蟲,2019,346100,3826_10148
3826_255743,242500,2711500,Noctuidae,Callopistria nobilior,成蟲,2018,346100,3826_10249
3826_265290,289500,2730500,Noctuidae,Callopistria nobilior,成蟲,2019,346100,3826_10658
3826_272774,273500,2745500,Noctuidae,Callopistria nobilior,成蟲,2019,346100,3826_10955
3826_284822,321500,2769500,Noctuidae,Callopistria nobilior,幼蟲,2019,346100,3826_11365
3826_197218,217500,2594500,Noctuidae,Callopistria nobilior,成蟲,2019,346100,3826_7844
3826_263798,297500,2727500,Noctuidae,Callopistria nobilior,成蟲,2018,346100,3826_10560
3826_273786,285500,2747500,Noctuidae,Callopistria nobilior,成蟲,2020,346100,3826_10958
3826_225806,305500,2651500,Noctuidae,Callopistria nobilior,成蟲,2020,346100,3826_9062
3826_266293,292500,2732500,Noctuidae,Callopistria nobilior,成蟲,2020,346100,3826_10659
3826_273760,259500,2747500,Noctuidae,Callopistria nobilior,成蟲,2020,346100,3826_10952
3826_282307,306500,2764500,Noctuidae,Callopistria nobilior,成蟲,2020,346100,3826_11262
3826_273788,287500,2747500,Noctuidae,Callopistria nobilior,成蟲,2020,346100,3826_10958
3826_259800,299500,2719500,Noctuidae,Callopistria nobilior,成蟲,2014,346100,3826_10360
3826_291805,304500,2783500,Noctuidae,Callopistria nobilior,成蟲,2016,346100,3826_11661
3826_287311,310500,2774500,Noctuidae,Callopistria nobilior,幼蟲,2021,346100,3826_11463
3826_269273,272500,2738500,Noctuidae,Callopistria nobilior,成蟲,2021,346100,3826_10755
3826_291305,304500,2782500,Noctuidae,Callopistria nobilior,成蟲,2021,346100,3826_11661
3826_269273,272500,2738500,Noctuidae,Callopistria nobilior,成蟲,2022,346100,3826_10755
3826_288808,307500,2777500,Noctuidae,Callopistria nobilior,幼蟲,2022,346100,3826_11562
3826_291305,304500,2782500,Noctuidae,Callopistria nobilior,成蟲,2022,346100,3826_11661
3826_254237,236500,2708500,Noctuidae,Callopistria nobilior,成蟲,2022,346100,3826_10148
3826_208728,227500,2617500,Noctuidae,Callopistria nobilior,成蟲,2022,346100,3826_8346
3826_246737,236500,2693500,Noctuidae,Callopistria nobilior,成蟲,2022,346100,3826_9848
