GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_297809,308500,2795500,Noctuidae,Callopistria placodoides,幼蟲,2012,346102,3826_11962
3826_273788,287500,2747500,Noctuidae,Callopistria placodoides,成蟲,2012,346102,3826_10958
3826_273788,287500,2747500,Noctuidae,Callopistria placodoides,成蟲,2013,346102,3826_10958
3826_265265,264500,2730500,Noctuidae,Callopistria placodoides,成蟲,2013,346102,3826_10653
3826_273304,303500,2746500,Noctuidae,Callopistria placodoides,成蟲,2014,346102,3826_10961
3826_272780,279500,2745500,Noctuidae,Callopistria placodoides,成蟲,2014,346102,3826_10956
3826_280304,303500,2760500,Noctuidae,Callopistria placodoides,成蟲,2014,346102,3826_11261
3826_218727,226500,2637500,Noctuidae,Callopistria placodoides,成蟲,2014,346102,3826_8746
3826_281301,300500,2762500,Noctuidae,Callopistria placodoides,成蟲,2014,346102,3826_11261
3826_225251,250500,2650500,Noctuidae,Callopistria placodoides,成蟲,2015,346102,3826_9051
3826_225251,250500,2650500,Noctuidae,Callopistria placodoides,幼蟲,2015,346102,3826_9051
3826_221310,309500,2642500,Noctuidae,Callopistria placodoides,成蟲,2015,346102,3826_8862
3826_264279,278500,2728500,Noctuidae,Callopistria placodoides,成蟲,2014,346102,3826_10556
3826_287813,312500,2775500,Noctuidae,Callopistria placodoides,成蟲,2014,346102,3826_11563
3826_225250,249500,2650500,Noctuidae,Callopistria placodoides,幼蟲,2015,346102,3826_9050
3826_279306,305500,2758500,Noctuidae,Callopistria placodoides,成蟲,2014,346102,3826_11162
3826_166722,221500,2533500,Noctuidae,Callopistria placodoides,幼蟲,2012,346102,3826_6645
3826_273279,278500,2746500,Noctuidae,Callopistria placodoides,成蟲,2013,346102,3826_10956
3826_280316,315500,2760500,Noctuidae,Callopistria placodoides,成蟲,2013,346102,3826_11264
3826_211207,206500,2622500,Noctuidae,Callopistria placodoides,成蟲,2016,346102,3826_8442
3826_290310,309500,2780500,Noctuidae,Callopistria placodoides,成蟲,2016,346102,3826_11662
3826_264279,278500,2728500,Noctuidae,Callopistria placodoides,成蟲,2016,346102,3826_10556
3826_225250,249500,2650500,Noctuidae,Callopistria placodoides,成蟲,2016,346102,3826_9050
3826_265768,267500,2731500,Noctuidae,Callopistria placodoides,成蟲,2016,346102,3826_10654
3826_218230,229500,2636500,Noctuidae,Callopistria placodoides,幼蟲,2016,346102,3826_8746
3826_281309,308500,2762500,Noctuidae,Callopistria placodoides,成蟲,2016,346102,3826_11262
3826_273788,287500,2747500,Noctuidae,Callopistria placodoides,成蟲,2017,346102,3826_10958
3826_275806,305500,2751500,Noctuidae,Callopistria placodoides,成蟲,2017,346102,3826_11062
3826_238231,230500,2676500,Noctuidae,Callopistria placodoides,成蟲,2017,346102,3826_9547
3826_269811,310500,2739500,Noctuidae,Callopistria placodoides,幼蟲,2017,346102,3826_10763
3826_266265,264500,2732500,Noctuidae,Callopistria placodoides,成蟲,2017,346102,3826_10653
3826_287810,309500,2775500,Noctuidae,Callopistria placodoides,成蟲,2017,346102,3826_11562
3826_268778,277500,2737500,Noctuidae,Callopistria placodoides,幼蟲,2017,346102,3826_10756
3826_262249,248500,2724500,Noctuidae,Callopistria placodoides,成蟲,2017,346102,3826_10450
3826_290310,309500,2780500,Noctuidae,Callopistria placodoides,成蟲,2017,346102,3826_11662
3826_282809,308500,2765500,Noctuidae,Callopistria placodoides,幼蟲,2017,346102,3826_11362
3826_285313,312500,2770500,Noctuidae,Callopistria placodoides,成蟲,2017,346102,3826_11463
3826_284827,326500,2769500,Noctuidae,Callopistria placodoides,成蟲,2018,346102,3826_11366
3826_274806,305500,2749500,Noctuidae,Callopistria placodoides,成蟲,2018,346102,3826_10962
3826_263312,311500,2726500,Noctuidae,Callopistria placodoides,幼蟲,2018,346102,3826_10563
3826_282809,308500,2765500,Noctuidae,Callopistria placodoides,幼蟲,2018,346102,3826_11362
3826_286321,320500,2772500,Noctuidae,Callopistria placodoides,成蟲,2018,346102,3826_11465
3826_285293,292500,2770500,Noctuidae,Callopistria placodoides,成蟲,2019,346102,3826_11459
3826_287294,293500,2774500,Noctuidae,Callopistria placodoides,成蟲,2019,346102,3826_11459
3826_273786,285500,2747500,Noctuidae,Callopistria placodoides,成蟲,2019,346102,3826_10958
3826_218230,229500,2636500,Noctuidae,Callopistria placodoides,幼蟲,2019,346102,3826_8746
3826_238732,231500,2677500,Noctuidae,Callopistria placodoides,成蟲,2019,346102,3826_9547
3826_251728,227500,2703500,Noctuidae,Callopistria placodoides,成蟲,2019,346102,3826_10046
3826_272276,275500,2744500,Noctuidae,Callopistria placodoides,成蟲,2019,346102,3826_10856
3826_273304,303500,2746500,Noctuidae,Callopistria placodoides,成蟲,2019,346102,3826_10961
3826_266265,264500,2732500,Noctuidae,Callopistria placodoides,成蟲,2019,346102,3826_10653
3826_276802,301500,2753500,Noctuidae,Callopistria placodoides,成蟲,2019,346102,3826_11061
3826_280302,301500,2760500,Noctuidae,Callopistria placodoides,成蟲,2019,346102,3826_11261
3826_268762,261500,2737500,Noctuidae,Callopistria placodoides,幼蟲,2019,346102,3826_10753
3826_284809,308500,2769500,Noctuidae,Callopistria placodoides,成蟲,2020,346102,3826_11362
3826_280304,303500,2760500,Noctuidae,Callopistria placodoides,成蟲,2015,346102,3826_11261
3826_264321,320500,2728500,Noctuidae,Callopistria placodoides,成蟲,2020,346102,3826_10565
3826_281810,309500,2763500,Noctuidae,Callopistria placodoides,成蟲,2019,346102,3826_11262
3826_279301,300500,2758500,Noctuidae,Callopistria placodoides,成蟲,2020,346102,3826_11161
3826_273786,285500,2747500,Noctuidae,Callopistria placodoides,成蟲,2020,346102,3826_10958
3826_260320,319500,2720500,Noctuidae,Callopistria placodoides,成蟲,2020,346102,3826_10464
3826_272276,275500,2744500,Noctuidae,Callopistria placodoides,成蟲,2020,346102,3826_10856
3826_281309,308500,2762500,Noctuidae,Callopistria placodoides,成蟲,2020,346102,3826_11262
3826_269811,310500,2739500,Noctuidae,Callopistria placodoides,成蟲,2020,346102,3826_10763
3826_273788,287500,2747500,Noctuidae,Callopistria placodoides,成蟲,2020,346102,3826_10958
3826_285312,311500,2770500,Noctuidae,Callopistria placodoides,幼蟲,2021,346102,3826_11463
3826_280302,301500,2760500,Noctuidae,Callopistria placodoides,成蟲,2021,346102,3826_11261
3826_294303,302500,2788500,Noctuidae,Callopistria placodoides,成蟲,2021,346102,3826_11761
3826_259249,248500,2718500,Noctuidae,Callopistria placodoides,幼蟲,2021,346102,3826_10350
3826_282806,305500,2765500,Noctuidae,Callopistria placodoides,成蟲,2021,346102,3826_11362
3826_259249,248500,2718500,Noctuidae,Callopistria placodoides,成蟲,2021,346102,3826_10350
3826_291305,304500,2782500,Noctuidae,Callopistria placodoides,成蟲,2022,346102,3826_11661
3826_147746,245500,2495500,Noctuidae,Callopistria placodoides,成蟲,2022,346102,3826_5950
