GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_263798,297500,2727500,Geometridae,Calluga costalis,成蟲,2012,344711,3826_10560
3826_204726,225500,2609500,Geometridae,Calluga costalis,成蟲,2012,344711,3826_8146
3826_267778,277500,2735500,Geometridae,Calluga costalis,成蟲,2013,344711,3826_10756
3826_275267,266500,2750500,Geometridae,Calluga costalis,成蟲,2013,344711,3826_11054
3826_172215,214500,2544500,Geometridae,Calluga costalis,成蟲,2013,344711,3826_6843
3826_175725,224500,2551500,Geometridae,Calluga costalis,成蟲,2014,344711,3826_7045
3826_139724,223500,2479500,Geometridae,Calluga costalis,成蟲,2014,344711,3826_5545
3826_227258,257500,2654500,Geometridae,Calluga costalis,成蟲,2014,344711,3826_9052
3826_237248,247500,2674500,Geometridae,Calluga costalis,成蟲,2015,344711,3826_9450
3826_258242,241500,2716500,Geometridae,Calluga costalis,成蟲,2015,344711,3826_10349
3826_292797,296500,2785500,Geometridae,Calluga costalis,成蟲,2015,344711,3826_11760
3826_279306,305500,2758500,Geometridae,Calluga costalis,成蟲,2013,344711,3826_11162
3826_279306,305500,2758500,Geometridae,Calluga costalis,成蟲,2015,344711,3826_11162
3826_273279,278500,2746500,Geometridae,Calluga costalis,成蟲,2013,344711,3826_10956
3826_271769,268500,2743500,Geometridae,Calluga costalis,成蟲,2013,344711,3826_10854
3826_290805,304500,2781500,Geometridae,Calluga costalis,成蟲,2013,344711,3826_11661
3826_281810,309500,2763500,Geometridae,Calluga costalis,成蟲,2016,344711,3826_11262
3826_151747,246500,2503500,Geometridae,Calluga costalis,成蟲,2016,344711,3826_6050
3826_275786,285500,2751500,Geometridae,Calluga costalis,成蟲,2016,344711,3826_11058
3826_259282,281500,2718500,Geometridae,Calluga costalis,成蟲,2016,344711,3826_10357
3826_257746,245500,2715500,Geometridae,Calluga costalis,成蟲,2013,344711,3826_10350
3826_231268,267500,2662500,Geometridae,Calluga costalis,成蟲,2016,344711,3826_9254
3826_254805,304500,2709500,Geometridae,Calluga costalis,成蟲,2016,344711,3826_10161
