GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_275307,306500,2750500,Limacodidae,Cania heppneri,成蟲,2011,345634,3826_11062
3826_122730,229500,2445500,Limacodidae,Cania heppneri,成蟲,2011,345634,3826_4946
3826_219243,242500,2638500,Limacodidae,Cania heppneri,成蟲,2012,345634,3826_8749
3826_187200,199500,2574500,Limacodidae,Cania heppneri,成蟲,2012,345634,3826_7440
3826_273760,259500,2747500,Limacodidae,Cania heppneri,成蟲,2020,345634,3826_10952
3826_204726,225500,2609500,Limacodidae,Cania heppneri,成蟲,2012,345634,3826_8146
3826_292801,300500,2785500,Limacodidae,Cania heppneri,成蟲,2012,345634,3826_11761
3826_273788,287500,2747500,Limacodidae,Cania heppneri,成蟲,2011,345634,3826_10958
3826_232753,252500,2665500,Limacodidae,Cania heppneri,成蟲,2012,345634,3826_9351
3826_277807,306500,2755500,Limacodidae,Cania heppneri,成蟲,2012,345634,3826_11162
3826_291806,305500,2783500,Limacodidae,Cania heppneri,成蟲,2012,345634,3826_11662
3826_259752,251500,2719500,Limacodidae,Cania heppneri,成蟲,2012,345634,3826_10351
3826_290805,304500,2781500,Limacodidae,Cania heppneri,成蟲,2012,345634,3826_11661
3826_273826,325500,2747500,Limacodidae,Cania heppneri,成蟲,2013,345634,3826_10966
3826_282820,319500,2765500,Limacodidae,Cania heppneri,成蟲,2013,345634,3826_11364
3826_291805,304500,2783500,Limacodidae,Cania heppneri,成蟲,2013,345634,3826_11661
3826_271769,268500,2743500,Limacodidae,Cania heppneri,成蟲,2013,345634,3826_10854
3826_272277,276500,2744500,Limacodidae,Cania heppneri,成蟲,2013,345634,3826_10856
3826_274781,280500,2749500,Limacodidae,Cania heppneri,成蟲,2013,345634,3826_10957
3826_281309,308500,2762500,Limacodidae,Cania heppneri,成蟲,2013,345634,3826_11262
3826_275266,265500,2750500,Limacodidae,Cania heppneri,成蟲,2013,345634,3826_11054
3826_226305,304500,2652500,Limacodidae,Cania heppneri,成蟲,2013,345634,3826_9061
3826_269315,314500,2738500,Limacodidae,Cania heppneri,成蟲,2013,345634,3826_10763
3826_267778,277500,2735500,Limacodidae,Cania heppneri,成蟲,2013,345634,3826_10756
3826_289310,309500,2778500,Limacodidae,Cania heppneri,幼蟲,2012,345634,3826_11562
3826_137240,239500,2474500,Limacodidae,Cania heppneri,成蟲,2012,345634,3826_5448
3826_270276,275500,2740500,Limacodidae,Cania heppneri,成蟲,2013,345634,3826_10856
3826_270801,300500,2741500,Limacodidae,Cania heppneri,成蟲,2013,345634,3826_10861
3826_237309,308500,2674500,Limacodidae,Cania heppneri,成蟲,2012,345634,3826_9462
3826_187200,199500,2574500,Limacodidae,Cania heppneri,成蟲,2013,345634,3826_7440
3826_280809,308500,2761500,Limacodidae,Cania heppneri,成蟲,2013,345634,3826_11262
3826_280805,304500,2761500,Limacodidae,Cania heppneri,成蟲,2013,345634,3826_11261
3826_269811,310500,2739500,Limacodidae,Cania heppneri,成蟲,2013,345634,3826_10763
3826_274307,306500,2748500,Limacodidae,Cania heppneri,成蟲,2013,345634,3826_10962
3826_282792,291500,2765500,Limacodidae,Cania heppneri,成蟲,2013,345634,3826_11359
3826_289336,335500,2778500,Limacodidae,Cania heppneri,成蟲,2013,345634,3826_11568
3826_244827,326500,2689500,Limacodidae,Cania heppneri,成蟲,2014,345634,3826_9766
3826_187200,199500,2574500,Limacodidae,Cania heppneri,成蟲,2014,345634,3826_7440
3826_237309,308500,2674500,Limacodidae,Cania heppneri,成蟲,2014,345634,3826_9462
3826_220810,309500,2641500,Limacodidae,Cania heppneri,成蟲,2014,345634,3826_8862
3826_272780,279500,2745500,Limacodidae,Cania heppneri,成蟲,2014,345634,3826_10956
3826_269315,314500,2738500,Limacodidae,Cania heppneri,成蟲,2014,345634,3826_10763
3826_268276,275500,2736500,Limacodidae,Cania heppneri,成蟲,2014,345634,3826_10756
3826_175222,221500,2550500,Limacodidae,Cania heppneri,成蟲,2014,345634,3826_7045
3826_270777,276500,2741500,Limacodidae,Cania heppneri,成蟲,2014,345634,3826_10856
3826_227307,306500,2654500,Limacodidae,Cania heppneri,成蟲,2014,345634,3826_9062
3826_287813,312500,2775500,Limacodidae,Cania heppneri,成蟲,2014,345634,3826_11563
3826_227258,257500,2654500,Limacodidae,Cania heppneri,成蟲,2014,345634,3826_9052
3826_287813,312500,2775500,Limacodidae,Cania heppneri,成蟲,2011,345634,3826_11563
3826_225806,305500,2651500,Limacodidae,Cania heppneri,成蟲,2014,345634,3826_9062
3826_280318,317500,2760500,Limacodidae,Cania heppneri,成蟲,2014,345634,3826_11264
3826_281810,309500,2763500,Limacodidae,Cania heppneri,成蟲,2014,345634,3826_11262
3826_280809,308500,2761500,Limacodidae,Cania heppneri,成蟲,2014,345634,3826_11262
3826_280787,286500,2761500,Limacodidae,Cania heppneri,成蟲,2014,345634,3826_11258
3826_286317,316500,2772500,Limacodidae,Cania heppneri,成蟲,2014,345634,3826_11464
3826_161256,255500,2522500,Limacodidae,Cania heppneri,成蟲,2014,345634,3826_6452
3826_159220,219500,2518500,Limacodidae,Cania heppneri,成蟲,2015,345634,3826_6344
3826_281810,309500,2763500,Limacodidae,Cania heppneri,成蟲,2015,345634,3826_11262
3826_170217,216500,2540500,Limacodidae,Cania heppneri,成蟲,2015,345634,3826_6844
3826_291802,301500,2783500,Limacodidae,Cania heppneri,成蟲,2015,345634,3826_11661
3826_281820,319500,2763500,Limacodidae,Cania heppneri,成蟲,2015,345634,3826_11264
3826_264279,278500,2728500,Limacodidae,Cania heppneri,成蟲,2015,345634,3826_10556
3826_225806,305500,2651500,Limacodidae,Cania heppneri,成蟲,2015,345634,3826_9062
3826_220810,309500,2641500,Limacodidae,Cania heppneri,成蟲,2015,345634,3826_8862
3826_271778,277500,2743500,Limacodidae,Cania heppneri,成蟲,2015,345634,3826_10856
3826_263260,259500,2726500,Limacodidae,Cania heppneri,成蟲,2015,345634,3826_10552
3826_291801,300500,2783500,Limacodidae,Cania heppneri,成蟲,2014,345634,3826_11661
3826_232753,252500,2665500,Limacodidae,Cania heppneri,成蟲,2014,345634,3826_9351
3826_268819,318500,2737500,Limacodidae,Cania heppneri,成蟲,2014,345634,3826_10764
3826_203289,288500,2606500,Limacodidae,Cania heppneri,成蟲,2014,345634,3826_8158
3826_267278,277500,2734500,Limacodidae,Cania heppneri,成蟲,2014,345634,3826_10656
3826_273321,320500,2746500,Limacodidae,Cania heppneri,成蟲,2014,345634,3826_10965
3826_154714,213500,2509500,Limacodidae,Cania heppneri,成蟲,2015,345634,3826_6143
3826_287813,312500,2775500,Limacodidae,Cania heppneri,成蟲,2012,345634,3826_11563
3826_234314,313500,2668500,Limacodidae,Cania heppneri,成蟲,2015,345634,3826_9363
3826_285793,292500,2771500,Limacodidae,Cania heppneri,成蟲,2015,345634,3826_11459
