GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_290310,309500,2780500,Erebidae,Carsina kanshireiensis,成蟲,2016,431312,3826_11662
3826_198726,225500,2597500,Erebidae,Carsina kanshireiensis,成蟲,2012,431312,3826_7946
3826_273788,287500,2747500,Erebidae,Carsina kanshireiensis,成蟲,2012,431312,3826_10958
3826_291806,305500,2783500,Erebidae,Carsina kanshireiensis,成蟲,2012,431312,3826_11662
3826_266771,270500,2733500,Erebidae,Carsina kanshireiensis,成蟲,2013,431312,3826_10655
3826_267778,277500,2735500,Erebidae,Carsina kanshireiensis,成蟲,2013,431312,3826_10756
3826_272276,275500,2744500,Erebidae,Carsina kanshireiensis,成蟲,2013,431312,3826_10856
3826_270777,276500,2741500,Erebidae,Carsina kanshireiensis,成蟲,2014,431312,3826_10856
3826_166759,258500,2533500,Erebidae,Carsina kanshireiensis,成蟲,2011,431312,3826_6652
3826_280805,304500,2761500,Erebidae,Carsina kanshireiensis,成蟲,2014,431312,3826_11261
3826_279305,304500,2758500,Erebidae,Carsina kanshireiensis,成蟲,2015,431312,3826_11161
3826_220810,309500,2641500,Erebidae,Carsina kanshireiensis,成蟲,2015,431312,3826_8862
3826_287813,312500,2775500,Erebidae,Carsina kanshireiensis,成蟲,2015,431312,3826_11563
3826_285313,312500,2770500,Erebidae,Carsina kanshireiensis,成蟲,2015,431312,3826_11463
3826_206721,220500,2613500,Erebidae,Carsina kanshireiensis,成蟲,2015,431312,3826_8245
3826_279804,303500,2759500,Erebidae,Carsina kanshireiensis,成蟲,2015,431312,3826_11161
3826_287843,342500,2775500,Erebidae,Carsina kanshireiensis,成蟲,2016,431312,3826_11569
3826_225806,305500,2651500,Erebidae,Carsina kanshireiensis,成蟲,2016,431312,3826_9062
3826_287814,313500,2775500,Erebidae,Carsina kanshireiensis,成蟲,2016,431312,3826_11563
3826_264283,282500,2728500,Erebidae,Carsina kanshireiensis,成蟲,2016,431312,3826_10557
3826_282313,312500,2764500,Erebidae,Carsina kanshireiensis,成蟲,2013,431312,3826_11263
3826_259254,253500,2718500,Erebidae,Carsina kanshireiensis,成蟲,2016,431312,3826_10351
3826_265791,290500,2731500,Erebidae,Carsina kanshireiensis,成蟲,2016,431312,3826_10659
3826_273785,284500,2747500,Erebidae,Carsina kanshireiensis,成蟲,2014,431312,3826_10957
3826_277327,326500,2754500,Erebidae,Carsina kanshireiensis,成蟲,2016,431312,3826_11066
3826_282307,306500,2764500,Erebidae,Carsina kanshireiensis,成蟲,2017,431312,3826_11262
3826_250741,240500,2701500,Erebidae,Carsina kanshireiensis,成蟲,2017,431312,3826_10049
3826_284810,309500,2769500,Erebidae,Carsina kanshireiensis,成蟲,2017,431312,3826_11362
3826_285313,312500,2770500,Erebidae,Carsina kanshireiensis,成蟲,2016,431312,3826_11463
3826_262249,248500,2724500,Erebidae,Carsina kanshireiensis,成蟲,2018,431312,3826_10450
3826_291303,302500,2782500,Erebidae,Carsina kanshireiensis,成蟲,2015,431312,3826_11661
3826_282808,307500,2765500,Erebidae,Carsina kanshireiensis,成蟲,2018,431312,3826_11362
3826_279286,285500,2758500,Erebidae,Carsina kanshireiensis,成蟲,2018,431312,3826_11158
3826_286817,316500,2773500,Erebidae,Carsina kanshireiensis,成蟲,2018,431312,3826_11464
3826_290310,309500,2780500,Erebidae,Carsina kanshireiensis,成蟲,2018,431312,3826_11662
3826_281309,308500,2762500,Erebidae,Carsina kanshireiensis,成蟲,2018,431312,3826_11262
3826_284309,308500,2768500,Erebidae,Carsina kanshireiensis,成蟲,2018,431312,3826_11362
3826_276793,292500,2753500,Erebidae,Carsina kanshireiensis,成蟲,2018,431312,3826_11059
3826_255743,242500,2711500,Erebidae,Carsina kanshireiensis,成蟲,2018,431312,3826_10249
3826_293308,307500,2786500,Erebidae,Carsina kanshireiensis,成蟲,2019,431312,3826_11762
3826_261242,241500,2722500,Erebidae,Carsina kanshireiensis,成蟲,2019,431312,3826_10449
3826_275780,279500,2751500,Erebidae,Carsina kanshireiensis,成蟲,2019,431312,3826_11056
3826_266777,276500,2733500,Erebidae,Carsina kanshireiensis,成蟲,2019,431312,3826_10656
3826_281303,302500,2762500,Erebidae,Carsina kanshireiensis,成蟲,2019,431312,3826_11261
3826_279301,300500,2758500,Erebidae,Carsina kanshireiensis,成蟲,2019,431312,3826_11161
3826_285312,311500,2770500,Erebidae,Carsina kanshireiensis,成蟲,2019,431312,3826_11463
3826_154218,217500,2508500,Erebidae,Carsina kanshireiensis,成蟲,2013,431312,3826_6144
3826_279305,304500,2758500,Erebidae,Carsina kanshireiensis,成蟲,2019,431312,3826_11161
3826_273786,285500,2747500,Erebidae,Carsina kanshireiensis,成蟲,2019,431312,3826_10958
3826_159220,219500,2518500,Erebidae,Carsina kanshireiensis,成蟲,2015,431312,3826_6344
3826_265773,272500,2731500,Erebidae,Carsina kanshireiensis,成蟲,2019,431312,3826_10655
3826_280320,319500,2760500,Erebidae,Carsina kanshireiensis,成蟲,2019,431312,3826_11264
3826_284812,311500,2769500,Erebidae,Carsina kanshireiensis,成蟲,2019,431312,3826_11363
3826_226306,305500,2652500,Erebidae,Carsina kanshireiensis,成蟲,2020,431312,3826_9062
3826_197218,217500,2594500,Erebidae,Carsina kanshireiensis,成蟲,2020,431312,3826_7844
3826_285313,312500,2770500,Erebidae,Carsina kanshireiensis,成蟲,2020,431312,3826_11463
3826_273786,285500,2747500,Erebidae,Carsina kanshireiensis,成蟲,2020,431312,3826_10958
3826_277327,326500,2754500,Erebidae,Carsina kanshireiensis,成蟲,2020,431312,3826_11066
3826_265782,281500,2731500,Erebidae,Carsina kanshireiensis,成蟲,2020,431312,3826_10657
3826_208299,298500,2616500,Erebidae,Carsina kanshireiensis,成蟲,2020,431312,3826_8360
3826_273788,287500,2747500,Erebidae,Carsina kanshireiensis,成蟲,2020,431312,3826_10958
3826_187200,199500,2574500,Erebidae,Carsina kanshireiensis,成蟲,2020,431312,3826_7440
3826_282307,306500,2764500,Erebidae,Carsina kanshireiensis,成蟲,2021,431312,3826_11262
3826_276802,301500,2753500,Erebidae,Carsina kanshireiensis,成蟲,2015,431312,3826_11061
3826_256223,222500,2712500,Erebidae,Carsina kanshireiensis,成蟲,2017,431312,3826_10245
3826_290809,308500,2781500,Erebidae,Carsina kanshireiensis,成蟲,2014,431312,3826_11662
3826_288310,309500,2776500,Erebidae,Carsina kanshireiensis,成蟲,2022,431312,3826_11562
3826_284810,309500,2769500,Erebidae,Carsina kanshireiensis,成蟲,2022,431312,3826_11362
