GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_187200,199500,2574500,Crambidae,Cataclysta angulata,成蟲,2011,344093,3826_7440
3826_291806,305500,2783500,Crambidae,Cataclysta angulata,成蟲,2012,344093,3826_11662
3826_288838,337500,2777500,Crambidae,Cataclysta angulata,成蟲,2012,344093,3826_11568
3826_292305,304500,2784500,Crambidae,Cataclysta angulata,成蟲,2012,344093,3826_11661
3826_198726,225500,2597500,Crambidae,Cataclysta angulata,成蟲,2012,344093,3826_7946
3826_273788,287500,2747500,Crambidae,Cataclysta angulata,成蟲,2011,344093,3826_10958
3826_291302,301500,2782500,Crambidae,Cataclysta angulata,成蟲,2012,344093,3826_11661
3826_275267,266500,2750500,Crambidae,Cataclysta angulata,成蟲,2013,344093,3826_11054
3826_291300,299500,2782500,Crambidae,Cataclysta angulata,成蟲,2012,344093,3826_11660
3826_238251,250500,2676500,Crambidae,Cataclysta angulata,成蟲,2013,344093,3826_9551
3826_282307,306500,2764500,Crambidae,Cataclysta angulata,成蟲,2014,344093,3826_11262
3826_227258,257500,2654500,Crambidae,Cataclysta angulata,成蟲,2014,344093,3826_9052
3826_273260,259500,2746500,Crambidae,Cataclysta angulata,成蟲,2014,344093,3826_10952
3826_280787,286500,2761500,Crambidae,Cataclysta angulata,成蟲,2013,344093,3826_11258
3826_288306,305500,2776500,Crambidae,Cataclysta angulata,成蟲,2014,344093,3826_11562
3826_284309,308500,2768500,Crambidae,Cataclysta angulata,成蟲,2014,344093,3826_11362
3826_288836,335500,2777500,Crambidae,Cataclysta angulata,成蟲,2014,344093,3826_11568
3826_268762,261500,2737500,Crambidae,Cataclysta angulata,成蟲,2014,344093,3826_10753
3826_282307,306500,2764500,Crambidae,Cataclysta angulata,成蟲,2015,344093,3826_11262
3826_262327,326500,2724500,Crambidae,Cataclysta angulata,成蟲,2015,344093,3826_10466
3826_285793,292500,2771500,Crambidae,Cataclysta angulata,成蟲,2015,344093,3826_11459
3826_271271,270500,2742500,Crambidae,Cataclysta angulata,成蟲,2014,344093,3826_10855
3826_287813,312500,2775500,Crambidae,Cataclysta angulata,成蟲,2014,344093,3826_11563
3826_222739,238500,2645500,Crambidae,Cataclysta angulata,成蟲,2015,344093,3826_8948
3826_283807,306500,2767500,Crambidae,Cataclysta angulata,成蟲,2015,344093,3826_11362
3826_232753,252500,2665500,Crambidae,Cataclysta angulata,成蟲,2015,344093,3826_9351
3826_282809,308500,2765500,Crambidae,Cataclysta angulata,成蟲,2011,344093,3826_11362
3826_291801,300500,2783500,Crambidae,Cataclysta angulata,成蟲,2012,344093,3826_11661
3826_287807,306500,2775500,Crambidae,Cataclysta angulata,成蟲,2015,344093,3826_11562
3826_273788,287500,2747500,Crambidae,Cataclysta angulata,成蟲,2012,344093,3826_10958
3826_281301,300500,2762500,Crambidae,Cataclysta angulata,成蟲,2015,344093,3826_11261
3826_288804,303500,2777500,Crambidae,Cataclysta angulata,成蟲,2015,344093,3826_11561
