GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_212229,228500,2624500,Erebidae,Catocala macula macula,成蟲,2012,427202,3826_8446
3826_263798,297500,2727500,Erebidae,Catocala macula macula,成蟲,2014,427202,3826_10560
3826_264279,278500,2728500,Erebidae,Catocala macula macula,成蟲,2014,427202,3826_10556
3826_195215,214500,2590500,Erebidae,Catocala macula macula,成蟲,2015,427202,3826_7843
3826_233270,269500,2666500,Erebidae,Catocala macula macula,成蟲,2012,427202,3826_9354
3826_273788,287500,2747500,Erebidae,Catocala macula macula,成蟲,2013,427202,3826_10958
3826_130234,233500,2460500,Erebidae,Catocala macula macula,成蟲,2016,427202,3826_5247
3826_264279,278500,2728500,Erebidae,Catocala macula macula,成蟲,2016,427202,3826_10556
3826_175724,223500,2551500,Erebidae,Catocala macula macula,成蟲,2016,427202,3826_7045
3826_236313,312500,2672500,Erebidae,Catocala macula macula,成蟲,2016,427202,3826_9463
3826_267279,278500,2734500,Erebidae,Catocala macula macula,成蟲,2016,427202,3826_10656
3826_278298,297500,2756500,Erebidae,Catocala macula macula,成蟲,2016,427202,3826_11160
3826_237228,227500,2674500,Erebidae,Catocala macula macula,成蟲,2016,427202,3826_9446
3826_199225,224500,2598500,Erebidae,Catocala macula macula,成蟲,2017,427202,3826_7945
3826_293303,302500,2786500,Erebidae,Catocala macula macula,成蟲,2017,427202,3826_11761
3826_281810,309500,2763500,Erebidae,Catocala macula macula,成蟲,2017,427202,3826_11262
3826_214739,238500,2629500,Erebidae,Catocala macula macula,成蟲,2017,427202,3826_8548
3826_240249,248500,2680500,Erebidae,Catocala macula macula,成蟲,2017,427202,3826_9650
3826_293308,307500,2786500,Erebidae,Catocala macula macula,成蟲,2017,427202,3826_11762
3826_263260,259500,2726500,Erebidae,Catocala macula macula,成蟲,2017,427202,3826_10552
3826_200230,229500,2600500,Erebidae,Catocala macula macula,成蟲,2017,427202,3826_8046
3826_281813,312500,2763500,Erebidae,Catocala macula macula,成蟲,2018,427202,3826_11263
3826_240249,248500,2680500,Erebidae,Catocala macula macula,成蟲,2018,427202,3826_9650
3826_166722,221500,2533500,Erebidae,Catocala macula macula,成蟲,2018,427202,3826_6645
3826_241751,250500,2683500,Erebidae,Catocala macula macula,成蟲,2019,427202,3826_9651
3826_263260,259500,2726500,Erebidae,Catocala macula macula,成蟲,2019,427202,3826_10552
3826_281810,309500,2763500,Erebidae,Catocala macula macula,成蟲,2019,427202,3826_11262
3826_254738,237500,2709500,Erebidae,Catocala macula macula,成蟲,2019,427202,3826_10148
3826_255743,242500,2711500,Erebidae,Catocala macula macula,成蟲,2018,427202,3826_10249
3826_255743,242500,2711500,Erebidae,Catocala macula macula,成蟲,2019,427202,3826_10249
3826_175223,222500,2550500,Erebidae,Catocala macula macula,成蟲,2019,427202,3826_7045
3826_228263,262500,2656500,Erebidae,Catocala macula macula,成蟲,2019,427202,3826_9153
3826_159220,219500,2518500,Erebidae,Catocala macula macula,成蟲,2014,427202,3826_6344
3826_197218,217500,2594500,Erebidae,Catocala macula macula,成蟲,2019,427202,3826_7844
3826_225806,305500,2651500,Erebidae,Catocala macula macula,成蟲,2019,427202,3826_9062
3826_281810,309500,2763500,Erebidae,Catocala macula macula,成蟲,2020,427202,3826_11262
3826_266265,264500,2732500,Erebidae,Catocala macula macula,成蟲,2020,427202,3826_10653
3826_266817,316500,2733500,Erebidae,Catocala macula macula,成蟲,2020,427202,3826_10664
3826_175224,223500,2550500,Erebidae,Catocala macula macula,成蟲,2020,427202,3826_7045
3826_257745,244500,2715500,Erebidae,Catocala macula macula,成蟲,2020,427202,3826_10349
3826_265790,289500,2731500,Erebidae,Catocala macula macula,成蟲,2020,427202,3826_10658
3826_266293,292500,2732500,Erebidae,Catocala macula macula,成蟲,2020,427202,3826_10659
3826_265782,281500,2731500,Erebidae,Catocala macula macula,成蟲,2020,427202,3826_10657
3826_290805,304500,2781500,Erebidae,Catocala macula macula,成蟲,2020,427202,3826_11661
3826_272276,275500,2744500,Erebidae,Catocala macula macula,成蟲,2021,427202,3826_10856
3826_175222,221500,2550500,Erebidae,Catocala macula macula,成蟲,2020,427202,3826_7045
3826_225806,305500,2651500,Erebidae,Catocala macula macula,成蟲,2021,427202,3826_9062
3826_269273,272500,2738500,Erebidae,Catocala macula macula,成蟲,2021,427202,3826_10755
3826_155252,251500,2510500,Erebidae,Catocala macula macula,成蟲,2021,427202,3826_6251
3826_139225,224500,2478500,Erebidae,Catocala macula macula,成蟲,2020,427202,3826_5545
3826_231268,267500,2662500,Erebidae,Catocala macula macula,成蟲,2021,427202,3826_9254
3826_238794,293500,2677500,Erebidae,Catocala macula macula,成蟲,2021,427202,3826_9559
3826_236780,279500,2673500,Erebidae,Catocala macula macula,成蟲,2021,427202,3826_9456
3826_198717,216500,2597500,Erebidae,Catocala macula macula,成蟲,2021,427202,3826_7944
3826_230272,271500,2660500,Erebidae,Catocala macula macula,成蟲,2021,427202,3826_9255
3826_265790,289500,2731500,Erebidae,Catocala macula macula,成蟲,2021,427202,3826_10658
3826_200230,229500,2600500,Erebidae,Catocala macula macula,成蟲,2021,427202,3826_8046
3826_293308,307500,2786500,Erebidae,Catocala macula macula,成蟲,2021,427202,3826_11762
3826_218742,241500,2637500,Erebidae,Catocala macula macula,成蟲,2022,427202,3826_8749
3826_266271,270500,2732500,Erebidae,Catocala macula macula,成蟲,2022,427202,3826_10655
3826_239296,295500,2678500,Erebidae,Catocala macula macula,成蟲,2022,427202,3826_9560
3826_234278,277500,2668500,Erebidae,Catocala macula macula,成蟲,2022,427202,3826_9356
