GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_292305,304500,2784500,Geometridae,Catoria olivescens olivescens,成蟲,2012,437461,3826_11661
3826_291300,299500,2782500,Geometridae,Catoria olivescens olivescens,成蟲,2012,437461,3826_11660
3826_281312,311500,2762500,Geometridae,Catoria olivescens olivescens,成蟲,2012,437461,3826_11263
3826_272277,276500,2744500,Geometridae,Catoria olivescens olivescens,成蟲,2012,437461,3826_10856
3826_271320,319500,2742500,Geometridae,Catoria olivescens olivescens,成蟲,2013,437461,3826_10864
3826_222739,238500,2645500,Geometridae,Catoria olivescens olivescens,成蟲,2012,437461,3826_8948
3826_280316,315500,2760500,Geometridae,Catoria olivescens olivescens,成蟲,2013,437461,3826_11264
3826_189703,202500,2579500,Geometridae,Catoria olivescens olivescens,幼蟲,2012,437461,3826_7541
3826_281810,309500,2763500,Geometridae,Catoria olivescens olivescens,成蟲,2013,437461,3826_11262
3826_292307,306500,2784500,Geometridae,Catoria olivescens olivescens,成蟲,2013,437461,3826_11662
3826_273788,287500,2747500,Geometridae,Catoria olivescens olivescens,成蟲,2013,437461,3826_10958
3826_271769,268500,2743500,Geometridae,Catoria olivescens olivescens,成蟲,2013,437461,3826_10854
3826_281309,308500,2762500,Geometridae,Catoria olivescens olivescens,成蟲,2013,437461,3826_11262
3826_282792,291500,2765500,Geometridae,Catoria olivescens olivescens,成蟲,2013,437461,3826_11359
3826_269315,314500,2738500,Geometridae,Catoria olivescens olivescens,成蟲,2013,437461,3826_10763
3826_293303,302500,2786500,Geometridae,Catoria olivescens olivescens,成蟲,2013,437461,3826_11761
3826_269312,311500,2738500,Geometridae,Catoria olivescens olivescens,成蟲,2013,437461,3826_10763
3826_282820,319500,2765500,Geometridae,Catoria olivescens olivescens,成蟲,2013,437461,3826_11364
3826_291801,300500,2783500,Geometridae,Catoria olivescens olivescens,成蟲,2013,437461,3826_11661
3826_275267,266500,2750500,Geometridae,Catoria olivescens olivescens,成蟲,2013,437461,3826_11054
3826_227313,312500,2654500,Geometridae,Catoria olivescens olivescens,成蟲,2013,437461,3826_9063
3826_272774,273500,2745500,Geometridae,Catoria olivescens olivescens,幼蟲,2013,437461,3826_10955
3826_269811,310500,2739500,Geometridae,Catoria olivescens olivescens,成蟲,2013,437461,3826_10763
3826_291806,305500,2783500,Geometridae,Catoria olivescens olivescens,成蟲,2013,437461,3826_11662
3826_283807,306500,2767500,Geometridae,Catoria olivescens olivescens,成蟲,2014,437461,3826_11362
3826_281306,305500,2762500,Geometridae,Catoria olivescens olivescens,成蟲,2014,437461,3826_11262
3826_218230,229500,2636500,Geometridae,Catoria olivescens olivescens,成蟲,2013,437461,3826_8746
3826_224769,268500,2649500,Geometridae,Catoria olivescens olivescens,成蟲,2014,437461,3826_8954
3826_281820,319500,2763500,Geometridae,Catoria olivescens olivescens,成蟲,2013,437461,3826_11264
3826_282806,305500,2765500,Geometridae,Catoria olivescens olivescens,成蟲,2013,437461,3826_11362
3826_175725,224500,2551500,Geometridae,Catoria olivescens olivescens,成蟲,2014,437461,3826_7045
3826_273304,303500,2746500,Geometridae,Catoria olivescens olivescens,成蟲,2014,437461,3826_10961
3826_289337,336500,2778500,Geometridae,Catoria olivescens olivescens,成蟲,2014,437461,3826_11568
3826_291805,304500,2783500,Geometridae,Catoria olivescens olivescens,成蟲,2014,437461,3826_11661
3826_204739,238500,2609500,Geometridae,Catoria olivescens olivescens,成蟲,2013,437461,3826_8148
3826_237302,301500,2674500,Geometridae,Catoria olivescens olivescens,幼蟲,2014,437461,3826_9461
3826_209294,293500,2618500,Geometridae,Catoria olivescens olivescens,成蟲,2014,437461,3826_8359
3826_281309,308500,2762500,Geometridae,Catoria olivescens olivescens,成蟲,2014,437461,3826_11262
3826_281810,309500,2763500,Geometridae,Catoria olivescens olivescens,成蟲,2014,437461,3826_11262
3826_281313,312500,2762500,Geometridae,Catoria olivescens olivescens,成蟲,2014,437461,3826_11263
3826_274304,303500,2748500,Geometridae,Catoria olivescens olivescens,成蟲,2014,437461,3826_10961
3826_283807,306500,2767500,Geometridae,Catoria olivescens olivescens,成蟲,2015,437461,3826_11362
3826_281810,309500,2763500,Geometridae,Catoria olivescens olivescens,成蟲,2015,437461,3826_11262
3826_221310,309500,2642500,Geometridae,Catoria olivescens olivescens,成蟲,2015,437461,3826_8862
3826_264279,278500,2728500,Geometridae,Catoria olivescens olivescens,成蟲,2014,437461,3826_10556
3826_275307,306500,2750500,Geometridae,Catoria olivescens olivescens,成蟲,2014,437461,3826_11062
3826_275306,305500,2750500,Geometridae,Catoria olivescens olivescens,成蟲,2014,437461,3826_11062
3826_228264,263500,2656500,Geometridae,Catoria olivescens olivescens,成蟲,2014,437461,3826_9153
3826_272780,279500,2745500,Geometridae,Catoria olivescens olivescens,成蟲,2014,437461,3826_10956
3826_280315,314500,2760500,Geometridae,Catoria olivescens olivescens,成蟲,2014,437461,3826_11263
3826_280304,303500,2760500,Geometridae,Catoria olivescens olivescens,成蟲,2015,437461,3826_11261
3826_279306,305500,2758500,Geometridae,Catoria olivescens olivescens,成蟲,2015,437461,3826_11162
3826_264283,282500,2728500,Geometridae,Catoria olivescens olivescens,成蟲,2015,437461,3826_10557
3826_284810,309500,2769500,Geometridae,Catoria olivescens olivescens,成蟲,2011,437461,3826_11362
3826_282811,310500,2765500,Geometridae,Catoria olivescens olivescens,幼蟲,2013,437461,3826_11363
3826_266262,261500,2732500,Geometridae,Catoria olivescens olivescens,成蟲,2015,437461,3826_10653
3826_281309,308500,2762500,Geometridae,Catoria olivescens olivescens,成蟲,2015,437461,3826_11262
3826_280796,295500,2761500,Geometridae,Catoria olivescens olivescens,成蟲,2015,437461,3826_11260
3826_273788,287500,2747500,Geometridae,Catoria olivescens olivescens,成蟲,2012,437461,3826_10958
3826_287810,309500,2775500,Geometridae,Catoria olivescens olivescens,成蟲,2016,437461,3826_11562
3826_268826,325500,2737500,Geometridae,Catoria olivescens olivescens,成蟲,2016,437461,3826_10766
3826_266764,263500,2733500,Geometridae,Catoria olivescens olivescens,成蟲,2016,437461,3826_10653
3826_290310,309500,2780500,Geometridae,Catoria olivescens olivescens,成蟲,2016,437461,3826_11662
3826_259800,299500,2719500,Geometridae,Catoria olivescens olivescens,成蟲,2016,437461,3826_10360
3826_282808,307500,2765500,Geometridae,Catoria olivescens olivescens,成蟲,2016,437461,3826_11362
3826_237230,229500,2674500,Geometridae,Catoria olivescens olivescens,成蟲,2016,437461,3826_9446
3826_237228,227500,2674500,Geometridae,Catoria olivescens olivescens,成蟲,2014,437461,3826_9446
3826_281810,309500,2763500,Geometridae,Catoria olivescens olivescens,成蟲,2016,437461,3826_11262
3826_273279,278500,2746500,Geometridae,Catoria olivescens olivescens,成蟲,2013,437461,3826_10956
3826_260750,249500,2721500,Geometridae,Catoria olivescens olivescens,成蟲,2016,437461,3826_10450
3826_225806,305500,2651500,Geometridae,Catoria olivescens olivescens,成蟲,2016,437461,3826_9062
3826_186781,280500,2573500,Geometridae,Catoria olivescens olivescens,成蟲,2016,437461,3826_7457
3826_287803,302500,2775500,Geometridae,Catoria olivescens olivescens,成蟲,2016,437461,3826_11561
3826_232753,252500,2665500,Geometridae,Catoria olivescens olivescens,成蟲,2016,437461,3826_9351
3826_273792,291500,2747500,Geometridae,Catoria olivescens olivescens,成蟲,2016,437461,3826_10959
3826_273325,324500,2746500,Geometridae,Catoria olivescens olivescens,成蟲,2016,437461,3826_10965
3826_207230,229500,2614500,Geometridae,Catoria olivescens olivescens,成蟲,2016,437461,3826_8246
3826_276297,296500,2752500,Geometridae,Catoria olivescens olivescens,成蟲,2016,437461,3826_11060
3826_263753,252500,2727500,Geometridae,Catoria olivescens olivescens,成蟲,2016,437461,3826_10551
3826_293303,302500,2786500,Geometridae,Catoria olivescens olivescens,成蟲,2016,437461,3826_11761
3826_263792,291500,2727500,Geometridae,Catoria olivescens olivescens,幼蟲,2016,437461,3826_10559
3826_241243,242500,2682500,Geometridae,Catoria olivescens olivescens,成蟲,2016,437461,3826_9649
3826_263260,259500,2726500,Geometridae,Catoria olivescens olivescens,成蟲,2016,437461,3826_10552
3826_269278,277500,2738500,Geometridae,Catoria olivescens olivescens,成蟲,2016,437461,3826_10756
3826_225250,249500,2650500,Geometridae,Catoria olivescens olivescens,成蟲,2016,437461,3826_9050
3826_225250,249500,2650500,Geometridae,Catoria olivescens olivescens,幼蟲,2016,437461,3826_9050
3826_180258,257500,2560500,Geometridae,Catoria olivescens olivescens,成蟲,2014,437461,3826_7252
3826_271249,248500,2742500,Geometridae,Catoria olivescens olivescens,幼蟲,2016,437461,3826_10850
3826_212729,228500,2625500,Geometridae,Catoria olivescens olivescens,成蟲,2014,437461,3826_8546
3826_263260,259500,2726500,Geometridae,Catoria olivescens olivescens,成蟲,2017,437461,3826_10552
3826_260249,248500,2720500,Geometridae,Catoria olivescens olivescens,成蟲,2017,437461,3826_10450
3826_224749,248500,2649500,Geometridae,Catoria olivescens olivescens,成蟲,2017,437461,3826_8950
3826_279301,300500,2758500,Geometridae,Catoria olivescens olivescens,成蟲,2017,437461,3826_11161
3826_281810,309500,2763500,Geometridae,Catoria olivescens olivescens,成蟲,2017,437461,3826_11262
3826_224749,248500,2649500,Geometridae,Catoria olivescens olivescens,成蟲,2016,437461,3826_8950
3826_274307,306500,2748500,Geometridae,Catoria olivescens olivescens,成蟲,2016,437461,3826_10962
3826_291302,301500,2782500,Geometridae,Catoria olivescens olivescens,成蟲,2017,437461,3826_11661
3826_290310,309500,2780500,Geometridae,Catoria olivescens olivescens,成蟲,2017,437461,3826_11662
3826_263753,252500,2727500,Geometridae,Catoria olivescens olivescens,成蟲,2017,437461,3826_10551
3826_288808,307500,2777500,Geometridae,Catoria olivescens olivescens,成蟲,2017,437461,3826_11562
3826_190275,274500,2580500,Geometridae,Catoria olivescens olivescens,成蟲,2017,437461,3826_7655
