GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_291302,301500,2782500,Sphingidae,Cechetra minor,成蟲,2012,432719,3826_11661
3826_167728,227500,2535500,Sphingidae,Cechetra minor,幼蟲,2012,432719,3826_6746
3826_279306,305500,2758500,Sphingidae,Cechetra minor,成蟲,2012,432719,3826_11162
3826_218230,229500,2636500,Sphingidae,Cechetra minor,成蟲,2012,432719,3826_8746
3826_187200,199500,2574500,Sphingidae,Cechetra minor,成蟲,2012,432719,3826_7440
3826_267264,263500,2734500,Sphingidae,Cechetra minor,幼蟲,2012,432719,3826_10653
3826_273788,287500,2747500,Sphingidae,Cechetra minor,成蟲,2012,432719,3826_10958
3826_292305,304500,2784500,Sphingidae,Cechetra minor,成蟲,2013,432719,3826_11661
3826_273788,287500,2747500,Sphingidae,Cechetra minor,成蟲,2013,432719,3826_10958
3826_210713,212500,2621500,Sphingidae,Cechetra minor,成蟲,2013,432719,3826_8443
3826_188716,215500,2577500,Sphingidae,Cechetra minor,成蟲,2013,432719,3826_7544
3826_279306,305500,2758500,Sphingidae,Cechetra minor,成蟲,2013,432719,3826_11162
3826_226305,304500,2652500,Sphingidae,Cechetra minor,成蟲,2013,432719,3826_9061
3826_272276,275500,2744500,Sphingidae,Cechetra minor,成蟲,2013,432719,3826_10856
3826_269811,310500,2739500,Sphingidae,Cechetra minor,成蟲,2013,432719,3826_10763
3826_220810,309500,2641500,Sphingidae,Cechetra minor,成蟲,2014,432719,3826_8862
3826_292806,305500,2785500,Sphingidae,Cechetra minor,幼蟲,2014,432719,3826_11762
3826_279306,305500,2758500,Sphingidae,Cechetra minor,成蟲,2014,432719,3826_11162
3826_225806,305500,2651500,Sphingidae,Cechetra minor,成蟲,2014,432719,3826_9062
3826_263792,291500,2727500,Sphingidae,Cechetra minor,幼蟲,2014,432719,3826_10559
3826_288310,309500,2776500,Sphingidae,Cechetra minor,成蟲,2014,432719,3826_11562
3826_280316,315500,2760500,Sphingidae,Cechetra minor,成蟲,2014,432719,3826_11264
3826_223803,302500,2647500,Sphingidae,Cechetra minor,成蟲,2014,432719,3826_8961
