GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_263798,297500,2727500,Geometridae,Celenna festivaria formosensis,成蟲,2011,414088,3826_10560
3826_263798,297500,2727500,Geometridae,Celenna festivaria formosensis,成蟲,2012,414088,3826_10560
3826_254805,304500,2709500,Geometridae,Celenna festivaria formosensis,成蟲,2012,414088,3826_10161
3826_241275,274500,2682500,Geometridae,Celenna festivaria formosensis,成蟲,2012,414088,3826_9655
3826_229767,266500,2659500,Geometridae,Celenna festivaria formosensis,成蟲,2012,414088,3826_9154
3826_237228,227500,2674500,Geometridae,Celenna festivaria formosensis,成蟲,2012,414088,3826_9446
3826_232268,267500,2664500,Geometridae,Celenna festivaria formosensis,成蟲,2011,414088,3826_9254
3826_272776,275500,2745500,Geometridae,Celenna festivaria formosensis,成蟲,2012,414088,3826_10956
3826_271769,268500,2743500,Geometridae,Celenna festivaria formosensis,成蟲,2013,414088,3826_10854
3826_239740,239500,2679500,Geometridae,Celenna festivaria formosensis,成蟲,2013,414088,3826_9548
3826_273788,287500,2747500,Geometridae,Celenna festivaria formosensis,成蟲,2013,414088,3826_10958
3826_263798,297500,2727500,Geometridae,Celenna festivaria formosensis,成蟲,2013,414088,3826_10560
3826_269811,310500,2739500,Geometridae,Celenna festivaria formosensis,成蟲,2013,414088,3826_10763
3826_290315,314500,2780500,Geometridae,Celenna festivaria formosensis,成蟲,2011,414088,3826_11663
3826_254805,304500,2709500,Geometridae,Celenna festivaria formosensis,成蟲,2013,414088,3826_10161
3826_259784,283500,2719500,Geometridae,Celenna festivaria formosensis,成蟲,2013,414088,3826_10357
3826_220810,309500,2641500,Geometridae,Celenna festivaria formosensis,成蟲,2014,414088,3826_8862
3826_200230,229500,2600500,Geometridae,Celenna festivaria formosensis,成蟲,2014,414088,3826_8046
3826_268276,275500,2736500,Geometridae,Celenna festivaria formosensis,成蟲,2014,414088,3826_10756
3826_139724,223500,2479500,Geometridae,Celenna festivaria formosensis,成蟲,2014,414088,3826_5545
3826_232753,252500,2665500,Geometridae,Celenna festivaria formosensis,成蟲,2014,414088,3826_9351
3826_263798,297500,2727500,Geometridae,Celenna festivaria formosensis,成蟲,2014,414088,3826_10560
3826_175725,224500,2551500,Geometridae,Celenna festivaria formosensis,成蟲,2014,414088,3826_7045
