GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_284308,307500,2768500,Erebidae,Cephena costata,幼蟲,2012,428209,3826_11362
3826_273788,287500,2747500,Erebidae,Cephena costata,成蟲,2012,428209,3826_10958
3826_175205,204500,2550500,Erebidae,Cephena costata,成蟲,2012,428209,3826_7041
3826_266771,270500,2733500,Erebidae,Cephena costata,成蟲,2013,428209,3826_10655
3826_281810,309500,2763500,Erebidae,Cephena costata,成蟲,2014,428209,3826_11262
3826_232753,252500,2665500,Erebidae,Cephena costata,幼蟲,2014,428209,3826_9351
3826_263297,296500,2726500,Erebidae,Cephena costata,成蟲,2012,428209,3826_10560
3826_280805,304500,2761500,Erebidae,Cephena costata,成蟲,2014,428209,3826_11261
3826_274307,306500,2748500,Erebidae,Cephena costata,幼蟲,2014,428209,3826_10962
3826_273788,287500,2747500,Erebidae,Cephena costata,成蟲,2013,428209,3826_10958
3826_170217,216500,2540500,Erebidae,Cephena costata,成蟲,2014,428209,3826_6844
3826_131232,231500,2462500,Erebidae,Cephena costata,幼蟲,2015,428209,3826_5247
3826_275307,306500,2750500,Erebidae,Cephena costata,成蟲,2016,428209,3826_11062
3826_237248,247500,2674500,Erebidae,Cephena costata,幼蟲,2015,428209,3826_9450
3826_234314,313500,2668500,Erebidae,Cephena costata,成蟲,2016,428209,3826_9363
3826_212729,228500,2625500,Erebidae,Cephena costata,幼蟲,2013,428209,3826_8546
3826_281812,311500,2763500,Erebidae,Cephena costata,成蟲,2017,428209,3826_11263
3826_269280,279500,2738500,Erebidae,Cephena costata,幼蟲,2017,428209,3826_10756
3826_223302,301500,2646500,Erebidae,Cephena costata,幼蟲,2017,428209,3826_8961
3826_168209,208500,2536500,Erebidae,Cephena costata,幼蟲,2010,428209,3826_6742
3826_275806,305500,2751500,Erebidae,Cephena costata,成蟲,2017,428209,3826_11062
3826_284810,309500,2769500,Erebidae,Cephena costata,成蟲,2018,428209,3826_11362
3826_266265,264500,2732500,Erebidae,Cephena costata,成蟲,2018,428209,3826_10653
3826_266265,264500,2732500,Erebidae,Cephena costata,成蟲,2019,428209,3826_10653
3826_198220,219500,2596500,Erebidae,Cephena costata,成蟲,2019,428209,3826_7944
3826_275793,292500,2751500,Erebidae,Cephena costata,成蟲,2019,428209,3826_11059
3826_282317,316500,2764500,Erebidae,Cephena costata,成蟲,2019,428209,3826_11264
3826_187200,199500,2574500,Erebidae,Cephena costata,幼蟲,2019,428209,3826_7440
3826_227251,250500,2654500,Erebidae,Cephena costata,成蟲,2019,428209,3826_9051
3826_286320,319500,2772500,Erebidae,Cephena costata,成蟲,2020,428209,3826_11464
3826_281810,309500,2763500,Erebidae,Cephena costata,成蟲,2020,428209,3826_11262
3826_277327,326500,2754500,Erebidae,Cephena costata,成蟲,2020,428209,3826_11066
3826_232753,252500,2665500,Erebidae,Cephena costata,幼蟲,2020,428209,3826_9351
3826_256736,235500,2713500,Erebidae,Cephena costata,成蟲,2020,428209,3826_10248
3826_273786,285500,2747500,Erebidae,Cephena costata,成蟲,2020,428209,3826_10958
3826_282307,306500,2764500,Erebidae,Cephena costata,成蟲,2020,428209,3826_11262
3826_263798,297500,2727500,Erebidae,Cephena costata,成蟲,2019,428209,3826_10560
3826_262327,326500,2724500,Erebidae,Cephena costata,幼蟲,2020,428209,3826_10466
3826_261827,326500,2723500,Erebidae,Cephena costata,成蟲,2020,428209,3826_10466
3826_283843,342500,2767500,Erebidae,Cephena costata,成蟲,2020,428209,3826_11369
3826_272276,275500,2744500,Erebidae,Cephena costata,成蟲,2021,428209,3826_10856
3826_280809,308500,2761500,Erebidae,Cephena costata,成蟲,2021,428209,3826_11262
3826_265275,274500,2730500,Erebidae,Cephena costata,成蟲,2021,428209,3826_10655
3826_259249,248500,2718500,Erebidae,Cephena costata,成蟲,2021,428209,3826_10350
3826_281810,309500,2763500,Erebidae,Cephena costata,成蟲,2021,428209,3826_11262
3826_274311,310500,2748500,Erebidae,Cephena costata,成蟲,2022,428209,3826_10963
3826_283808,307500,2767500,Erebidae,Cephena costata,成蟲,2022,428209,3826_11362
