GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_287813,312500,2775500,Crambidae,Chabula acamasalis,成蟲,2010,344095,3826_11563
3826_289798,297500,2779500,Crambidae,Chabula acamasalis,成蟲,2013,344095,3826_11560
3826_283803,302500,2767500,Crambidae,Chabula acamasalis,成蟲,2013,344095,3826_11361
3826_288804,303500,2777500,Crambidae,Chabula acamasalis,成蟲,2013,344095,3826_11561
3826_172675,174500,2545500,Crambidae,Chabula acamasalis,成蟲,2014,344095,3826_6935
3826_286306,305500,2772500,Crambidae,Chabula acamasalis,成蟲,2014,344095,3826_11462
3826_292292,291500,2784500,Crambidae,Chabula acamasalis,成蟲,2015,344095,3826_11659
3826_284794,293500,2769500,Crambidae,Chabula acamasalis,成蟲,2015,344095,3826_11359
3826_286306,305500,2772500,Crambidae,Chabula acamasalis,成蟲,2012,344095,3826_11462
3826_186781,280500,2573500,Crambidae,Chabula acamasalis,成蟲,2016,344095,3826_7457
3826_286306,305500,2772500,Crambidae,Chabula acamasalis,成蟲,2016,344095,3826_11462
3826_153680,179500,2507500,Crambidae,Chabula acamasalis,成蟲,2016,344095,3826_6136
3826_283807,306500,2767500,Crambidae,Chabula acamasalis,成蟲,2016,344095,3826_11362
3826_289798,297500,2779500,Crambidae,Chabula acamasalis,成蟲,2016,344095,3826_11560
3826_271748,247500,2743500,Crambidae,Chabula acamasalis,成蟲,2016,344095,3826_10850
3826_282307,306500,2764500,Crambidae,Chabula acamasalis,成蟲,2017,344095,3826_11262
3826_286306,305500,2772500,Crambidae,Chabula acamasalis,成蟲,2017,344095,3826_11462
3826_220701,200500,2641500,Crambidae,Chabula acamasalis,成蟲,2017,344095,3826_8841
3826_281810,309500,2763500,Crambidae,Chabula acamasalis,成蟲,2017,344095,3826_11262
3826_282784,283500,2765500,Crambidae,Chabula acamasalis,成蟲,2017,344095,3826_11357
3826_152175,174500,2504500,Crambidae,Chabula acamasalis,成蟲,2017,344095,3826_6035
3826_284804,303500,2769500,Crambidae,Chabula acamasalis,成蟲,2017,344095,3826_11361
3826_289305,304500,2778500,Crambidae,Chabula acamasalis,成蟲,2017,344095,3826_11561
3826_272749,248500,2745500,Crambidae,Chabula acamasalis,成蟲,2018,344095,3826_10950
3826_283297,296500,2766500,Crambidae,Chabula acamasalis,成蟲,2018,344095,3826_11360
3826_286306,305500,2772500,Crambidae,Chabula acamasalis,成蟲,2018,344095,3826_11462
3826_265736,235500,2731500,Crambidae,Chabula acamasalis,成蟲,2018,344095,3826_10648
3826_182180,179500,2564500,Crambidae,Chabula acamasalis,成蟲,2018,344095,3826_7236
3826_266265,264500,2732500,Crambidae,Chabula acamasalis,成蟲,2018,344095,3826_10653
3826_223181,180500,2646500,Crambidae,Chabula acamasalis,成蟲,2018,344095,3826_8937
3826_284301,300500,2768500,Crambidae,Chabula acamasalis,成蟲,2018,344095,3826_11361
3826_282307,306500,2764500,Crambidae,Chabula acamasalis,成蟲,2019,344095,3826_11262
3826_289805,304500,2779500,Crambidae,Chabula acamasalis,成蟲,2010,344095,3826_11561
3826_291329,328500,2782500,Crambidae,Chabula acamasalis,成蟲,2019,344095,3826_11666
3826_156694,193500,2513500,Crambidae,Chabula acamasalis,成蟲,2018,344095,3826_6239
3826_289804,303500,2779500,Crambidae,Chabula acamasalis,成蟲,2019,344095,3826_11561
3826_280805,304500,2761500,Crambidae,Chabula acamasalis,成蟲,2019,344095,3826_11261
3826_286306,305500,2772500,Crambidae,Chabula acamasalis,成蟲,2019,344095,3826_11462
3826_278775,274500,2757500,Crambidae,Chabula acamasalis,成蟲,2019,344095,3826_11155
3826_226313,312500,2652500,Crambidae,Chabula acamasalis,成蟲,2019,344095,3826_9063
3826_152675,174500,2505500,Crambidae,Chabula acamasalis,成蟲,2019,344095,3826_6135
3826_276778,277500,2753500,Crambidae,Chabula acamasalis,成蟲,2020,344095,3826_11056
3826_291805,304500,2783500,Crambidae,Chabula acamasalis,成蟲,2020,344095,3826_11661
3826_286306,305500,2772500,Crambidae,Chabula acamasalis,成蟲,2020,344095,3826_11462
3826_282307,306500,2764500,Crambidae,Chabula acamasalis,成蟲,2021,344095,3826_11262
3826_284803,302500,2769500,Crambidae,Chabula acamasalis,成蟲,2021,344095,3826_11361
3826_291329,328500,2782500,Crambidae,Chabula acamasalis,成蟲,2021,344095,3826_11666
3826_232194,193500,2664500,Crambidae,Chabula acamasalis,成蟲,2021,344095,3826_9239
3826_282307,306500,2764500,Crambidae,Chabula acamasalis,成蟲,2020,344095,3826_11262
3826_288804,303500,2777500,Crambidae,Chabula acamasalis,成蟲,2022,344095,3826_11561
3826_287790,289500,2775500,Crambidae,Chabula acamasalis,成蟲,2022,344095,3826_11558
