GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_223304,303500,2646500,Notodontidae,Chadisra bipars,幼蟲,2012,346950,3826_8961
3826_261827,326500,2723500,Notodontidae,Chadisra bipars,幼蟲,2012,346950,3826_10466
3826_227227,226500,2654500,Notodontidae,Chadisra bipars,幼蟲,2012,346950,3826_9046
3826_297809,308500,2795500,Notodontidae,Chadisra bipars,幼蟲,2012,346950,3826_11962
3826_282809,308500,2765500,Notodontidae,Chadisra bipars,幼蟲,2012,346950,3826_11362
3826_282806,305500,2765500,Notodontidae,Chadisra bipars,幼蟲,2012,346950,3826_11362
3826_174766,265500,2549500,Notodontidae,Chadisra bipars,成蟲,2012,346950,3826_6954
3826_219243,242500,2638500,Notodontidae,Chadisra bipars,成蟲,2012,346950,3826_8749
3826_218230,229500,2636500,Notodontidae,Chadisra bipars,幼蟲,2012,346950,3826_8746
3826_238251,250500,2676500,Notodontidae,Chadisra bipars,幼蟲,2012,346950,3826_9551
3826_238230,229500,2676500,Notodontidae,Chadisra bipars,幼蟲,2013,346950,3826_9546
3826_151747,246500,2503500,Notodontidae,Chadisra bipars,幼蟲,2013,346950,3826_6050
3826_287814,313500,2775500,Notodontidae,Chadisra bipars,幼蟲,2012,346950,3826_11563
3826_288306,305500,2776500,Notodontidae,Chadisra bipars,幼蟲,2012,346950,3826_11562
3826_140224,223500,2480500,Notodontidae,Chadisra bipars,幼蟲,2012,346950,3826_5645
3826_287813,312500,2775500,Notodontidae,Chadisra bipars,幼蟲,2012,346950,3826_11563
3826_273796,295500,2747500,Notodontidae,Chadisra bipars,幼蟲,2013,346950,3826_10960
3826_177789,288500,2555500,Notodontidae,Chadisra bipars,幼蟲,2012,346950,3826_7158
3826_197709,208500,2595500,Notodontidae,Chadisra bipars,幼蟲,2012,346950,3826_7942
3826_274307,306500,2748500,Notodontidae,Chadisra bipars,幼蟲,2013,346950,3826_10962
3826_287814,313500,2775500,Notodontidae,Chadisra bipars,幼蟲,2013,346950,3826_11563
3826_283807,306500,2767500,Notodontidae,Chadisra bipars,幼蟲,2014,346950,3826_11362
3826_268762,261500,2737500,Notodontidae,Chadisra bipars,幼蟲,2014,346950,3826_10753
3826_197709,208500,2595500,Notodontidae,Chadisra bipars,幼蟲,2014,346950,3826_7942
3826_289826,325500,2779500,Notodontidae,Chadisra bipars,幼蟲,2014,346950,3826_11566
3826_215735,234500,2631500,Notodontidae,Chadisra bipars,幼蟲,2011,346950,3826_8647
3826_116236,235500,2432500,Notodontidae,Chadisra bipars,幼蟲,2011,346950,3826_4648
3826_243237,236500,2686500,Notodontidae,Chadisra bipars,幼蟲,2014,346950,3826_9748
3826_283807,306500,2767500,Notodontidae,Chadisra bipars,幼蟲,2015,346950,3826_11362
3826_191200,199500,2582500,Notodontidae,Chadisra bipars,幼蟲,2015,346950,3826_7640
3826_221211,210500,2642500,Notodontidae,Chadisra bipars,幼蟲,2015,346950,3826_8843
3826_152210,209500,2504500,Notodontidae,Chadisra bipars,幼蟲,2014,346950,3826_6042
3826_289309,308500,2778500,Notodontidae,Chadisra bipars,幼蟲,2014,346950,3826_11562
3826_218733,232500,2637500,Notodontidae,Chadisra bipars,幼蟲,2015,346950,3826_8747
3826_279306,305500,2758500,Notodontidae,Chadisra bipars,幼蟲,2015,346950,3826_11162
3826_271249,248500,2742500,Notodontidae,Chadisra bipars,幼蟲,2015,346950,3826_10850
3826_225749,248500,2651500,Notodontidae,Chadisra bipars,幼蟲,2015,346950,3826_9050
3826_225250,249500,2650500,Notodontidae,Chadisra bipars,幼蟲,2015,346950,3826_9050
3826_284810,309500,2769500,Notodontidae,Chadisra bipars,成蟲,2015,346950,3826_11362
3826_219230,229500,2638500,Notodontidae,Chadisra bipars,幼蟲,2012,346950,3826_8746
3826_284314,313500,2768500,Notodontidae,Chadisra bipars,幼蟲,2015,346950,3826_11363
3826_282313,312500,2764500,Notodontidae,Chadisra bipars,成蟲,2013,346950,3826_11263
3826_273278,277500,2746500,Notodontidae,Chadisra bipars,幼蟲,2010,346950,3826_10956
3826_282317,316500,2764500,Notodontidae,Chadisra bipars,幼蟲,2012,346950,3826_11264
3826_280805,304500,2761500,Notodontidae,Chadisra bipars,幼蟲,2016,346950,3826_11261
3826_228809,308500,2657500,Notodontidae,Chadisra bipars,幼蟲,2016,346950,3826_9162
3826_285329,328500,2770500,Notodontidae,Chadisra bipars,幼蟲,2015,346950,3826_11466
3826_228250,249500,2656500,Notodontidae,Chadisra bipars,幼蟲,2016,346950,3826_9150
3826_230726,225500,2661500,Notodontidae,Chadisra bipars,幼蟲,2016,346950,3826_9246
3826_284810,309500,2769500,Notodontidae,Chadisra bipars,幼蟲,2016,346950,3826_11362
3826_218230,229500,2636500,Notodontidae,Chadisra bipars,幼蟲,2016,346950,3826_8746
3826_282784,283500,2765500,Notodontidae,Chadisra bipars,幼蟲,2016,346950,3826_11357
3826_281807,306500,2763500,Notodontidae,Chadisra bipars,幼蟲,2013,346950,3826_11262
3826_282313,312500,2764500,Notodontidae,Chadisra bipars,幼蟲,2013,346950,3826_11263
3826_297809,308500,2795500,Notodontidae,Chadisra bipars,幼蟲,2016,346950,3826_11962
3826_154218,217500,2508500,Notodontidae,Chadisra bipars,成蟲,2013,346950,3826_6144
3826_237228,227500,2674500,Notodontidae,Chadisra bipars,幼蟲,2013,346950,3826_9446
3826_282809,308500,2765500,Notodontidae,Chadisra bipars,幼蟲,2015,346950,3826_11362
3826_225250,249500,2650500,Notodontidae,Chadisra bipars,幼蟲,2016,346950,3826_9050
3826_155680,179500,2511500,Notodontidae,Chadisra bipars,幼蟲,2016,346950,3826_6236
3826_188714,213500,2577500,Notodontidae,Chadisra bipars,幼蟲,2016,346950,3826_7543
