GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_286306,305500,2772500,Erebidae,Chalciope mygdon,成蟲,2011,346129,3826_11462
3826_164183,182500,2528500,Erebidae,Chalciope mygdon,成蟲,2013,346129,3826_6537
3826_283783,282500,2767500,Erebidae,Chalciope mygdon,成蟲,2013,346129,3826_11357
3826_150219,218500,2500500,Erebidae,Chalciope mygdon,成蟲,2013,346129,3826_6044
3826_241223,222500,2682500,Erebidae,Chalciope mygdon,成蟲,2012,346129,3826_9645
3826_291801,300500,2783500,Erebidae,Chalciope mygdon,成蟲,2012,346129,3826_11661
3826_241725,224500,2683500,Erebidae,Chalciope mygdon,成蟲,2014,346129,3826_9645
3826_284306,305500,2768500,Erebidae,Chalciope mygdon,成蟲,2012,346129,3826_11362
3826_157262,261500,2514500,Erebidae,Chalciope mygdon,成蟲,2014,346129,3826_6253
3826_205790,289500,2611500,Erebidae,Chalciope mygdon,成蟲,2013,346129,3826_8258
3826_285313,312500,2770500,Erebidae,Chalciope mygdon,成蟲,2014,346129,3826_11463
3826_217295,294500,2634500,Erebidae,Chalciope mygdon,成蟲,2014,346129,3826_8659
3826_225251,250500,2650500,Erebidae,Chalciope mygdon,成蟲,2014,346129,3826_9051
3826_218230,229500,2636500,Erebidae,Chalciope mygdon,成蟲,2014,346129,3826_8746
3826_237228,227500,2674500,Erebidae,Chalciope mygdon,成蟲,2014,346129,3826_9446
3826_279305,304500,2758500,Erebidae,Chalciope mygdon,成蟲,2014,346129,3826_11161
3826_151183,182500,2502500,Erebidae,Chalciope mygdon,成蟲,2010,346129,3826_6037
3826_225251,250500,2650500,Erebidae,Chalciope mygdon,成蟲,2015,346129,3826_9051
3826_152675,174500,2505500,Erebidae,Chalciope mygdon,成蟲,2014,346129,3826_6135
3826_285293,292500,2770500,Erebidae,Chalciope mygdon,成蟲,2015,346129,3826_11459
3826_281301,300500,2762500,Erebidae,Chalciope mygdon,成蟲,2015,346129,3826_11261
3826_281301,300500,2762500,Erebidae,Chalciope mygdon,成蟲,2014,346129,3826_11261
3826_196193,192500,2592500,Erebidae,Chalciope mygdon,成蟲,2015,346129,3826_7839
3826_289805,304500,2779500,Erebidae,Chalciope mygdon,成蟲,2015,346129,3826_11561
3826_289798,297500,2779500,Erebidae,Chalciope mygdon,成蟲,2015,346129,3826_11560
3826_181755,254500,2563500,Erebidae,Chalciope mygdon,成蟲,2015,346129,3826_7251
3826_293308,307500,2786500,Erebidae,Chalciope mygdon,成蟲,2015,346129,3826_11762
3826_286801,300500,2773500,Erebidae,Chalciope mygdon,成蟲,2015,346129,3826_11461
3826_279803,302500,2759500,Erebidae,Chalciope mygdon,成蟲,2016,346129,3826_11161
3826_281309,308500,2762500,Erebidae,Chalciope mygdon,成蟲,2015,346129,3826_11262
3826_281810,309500,2763500,Erebidae,Chalciope mygdon,成蟲,2015,346129,3826_11262
3826_285313,312500,2770500,Erebidae,Chalciope mygdon,成蟲,2015,346129,3826_11463
3826_218230,229500,2636500,Erebidae,Chalciope mygdon,成蟲,2016,346129,3826_8746
3826_218230,229500,2636500,Erebidae,Chalciope mygdon,幼蟲,2016,346129,3826_8746
3826_223218,217500,2646500,Erebidae,Chalciope mygdon,成蟲,2017,346129,3826_8944
3826_113730,229500,2427500,Erebidae,Chalciope mygdon,成蟲,2016,346129,3826_4546
3826_285313,312500,2770500,Erebidae,Chalciope mygdon,成蟲,2016,346129,3826_11463
3826_282800,299500,2765500,Erebidae,Chalciope mygdon,成蟲,2016,346129,3826_11360
3826_199197,196500,2598500,Erebidae,Chalciope mygdon,成蟲,2016,346129,3826_7940
3826_155691,190500,2511500,Erebidae,Chalciope mygdon,成蟲,2016,346129,3826_6239
3826_224749,248500,2649500,Erebidae,Chalciope mygdon,成蟲,2016,346129,3826_8950
3826_186781,280500,2573500,Erebidae,Chalciope mygdon,成蟲,2016,346129,3826_7457
3826_236216,215500,2672500,Erebidae,Chalciope mygdon,成蟲,2017,346129,3826_9444
3826_287810,309500,2775500,Erebidae,Chalciope mygdon,成蟲,2017,346129,3826_11562
3826_282307,306500,2764500,Erebidae,Chalciope mygdon,成蟲,2017,346129,3826_11262
3826_286306,305500,2772500,Erebidae,Chalciope mygdon,成蟲,2017,346129,3826_11462
3826_224749,248500,2649500,Erebidae,Chalciope mygdon,成蟲,2017,346129,3826_8950
3826_228809,308500,2657500,Erebidae,Chalciope mygdon,成蟲,2013,346129,3826_9162
3826_220810,309500,2641500,Erebidae,Chalciope mygdon,成蟲,2016,346129,3826_8862
3826_232204,203500,2664500,Erebidae,Chalciope mygdon,成蟲,2016,346129,3826_9241
3826_262249,248500,2724500,Erebidae,Chalciope mygdon,成蟲,2017,346129,3826_10450
3826_283807,306500,2767500,Erebidae,Chalciope mygdon,成蟲,2017,346129,3826_11362
3826_282784,283500,2765500,Erebidae,Chalciope mygdon,成蟲,2017,346129,3826_11357
3826_264263,262500,2728500,Erebidae,Chalciope mygdon,成蟲,2017,346129,3826_10553
3826_285313,312500,2770500,Erebidae,Chalciope mygdon,成蟲,2017,346129,3826_11463
3826_220210,209500,2640500,Erebidae,Chalciope mygdon,成蟲,2017,346129,3826_8842
3826_282808,307500,2765500,Erebidae,Chalciope mygdon,成蟲,2017,346129,3826_11362
3826_280304,303500,2760500,Erebidae,Chalciope mygdon,成蟲,2018,346129,3826_11261
3826_284804,303500,2769500,Erebidae,Chalciope mygdon,成蟲,2018,346129,3826_11361
3826_283807,306500,2767500,Erebidae,Chalciope mygdon,成蟲,2018,346129,3826_11362
3826_132738,237500,2465500,Erebidae,Chalciope mygdon,成蟲,2018,346129,3826_5348
3826_146183,182500,2492500,Erebidae,Chalciope mygdon,成蟲,2018,346129,3826_5837
3826_218230,229500,2636500,Erebidae,Chalciope mygdon,成蟲,2018,346129,3826_8746
3826_262249,248500,2724500,Erebidae,Chalciope mygdon,成蟲,2018,346129,3826_10450
3826_285307,306500,2770500,Erebidae,Chalciope mygdon,成蟲,2017,346129,3826_11462
3826_237225,224500,2674500,Erebidae,Chalciope mygdon,成蟲,2018,346129,3826_9445
3826_235816,315500,2671500,Erebidae,Chalciope mygdon,成蟲,2018,346129,3826_9464
3826_151183,182500,2502500,Erebidae,Chalciope mygdon,成蟲,2018,346129,3826_6037
3826_287294,293500,2774500,Erebidae,Chalciope mygdon,成蟲,2018,346129,3826_11459
3826_287305,304500,2774500,Erebidae,Chalciope mygdon,成蟲,2018,346129,3826_11461
3826_271249,248500,2742500,Erebidae,Chalciope mygdon,成蟲,2018,346129,3826_10850
3826_282307,306500,2764500,Erebidae,Chalciope mygdon,成蟲,2018,346129,3826_11262
3826_265256,255500,2730500,Erebidae,Chalciope mygdon,成蟲,2018,346129,3826_10652
3826_227760,259500,2655500,Erebidae,Chalciope mygdon,成蟲,2019,346129,3826_9152
3826_228250,249500,2656500,Erebidae,Chalciope mygdon,成蟲,2019,346129,3826_9150
3826_182206,205500,2564500,Erebidae,Chalciope mygdon,成蟲,2014,346129,3826_7242
3826_284802,301500,2769500,Erebidae,Chalciope mygdon,成蟲,2019,346129,3826_11361
3826_255743,242500,2711500,Erebidae,Chalciope mygdon,成蟲,2018,346129,3826_10249
3826_154218,217500,2508500,Erebidae,Chalciope mygdon,成蟲,2013,346129,3826_6144
3826_117734,233500,2435500,Erebidae,Chalciope mygdon,成蟲,2019,346129,3826_4747
3826_225250,249500,2650500,Erebidae,Chalciope mygdon,成蟲,2019,346129,3826_9050
3826_158680,179500,2517500,Erebidae,Chalciope mygdon,成蟲,2019,346129,3826_6336
3826_251728,227500,2703500,Erebidae,Chalciope mygdon,成蟲,2019,346129,3826_10046
3826_287806,305500,2775500,Erebidae,Chalciope mygdon,成蟲,2019,346129,3826_11562
3826_187199,198500,2574500,Erebidae,Chalciope mygdon,成蟲,2010,346129,3826_7440
3826_147704,203500,2495500,Erebidae,Chalciope mygdon,成蟲,2013,346129,3826_5941
3826_222302,301500,2644500,Erebidae,Chalciope mygdon,成蟲,2019,346129,3826_8861
3826_288834,333500,2777500,Erebidae,Chalciope mygdon,成蟲,2019,346129,3826_11567
3826_282800,299500,2765500,Erebidae,Chalciope mygdon,成蟲,2019,346129,3826_11360
3826_286336,335500,2772500,Erebidae,Chalciope mygdon,成蟲,2019,346129,3826_11468
3826_225749,248500,2651500,Erebidae,Chalciope mygdon,成蟲,2019,346129,3826_9050
3826_273760,259500,2747500,Erebidae,Chalciope mygdon,成蟲,2019,346129,3826_10952
3826_292300,299500,2784500,Erebidae,Chalciope mygdon,成蟲,2019,346129,3826_11660
3826_282285,284500,2764500,Erebidae,Chalciope mygdon,成蟲,2019,346129,3826_11257
3826_282806,305500,2765500,Erebidae,Chalciope mygdon,成蟲,2019,346129,3826_11362
3826_276802,301500,2753500,Erebidae,Chalciope mygdon,成蟲,2019,346129,3826_11061
3826_282784,283500,2765500,Erebidae,Chalciope mygdon,成蟲,2020,346129,3826_11357
3826_280781,280500,2761500,Erebidae,Chalciope mygdon,成蟲,2020,346129,3826_11257
3826_280302,301500,2760500,Erebidae,Chalciope mygdon,成蟲,2020,346129,3826_11261
3826_286336,335500,2772500,Erebidae,Chalciope mygdon,成蟲,2020,346129,3826_11468
3826_282806,305500,2765500,Erebidae,Chalciope mygdon,成蟲,2020,346129,3826_11362
3826_281319,318500,2762500,Erebidae,Chalciope mygdon,成蟲,2020,346129,3826_11264
3826_284807,306500,2769500,Erebidae,Chalciope mygdon,成蟲,2020,346129,3826_11362
3826_284804,303500,2769500,Erebidae,Chalciope mygdon,成蟲,2020,346129,3826_11361
3826_213711,210500,2627500,Erebidae,Chalciope mygdon,成蟲,2020,346129,3826_8543
3826_283306,305500,2766500,Erebidae,Chalciope mygdon,成蟲,2020,346129,3826_11362
3826_152210,209500,2504500,Erebidae,Chalciope mygdon,成蟲,2021,346129,3826_6042
3826_281309,308500,2762500,Erebidae,Chalciope mygdon,成蟲,2018,346129,3826_11262
3826_285813,312500,2771500,Erebidae,Chalciope mygdon,成蟲,2021,346129,3826_11463
3826_284812,311500,2769500,Erebidae,Chalciope mygdon,成蟲,2012,346129,3826_11363
3826_282307,306500,2764500,Erebidae,Chalciope mygdon,成蟲,2021,346129,3826_11262
